Entity,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max,Stress Capacity Ratio,Resilience Index,Envelope Midpoint,Envelope Delta
General Motors,2010,Flow,5.0,6.0,5.0,4.0,8.0,12.775,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.8333333333333334,3.3333333333333335,8.0,0.0
General Motors,2010,Hands,4.0,5.2,5.8,4.0,5.4,10.918,0.0,0.45,0.45,0.0,2.0,5.0,7.0,1.1153846153846154,2.4666666666666663,6.0,-0.5999999999999996
General Motors,2010,Helm,4.8,5.0,5.2,5.0,7.1,13.306,0.45,0.0,0.45,0.0,1.0,6.5,7.5,1.04,3.2000000000000006,7.0,0.09999999999999964
General Motors,2010,Lore,3.8,5.0,5.0,4.0,5.8,11.004,0.45,0.0,0.0,0.0,1.0,5.0,6.0,1.0,2.6,5.5,0.2999999999999998
General Motors,2010,Shield,5.0,5.0,5.0,5.0,7.5,13.704,0.0,0.0,0.0,0.0,0.0,7.5,7.5,1.0,3.3333333333333335,7.5,0.0
General Motors,2010,Stewards,5.0,6.0,5.2,5.0,8.3,13.589,0.0,0.0,0.45,0.0,1.0,7.5,8.5,0.8666666666666667,3.6,8.0,0.3000000000000007
General Motors,2011,Archive,5.8,6.0,5.0,5.0,9.3,16.906,0.45,0.0,0.0,0.0,1.0,8.5,9.5,0.8333333333333334,3.9333333333333336,9.0,0.3000000000000007
General Motors,2011,Craft,6.0,6.2,4.8,5.0,9.9,17.37,0.0,0.45,0.45,0.0,2.0,9.5,11.5,0.7741935483870968,4.133333333333333,10.5,-0.5999999999999996
General Motors,2011,Flow,6.0,7.0,5.0,5.0,10.5,17.224,0.0,0.0,0.0,0.0,0.0,10.5,10.5,0.7142857142857143,4.333333333333333,10.5,0.0
General Motors,2011,Hands,5.0,5.2,5.8,4.0,6.4,14.056,0.0,0.45,0.45,0.0,2.0,6.0,8.0,1.1153846153846154,2.7999999999999994,7.0,-0.5999999999999996
General Motors,2011,Helm,4.8,6.0,5.2,5.0,8.1,15.12,0.45,0.0,0.45,0.0,1.0,7.5,8.5,0.8666666666666667,3.5333333333333337,8.0,0.09999999999999964
General Motors,2011,Lore,4.8,5.0,5.0,5.0,7.3,15.252,0.45,0.0,0.0,0.0,1.0,6.5,7.5,1.0,3.266666666666667,7.0,0.2999999999999998
General Motors,2011,Shield,5.0,6.0,5.0,5.0,8.5,15.591,0.0,0.0,0.0,0.0,0.0,8.5,8.5,0.8333333333333334,3.6666666666666665,8.5,0.0
General Motors,2011,Stewards,5.2,6.0,5.0,5.0,8.7,15.926,0.45,0.0,0.71,0.0,3.0,7.5,10.5,0.8333333333333334,3.733333333333333,9.0,-0.3000000000000007
General Motors,2012,Archive,5.8,6.0,4.0,5.0,10.3,18.809,0.45,0.0,0.0,0.0,1.0,9.5,10.5,0.6666666666666666,4.266666666666667,10.0,0.3000000000000007
General Motors,2012,Craft,6.0,7.2,4.8,5.0,10.9,18.534,0.0,0.45,0.45,0.0,2.0,10.5,12.5,0.6666666666666666,4.466666666666666,11.5,-0.5999999999999996
General Motors,2012,Flow,6.0,7.0,4.0,5.0,11.5,19.172,0.0,0.0,0.0,0.0,0.0,11.5,11.5,0.5714285714285714,4.666666666666667,11.5,0.0
General Motors,2012,Hands,5.0,5.2,4.8,4.0,7.4,15.649,0.0,0.45,0.45,0.0,2.0,7.0,9.0,0.923076923076923,3.133333333333333,8.0,-0.5999999999999996
General Motors,2012,Helm,5.8,6.0,5.2,5.0,9.1,17.872,0.45,0.0,0.45,0.0,1.0,8.5,9.5,0.8666666666666667,3.866666666666667,9.0,0.09999999999999964
General Motors,2012,Lore,4.8,5.0,5.0,5.0,7.3,16.208,0.45,0.0,0.0,0.0,1.0,6.5,7.5,1.0,3.266666666666667,7.0,0.2999999999999998
General Motors,2012,Shield,5.0,6.0,5.0,5.0,8.5,16.58,0.0,0.0,0.0,0.0,0.0,8.5,8.5,0.8333333333333334,3.6666666666666665,8.5,0.0
General Motors,2012,Stewards,6.2,6.0,4.0,5.0,10.7,19.53,0.45,0.0,0.71,0.0,3.0,9.5,12.5,0.6666666666666666,4.3999999999999995,11.0,-0.3000000000000007
General Motors,2013,Archive,5.8,6.0,4.0,5.0,10.3,18.955,0.45,0.0,0.0,0.0,1.0,9.5,10.5,0.6666666666666666,4.266666666666667,10.0,0.3000000000000007
General Motors,2013,Craft,6.0,7.2,3.8,5.0,11.9,19.484,0.0,0.45,0.45,0.0,2.0,11.5,13.5,0.5277777777777778,4.8,12.5,-0.5999999999999996
General Motors,2013,Flow,6.0,7.0,4.0,5.0,11.5,19.321,0.0,0.0,0.0,0.0,0.0,11.5,11.5,0.5714285714285714,4.666666666666667,11.5,0.0
General Motors,2013,Hands,5.0,5.2,4.8,4.0,7.4,15.767,0.0,0.45,0.45,0.0,2.0,7.0,9.0,0.923076923076923,3.133333333333333,8.0,-0.5999999999999996
General Motors,2013,Helm,5.8,6.0,5.2,5.0,9.1,18.01,0.45,0.0,0.45,0.0,1.0,8.5,9.5,0.8666666666666667,3.866666666666667,9.0,0.09999999999999964
General Motors,2013,Lore,4.8,6.0,5.0,5.0,8.3,16.33,0.45,0.0,0.0,0.0,1.0,7.5,8.5,0.8333333333333334,3.6,8.0,0.3000000000000007
General Motors,2013,Shield,5.0,6.0,5.0,5.0,8.5,16.705,0.0,0.0,0.0,0.0,0.0,8.5,8.5,0.8333333333333334,3.6666666666666665,8.5,0.0
General Motors,2013,Stewards,6.2,6.0,4.0,5.0,10.7,19.682,0.45,0.0,0.71,0.0,3.0,9.5,12.5,0.6666666666666666,4.3999999999999995,11.0,-0.3000000000000007
General Motors,2014,Archive,3.8,5.0,7.0,4.0,3.8,9.227,0.45,0.0,0.0,0.0,1.0,3.0,4.0,1.4,1.9333333333333336,3.5,0.2999999999999998
General Motors,2014,Craft,5.0,6.2,5.8,4.0,7.4,11.293,0.0,0.45,0.45,0.0,2.0,7.0,9.0,0.9354838709677419,3.133333333333333,8.0,-0.5999999999999996
General Motors,2014,Flow,5.0,6.0,5.0,4.0,8.0,11.681,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.8333333333333334,3.3333333333333335,8.0,0.0
General Motors,2014,Hands,5.0,5.2,5.8,4.0,6.4,11.293,0.0,0.45,0.45,0.0,2.0,6.0,8.0,1.1153846153846154,2.7999999999999994,7.0,-0.5999999999999996
General Motors,2014,Helm,4.8,6.0,7.2,5.0,6.1,11.166,0.45,0.0,0.45,0.0,1.0,5.5,6.5,1.2,2.866666666666667,6.0,0.09999999999999964
General Motors,2014,Lore,4.8,5.0,6.0,5.0,6.3,11.747,0.45,0.0,0.0,0.0,1.0,5.5,6.5,1.2,2.9333333333333336,6.0,0.2999999999999998
General Motors,2014,Shield,3.0,5.0,9.0,4.0,1.0,7.454,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.8,1.0,1.0,0.0
General Motors,2014,Stewards,5.2,6.0,5.0,5.0,8.7,12.76,0.45,0.0,0.71,0.0,3.0,7.5,10.5,0.8333333333333334,3.733333333333333,9.0,-0.3000000000000007
General Motors,2015,Archive,4.8,6.0,5.0,5.0,8.3,15.908,0.45,0.0,0.0,0.0,1.0,7.5,8.5,0.8333333333333334,3.6,8.0,0.3000000000000007
General Motors,2015,Craft,6.0,6.2,4.8,5.0,9.9,18.134,0.0,0.45,0.45,0.0,2.0,9.5,11.5,0.7741935483870968,4.133333333333333,10.5,-0.5999999999999996
General Motors,2015,Flow,6.0,7.0,4.0,5.0,11.5,18.756,0.0,0.0,0.0,0.0,0.0,11.5,11.5,0.5714285714285714,4.666666666666667,11.5,0.0
General Motors,2015,Hands,5.0,5.2,4.8,4.0,7.4,15.313,0.0,0.45,0.45,0.0,2.0,7.0,9.0,0.923076923076923,3.133333333333333,8.0,-0.5999999999999996
General Motors,2015,Helm,5.8,6.0,5.2,6.0,9.6,18.505,0.45,0.0,0.45,0.0,1.0,9.0,10.0,0.8666666666666667,4.2,9.5,0.09999999999999964
General Motors,2015,Lore,4.8,5.0,5.0,5.0,7.3,15.908,0.45,0.0,0.0,0.0,1.0,6.5,7.5,1.0,3.266666666666667,7.0,0.2999999999999998
General Motors,2015,Shield,5.0,6.0,6.0,5.0,7.5,15.571,0.0,0.0,0.0,0.0,0.0,7.5,7.5,1.0,3.3333333333333335,7.5,0.0
General Motors,2015,Stewards,6.2,6.0,4.0,5.0,10.7,19.097,0.45,0.0,0.71,0.0,3.0,9.5,12.5,0.6666666666666666,4.3999999999999995,11.0,-0.3000000000000007
General Motors,2016,Archive,5.8,6.0,4.0,5.0,10.3,19.208,0.45,0.0,0.0,0.0,1.0,9.5,10.5,0.6666666666666666,4.266666666666667,10.0,0.3000000000000007
General Motors,2016,Craft,6.0,6.2,4.8,5.0,9.9,18.917,0.0,0.45,0.45,0.0,2.0,9.5,11.5,0.7741935483870968,4.133333333333333,10.5,-0.5999999999999996
General Motors,2016,Flow,6.0,7.0,4.0,5.0,11.5,19.571,0.0,0.0,0.0,0.0,0.0,11.5,11.5,0.5714285714285714,4.666666666666667,11.5,0.0
General Motors,2016,Hands,5.0,5.2,4.8,4.0,7.4,15.956,0.0,0.45,0.45,0.0,2.0,7.0,9.0,0.923076923076923,3.133333333333333,8.0,-0.5999999999999996
General Motors,2016,Helm,5.8,6.0,5.2,6.0,9.6,19.316,0.45,0.0,0.45,0.0,1.0,9.0,10.0,0.8666666666666667,4.2,9.5,0.09999999999999964
General Motors,2016,Lore,4.8,6.2,5.0,6.2,9.1,17.868,0.45,0.45,0.0,0.45,2.5,8.0,10.5,0.8064516129032258,4.066666666666666,9.25,-0.15000000000000036
General Motors,2016,Shield,5.0,6.0,5.0,5.0,8.5,16.959,0.0,0.0,0.0,0.0,0.0,8.5,8.5,0.8333333333333334,3.6666666666666665,8.5,0.0
General Motors,2016,Stewards,6.2,7.0,4.0,5.0,11.7,19.929,0.45,0.0,0.71,0.0,3.0,10.5,13.5,0.5714285714285714,4.733333333333333,12.0,-0.3000000000000007
General Motors,2017,Archive,5.8,6.0,4.0,5.0,10.3,19.858,0.45,0.0,0.0,0.0,1.0,9.5,10.5,0.6666666666666666,4.266666666666667,10.0,0.3000000000000007
General Motors,2017,Craft,6.0,7.2,4.8,5.0,10.9,19.564,0.0,0.45,0.45,0.0,2.0,10.5,12.5,0.6666666666666666,4.466666666666666,11.5,-0.5999999999999996
General Motors,2017,Flow,7.0,7.0,4.0,5.0,12.5,22.1,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.5714285714285714,5.0,12.5,0.0
General Motors,2017,Hands,5.0,5.2,4.8,4.0,7.4,16.494,0.0,0.45,0.45,0.0,2.0,7.0,9.0,0.923076923076923,3.133333333333333,8.0,-0.5999999999999996
General Motors,2017,Helm,5.8,7.0,5.2,6.0,10.6,19.928,0.45,0.0,0.45,0.0,1.0,10.0,11.0,0.7428571428571429,4.533333333333334,10.5,0.09999999999999964
General Motors,2017,Lore,4.8,6.2,5.0,6.2,9.1,18.38,0.45,0.45,0.0,0.45,2.5,8.0,10.5,0.8064516129032258,4.066666666666666,9.25,-0.15000000000000036
General Motors,2017,Shield,6.0,6.0,5.0,5.0,9.5,19.397,0.0,0.0,0.0,0.0,0.0,9.5,9.5,0.8333333333333334,4.0,9.5,0.0
General Motors,2017,Stewards,6.2,7.0,4.0,5.0,11.7,20.624,0.45,0.0,0.71,0.0,3.0,10.5,13.5,0.5714285714285714,4.733333333333333,12.0,-0.3000000000000007
General Motors,2018,Archive,5.8,6.0,4.0,5.0,10.3,19.545,0.45,0.0,0.0,0.0,1.0,9.5,10.5,0.6666666666666666,4.266666666666667,10.0,0.3000000000000007
General Motors,2018,Craft,6.0,7.2,3.8,5.0,11.9,20.081,0.0,0.45,0.45,0.0,2.0,11.5,13.5,0.5277777777777778,4.8,12.5,-0.5999999999999996
General Motors,2018,Flow,6.0,7.0,4.0,5.0,11.5,19.911,0.0,0.0,0.0,0.0,0.0,11.5,11.5,0.5714285714285714,4.666666666666667,11.5,0.0
General Motors,2018,Hands,5.0,5.2,4.8,4.0,7.4,16.221,0.0,0.45,0.45,0.0,2.0,7.0,9.0,0.923076923076923,3.133333333333333,8.0,-0.5999999999999996
General Motors,2018,Helm,5.8,7.0,5.2,6.0,10.6,19.678,0.45,0.0,0.45,0.0,1.0,10.0,11.0,0.7428571428571429,4.533333333333334,10.5,0.09999999999999964
General Motors,2018,Lore,4.8,6.2,5.0,6.2,9.1,18.227,0.45,0.45,0.0,0.45,2.5,8.0,10.5,0.8064516129032258,4.066666666666666,9.25,-0.15000000000000036
General Motors,2018,Shield,5.0,6.0,5.0,5.0,8.5,17.267,0.0,0.0,0.0,0.0,0.0,8.5,8.5,0.8333333333333334,3.6666666666666665,8.5,0.0
General Motors,2018,Stewards,6.2,7.0,4.0,6.0,12.2,21.429,0.45,0.0,0.71,0.0,3.0,11.0,14.0,0.5714285714285714,5.066666666666666,12.5,-0.3000000000000007
General Motors,2019,Archive,5.8,6.0,5.0,5.0,9.3,17.165,0.45,0.0,0.0,0.0,1.0,8.5,9.5,0.8333333333333334,3.9333333333333336,9.0,0.3000000000000007
General Motors,2019,Craft,5.0,6.2,5.0,4.8,8.6,15.665,0.0,0.45,0.71,0.45,3.5,7.0,10.5,0.8064516129032258,3.6666666666666665,8.75,-0.15000000000000036
General Motors,2019,Flow,5.0,6.0,5.0,5.0,8.5,15.887,0.0,0.0,0.0,0.0,0.0,8.5,8.5,0.8333333333333334,3.6666666666666665,8.5,0.0
General Motors,2019,Hands,4.0,5.2,6.8,4.0,4.4,12.042,0.0,0.45,0.45,0.0,2.0,4.0,6.0,1.3076923076923077,2.1333333333333333,5.0,-0.5999999999999996
General Motors,2019,Helm,5.8,6.0,5.2,6.0,9.6,18.084,0.45,0.0,0.45,0.0,1.0,9.0,10.0,0.8666666666666667,4.2,9.5,0.09999999999999964
General Motors,2019,Lore,4.8,6.2,5.0,6.2,9.1,16.834,0.45,0.45,0.0,0.45,2.5,8.0,10.5,0.8064516129032258,4.066666666666666,9.25,-0.15000000000000036
General Motors,2019,Shield,5.0,6.0,5.0,5.0,8.5,15.887,0.0,0.0,0.0,0.0,0.0,8.5,8.5,0.8333333333333334,3.6666666666666665,8.5,0.0
General Motors,2019,Stewards,6.2,7.0,4.0,6.0,12.2,19.641,0.45,0.0,0.71,0.0,3.0,11.0,14.0,0.5714285714285714,5.066666666666666,12.5,-0.3000000000000007
General Motors,2020,Archive,4.8,6.0,5.0,5.0,8.3,12.957,0.45,0.0,0.0,0.0,1.0,7.5,8.5,0.8333333333333334,3.6,8.0,0.3000000000000007
General Motors,2020,Craft,4.0,5.2,7.0,3.8,4.1,9.81,0.0,0.45,0.71,0.45,3.5,2.5,6.0,1.346153846153846,2.0,4.25,-0.15000000000000036
General Motors,2020,Flow,4.0,5.0,7.0,4.0,4.0,9.998,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.4,2.0,4.0,0.0
General Motors,2020,Hands,4.0,5.2,6.8,4.0,4.4,10.087,0.0,0.45,0.45,0.0,2.0,4.0,6.0,1.3076923076923077,2.1333333333333333,5.0,-0.5999999999999996
General Motors,2020,Helm,4.8,6.0,6.2,6.0,7.6,13.186,0.45,0.0,0.45,0.0,1.0,7.0,8.0,1.0333333333333334,3.5333333333333337,7.5,0.09999999999999964
General Motors,2020,Lore,4.8,6.2,5.0,6.2,9.1,14.031,0.45,0.45,0.0,0.45,2.5,8.0,10.5,0.8064516129032258,4.066666666666666,9.25,-0.15000000000000036
General Motors,2020,Shield,5.0,6.0,6.0,5.0,7.5,12.67,0.0,0.0,0.0,0.0,0.0,7.5,7.5,1.0,3.3333333333333335,7.5,0.0
General Motors,2020,Stewards,5.0,6.0,6.2,5.0,7.3,12.563,0.0,0.0,0.45,0.0,1.0,6.5,7.5,1.0333333333333334,3.266666666666667,7.0,0.2999999999999998
General Motors,2021,Archive,4.8,6.2,4.8,6.0,9.2,16.262,0.45,0.45,0.45,0.0,3.0,8.0,11.0,0.7741935483870968,4.066666666666666,9.5,-0.3000000000000007
General Motors,2021,Craft,4.0,5.0,7.2,3.8,3.7,11.208,0.0,0.71,0.84,0.45,4.0,2.0,6.0,1.44,1.866666666666667,4.0,-0.2999999999999998
General Motors,2021,Flow,4.0,5.0,7.0,4.0,4.0,11.532,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.4,2.0,4.0,0.0
General Motors,2021,Hands,4.0,5.2,5.8,4.0,5.4,12.171,0.0,0.45,0.45,0.0,2.0,5.0,7.0,1.1153846153846154,2.4666666666666663,6.0,-0.5999999999999996
General Motors,2021,Helm,6.0,6.0,5.0,7.2,10.6,19.101,0.71,0.0,0.71,0.45,3.5,9.5,13.0,0.8333333333333334,4.733333333333333,11.25,-0.6500000000000004
General Motors,2021,Lore,5.8,6.2,5.0,7.2,10.6,18.819,0.45,0.45,0.0,0.45,2.5,9.5,12.0,0.8064516129032258,4.733333333333333,10.75,-0.15000000000000036
General Motors,2021,Shield,5.0,6.0,5.0,5.0,8.5,15.333,0.0,0.0,0.0,0.0,0.0,8.5,8.5,0.8333333333333334,3.6666666666666665,8.5,0.0
General Motors,2021,Stewards,6.0,7.0,4.2,6.0,11.8,18.477,0.0,0.0,0.45,0.0,1.0,11.0,12.0,0.6,4.933333333333334,11.5,0.3000000000000007
General Motors,2022,Archive,4.8,6.2,4.8,5.0,8.7,16.294,0.45,0.45,0.45,0.0,3.0,7.5,10.5,0.7741935483870968,3.733333333333333,9.0,-0.3000000000000007
General Motors,2022,Craft,5.0,6.0,6.2,4.8,7.2,15.423,0.0,0.71,0.84,0.45,4.0,5.5,9.5,1.0333333333333334,3.2000000000000006,7.5,-0.2999999999999998
General Motors,2022,Flow,5.0,6.0,5.0,5.0,8.5,16.492,0.0,0.0,0.0,0.0,0.0,8.5,8.5,0.8333333333333334,3.6666666666666665,8.5,0.0
General Motors,2022,Hands,5.0,5.2,5.8,4.0,6.4,14.748,0.0,0.45,0.45,0.0,2.0,6.0,8.0,1.1153846153846154,2.7999999999999994,7.0,-0.5999999999999996
General Motors,2022,Helm,6.0,6.0,5.0,7.2,10.6,20.554,0.71,0.0,0.71,0.45,3.5,9.5,13.0,0.8333333333333334,4.733333333333333,11.25,-0.6500000000000004
General Motors,2022,Lore,5.8,6.2,5.0,7.2,10.6,20.236,0.45,0.45,0.0,0.45,2.5,9.5,12.0,0.8064516129032258,4.733333333333333,10.75,-0.15000000000000036
General Motors,2022,Shield,5.0,6.0,5.0,5.0,8.5,16.492,0.0,0.0,0.0,0.0,0.0,8.5,8.5,0.8333333333333334,3.6666666666666665,8.5,0.0
General Motors,2022,Stewards,6.0,7.0,4.2,6.0,11.8,19.924,0.0,0.0,0.45,0.0,1.0,11.0,12.0,0.6,4.933333333333334,11.5,0.3000000000000007
General Motors,2023,Archive,4.8,5.2,5.8,5.0,6.7,12.899,0.45,0.45,0.45,0.0,3.0,5.5,8.5,1.1153846153846154,3.0666666666666664,7.0,-0.2999999999999998
General Motors,2023,Craft,5.0,5.0,6.2,4.8,6.2,12.749,0.0,0.71,0.84,0.45,4.0,4.5,8.5,1.24,2.866666666666667,6.5,-0.2999999999999998
General Motors,2023,Flow,5.0,6.0,6.0,5.0,7.5,13.047,0.0,0.0,0.0,0.0,0.0,7.5,7.5,1.0,3.3333333333333335,7.5,0.0
General Motors,2023,Hands,4.0,5.2,6.8,4.0,4.4,10.377,0.0,0.45,0.45,0.0,2.0,4.0,6.0,1.3076923076923077,2.1333333333333333,5.0,-0.5999999999999996
General Motors,2023,Helm,5.0,6.0,6.0,6.2,8.1,14.129,0.71,0.0,0.71,0.45,3.5,7.0,10.5,1.0,3.733333333333333,8.75,-0.6500000000000004
General Motors,2023,Lore,4.6,6.2,6.2,6.2,7.7,13.497,0.55,0.45,0.45,0.45,3.5,6.0,9.5,1.0,3.6,7.75,-0.04999999999999982
General Motors,2023,Shield,4.0,5.0,7.2,4.0,3.8,10.194,0.0,0.0,0.45,0.0,1.0,3.0,4.0,1.44,1.9333333333333333,3.5,0.2999999999999998
General Motors,2023,Stewards,5.0,6.0,5.2,5.0,8.3,13.496,0.0,0.0,0.45,0.0,1.0,7.5,8.5,0.8666666666666667,3.6,8.0,0.3000000000000007
General Motors,2024,Archive,4.8,5.2,4.8,5.0,7.7,13.827,0.45,0.45,0.45,0.0,3.0,6.5,9.5,0.923076923076923,3.4,8.0,-0.2999999999999998
General Motors,2024,Craft,5.0,5.0,6.2,4.8,6.2,13.095,0.0,0.71,0.84,0.45,4.0,4.5,8.5,1.24,2.866666666666667,6.5,-0.2999999999999998
General Motors,2024,Flow,5.0,6.0,6.0,5.0,7.5,13.403,0.0,0.0,0.0,0.0,0.0,7.5,7.5,1.0,3.3333333333333335,7.5,0.0
General Motors,2024,Hands,4.0,5.2,5.8,4.0,5.4,11.134,0.0,0.45,0.45,0.0,2.0,5.0,7.0,1.1153846153846154,2.4666666666666663,6.0,-0.5999999999999996
General Motors,2024,Helm,5.0,6.0,6.0,6.2,8.1,14.522,0.71,0.0,0.71,0.45,3.5,7.0,10.5,1.0,3.733333333333333,8.75,-0.6500000000000004
General Motors,2024,Lore,4.6,6.2,5.2,6.2,8.7,14.464,0.55,0.45,0.45,0.45,3.5,7.0,10.5,0.8387096774193549,3.9333333333333336,8.75,-0.05000000000000071
