Entity,Year,v_mean,v_std,m_slow,edews_v0_2,d_hc,s_1_low_v_mean,s_2_v_dispersion,s_3_low_m_slow,s_4_edews_shear,s_5_hc_divergence,crisis_score_v0_2,crisis_level
CATL,2017,13.8125,2.1886,13.8667,-0.0614,-1.3,0.1581,0.6877,0.1593,0.0093,0.2264,0.2448,GREEN
CATL,2018,14.525,1.8866,14.3333,-0.1828,-0.7,0.113,0.5928,0.13,0.0277,0.283,0.2208,GREEN
CATL,2019,14.65,1.9835,14.3333,-0.0614,-0.7,0.1051,0.6233,0.13,0.0093,0.283,0.2212,GREEN
CATL,2020,15.5625,1.961,15.9333,0.4994,-1.2,0.0474,0.6162,0.0294,0.0758,0.2358,0.1915,GREEN
CATL,2021,16.3125,2.1866,16.2667,-0.5908,-1.7,0.0,0.6871,0.0084,0.0896,0.1887,0.1853,GREEN
CATL,2022,15.9625,2.4,16.1333,-0.0614,-1.7,0.0221,0.7541,0.0168,0.0093,0.1887,0.1899,GREEN
CATL,2023,15.4125,2.7195,15.8,-0.0614,-2.7,0.0569,0.8545,0.0377,0.0093,0.0943,0.2087,GREEN
CATL,2024,14.4875,3.1701,15.1333,-0.0614,-3.7,0.1154,0.9961,0.0797,0.0093,0.0,0.2459,GREEN
CATL,2025,14.4875,3.1701,15.1333,-0.0614,-3.7,0.1154,0.9961,0.0797,0.0093,0.0,0.2459,GREEN
CATL,2026,14.4875,3.1701,15.1333,-0.0614,-3.7,0.1154,0.9961,0.0797,0.0093,0.0,0.2459,GREEN
General Motors,2006,8.2625,1.7501,8.4667,,-2.9,0.5091,0.5499,0.499,,0.0755,0.3484,GREEN
General Motors,2007,6.6125,1.647,6.8,1.0142,-2.1,0.6134,0.5175,0.6038,0.1538,0.1509,0.431,GREEN
General Motors,2008,2.8,2.403,2.9667,-2.6923,-2.6,0.8545,0.7551,0.8449,0.4084,0.1038,0.6309,SEVERE
General Motors,2009,1.175,1.6473,2.3,2.7309,-2.1,0.9573,0.5176,0.8868,0.4142,0.1509,0.6257,SEVERE
General Motors,2010,7.35,1.1723,7.4667,-0.0614,-1.3,0.5668,0.3684,0.5618,0.0093,0.2264,0.3636,GREEN
General Motors,2011,8.5875,1.341,8.4333,-1.0336,-1.8,0.4885,0.4214,0.501,0.1568,0.1792,0.3649,GREEN
General Motors,2012,9.4625,1.623,9.4333,-0.0614,-1.8,0.4332,0.51,0.4382,0.0093,0.1792,0.3267,GREEN
General Motors,2013,9.7125,1.6252,9.7667,-0.0614,-2.8,0.4174,0.5107,0.4172,0.0093,0.0849,0.3045,GREEN
General Motors,2014,5.9625,2.4882,6.2667,1.0529,-1.3,0.6545,0.7819,0.6373,0.1597,0.2264,0.5134,MODERATE
General Motors,2015,9.025,1.6255,8.7667,-0.0614,-0.3,0.4609,0.5108,0.4801,0.0093,0.3208,0.3634,GREEN
General Motors,2016,9.75,1.4501,10.3667,-0.0614,-0.3,0.415,0.4557,0.3795,0.0093,0.3208,0.3208,GREEN
General Motors,2017,10.25,1.591,10.3667,-0.0614,-0.3,0.3834,0.4999,0.3795,0.0093,0.3208,0.3217,GREEN
General Motors,2018,10.1875,1.7192,10.5333,-0.0614,-1.3,0.3874,0.5402,0.369,0.0093,0.2264,0.3145,GREEN
General Motors,2019,8.775,2.1419,10.2,0.8193,1.0,0.4767,0.673,0.3899,0.1243,0.4434,0.4231,GREEN
General Motors,2020,6.5375,2.0445,8.2333,1.1427,3.5,0.6182,0.6424,0.5136,0.1733,0.6792,0.5223,MODERATE
General Motors,2021,7.975,3.1824,10.5333,0.804,6.9,0.5273,1.0,0.369,0.1219,1.0,0.58,MODERATE
General Motors,2022,9.0375,1.8338,10.3667,-1.1298,3.4,0.4601,0.5762,0.3795,0.1714,0.6698,0.4409,GREEN
General Motors,2023,6.5875,1.6907,7.5667,-0.9016,1.9,0.615,0.5313,0.5556,0.1368,0.5283,0.4777,GREEN
General Motors,2024,7.0875,1.4397,8.2333,-0.0614,1.9,0.5834,0.4524,0.5136,0.0093,0.5283,0.4202,GREEN
General Motors,2025,7.525,1.0833,8.5667,-0.0614,1.9,0.5557,0.3404,0.4927,0.0093,0.5283,0.3867,GREEN
General Motors,2026,7.65,0.9592,8.5667,-0.0614,0.9,0.5478,0.3014,0.4927,0.0093,0.434,0.3627,GREEN
Tencent,2006,11.725,1.4607,12.0,,-0.5,0.2901,0.459,0.2767,,0.3019,0.265,GREEN
Tencent,2007,12.1,1.5334,12.3333,-0.0614,0.5,0.2664,0.4818,0.2558,0.0093,0.3962,0.2754,GREEN
Tencent,2008,12.35,1.7138,12.3333,-0.0614,-0.5,0.2506,0.5385,0.2558,0.0093,0.3019,0.2687,GREEN
Tencent,2009,12.6625,1.8039,13.1667,-0.0614,-0.5,0.2308,0.5668,0.2034,0.0093,0.3019,0.2589,GREEN
Tencent,2010,13.6,1.7992,14.3333,0.6257,0.5,0.1715,0.5654,0.13,0.0949,0.3962,0.2604,GREEN
Tencent,2011,14.0375,2.0417,14.5,-0.7444,0.5,0.1439,0.6415,0.1195,0.1129,0.3962,0.2702,GREEN
Tencent,2012,14.8875,2.5272,15.0,0.4065,-0.9,0.0901,0.7941,0.0881,0.0617,0.2642,0.2509,GREEN
Tencent,2013,15.475,2.461,15.9,-0.0614,0.1,0.053,0.7733,0.0314,0.0093,0.3585,0.2298,GREEN
Tencent,2014,15.475,2.461,15.9,-0.0614,0.1,0.053,0.7733,0.0314,0.0093,0.3585,0.2298,GREEN
Tencent,2015,15.475,2.461,15.9,-0.0614,0.1,0.053,0.7733,0.0314,0.0093,0.3585,0.2298,GREEN
Tencent,2016,15.6625,2.2019,15.9,-0.0614,0.1,0.0411,0.6919,0.0314,0.0093,0.3585,0.2106,GREEN
Tencent,2017,15.975,2.2199,16.4,-0.0614,0.1,0.0213,0.6975,0.0,0.0093,0.3585,0.2005,GREEN
Tencent,2018,11.95,2.4089,13.2333,0.0372,-0.1,0.2759,0.7569,0.1992,0.0056,0.3396,0.3123,GREEN
Tencent,2019,13.475,1.836,14.5667,-0.0614,0.1,0.1794,0.5769,0.1153,0.0093,0.3585,0.2389,GREEN
Tencent,2020,15.6625,2.0191,16.0667,-0.6914,-0.4,0.0411,0.6345,0.021,0.1049,0.3113,0.209,GREEN
Tencent,2021,10.725,2.44,11.6333,1.2907,-0.9,0.3534,0.7667,0.2998,0.1958,0.2642,0.3804,GREEN
Tencent,2022,8.725,1.7839,9.6333,0.13,-0.9,0.4798,0.5605,0.4256,0.0197,0.2642,0.3607,GREEN
Tencent,2023,11.9625,1.4985,12.4,-0.3311,0.1,0.2751,0.4709,0.2516,0.0502,0.3585,0.2771,GREEN
Tencent,2024,12.7875,2.3,13.2333,-0.0614,-0.4,0.2229,0.7227,0.1992,0.0093,0.3113,0.2887,GREEN
Tencent,2025,13.2125,2.5261,13.5667,-0.0614,-1.4,0.196,0.7938,0.1782,0.0093,0.217,0.2778,GREEN
Tencent,2026,13.2125,2.5261,13.5667,-0.0614,-1.4,0.196,0.7938,0.1782,0.0093,0.217,0.2778,GREEN
