Society,node_i,node_j,W_ij,W_ij_raw,p_value,n_years
Canada,Shield,Lore,0.8509,0.8509,0.0,33
Canada,Shield,Stewards,0.6789,0.6789,0.0,33
Canada,Shield,Craft,0.7793,0.7793,0.0,33
Canada,Shield,Hands,0.727,0.727,0.0,33
Canada,Shield,Flow,0.7325,0.7325,0.0,33
Canada,Archive,Lore,0.9635,0.9635,0.0,33
Canada,Archive,Stewards,0.8192,0.8192,0.0,33
Canada,Archive,Craft,0.8935,0.8935,0.0,33
Canada,Archive,Hands,0.8956,0.8956,0.0,33
Canada,Archive,Flow,0.8255,0.8255,0.0,33
Canada,Lore,Stewards,0.7609,0.7609,0.0,33
Canada,Lore,Craft,0.8958,0.8958,0.0,33
Canada,Lore,Hands,0.8417,0.8417,0.0,33
Canada,Lore,Flow,0.7928,0.7928,0.0,33
Canada,Stewards,Craft,0.896,0.896,0.0,33
Canada,Stewards,Hands,0.861,0.861,0.0,33
Canada,Stewards,Flow,0.9552,0.9552,0.0,33
Canada,Craft,Hands,0.8716,0.8716,0.0,33
Canada,Craft,Flow,0.8934,0.8934,0.0,33
Canada,Hands,Flow,0.872,0.872,0.0,33
Chile,Helm,Shield,0.7113,0.7113,0.0,152
Chile,Helm,Archive,0.6401,0.6401,0.0,152
Chile,Helm,Lore,0.6361,0.6361,0.0,152
Chile,Helm,Stewards,0.7258,0.7258,0.0,152
Chile,Helm,Craft,0.8516,0.8516,0.0,152
Chile,Helm,Hands,0.8316,0.8316,0.0,152
Chile,Helm,Flow,0.7207,0.7207,0.0,152
Chile,Shield,Archive,0.4551,0.4551,0.0,152
Chile,Shield,Lore,0.5815,0.5815,0.0,152
Chile,Shield,Stewards,0.688,0.688,0.0,152
Chile,Shield,Craft,0.596,0.596,0.0,152
Chile,Shield,Hands,0.5509,0.5509,0.0,152
Chile,Shield,Flow,0.6596,0.6596,0.0,152
Chile,Archive,Lore,0.868,0.868,0.0,152
Chile,Archive,Stewards,0.518,0.518,0.0,152
Chile,Archive,Craft,0.8361,0.8361,0.0,152
Chile,Archive,Hands,0.7658,0.7658,0.0,152
Chile,Archive,Flow,0.6004,0.6004,0.0,152
Chile,Lore,Stewards,0.5638,0.5638,0.0,152
Chile,Lore,Craft,0.7769,0.7769,0.0,152
Chile,Lore,Hands,0.6913,0.6913,0.0,152
Chile,Lore,Flow,0.5906,0.5906,0.0,152
Chile,Stewards,Craft,0.7457,0.7457,0.0,152
Chile,Stewards,Hands,0.6095,0.6095,0.0,152
Chile,Stewards,Flow,0.9363,0.9363,0.0,152
Chile,Craft,Hands,0.8865,0.8865,0.0,152
Chile,Craft,Flow,0.7901,0.7901,0.0,152
Chile,Hands,Flow,0.6684,0.6684,0.0,152
China,Helm,Shield,0.8241,0.8241,0.0,227
China,Helm,Archive,0.8649,0.8649,0.0,227
China,Helm,Lore,0.7378,0.7378,0.0,227
China,Helm,Stewards,0.857,0.857,0.0,227
China,Helm,Craft,0.8953,0.8953,0.0,227
China,Helm,Hands,0.9168,0.9168,0.0,227
China,Helm,Flow,0.9096,0.9096,0.0,227
China,Shield,Archive,0.7465,0.7465,0.0,227
China,Shield,Lore,0.4793,0.4793,0.0,227
China,Shield,Stewards,0.7299,0.7299,0.0,227
China,Shield,Craft,0.8373,0.8373,0.0,227
China,Shield,Hands,0.8254,0.8254,0.0,227
China,Shield,Flow,0.8278,0.8278,0.0,227
China,Archive,Lore,0.8499,0.8499,0.0,227
China,Archive,Stewards,0.832,0.832,0.0,227
China,Archive,Craft,0.8613,0.8613,0.0,227
China,Archive,Hands,0.8501,0.8501,0.0,227
China,Archive,Flow,0.8425,0.8425,0.0,227
China,Lore,Stewards,0.7534,0.7534,0.0,227
China,Lore,Craft,0.6495,0.6495,0.0,227
China,Lore,Hands,0.6873,0.6873,0.0,227
China,Lore,Flow,0.6843,0.6843,0.0,227
China,Stewards,Craft,0.8497,0.8497,0.0,227
China,Stewards,Hands,0.8414,0.8414,0.0,227
China,Stewards,Flow,0.9139,0.9139,0.0,227
China,Craft,Hands,0.9117,0.9117,0.0,227
China,Craft,Flow,0.926,0.926,0.0,227
China,Hands,Flow,0.8962,0.8962,0.0,227
France,Helm,Shield,0.9067,0.9067,0.0,177
France,Helm,Archive,0.7765,0.7765,0.0,177
France,Helm,Lore,0.8146,0.8146,0.0,177
France,Helm,Stewards,0.8319,0.8319,0.0,177
France,Helm,Craft,0.7605,0.7605,0.0,177
France,Helm,Hands,0.6364,0.6364,0.0,177
France,Helm,Flow,0.7596,0.7596,0.0,177
France,Shield,Archive,0.8001,0.8001,0.0,177
France,Shield,Lore,0.7969,0.7969,0.0,177
France,Shield,Stewards,0.6973,0.6973,0.0,177
France,Shield,Craft,0.648,0.648,0.0,177
France,Shield,Hands,0.4852,0.4852,0.0,177
France,Shield,Flow,0.6546,0.6546,0.0,177
France,Archive,Lore,0.9221,0.9221,0.0,177
France,Archive,Stewards,0.7303,0.7303,0.0,177
France,Archive,Craft,0.7958,0.7958,0.0,177
France,Archive,Hands,0.6601,0.6601,0.0,177
France,Archive,Flow,0.7893,0.7893,0.0,177
France,Lore,Stewards,0.7986,0.7986,0.0,177
France,Lore,Craft,0.8183,0.8183,0.0,177
France,Lore,Hands,0.7191,0.7191,0.0,177
France,Lore,Flow,0.8035,0.8035,0.0,177
France,Stewards,Craft,0.889,0.889,0.0,177
France,Stewards,Hands,0.8266,0.8266,0.0,177
France,Stewards,Flow,0.9007,0.9007,0.0,177
France,Craft,Hands,0.8597,0.8597,0.0,177
France,Craft,Flow,0.9352,0.9352,0.0,177
France,Hands,Flow,0.8475,0.8475,0.0,177
Germany,Helm,Shield,0.6386,0.6386,0.0,147
Germany,Helm,Archive,0.6717,0.6717,0.0,147
Germany,Helm,Lore,0.3311,0.3311,0.0,147
Germany,Helm,Stewards,0.6928,0.6928,0.0,147
Germany,Helm,Craft,0.6137,0.6137,0.0,147
Germany,Helm,Hands,0.7065,0.7065,0.0,147
Germany,Helm,Flow,0.6546,0.6546,0.0,147
Germany,Shield,Archive,0.5943,0.5943,0.0,147
Germany,Shield,Lore,0.3073,0.3073,0.0002,147
Germany,Shield,Stewards,0.6933,0.6933,0.0,147
Germany,Shield,Craft,0.6406,0.6406,0.0,147
Germany,Shield,Hands,0.508,0.508,0.0,147
Germany,Shield,Flow,0.5905,0.5905,0.0,147
Germany,Archive,Lore,0.6859,0.6859,0.0,147
Germany,Archive,Stewards,0.831,0.831,0.0,147
Germany,Archive,Craft,0.8019,0.8019,0.0,147
Germany,Archive,Hands,0.5483,0.5483,0.0,147
Germany,Archive,Flow,0.7744,0.7744,0.0,147
Germany,Lore,Stewards,0.6087,0.6087,0.0,147
Germany,Lore,Craft,0.6809,0.6809,0.0,147
Germany,Lore,Hands,0.3351,0.3351,0.0,147
Germany,Lore,Flow,0.6152,0.6152,0.0,147
Germany,Stewards,Craft,0.9194,0.9194,0.0,147
Germany,Stewards,Hands,0.6835,0.6835,0.0,147
Germany,Stewards,Flow,0.8938,0.8938,0.0,147
Germany,Craft,Hands,0.6509,0.6509,0.0,147
Germany,Craft,Flow,0.8934,0.8934,0.0,147
Germany,Hands,Flow,0.6922,0.6922,0.0,147
Iran,Helm,Shield,0.8885,0.8885,0.0,152
Iran,Helm,Archive,0.8688,0.8688,0.0,152
Iran,Helm,Lore,0.3385,0.3385,0.0,152
Iran,Helm,Stewards,0.8226,0.8226,0.0,152
Iran,Helm,Craft,0.8291,0.8291,0.0,152
Iran,Helm,Hands,0.7069,0.7069,0.0,152
Iran,Helm,Flow,0.8148,0.8148,0.0,152
Iran,Shield,Archive,0.877,0.877,0.0,152
Iran,Shield,Lore,0.2946,0.2946,0.0002,152
Iran,Shield,Stewards,0.8439,0.8439,0.0,152
Iran,Shield,Craft,0.8392,0.8392,0.0,152
Iran,Shield,Hands,0.7339,0.7339,0.0,152
Iran,Shield,Flow,0.8381,0.8381,0.0,152
Iran,Archive,Lore,0.4113,0.4113,0.0,152
Iran,Archive,Stewards,0.8084,0.8084,0.0,152
Iran,Archive,Craft,0.8268,0.8268,0.0,152
Iran,Archive,Hands,0.7867,0.7867,0.0,152
Iran,Archive,Flow,0.7671,0.7671,0.0,152
Iran,Lore,Stewards,0.3923,0.3923,0.0,152
Iran,Lore,Craft,0.4571,0.4571,0.0,152
Iran,Lore,Hands,0.5611,0.5611,0.0,152
Iran,Lore,Flow,0.3334,0.3334,0.0,152
Iran,Stewards,Craft,0.8218,0.8218,0.0,152
Iran,Stewards,Hands,0.7108,0.7108,0.0,152
Iran,Stewards,Flow,0.8674,0.8674,0.0,152
Iran,Craft,Hands,0.7918,0.7918,0.0,152
Iran,Craft,Flow,0.8108,0.8108,0.0,152
Iran,Hands,Flow,0.687,0.687,0.0,152
Latium Vetus,Helm,Shield,0.5595,0.5595,0.0,79
Latium Vetus,Helm,Archive,0.6577,0.6577,0.0,79
Latium Vetus,Helm,Lore,0.6436,0.6436,0.0,79
Latium Vetus,Helm,Stewards,0.7123,0.7123,0.0,79
Latium Vetus,Helm,Craft,0.6383,0.6383,0.0,79
Latium Vetus,Helm,Hands,0.4876,0.4876,0.0,79
Latium Vetus,Helm,Flow,0.6106,0.6106,0.0,79
Latium Vetus,Shield,Archive,0.4,0.4,0.0003,79
Latium Vetus,Shield,Lore,0.4531,0.4531,0.0,79
Latium Vetus,Shield,Stewards,0.5405,0.5405,0.0,79
Latium Vetus,Shield,Craft,0.3913,0.3913,0.0004,79
Latium Vetus,Shield,Hands,0.3407,0.3407,0.0021,79
Latium Vetus,Shield,Flow,0.4666,0.4666,0.0,79
Latium Vetus,Archive,Lore,0.8268,0.8268,0.0,79
Latium Vetus,Archive,Stewards,0.7098,0.7098,0.0,79
Latium Vetus,Archive,Craft,0.728,0.728,0.0,79
Latium Vetus,Archive,Hands,0.3671,0.3671,0.0009,79
Latium Vetus,Archive,Flow,0.7166,0.7166,0.0,79
Latium Vetus,Lore,Stewards,0.6803,0.6803,0.0,79
Latium Vetus,Lore,Craft,0.7714,0.7714,0.0,79
Latium Vetus,Lore,Hands,0.4149,0.4149,0.0001,79
Latium Vetus,Lore,Flow,0.6253,0.6253,0.0,79
Latium Vetus,Stewards,Craft,0.6878,0.6878,0.0,79
Latium Vetus,Stewards,Hands,0.4665,0.4665,0.0,79
Latium Vetus,Stewards,Flow,0.671,0.671,0.0,79
Latium Vetus,Craft,Hands,0.4201,0.4201,0.0001,79
Latium Vetus,Craft,Flow,0.8075,0.8075,0.0,79
Latium Vetus,Hands,Flow,0.3722,0.3722,0.0007,79
Norway,Helm,Shield,0.6126,0.6126,0.0,147
Norway,Helm,Archive,0.8588,0.8588,0.0,147
Norway,Helm,Lore,0.555,0.555,0.0,147
Norway,Helm,Stewards,0.6903,0.6903,0.0,147
Norway,Helm,Craft,0.7676,0.7676,0.0,147
Norway,Helm,Hands,0.7279,0.7279,0.0,147
Norway,Helm,Flow,0.7585,0.7585,0.0,147
Norway,Shield,Archive,0.5608,0.5608,0.0,147
Norway,Shield,Lore,0.6516,0.6516,0.0,147
Norway,Shield,Stewards,0.3832,0.3832,0.0,147
Norway,Shield,Craft,0.613,0.613,0.0,147
Norway,Shield,Hands,0.4532,0.4532,0.0,147
Norway,Shield,Flow,0.543,0.543,0.0,147
Norway,Archive,Lore,0.5298,0.5298,0.0,147
Norway,Archive,Stewards,0.8395,0.8395,0.0,147
Norway,Archive,Craft,0.8146,0.8146,0.0,147
Norway,Archive,Hands,0.8235,0.8235,0.0,147
Norway,Archive,Flow,0.8478,0.8478,0.0,147
Norway,Lore,Stewards,0.3802,0.3802,0.0,147
Norway,Lore,Craft,0.6102,0.6102,0.0,147
Norway,Lore,Hands,0.3344,0.3344,0.0,147
Norway,Lore,Flow,0.4922,0.4922,0.0,147
Norway,Stewards,Craft,0.8196,0.8196,0.0,147
Norway,Stewards,Hands,0.8456,0.8456,0.0,147
Norway,Stewards,Flow,0.907,0.907,0.0,147
Norway,Craft,Hands,0.8362,0.8362,0.0,147
Norway,Craft,Flow,0.8448,0.8448,0.0,147
Norway,Hands,Flow,0.8591,0.8591,0.0,147
Poland,Helm,Shield,0.9321,0.9321,0.0,152
Poland,Helm,Archive,0.9133,0.9133,0.0,152
Poland,Helm,Lore,0.9103,0.9103,0.0,152
Poland,Helm,Stewards,0.8477,0.8477,0.0,152
Poland,Helm,Craft,0.8066,0.8066,0.0,152
Poland,Helm,Hands,0.8574,0.8574,0.0,152
Poland,Helm,Flow,0.7571,0.7571,0.0,152
Poland,Shield,Archive,0.9034,0.9034,0.0,152
Poland,Shield,Lore,0.9027,0.9027,0.0,152
Poland,Shield,Stewards,0.7983,0.7983,0.0,152
Poland,Shield,Craft,0.8433,0.8433,0.0,152
Poland,Shield,Hands,0.8272,0.8272,0.0,152
Poland,Shield,Flow,0.7502,0.7502,0.0,152
Poland,Archive,Lore,0.8937,0.8937,0.0,152
Poland,Archive,Stewards,0.8432,0.8432,0.0,152
Poland,Archive,Craft,0.8962,0.8962,0.0,152
Poland,Archive,Hands,0.8372,0.8372,0.0,152
Poland,Archive,Flow,0.8264,0.8264,0.0,152
Poland,Lore,Stewards,0.7485,0.7485,0.0,152
Poland,Lore,Craft,0.7744,0.7744,0.0,152
Poland,Lore,Hands,0.7376,0.7376,0.0,152
Poland,Lore,Flow,0.6827,0.6827,0.0,152
Poland,Stewards,Craft,0.8733,0.8733,0.0,152
Poland,Stewards,Hands,0.923,0.923,0.0,152
Poland,Stewards,Flow,0.9076,0.9076,0.0,152
Poland,Craft,Hands,0.8669,0.8669,0.0,152
Poland,Craft,Flow,0.9353,0.9353,0.0,152
Poland,Hands,Flow,0.887,0.887,0.0,152
Russia,Helm,Shield,0.6711,0.6711,0.0,227
Russia,Helm,Archive,0.6589,0.6589,0.0,227
Russia,Helm,Lore,0.3415,0.3415,0.0,227
Russia,Helm,Stewards,0.6474,0.6474,0.0,227
Russia,Helm,Craft,0.449,0.449,0.0,227
Russia,Helm,Hands,0.5062,0.5062,0.0,227
Russia,Helm,Flow,0.5991,0.5991,0.0,227
Russia,Shield,Archive,0.6836,0.6836,0.0,227
Russia,Shield,Lore,0.4703,0.4703,0.0,227
Russia,Shield,Stewards,0.4671,0.4671,0.0,227
Russia,Shield,Craft,0.5901,0.5901,0.0,227
Russia,Shield,Hands,0.5087,0.5087,0.0,227
Russia,Shield,Flow,0.4793,0.4793,0.0,227
Russia,Archive,Lore,0.5899,0.5899,0.0,227
Russia,Archive,Stewards,0.5731,0.5731,0.0,227
Russia,Archive,Craft,0.5594,0.5594,0.0,227
Russia,Archive,Hands,0.6622,0.6622,0.0,227
Russia,Archive,Flow,0.5857,0.5857,0.0,227
Russia,Lore,Stewards,0.282,0.282,0.0,227
Russia,Lore,Craft,0.631,0.631,0.0,227
Russia,Lore,Hands,0.645,0.645,0.0,227
Russia,Lore,Flow,0.452,0.452,0.0,227
Russia,Stewards,Craft,0.209,0.209,0.0015,227
Russia,Stewards,Hands,0.3698,0.3698,0.0,227
Russia,Stewards,Flow,0.6337,0.6337,0.0,227
Russia,Craft,Hands,0.6759,0.6759,0.0,227
Russia,Craft,Flow,0.5781,0.5781,0.0,227
Russia,Hands,Flow,0.623,0.623,0.0,227
Sweden,Helm,Shield,0.7567,0.7567,0.0002,19
Sweden,Helm,Archive,0.9419,0.9419,0.0,19
Sweden,Helm,Lore,0.8709,0.8709,0.0,19
Sweden,Helm,Stewards,0.8415,0.8415,0.0,19
Sweden,Helm,Craft,0.8715,0.8715,0.0,19
Sweden,Helm,Hands,0.9337,0.9337,0.0,19
Sweden,Helm,Flow,0.8848,0.8848,0.0,19
Sweden,Shield,Archive,0.8145,0.8145,0.0,19
Sweden,Shield,Lore,0.7931,0.7931,0.0001,19
Sweden,Shield,Stewards,0.5965,0.5965,0.007,19
Sweden,Shield,Craft,0.6917,0.6917,0.001,19
Sweden,Shield,Hands,0.7841,0.7841,0.0001,19
Sweden,Shield,Flow,0.7348,0.7348,0.0003,19
Sweden,Archive,Lore,0.9292,0.9292,0.0,19
Sweden,Archive,Stewards,0.8677,0.8677,0.0,19
Sweden,Archive,Craft,0.8975,0.8975,0.0,19
Sweden,Archive,Hands,0.9342,0.9342,0.0,19
Sweden,Archive,Flow,0.8994,0.8994,0.0,19
Sweden,Lore,Stewards,0.8064,0.8064,0.0,19
Sweden,Lore,Craft,0.8286,0.8286,0.0,19
Sweden,Lore,Hands,0.7911,0.7911,0.0001,19
Sweden,Lore,Flow,0.8424,0.8424,0.0,19
Sweden,Stewards,Craft,0.9498,0.9498,0.0,19
Sweden,Stewards,Hands,0.8064,0.8064,0.0,19
Sweden,Stewards,Flow,0.9652,0.9652,0.0,19
Sweden,Craft,Hands,0.8777,0.8777,0.0,19
Sweden,Craft,Flow,0.9682,0.9682,0.0,19
Sweden,Hands,Flow,0.8641,0.8641,0.0,19
Thailand,Helm,Shield,0.3172,0.3172,0.0594,36
Thailand,Helm,Archive,0.7303,0.7303,0.0,36
Thailand,Helm,Lore,0.7573,0.7573,0.0,36
Thailand,Helm,Stewards,0.5736,0.5736,0.0003,36
Thailand,Helm,Craft,0.4447,0.4447,0.0066,36
Thailand,Helm,Hands,0.3265,0.3265,0.052,36
Thailand,Helm,Flow,0.6424,0.6424,0.0,36
Thailand,Shield,Archive,0.3808,0.3808,0.022,36
Thailand,Shield,Lore,0.3794,0.3794,0.0225,36
Thailand,Shield,Stewards,0.5626,0.5626,0.0004,36
Thailand,Shield,Craft,0.504,0.504,0.0017,36
Thailand,Shield,Hands,0.2916,0.2916,0.0844,36
Thailand,Shield,Flow,0.4558,0.4558,0.0052,36
Thailand,Archive,Lore,0.8814,0.8814,0.0,36
Thailand,Archive,Stewards,0.69,0.69,0.0,36
Thailand,Archive,Craft,0.5736,0.5736,0.0003,36
Thailand,Archive,Hands,0.4658,0.4658,0.0042,36
Thailand,Archive,Flow,0.7153,0.7153,0.0,36
Thailand,Lore,Stewards,0.6136,0.6136,0.0001,36
Thailand,Lore,Craft,0.5133,0.5133,0.0014,36
Thailand,Lore,Hands,0.4347,0.4347,0.0081,36
Thailand,Lore,Flow,0.648,0.648,0.0,36
Thailand,Stewards,Craft,0.8621,0.8621,0.0,36
Thailand,Stewards,Hands,0.6853,0.6853,0.0,36
Thailand,Stewards,Flow,0.8356,0.8356,0.0,36
Thailand,Craft,Hands,0.8723,0.8723,0.0,36
Thailand,Craft,Flow,0.878,0.878,0.0,36
Thailand,Hands,Flow,0.7287,0.7287,0.0,36
USA,Helm,Shield,0.5717,0.5717,0.0,127
USA,Helm,Archive,0.728,0.728,0.0,127
USA,Helm,Lore,0.8935,0.8935,0.0,127
USA,Helm,Stewards,0.8466,0.8466,0.0,127
USA,Helm,Craft,0.8064,0.8064,0.0,127
USA,Helm,Hands,0.7455,0.7455,0.0,127
USA,Helm,Flow,0.8349,0.8349,0.0,127
USA,Shield,Archive,0.7317,0.7317,0.0,127
USA,Shield,Lore,0.4771,0.4771,0.0,127
USA,Shield,Stewards,0.3965,0.3965,0.0,127
USA,Shield,Craft,0.7233,0.7233,0.0,127
USA,Shield,Hands,0.7402,0.7402,0.0,127
USA,Shield,Flow,0.5484,0.5484,0.0,127
USA,Archive,Lore,0.6924,0.6924,0.0,127
USA,Archive,Stewards,0.6416,0.6416,0.0,127
USA,Archive,Craft,0.8769,0.8769,0.0,127
USA,Archive,Hands,0.8778,0.8778,0.0,127
USA,Archive,Flow,0.7808,0.7808,0.0,127
USA,Lore,Stewards,0.821,0.821,0.0,127
USA,Lore,Craft,0.7628,0.7628,0.0,127
USA,Lore,Hands,0.76,0.76,0.0,127
USA,Lore,Flow,0.8539,0.8539,0.0,127
USA,Stewards,Craft,0.7799,0.7799,0.0,127
USA,Stewards,Hands,0.686,0.686,0.0,127
USA,Stewards,Flow,0.894,0.894,0.0,127
USA,Craft,Hands,0.927,0.927,0.0,127
USA,Craft,Flow,0.9015,0.9015,0.0,127
USA,Hands,Flow,0.8239,0.8239,0.0,127
United Kingdom,Helm,Shield,0.7472,0.7472,0.0,147
United Kingdom,Helm,Archive,0.7831,0.7831,0.0,147
United Kingdom,Helm,Lore,0.7937,0.7937,0.0,147
United Kingdom,Helm,Stewards,0.7981,0.7981,0.0,147
United Kingdom,Helm,Craft,0.7163,0.7163,0.0,147
United Kingdom,Helm,Hands,0.3818,0.3818,0.0,147
United Kingdom,Helm,Flow,0.8132,0.8132,0.0,147
United Kingdom,Shield,Archive,0.7592,0.7592,0.0,147
United Kingdom,Shield,Lore,0.7336,0.7336,0.0,147
United Kingdom,Shield,Stewards,0.6963,0.6963,0.0,147
United Kingdom,Shield,Craft,0.7334,0.7334,0.0,147
United Kingdom,Shield,Hands,0.074,0.074,0.373,147
United Kingdom,Shield,Flow,0.8718,0.8718,0.0,147
United Kingdom,Archive,Lore,0.8342,0.8342,0.0,147
United Kingdom,Archive,Stewards,0.7327,0.7327,0.0,147
United Kingdom,Archive,Craft,0.7168,0.7168,0.0,147
United Kingdom,Archive,Hands,0.3168,0.3168,0.0001,147
United Kingdom,Archive,Flow,0.7783,0.7783,0.0,147
United Kingdom,Lore,Stewards,0.6206,0.6206,0.0,147
United Kingdom,Lore,Craft,0.617,0.617,0.0,147
United Kingdom,Lore,Hands,0.3496,0.3496,0.0,147
United Kingdom,Lore,Flow,0.6905,0.6905,0.0,147
United Kingdom,Stewards,Craft,0.7506,0.7506,0.0,147
United Kingdom,Stewards,Hands,0.3081,0.3081,0.0001,147
United Kingdom,Stewards,Flow,0.8337,0.8337,0.0,147
United Kingdom,Craft,Hands,0.5571,0.5571,0.0,147
United Kingdom,Craft,Flow,0.9062,0.9062,0.0,147
United Kingdom,Hands,Flow,0.3383,0.3383,0.0,147
