Society,node_i,node_j,W_ij,mean_W,cross_cluster,is_bridge
Latium Vetus,Archive,Flow,0.7166,0.5774,True,False
Latium Vetus,Lore,Stewards,0.6803,0.5774,False,False
Latium Vetus,Lore,Craft,0.7714,0.5774,False,False
Latium Vetus,Lore,Hands,0.4149,0.5774,False,False
Latium Vetus,Lore,Flow,0.6253,0.5774,False,False
Latium Vetus,Stewards,Craft,0.6878,0.5774,False,False
Latium Vetus,Stewards,Hands,0.4665,0.5774,False,False
Latium Vetus,Stewards,Flow,0.671,0.5774,False,False
Latium Vetus,Craft,Hands,0.4201,0.5774,False,False
Latium Vetus,Craft,Flow,0.8075,0.5774,False,False
Latium Vetus,Hands,Flow,0.3722,0.5774,False,False
Norway,Helm,Shield,0.6126,0.6771,False,False
Norway,Helm,Archive,0.8588,0.6771,False,False
Norway,Helm,Lore,0.555,0.6771,True,True
Norway,Helm,Stewards,0.6903,0.6771,True,False
Norway,Helm,Craft,0.7676,0.6771,True,False
Norway,Helm,Hands,0.7279,0.6771,True,False
Norway,Helm,Flow,0.7585,0.6771,True,False
Norway,Shield,Archive,0.5608,0.6771,False,False
Norway,Shield,Lore,0.6516,0.6771,True,True
Norway,Shield,Stewards,0.3832,0.6771,True,True
Norway,Shield,Craft,0.613,0.6771,True,True
Norway,Shield,Hands,0.4532,0.6771,True,True
Norway,Shield,Flow,0.543,0.6771,True,True
Norway,Archive,Lore,0.5298,0.6771,True,True
Norway,Archive,Stewards,0.8395,0.6771,True,False
Norway,Archive,Craft,0.8146,0.6771,True,False
Norway,Archive,Hands,0.8235,0.6771,True,False
Norway,Archive,Flow,0.8478,0.6771,True,False
Norway,Lore,Stewards,0.3802,0.6771,False,False
Norway,Lore,Craft,0.6102,0.6771,False,False
Norway,Lore,Hands,0.3344,0.6771,False,False
Norway,Lore,Flow,0.4922,0.6771,False,False
Norway,Stewards,Craft,0.8196,0.6771,False,False
Norway,Stewards,Hands,0.8456,0.6771,False,False
Norway,Stewards,Flow,0.907,0.6771,False,False
Norway,Craft,Hands,0.8362,0.6771,False,False
Norway,Craft,Flow,0.8448,0.6771,False,False
Norway,Hands,Flow,0.8591,0.6771,False,False
Poland,Helm,Shield,0.9321,0.8458,False,False
Poland,Helm,Archive,0.9133,0.8458,False,False
Poland,Helm,Lore,0.9103,0.8458,True,False
Poland,Helm,Stewards,0.8477,0.8458,True,False
Poland,Helm,Craft,0.8066,0.8458,True,True
Poland,Helm,Hands,0.8574,0.8458,True,False
Poland,Helm,Flow,0.7571,0.8458,True,True
Poland,Shield,Archive,0.9034,0.8458,False,False
Poland,Shield,Lore,0.9027,0.8458,True,False
Poland,Shield,Stewards,0.7983,0.8458,True,True
Poland,Shield,Craft,0.8433,0.8458,True,True
Poland,Shield,Hands,0.8272,0.8458,True,True
Poland,Shield,Flow,0.7502,0.8458,True,True
Poland,Archive,Lore,0.8937,0.8458,True,False
Poland,Archive,Stewards,0.8432,0.8458,True,True
Poland,Archive,Craft,0.8962,0.8458,True,False
Poland,Archive,Hands,0.8372,0.8458,True,True
Poland,Archive,Flow,0.8264,0.8458,True,True
Poland,Lore,Stewards,0.7485,0.8458,False,False
Poland,Lore,Craft,0.7744,0.8458,False,False
Poland,Lore,Hands,0.7376,0.8458,False,False
Poland,Lore,Flow,0.6827,0.8458,False,False
Poland,Stewards,Craft,0.8733,0.8458,False,False
Poland,Stewards,Hands,0.923,0.8458,False,False
Poland,Stewards,Flow,0.9076,0.8458,False,False
Poland,Craft,Hands,0.8669,0.8458,False,False
Poland,Craft,Flow,0.9353,0.8458,False,False
Poland,Hands,Flow,0.887,0.8458,False,False
Russia,Helm,Shield,0.6711,0.5408,False,False
Russia,Helm,Archive,0.6589,0.5408,False,False
Russia,Helm,Lore,0.3415,0.5408,True,True
Russia,Helm,Stewards,0.6474,0.5408,True,False
Russia,Helm,Craft,0.449,0.5408,True,True
Russia,Helm,Hands,0.5062,0.5408,True,True
Russia,Helm,Flow,0.5991,0.5408,True,False
Russia,Shield,Archive,0.6836,0.5408,False,False
Russia,Shield,Lore,0.4703,0.5408,True,True
Russia,Shield,Stewards,0.4671,0.5408,True,True
Russia,Shield,Craft,0.5901,0.5408,True,False
Russia,Shield,Hands,0.5087,0.5408,True,True
Russia,Shield,Flow,0.4793,0.5408,True,True
Russia,Archive,Lore,0.5899,0.5408,True,False
Russia,Archive,Stewards,0.5731,0.5408,True,False
Russia,Archive,Craft,0.5594,0.5408,True,False
Russia,Archive,Hands,0.6622,0.5408,True,False
Russia,Archive,Flow,0.5857,0.5408,True,False
Russia,Lore,Stewards,0.282,0.5408,False,False
Russia,Lore,Craft,0.631,0.5408,False,False
Russia,Lore,Hands,0.645,0.5408,False,False
Russia,Lore,Flow,0.452,0.5408,False,False
Russia,Stewards,Craft,0.209,0.5408,False,False
Russia,Stewards,Hands,0.3698,0.5408,False,False
Russia,Stewards,Flow,0.6337,0.5408,False,False
Russia,Craft,Hands,0.6759,0.5408,False,False
Russia,Craft,Flow,0.5781,0.5408,False,False
Russia,Hands,Flow,0.623,0.5408,False,False
Sweden,Helm,Shield,0.7567,0.848,False,False
Sweden,Helm,Archive,0.9419,0.848,False,False
Sweden,Helm,Lore,0.8709,0.848,True,False
Sweden,Helm,Stewards,0.8415,0.848,True,True
Sweden,Helm,Craft,0.8715,0.848,True,False
Sweden,Helm,Hands,0.9337,0.848,True,False
Sweden,Helm,Flow,0.8848,0.848,True,False
Sweden,Shield,Archive,0.8145,0.848,False,False
Sweden,Shield,Lore,0.7931,0.848,True,True
Sweden,Shield,Stewards,0.5965,0.848,True,True
Sweden,Shield,Craft,0.6917,0.848,True,True
Sweden,Shield,Hands,0.7841,0.848,True,True
Sweden,Shield,Flow,0.7348,0.848,True,True
Sweden,Archive,Lore,0.9292,0.848,True,False
Sweden,Archive,Stewards,0.8677,0.848,True,False
Sweden,Archive,Craft,0.8975,0.848,True,False
Sweden,Archive,Hands,0.9342,0.848,True,False
Sweden,Archive,Flow,0.8994,0.848,True,False
Sweden,Lore,Stewards,0.8064,0.848,False,False
Sweden,Lore,Craft,0.8286,0.848,False,False
Sweden,Lore,Hands,0.7911,0.848,False,False
Sweden,Lore,Flow,0.8424,0.848,False,False
Sweden,Stewards,Craft,0.9498,0.848,False,False
Sweden,Stewards,Hands,0.8064,0.848,False,False
Sweden,Stewards,Flow,0.9652,0.848,False,False
Sweden,Craft,Hands,0.8777,0.848,False,False
Sweden,Craft,Flow,0.9682,0.848,False,False
Sweden,Hands,Flow,0.8641,0.848,False,False
Thailand,Helm,Shield,0.3172,0.5987,False,False
Thailand,Helm,Archive,0.7303,0.5987,False,False
Thailand,Helm,Lore,0.7573,0.5987,True,False
Thailand,Helm,Stewards,0.5736,0.5987,True,True
Thailand,Helm,Craft,0.4447,0.5987,True,True
Thailand,Helm,Hands,0.3265,0.5987,True,True
Thailand,Helm,Flow,0.6424,0.5987,True,False
Thailand,Shield,Archive,0.3808,0.5987,False,False
Thailand,Shield,Lore,0.3794,0.5987,True,True
Thailand,Shield,Stewards,0.5626,0.5987,True,True
Thailand,Shield,Craft,0.504,0.5987,True,True
Thailand,Shield,Hands,0.2916,0.5987,True,True
Thailand,Shield,Flow,0.4558,0.5987,True,True
Thailand,Archive,Lore,0.8814,0.5987,True,False
Thailand,Archive,Stewards,0.69,0.5987,True,False
Thailand,Archive,Craft,0.5736,0.5987,True,True
Thailand,Archive,Hands,0.4658,0.5987,True,True
Thailand,Archive,Flow,0.7153,0.5987,True,False
Thailand,Lore,Stewards,0.6136,0.5987,False,False
Thailand,Lore,Craft,0.5133,0.5987,False,False
Thailand,Lore,Hands,0.4347,0.5987,False,False
Thailand,Lore,Flow,0.648,0.5987,False,False
Thailand,Stewards,Craft,0.8621,0.5987,False,False
Thailand,Stewards,Hands,0.6853,0.5987,False,False
Thailand,Stewards,Flow,0.8356,0.5987,False,False
Thailand,Craft,Hands,0.8723,0.5987,False,False
Thailand,Craft,Flow,0.878,0.5987,False,False
Thailand,Hands,Flow,0.7287,0.5987,False,False
USA,Helm,Shield,0.5717,0.7544,False,False
USA,Helm,Archive,0.728,0.7544,False,False
USA,Helm,Lore,0.8935,0.7544,True,False
USA,Helm,Stewards,0.8466,0.7544,True,False
USA,Helm,Craft,0.8064,0.7544,True,False
USA,Helm,Hands,0.7455,0.7544,True,True
USA,Helm,Flow,0.8349,0.7544,True,False
USA,Shield,Archive,0.7317,0.7544,False,False
USA,Shield,Lore,0.4771,0.7544,True,True
USA,Shield,Stewards,0.3965,0.7544,True,True
USA,Shield,Craft,0.7233,0.7544,True,True
USA,Shield,Hands,0.7402,0.7544,True,True
USA,Shield,Flow,0.5484,0.7544,True,True
USA,Archive,Lore,0.6924,0.7544,True,True
USA,Archive,Stewards,0.6416,0.7544,True,True
USA,Archive,Craft,0.8769,0.7544,True,False
USA,Archive,Hands,0.8778,0.7544,True,False
USA,Archive,Flow,0.7808,0.7544,True,False
USA,Lore,Stewards,0.821,0.7544,False,False
USA,Lore,Craft,0.7628,0.7544,False,False
USA,Lore,Hands,0.76,0.7544,False,False
USA,Lore,Flow,0.8539,0.7544,False,False
USA,Stewards,Craft,0.7799,0.7544,False,False
USA,Stewards,Hands,0.686,0.7544,False,False
USA,Stewards,Flow,0.894,0.7544,False,False
USA,Craft,Hands,0.927,0.7544,False,False
USA,Craft,Flow,0.9015,0.7544,False,False
USA,Hands,Flow,0.8239,0.7544,False,False
United Kingdom,Helm,Shield,0.7472,0.6519,False,False
United Kingdom,Helm,Archive,0.7831,0.6519,False,False
United Kingdom,Helm,Lore,0.7937,0.6519,True,False
United Kingdom,Helm,Stewards,0.7981,0.6519,True,False
United Kingdom,Helm,Craft,0.7163,0.6519,True,False
United Kingdom,Helm,Hands,0.3818,0.6519,True,True
United Kingdom,Helm,Flow,0.8132,0.6519,True,False
United Kingdom,Shield,Archive,0.7592,0.6519,False,False
United Kingdom,Shield,Lore,0.7336,0.6519,True,False
United Kingdom,Shield,Stewards,0.6963,0.6519,True,False
United Kingdom,Shield,Craft,0.7334,0.6519,True,False
United Kingdom,Shield,Hands,0.074,0.6519,True,True
United Kingdom,Shield,Flow,0.8718,0.6519,True,False
United Kingdom,Archive,Lore,0.8342,0.6519,True,False
United Kingdom,Archive,Stewards,0.7327,0.6519,True,False
United Kingdom,Archive,Craft,0.7168,0.6519,True,False
United Kingdom,Archive,Hands,0.3168,0.6519,True,True
United Kingdom,Archive,Flow,0.7783,0.6519,True,False
United Kingdom,Lore,Stewards,0.6206,0.6519,False,False
United Kingdom,Lore,Craft,0.617,0.6519,False,False
United Kingdom,Lore,Hands,0.3496,0.6519,False,False
United Kingdom,Lore,Flow,0.6905,0.6519,False,False
United Kingdom,Stewards,Craft,0.7506,0.6519,False,False
United Kingdom,Stewards,Hands,0.3081,0.6519,False,False
United Kingdom,Stewards,Flow,0.8337,0.6519,False,False
United Kingdom,Craft,Hands,0.5571,0.6519,False,False
United Kingdom,Craft,Flow,0.9062,0.6519,False,False
United Kingdom,Hands,Flow,0.3383,0.6519,False,False
