Society,Node,shock_year,delta_AC,delta_KS,collapse_contraction
Canada,Shield,2008,-2.5,-0.1,True
Canada,Shield,2020,0.0,-1.0,False
Canada,Stewards,2008,-10.0,-3.1,True
Canada,Stewards,2020,-5.0,-2.0,True
Chile,Archive,2008,-2.3533,-0.3,True
Chile,Archive,2020,-4.3667,0.1333,False
Chile,Craft,2008,0.4,-0.7667,False
Chile,Craft,2020,-1.6133,-1.4333,True
Chile,Flow,2008,-0.72,-2.2,True
Chile,Flow,2020,-5.16,-0.9333,True
Chile,Hands,2008,-1.3867,-0.7667,True
Chile,Hands,2020,1.0,-1.4667,False
Chile,Helm,2008,-2.5667,-1.2,True
Chile,Helm,2020,4.28,-1.1,False
Chile,Lore,2008,-0.9333,-0.2333,True
Chile,Lore,2020,0.08,-0.3,False
Chile,Shield,2008,0.3,-1.0667,False
Chile,Shield,2020,-2.4067,0.2,False
Chile,Stewards,2008,-0.3133,-1.8333,True
Chile,Stewards,2020,-0.2667,-1.3,True
China,Archive,2008,0.71,-0.2,False
China,Archive,2020,-3.41,-1.95,True
China,Craft,2008,-3.56,-0.1,True
China,Craft,2020,-8.43,-2.05,True
China,Flow,2008,-0.94,0.2,False
China,Flow,2020,-7.22,-2.1,True
China,Hands,2008,-4.19,0.2,False
China,Hands,2020,-5.84,-1.6,True
China,Helm,2008,0.48,-0.1,False
China,Helm,2020,-4.28,-2.85,True
China,Lore,2008,-5.85,-0.35,True
China,Lore,2020,-5.68,-1.1,True
China,Shield,2008,1.1,-0.25,False
China,Shield,2020,-6.9,-0.55,True
China,Stewards,2008,0.68,-0.35,False
China,Stewards,2020,-6.22,-2.15,True
France,Archive,2008,0.0,-0.4,False
France,Archive,2020,5.6,0.0667,False
France,Craft,2008,-16.9333,-3.0,True
France,Craft,2020,-8.5333,-3.0333,True
France,Flow,2008,-17.0,-3.4,True
France,Flow,2020,-14.0,-3.3667,True
France,Hands,2008,-5.0,-1.6,True
France,Hands,2020,4.3333,0.4,False
France,Helm,2008,-7.0,-1.3333,True
France,Helm,2020,-0.9333,-0.7333,True
France,Lore,2008,0.0,-1.2,False
France,Lore,2020,-0.7,-0.3,True
France,Shield,2008,0.0,-0.4,False
France,Shield,2020,3.0,-1.2,False
France,Stewards,2008,-11.6,-3.1333,True
France,Stewards,2020,-3.0,-0.7333,True
Germany,Archive,2008,-2.3333,0.2333,False
Germany,Archive,2020,0.3867,-1.5,False
Germany,Craft,2008,-1.6667,-2.0667,True
Germany,Craft,2020,-6.2733,-2.8667,True
Germany,Flow,2008,-15.8933,-2.9333,True
Germany,Flow,2020,-21.36,-4.0667,True
Germany,Hands,2008,1.4067,-0.2667,False
Germany,Hands,2020,-5.5,-4.1333,True
Germany,Helm,2008,-0.8533,-1.0333,True
Germany,Helm,2020,9.76,-1.6333,False
Germany,Lore,2008,-2.8133,-0.6,True
Germany,Lore,2020,-0.3733,-0.8,True
Germany,Shield,2008,1.16,0.3667,False
Germany,Shield,2020,-2.3,-0.9333,True
Germany,Stewards,2008,0.5,-2.8,False
Germany,Stewards,2020,-4.78,-3.0333,True
Iran,Archive,2008,-2.1467,-0.7667,True
Iran,Archive,2020,-8.6,-0.8,True
Iran,Craft,2008,-6.46,-0.9333,True
Iran,Craft,2020,-3.06,-0.9,True
Iran,Flow,2008,-1.1467,-1.5667,True
Iran,Flow,2020,-2.9667,1.1667,False
Iran,Hands,2008,-2.3467,-1.4,True
Iran,Hands,2020,-3.82,0.6,False
Iran,Helm,2008,-3.7267,-0.8333,True
Iran,Helm,2020,-0.9533,-0.9333,True
Iran,Lore,2008,-0.84,-1.1333,True
Iran,Lore,2020,0.14,-0.6,False
Iran,Shield,2008,1.06,-0.8333,False
Iran,Shield,2020,-3.0933,-1.3333,True
Iran,Stewards,2008,-4.88,-0.5,True
Iran,Stewards,2020,0.8467,-0.3,False
Norway,Archive,2008,0.0,0.0,False
Norway,Archive,2020,0.0,0.0,False
Norway,Craft,2008,0.0,0.0,False
Norway,Craft,2020,0.0,-1.0,False
Norway,Flow,2008,0.0,0.0,False
Norway,Flow,2020,2.3333,-0.3333,False
Norway,Hands,2008,0.0,0.0,False
Norway,Hands,2020,0.0,-1.3333,False
Norway,Helm,2008,0.0,0.0,False
Norway,Helm,2020,0.0,-0.6667,False
Norway,Lore,2008,0.0,0.0,False
Norway,Lore,2020,0.0,0.0,False
Norway,Shield,2008,0.0,0.0,False
Norway,Shield,2020,0.0,-0.3333,False
Norway,Stewards,2008,0.0,0.0,False
Norway,Stewards,2020,0.0,0.0,False
Poland,Archive,2008,0.0,0.0,False
Poland,Archive,2020,0.0,0.0,False
Poland,Craft,2008,0.0,0.1333,False
Poland,Craft,2020,0.0,-1.3333,False
Poland,Flow,2008,0.0,-0.3333,False
Poland,Flow,2020,-2.0,-1.6667,True
Poland,Hands,2008,0.0,0.0333,False
Poland,Hands,2020,0.0,-0.7333,False
Poland,Helm,2008,0.0,0.3333,False
Poland,Helm,2020,0.0,-0.6667,False
Poland,Lore,2008,0.0,0.0,False
Poland,Lore,2020,0.0,0.0,False
Poland,Shield,2008,0.0,0.0,False
Poland,Shield,2020,1.6667,-0.2,False
Poland,Stewards,2008,-1.0,0.1,False
Poland,Stewards,2020,-5.0,-0.6667,True
Russia,Archive,2008,0.4067,0.0333,False
Russia,Archive,2020,3.3333,-1.4,False
Russia,Craft,2008,-4.5067,-1.3333,True
Russia,Craft,2020,-5.8933,-0.9,True
Russia,Flow,2008,-9.2467,-2.3,True
Russia,Flow,2020,-7.3133,-2.3,True
Russia,Hands,2008,-0.4133,-1.5667,True
Russia,Hands,2020,1.7533,-1.6333,False
Russia,Helm,2008,-4.7267,-0.9333,True
Russia,Helm,2020,-2.32,-2.0,True
Russia,Lore,2008,1.9933,1.5,False
Russia,Lore,2020,3.64,-2.0,False
Russia,Shield,2008,0.26,1.1667,False
Russia,Shield,2020,-11.9067,-1.9,True
Russia,Stewards,2008,-3.6933,-2.3667,True
Russia,Stewards,2020,-3.5267,-0.9333,True
USA,Archive,2008,-12.0,-1.9333,True
USA,Archive,2020,-12.0,-2.0,True
USA,Craft,2008,-13.6667,-2.9333,True
USA,Craft,2020,-14.6667,-3.8667,True
USA,Flow,2008,-16.32,-3.3,True
USA,Flow,2020,-17.7333,-4.0667,True
USA,Hands,2008,-11.0,-3.0667,True
USA,Hands,2020,-7.4267,-2.9333,True
USA,Helm,2008,-12.5867,-2.0667,True
USA,Helm,2020,-7.96,-1.4667,True
USA,Lore,2008,-0.6,-0.3,True
USA,Lore,2020,-5.08,-1.5333,True
USA,Shield,2008,-6.5,-0.3333,True
USA,Shield,2020,0.0,-1.0,False
USA,Stewards,2008,-17.4933,-4.2333,True
USA,Stewards,2020,-8.0,-2.1333,True
United Kingdom,Archive,2008,-7.0,-1.0,True
United Kingdom,Archive,2020,3.5,0.1667,False
United Kingdom,Craft,2008,-6.6667,-3.3333,True
United Kingdom,Craft,2020,-6.6667,-3.0,True
United Kingdom,Flow,2008,-15.3333,-5.5667,True
United Kingdom,Flow,2020,-6.6667,-3.6667,True
United Kingdom,Hands,2008,-5.3333,-2.6667,True
United Kingdom,Hands,2020,-4.0,-1.3333,True
United Kingdom,Helm,2008,-7.0,-2.0,True
United Kingdom,Helm,2020,12.3667,2.5333,False
United Kingdom,Lore,2008,-3.5,-0.5,True
United Kingdom,Lore,2020,-3.5,0.1667,False
United Kingdom,Shield,2008,0.0,0.1667,False
United Kingdom,Shield,2020,0.0,-1.0,False
United Kingdom,Stewards,2008,-10.0,-4.6667,True
United Kingdom,Stewards,2020,0.0,-1.6667,False
