Society,Year,Node,Coherence,Capacity,Stress,Abstraction,_source_file,Node Value,Bond Strength,AC,K_S,sigma
Argentina,1954,Lore,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1954,Shield,5.0,5.6,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.5999999999999996,14.999999999999991
Argentina,1954,Stewards,4.0,4.8,5.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-0.20000000000000018,-3.200000000000003
Argentina,1955,Archive,3.2,4.0,7.6,3.2,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,10.240000000000002,-3.5999999999999996,-36.864000000000004
Argentina,1955,Craft,4.0,4.0,6.2,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.2,-35.2
Argentina,1955,Flow,3.0,4.0,7.2,3.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,9.0,-3.2,-28.8
Argentina,1955,Hands,4.0,4.0,7.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-3.0,-48.0
Argentina,1955,Helm,3.0,3.8,8.2,3.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,9.0,-4.3999999999999995,-39.599999999999994
Argentina,1955,Lore,3.4,4.0,7.6,3.4,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,11.559999999999999,-3.5999999999999996,-41.61599999999999
Argentina,1955,Shield,3.2,4.2,7.8,3.2,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,10.240000000000002,-3.5999999999999996,-36.864000000000004
Argentina,1955,Stewards,3.2,4.0,6.8,3.2,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,10.240000000000002,-2.8,-28.672000000000004
Argentina,1956,Archive,4.0,4.0,6.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.0,-32.0
Argentina,1956,Craft,4.4,5.0,5.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,17.6,0.0,0.0
Argentina,1956,Flow,4.0,4.0,6.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.0,-32.0
Argentina,1956,Hands,4.0,4.0,6.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.0,-32.0
Argentina,1956,Helm,4.0,4.0,7.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-3.0,-48.0
Argentina,1956,Lore,4.0,4.0,6.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.0,-32.0
Argentina,1956,Shield,5.0,5.0,6.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,20.0,-1.0,-20.0
Argentina,1956,Stewards,4.0,5.0,6.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-1.0,-16.0
Argentina,1957,Archive,4.8,5.0,5.0,4.8,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,23.04,0.0,0.0
Argentina,1957,Craft,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1957,Flow,4.8,5.0,5.0,4.8,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,23.04,0.0,0.0
Argentina,1957,Hands,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1957,Helm,4.6,4.8,6.0,4.8,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,22.08,-1.2000000000000002,-26.496000000000002
Argentina,1957,Lore,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1957,Shield,5.0,5.0,5.4,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,20.0,-0.40000000000000036,-8.000000000000007
Argentina,1957,Stewards,4.8,5.0,5.0,4.8,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,23.04,0.0,0.0
Argentina,1958,Archive,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1958,Craft,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1958,Flow,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1958,Hands,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1958,Helm,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1958,Lore,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1958,Shield,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1958,Stewards,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1959,Archive,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1959,Craft,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1959,Flow,4.2,5.0,5.4,4.2,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,17.64,-0.40000000000000036,-7.056000000000006
Argentina,1959,Hands,4.0,4.4,6.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-1.5999999999999996,-25.599999999999994
Argentina,1959,Helm,5.0,5.0,6.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,-1.0,-25.0
Argentina,1959,Lore,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1959,Shield,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1959,Stewards,4.0,4.8,6.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-1.2000000000000002,-19.200000000000003
Argentina,1960,Archive,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1960,Craft,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1960,Flow,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1960,Hands,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1960,Helm,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1960,Lore,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1960,Shield,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1960,Stewards,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1961,Archive,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1961,Craft,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1961,Flow,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1961,Hands,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1961,Helm,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1961,Lore,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1961,Shield,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1961,Stewards,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1962,Archive,4.0,4.0,7.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-3.0,-48.0
Argentina,1962,Craft,4.0,4.0,6.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.0,-32.0
Argentina,1962,Flow,3.0,3.4,7.8,3.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,9.0,-4.4,-39.6
Argentina,1962,Hands,4.0,4.0,6.4,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.4000000000000004,-38.400000000000006
Argentina,1962,Helm,3.0,3.4,8.8,3.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,9.0,-5.4,-48.6
Argentina,1962,Lore,4.0,4.0,6.6,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.5999999999999996,-41.599999999999994
Argentina,1962,Shield,5.0,5.0,7.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,20.0,-2.0,-40.0
Argentina,1962,Stewards,4.0,4.0,6.8,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.8,-44.8
Argentina,1963,Archive,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1963,Craft,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1963,Flow,4.8,5.0,5.0,4.8,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,23.04,0.0,0.0
Argentina,1963,Hands,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1963,Helm,4.0,5.0,6.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-1.0,-16.0
Argentina,1963,Lore,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1963,Shield,5.0,5.0,6.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,20.0,-1.0,-20.0
Argentina,1963,Stewards,4.8,5.0,5.0,4.8,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,23.04,0.0,0.0
Argentina,1964,Archive,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1964,Craft,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1964,Flow,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1964,Hands,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1964,Helm,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1964,Lore,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1964,Shield,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1964,Stewards,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1965,Archive,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1965,Craft,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1965,Flow,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1965,Hands,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1965,Helm,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1965,Lore,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1965,Shield,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1965,Stewards,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1966,Archive,4.2,4.8,5.0,4.2,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,17.64,-0.20000000000000018,-3.528000000000003
Argentina,1966,Craft,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1966,Flow,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1966,Hands,4.0,4.0,6.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.0,-32.0
Argentina,1966,Helm,4.0,4.2,7.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.8,-44.8
Argentina,1966,Lore,4.0,4.8,6.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-1.2000000000000002,-19.200000000000003
Argentina,1966,Shield,6.0,6.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,30.0,1.0,30.0
Argentina,1966,Stewards,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1967,Archive,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1967,Craft,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1967,Flow,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1967,Hands,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1967,Helm,4.6,5.0,6.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,23.0,-1.0,-23.0
Argentina,1967,Lore,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1967,Shield,6.0,6.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,30.0,1.0,30.0
Argentina,1967,Stewards,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1968,Archive,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1968,Craft,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1968,Flow,5.0,5.0,5.4,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,-0.40000000000000036,-10.000000000000009
Argentina,1968,Hands,4.2,4.4,6.4,4.4,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,18.480000000000004,-2.0,-36.96000000000001
Argentina,1968,Helm,4.2,5.0,6.6,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,21.0,-1.5999999999999996,-33.599999999999994
Argentina,1968,Lore,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1968,Shield,6.0,6.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,30.0,1.0,30.0
Argentina,1968,Stewards,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1969,Archive,4.0,4.8,6.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-1.2000000000000002,-19.200000000000003
Argentina,1969,Craft,5.0,5.0,6.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,-1.0,-25.0
Argentina,1969,Flow,4.2,5.0,6.0,4.2,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,17.64,-1.0,-17.64
Argentina,1969,Hands,4.0,4.0,7.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-3.0,-48.0
Argentina,1969,Helm,4.0,4.2,7.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.8,-44.8
Argentina,1969,Lore,4.0,4.8,6.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-1.2000000000000002,-19.200000000000003
Argentina,1969,Shield,5.2,6.0,6.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,26.0,0.0,0.0
Argentina,1969,Stewards,4.2,5.0,6.0,4.4,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,18.480000000000004,-1.0,-18.480000000000004
Argentina,1970,Archive,4.0,4.0,6.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.0,-32.0
Argentina,1970,Craft,4.6,5.0,6.2,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,23.0,-1.2000000000000002,-27.600000000000005
Argentina,1970,Flow,4.0,4.2,6.6,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.3999999999999995,-38.39999999999999
Argentina,1970,Hands,4.0,4.0,7.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-3.0,-48.0
Argentina,1970,Helm,4.0,4.0,7.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-3.0,-48.0
Argentina,1970,Lore,4.0,4.0,6.2,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.2,-35.2
Argentina,1970,Shield,5.0,5.0,6.6,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,-1.5999999999999996,-39.99999999999999
Argentina,1970,Stewards,4.0,4.2,6.6,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.3999999999999995,-38.39999999999999
Argentina,1971,Archive,4.0,4.0,6.4,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.4000000000000004,-38.400000000000006
Argentina,1971,Craft,4.2,5.0,6.6,4.6,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,19.32,-1.5999999999999996,-30.911999999999992
Argentina,1971,Flow,4.0,4.0,6.8,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.8,-44.8
Argentina,1971,Hands,4.0,4.0,7.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-3.0,-48.0
Argentina,1971,Helm,3.8,4.0,7.4,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,15.2,-3.4000000000000004,-51.68
Argentina,1971,Lore,4.0,4.0,6.4,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.4000000000000004,-38.400000000000006
Argentina,1971,Shield,5.0,5.0,6.8,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,-1.7999999999999998,-44.99999999999999
Argentina,1971,Stewards,4.0,4.0,6.6,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-2.5999999999999996,-41.599999999999994
Argentina,1972,Archive,4.0,4.0,7.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-3.0,-48.0
Argentina,1972,Craft,4.0,4.0,7.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-3.0,-48.0
Argentina,1972,Flow,3.2,3.8,7.2,3.2,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,10.240000000000002,-3.4000000000000004,-34.81600000000001
Argentina,1972,Hands,3.0,3.2,8.0,3.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,9.0,-4.8,-43.199999999999996
Argentina,1972,Helm,3.2,3.6,8.6,3.2,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,10.240000000000002,-5.0,-51.20000000000001
Argentina,1972,Lore,4.0,4.0,7.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-3.0,-48.0
Argentina,1972,Shield,5.0,5.0,7.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,20.0,-2.0,-40.0
Argentina,1972,Stewards,3.2,4.0,7.0,3.2,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,10.240000000000002,-3.0,-30.720000000000006
