Society,node_i,node_j,shock_year,pre_W,trough_W,recovery_W,recovery_pct,island_of_rigidity
Canada,Helm,Lore,2008,,1.0,,,False
Canada,Helm,Lore,2020,,,,,False
Canada,Shield,Stewards,2008,,1.0,,,False
Canada,Shield,Stewards,2020,,,,,False
Canada,Shield,Craft,2008,,1.0,,,False
Canada,Shield,Craft,2020,,,,,False
Canada,Shield,Hands,2008,,1.0,,,False
Canada,Shield,Hands,2020,,,,,False
Canada,Shield,Flow,2008,,1.0,,,False
Canada,Shield,Flow,2020,,,,,False
Canada,Archive,Stewards,2008,,1.0,,,False
Canada,Archive,Stewards,2020,,,,,False
Canada,Archive,Flow,2008,,1.0,,,False
Canada,Archive,Flow,2020,,,,,False
Chile,Helm,Lore,2008,0.5607,0.7697,0.9733,-97.5,True
Chile,Helm,Lore,2020,0.953,0.6168,0.3019,-93.7,True
Chile,Shield,Lore,2008,0.0,0.4857,0.6655,-37.0,True
Chile,Shield,Lore,2020,0.9936,0.7635,0.147,-267.9,True
Chile,Shield,Stewards,2008,0.659,0.87,0.0,412.4,False
Chile,Shield,Stewards,2020,0.9676,0.4317,1.0,106.0,False
Chile,Shield,Craft,2008,0.0,0.3175,0.1406,55.7,False
Chile,Shield,Craft,2020,0.9977,0.2208,0.7107,63.1,False
Chile,Shield,Hands,2008,0.9608,0.3425,0.9339,95.7,False
Chile,Shield,Hands,2020,0.9997,0.3057,0.995,99.3,False
Chile,Shield,Flow,2008,0.9347,0.9059,0.0,-3140.1,True
Chile,Shield,Flow,2020,0.9955,0.2665,0.2096,-7.8,True
Chile,Archive,Stewards,2008,0.0,0.4148,0.0902,78.2,False
Chile,Archive,Stewards,2020,0.8734,0.9725,0.6591,316.1,False
Chile,Archive,Flow,2008,0.0,0.9717,0.7668,21.1,True
Chile,Archive,Flow,2020,0.9401,0.7663,0.0,-440.9,True
China,Helm,Lore,2008,0.2812,0.6435,0.0799,155.6,False
China,Helm,Lore,2020,0.8999,0.9997,0.6168,383.6,False
China,Shield,Lore,2008,0.437,0.9271,0.1004,168.7,False
China,Shield,Lore,2020,0.8142,0.9855,0.3772,355.1,False
China,Shield,Stewards,2008,0.0,0.0,0.7895,78945824516.2,False
China,Shield,Stewards,2020,0.9886,0.0891,0.9283,93.3,False
France,Helm,Craft,2008,0.0,0.0,0.0,0.0,True
France,Helm,Craft,2020,0.9955,0.927,0.0,-1352.3,True
France,Helm,Hands,2008,0.0,0.0,0.0,0.0,True
France,Helm,Hands,2020,0.7796,0.995,0.0,462.0,False
France,Helm,Flow,2008,0.0,0.4578,0.0,100.0,False
France,Helm,Flow,2020,0.99,0.8876,0.0,-866.7,True
France,Shield,Stewards,2008,0.0,0.0,0.0,0.0,True
France,Shield,Stewards,2020,1.0,0.8928,0.0,-833.2,True
France,Shield,Craft,2008,0.0,0.0,0.0,0.0,True
France,Shield,Craft,2020,0.9931,0.9941,0.0,98759.5,False
France,Shield,Hands,2008,0.0,0.0,0.0,0.0,True
France,Shield,Hands,2020,0.7939,0.8793,0.0,1029.3,False
France,Shield,Flow,2008,0.0,0.0,0.0,0.0,True
France,Shield,Flow,2020,0.9865,0.8478,0.0,-611.3,True
France,Archive,Stewards,2008,0.0,0.0,0.0,0.0,True
France,Archive,Stewards,2020,0.9999,1.0,0.0,1494111.0,False
France,Archive,Hands,2008,0.0,0.0,0.0,0.0,True
France,Archive,Hands,2020,0.8008,0.9985,0.0,505.1,False
Germany,Helm,Lore,2008,0.1697,0.3942,0.0,175.6,False
Germany,Helm,Lore,2020,0.8672,0.757,0.534,-202.4,True
Germany,Helm,Craft,2008,0.7332,0.0,0.0,0.0,True
Germany,Helm,Craft,2020,0.0,0.8546,0.5082,40.5,True
Germany,Shield,Lore,2008,0.9071,0.8146,0.955,151.8,False
Germany,Shield,Lore,2020,0.5289,0.8986,0.6896,56.5,False
Germany,Shield,Craft,2008,0.0,0.6734,0.0,100.0,False
Germany,Shield,Craft,2020,0.0328,0.834,0.3293,63.0,False
Germany,Shield,Hands,2008,0.0,0.4839,0.0,100.0,False
Germany,Shield,Hands,2020,0.8676,0.8701,0.9971,-5084.3,True
Germany,Shield,Flow,2008,1.0,0.5845,0.0,-140.7,True
Germany,Shield,Flow,2020,0.8114,0.9302,0.0,782.5,False
Germany,Archive,Hands,2008,0.0568,0.2515,0.5272,-141.6,True
Germany,Archive,Hands,2020,0.8749,0.4695,0.0,-115.8,True
Iran,Helm,Lore,2008,0.4897,0.0,0.0,0.0,True
Iran,Helm,Lore,2020,0.9999,0.2915,0.7901,70.4,False
Iran,Shield,Lore,2008,0.9979,0.9543,0.8226,-302.0,True
Iran,Shield,Lore,2020,0.9414,0.6669,0.2273,-160.2,True
Iran,Archive,Lore,2008,0.0,0.8532,0.0,100.0,False
Iran,Archive,Lore,2020,0.99,0.989,0.0,-99925.1,True
Latium Vetus,Helm,Hands,2008,,,,,False
Latium Vetus,Helm,Hands,2020,,,,,False
Latium Vetus,Shield,Lore,2008,,,,,False
Latium Vetus,Shield,Lore,2020,,,,,False
Latium Vetus,Shield,Stewards,2008,,,,,False
Latium Vetus,Shield,Stewards,2020,,,,,False
Latium Vetus,Shield,Craft,2008,,,,,False
Latium Vetus,Shield,Craft,2020,,,,,False
Latium Vetus,Shield,Hands,2008,,,,,False
Latium Vetus,Shield,Hands,2020,,,,,False
Latium Vetus,Shield,Flow,2008,,,,,False
Latium Vetus,Shield,Flow,2020,,,,,False
Latium Vetus,Archive,Hands,2008,,,,,False
Latium Vetus,Archive,Hands,2020,,,,,False
Norway,Helm,Lore,2008,0.0,1.0,0.0,100.0,False
Norway,Helm,Lore,2020,0.0,0.0,0.0,0.0,True
Norway,Shield,Lore,2008,0.0,1.0,0.0,100.0,False
Norway,Shield,Lore,2020,0.0,0.0,0.0,0.0,True
Norway,Shield,Stewards,2008,0.0,0.0,0.0,0.0,True
Norway,Shield,Stewards,2020,0.0,0.0,0.0,0.0,True
Norway,Shield,Craft,2008,0.0,0.0,0.0,0.0,True
Norway,Shield,Craft,2020,0.0,0.0,0.0,0.0,True
Norway,Shield,Hands,2008,0.0,0.0,0.0,0.0,True
Norway,Shield,Hands,2020,0.0,0.0,0.0,0.0,True
Norway,Shield,Flow,2008,0.0,0.0,0.0,0.0,True
Norway,Shield,Flow,2020,0.0,0.0,0.0,0.0,True
Norway,Archive,Lore,2008,0.0,0.0,0.0,0.0,True
Norway,Archive,Lore,2020,0.0,0.0,0.0,0.0,True
Poland,Helm,Craft,2008,0.0,0.4201,0.0,100.0,False
Poland,Helm,Craft,2020,0.0,0.7071,0.0,100.0,False
Poland,Helm,Flow,2008,0.0,0.4201,0.0,100.0,False
Poland,Helm,Flow,2020,0.0,0.6882,0.0,100.0,False
Poland,Shield,Stewards,2008,0.0,0.0,0.0,0.0,True
Poland,Shield,Stewards,2020,0.0,0.6727,0.0,100.0,False
Poland,Shield,Craft,2008,0.0,0.0,0.0,0.0,True
Poland,Shield,Craft,2020,0.0,0.6936,0.0,100.0,False
Poland,Shield,Hands,2008,0.0,0.0,0.0,0.0,True
Poland,Shield,Hands,2020,0.0,0.2449,0.0,100.0,False
Poland,Shield,Flow,2008,0.0,0.0,0.0,0.0,True
Poland,Shield,Flow,2020,0.0,0.5208,0.0,100.0,False
Poland,Archive,Stewards,2008,0.0,0.0,0.0,0.0,True
Poland,Archive,Stewards,2020,0.0,0.5774,0.0,100.0,False
Poland,Archive,Hands,2008,0.0,0.0,0.0,0.0,True
Poland,Archive,Hands,2020,0.0,0.3775,0.0,100.0,False
Poland,Archive,Flow,2008,0.0,0.0,0.0,0.0,True
Poland,Archive,Flow,2020,0.0,0.6623,0.0,100.0,False
Russia,Helm,Lore,2008,0.0,0.3213,0.0,100.0,False
Russia,Helm,Lore,2020,0.9948,0.9639,0.6119,-1137.1,True
Russia,Helm,Craft,2008,0.3753,0.8055,0.7114,21.9,True
Russia,Helm,Craft,2020,0.0,0.9728,0.9936,-2.1,True
Russia,Helm,Hands,2008,0.9911,0.6143,0.0,-163.0,True
Russia,Helm,Hands,2020,0.7515,0.9577,0.9923,-16.8,True
Russia,Shield,Lore,2008,0.0,0.0,0.9236,92359326247.7,False
Russia,Shield,Lore,2020,0.0,0.6753,0.8968,-32.8,True
Russia,Shield,Stewards,2008,0.5874,0.0,0.0,0.0,True
Russia,Shield,Stewards,2020,0.0,0.9965,0.9223,7.4,True
Russia,Shield,Hands,2008,0.9271,0.0,0.9868,106.4,False
Russia,Shield,Hands,2020,0.0,0.8912,0.9461,-6.2,True
Russia,Shield,Flow,2008,0.0,0.0,0.0,0.0,True
Russia,Shield,Flow,2020,0.575,0.9331,0.7637,47.3,True
Sweden,Helm,Stewards,2008,,,,,False
Sweden,Helm,Stewards,2020,,,,,False
Sweden,Shield,Lore,2008,,,,,False
Sweden,Shield,Lore,2020,,,,,False
Sweden,Shield,Stewards,2008,,,,,False
Sweden,Shield,Stewards,2020,,,,,False
Sweden,Shield,Craft,2008,,,,,False
Sweden,Shield,Craft,2020,,,,,False
Sweden,Shield,Hands,2008,,,,,False
Sweden,Shield,Hands,2020,,,,,False
Sweden,Shield,Flow,2008,,,,,False
Sweden,Shield,Flow,2020,,,,,False
Thailand,Helm,Stewards,2008,,,,,False
Thailand,Helm,Stewards,2020,,,,,False
Thailand,Helm,Craft,2008,,,,,False
Thailand,Helm,Craft,2020,,,,,False
Thailand,Helm,Hands,2008,,,,,False
Thailand,Helm,Hands,2020,,,,,False
Thailand,Shield,Lore,2008,,,,,False
Thailand,Shield,Lore,2020,,,,,False
Thailand,Shield,Stewards,2008,,,,,False
Thailand,Shield,Stewards,2020,,,,,False
Thailand,Shield,Craft,2008,,,,,False
Thailand,Shield,Craft,2020,,,,,False
Thailand,Shield,Hands,2008,,,,,False
Thailand,Shield,Hands,2020,,,,,False
Thailand,Shield,Flow,2008,,,,,False
Thailand,Shield,Flow,2020,,,,,False
Thailand,Archive,Craft,2008,,,,,False
Thailand,Archive,Craft,2020,,,,,False
Thailand,Archive,Hands,2008,,,,,False
Thailand,Archive,Hands,2020,,,,,False
USA,Helm,Hands,2008,0.0,0.9111,0.0,100.0,False
USA,Helm,Hands,2020,0.0,1.0,0.9951,0.5,True
USA,Shield,Lore,2008,1.0,0.0,0.0,0.0,True
USA,Shield,Lore,2020,0.0,0.0,0.0339,3394221166.5,False
USA,Shield,Stewards,2008,1.0,0.9503,0.0,-1912.3,True
USA,Shield,Stewards,2020,0.0,0.0,0.4059,40588747923.4,False
USA,Shield,Craft,2008,0.0,0.9858,0.0,100.0,False
USA,Shield,Craft,2020,0.0,0.0,0.0092,916390518.4,False
USA,Shield,Hands,2008,1.0,1.0,0.0,-100000000000.0,True
USA,Shield,Hands,2020,0.0,0.0,0.1664,16641076805.6,False
USA,Shield,Flow,2008,1.0,0.9936,0.0,-15496.8,True
USA,Shield,Flow,2020,0.0,0.0,0.0,0.0,True
USA,Archive,Lore,2008,0.0,0.0,0.0,0.0,True
USA,Archive,Lore,2020,0.0,0.0,0.9182,91817086547.1,False
USA,Archive,Stewards,2008,0.0,0.9503,0.0,100.0,False
USA,Archive,Stewards,2020,0.0,0.0,0.9997,99972724362.5,False
United Kingdom,Helm,Hands,2008,0.0,0.0,0.0,0.0,True
United Kingdom,Helm,Hands,2020,0.0,0.0,0.0,0.0,True
United Kingdom,Shield,Hands,2008,0.0,0.0,0.0,0.0,True
United Kingdom,Shield,Hands,2020,0.0,0.6364,1.0,-57.1,True
United Kingdom,Archive,Hands,2008,0.0,0.0,1.0,100000000000.0,False
United Kingdom,Archive,Hands,2020,0.0,0.1741,0.0,100.0,False
