Society,Source,File,Yr,Cog%,Heart,Pulse,V,C,B,Ph,Cr,Helm,Lore,Hand,Arch,System
Indonesia,cleaned,Indonesia_cleaned.csv,2025,26.8,-1.75,-46.9,0,0,6,1,1,?,?,?,?,Sys-Crisis
Iran,nations_ENS,Iran_ENS.csv,2026,17.4,-2.0,-34.8,0,0,6,0,2,Cr,B,B,B,Sys-Crisis
Iran,v23_canonical,Iran_ENS_1875_2026_cleaned.csv,2026,17.4,-2.0,-34.8,0,0,6,0,2,Cr,B,B,B,Sys-Crisis
Iraq,nations_ENS,Iraq_ENS.csv,2025,20.8,-0.88,-18.3,0,0,5,3,0,B,B,B,Ph,Burning
Iraq,cleaned,Iraq_cleaned.csv,2025,20.8,-0.88,-18.3,0,0,5,3,0,?,?,?,?,Burning
Israel,nations_ENS,Israel_ENS.csv,2025,47.2,0.0,0.0,0,0,0,8,0,Ph,Ph,Ph,Ph,Fragmented
Israel_cleaned,cleaned,Israel_cleaned.csv,2025,47.2,0.0,0.0,0,0,0,8,0,?,?,?,?,Fragmented
Italy,nations_ENS,Italy_ENS.csv,2024,24.0,-1.38,-33.1,0,0,7,1,0,B,B,B,Ph,Burning
Italy,cleaned,Italy19002025_cleaned.csv,2024,24.0,-1.38,-33.1,0,0,7,1,0,?,?,?,?,Burning
Italy,cleaned,Italy_cleaned.csv,2024,24.0,-1.38,-33.1,0,0,7,1,0,?,?,?,?,Burning
Japan,nations_ENS,Japan_ENS.csv,2026,33.2,0.78,25.9,2,3,1,2,0,C,Ph,B,V,Fragmented
Japan,cleaned,Japan_cleaned.csv,2025,25.5,-5.75,-146.6,1,0,0,0,7,?,?,?,?,Sys-Crisis
Lebanon,nations_ENS,Lebanon_ENS.csv,2025,23.6,-0.38,-9.0,0,1,2,5,0,Ph,C,B,Ph,Fragmented
Lebanon,cleaned,Lebanon_cleaned.csv,2025,23.6,-0.38,-9.0,0,1,2,5,0,?,?,?,?,Fragmented
Netherlands,nations_ENS,Netherlands_ENS.csv,2024,33.9,6.0,203.4,7,1,0,0,0,V,C,V,V,Adaptive
New Zealand,v23_usp,NewZealand_Gem_April_cleaned.csv,2026,72.2,2.62,189.2,8,0,0,0,0,V,V,V,V,Adaptive
New Zealand,v23_usp,New_Zealand_1900_2026_claude_cleaned.csv,2026,21.0,-0.62,-13.0,1,2,5,0,0,B,C,B,C,Burning
Norway,nations_ENS,Norway_ENS.csv,2026,41.7,2.53,105.5,7,0,1,0,0,V,V,V,V,Adaptive
Norway,v23_canonical,Norway_ENS_1880_2026_cleaned.csv,2026,41.7,2.53,105.5,7,0,1,0,0,V,V,V,V,Adaptive
Pakistan,nations_ENS,Pakistan_ENS.csv,2025,34.1,1.0,34.1,0,8,0,0,0,C,C,C,C,Fragmented
Pakistan,cleaned,Pakistan_cleaned.csv,2025,34.1,1.0,34.1,0,8,0,0,0,?,?,?,?,Fragmented
Poland,nations_ENS,Poland_ENS.csv,2026,33.7,1.62,54.6,3,5,0,0,0,C,C,C,C,Fragmented
Poland,v23_canonical,Poland_ENS_1875_2026_cleaned.csv,2026,33.7,1.62,54.6,3,5,0,0,0,C,C,C,C,Fragmented
Russia,nations_ENS,Russia_ENS.csv,2026,36.9,-0.3,-11.1,0,1,6,1,0,B,Ph,B,C,Burning
Russia,v23_canonical,Russia_ENS_1800_2026_cleaned.csv,2026,36.9,-0.3,-11.1,0,1,6,1,0,B,Ph,B,C,Burning
Russia,cleaned,Russia_cleaned.csv,2025,38.1,-3.62,-137.9,0,1,4,1,2,?,?,?,?,Sys-Crisis
Saudi Arabia,nations_ENS,Saudi_Arabia_ENS.csv,2026,68.9,3.0,206.7,7,1,0,0,0,V,C,V,V,Adaptive
Singapore,nations_ENS,Singapore_ENS.csv,2025,91.5,5.5,503.2,8,0,0,0,0,V,V,V,V,Adaptive
South Africa,nations_ENS,South_Africa_ENS.csv,2025,39.6,-1.0,-39.6,1,0,7,0,0,B,B,V,B,Burning
Sweden,nations_ENS,Sweden_ENS.csv,2025,93.8,4.75,445.6,7,1,0,0,0,V,C,V,V,Adaptive
Sweden,v23_canonical,Sweden_ENS_1880_2026_cleaned.csv,2026,37.6,-0.3,-11.3,0,2,5,1,0,B,C,B,Ph,Burning
Syria,nations_ENS,Syria_ENS.csv,2024,5.4,-8.25,-44.6,0,0,0,0,8,Cr,Cr,Cr,Cr,Sys-Crisis
Syria,cleaned,Syria_cleaned.csv,2024,5.4,-8.25,-44.6,0,0,0,0,8,?,?,?,?,Sys-Crisis
Thailand,cleaned,Thailand_1850_2025_Thailand_1850_2025_cleaned.csv,2025,41.1,3.0,123.3,8,0,0,0,0,?,?,?,?,Adaptive
Thailand,nations_ENS,Thailand_ENS.csv,2025,32.0,-0.5,-16.0,0,2,4,2,0,B,B,Ph,B,Burning
Thailand,v23_canonical,Thailand_ENS_1850_2026_cleaned.csv,2025,32.0,-0.5,-16.0,0,2,4,2,0,B,B,Ph,B,Burning
Türkiye,nations_ENS,Turkiye_ENS.csv,2026,27.6,0.42,11.6,3,2,2,0,1,V,B,Cr,B,Fragmented
UAE,nations_ENS,UAE_ENS.csv,2026,100.0,6.62,662.0,8,0,0,0,0,V,V,V,V,Adaptive
USA,v23_usp,USA_cam5_1996_2026_cleaned.csv,2026,26.6,-1.85,-49.2,0,1,5,1,1,B,B,B,Cr,Sys-Crisis
Ukraine,cleaned,Ukraine.csv,2025,36.8,0.25,9.2,2,2,4,0,0,?,?,?,?,Burning
Ukraine,nations_ENS,Ukraine_ENS.csv,2025,52.4,-0.12,-6.3,3,1,3,0,1,V,V,B,C,Sym-Comp
Ukraine,cleaned,Ukraine_gem_1930_Jan26.csv,2025,52.4,-0.12,-6.3,3,1,3,0,1,V,V,B,C,Sym-Comp
United Kingdom,cleaned,UK_Grok_nov_new.csv,2025,55.9,2.5,139.8,4,4,0,0,0,?,?,?,?,Fragmented
United Kingdom,nations_ENS,UK_ENS.csv,2026,35.2,1.75,61.6,4,2,0,2,0,Ph,C,Ph,V,Fragmented
United Kingdom,v23_canonical,UK_ENS_1880_2026_cleaned.csv,2026,35.2,1.75,61.6,4,2,0,2,0,Ph,C,Ph,V,Fragmented
United States,nations_ENS,USA_ENS.csv,2026,16.0,-2.2,-35.2,0,0,5,1,2,B,Cr,Cr,B,Sys-Crisis
Venezuela,nations_ENS,Venezuela_ENS.csv,2025,10.1,-7.75,-78.3,0,0,2,0,6,B,Cr,Cr,Cr,Sys-Crisis
