Society,Year,T_Offset,Society_ID,V_Mean_Calc,V_Min_Calc,CAMS_v1_Regime,Regime_Label_Calc
Australia,1951,T+76,Society_C,12.062,8.5,HIGH_COHERENCE,Coherent-Capable
Australia,1952,T+77,Society_C,12.188,8.5,HIGH_COHERENCE,Coherent-Capable
Australia,1953,T+78,Society_C,12.312,9.5,HIGH_COHERENCE,Coherent-Capable
Australia,1954,T+79,Society_C,12.438,10.5,HIGH_COHERENCE,Coherent-Capable
Australia,1955,T+80,Society_C,12.438,10.5,HIGH_COHERENCE,Coherent-Capable
Australia,1956,T+81,Society_C,12.438,10.5,HIGH_COHERENCE,Coherent-Capable
Australia,1957,T+82,Society_C,12.438,10.5,HIGH_COHERENCE,Coherent-Capable
Australia,1958,T+83,Society_C,12.438,10.5,HIGH_COHERENCE,Coherent-Capable
Australia,1959,T+84,Society_C,12.438,10.5,HIGH_COHERENCE,Coherent-Capable
Australia,1960,T+85,Society_C,12.062,9.9,HIGH_COHERENCE,Coherent-Capable
Australia,1961,T+86,Society_C,11.688,9.9,STRAINED_COHERENT,Strained-Coherent
Australia,1962,T+87,Society_C,12.438,10.5,HIGH_COHERENCE,Coherent-Capable
Australia,1963,T+88,Society_C,12.438,10.5,HIGH_COHERENCE,Coherent-Capable
Australia,1964,T+89,Society_C,12.438,10.5,HIGH_COHERENCE,Coherent-Capable
Australia,1965,T+90,Society_C,12.438,10.5,HIGH_COHERENCE,Coherent-Capable
Australia,1966,T+91,Society_C,8.713,5.5,STRAINED_COHERENT,Strained-Coherent
Australia,1967,T+92,Society_C,8.963,6.5,STRAINED_COHERENT,Strained-Coherent
Australia,1968,T+93,Society_C,8.963,6.5,STRAINED_COHERENT,Strained-Coherent
Australia,1969,T+94,Society_C,8.713,5.5,STRAINED_COHERENT,Strained-Coherent
Australia,1970,T+95,Society_C,8.713,5.5,STRAINED_COHERENT,Strained-Coherent
Australia,1971,T+96,Society_C,8.838,5.5,STRAINED_COHERENT,Strained-Coherent
Australia,1972,T+97,Society_C,9.338,7.0,STRAINED_COHERENT,Strained-Coherent
Australia,1973,T+98,Society_C,9.713,7.0,STRAINED_COHERENT,Strained-Coherent
Australia,1974,T+99,Society_C,8.088,4.8,STRAINED_COHERENT,Strained-Coherent
Australia,1975,T+100,Society_C,7.838,4.0,FRAGMENTED,Fragmented-Capable
Australia,1976,T+101,Society_C,8.275,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1977,T+102,Society_C,7.9,6.0,FRAGMENTED,Fragmented-Capable
Australia,1978,T+103,Society_C,7.9,6.0,FRAGMENTED,Fragmented-Capable
Australia,1979,T+104,Society_C,7.775,6.0,FRAGMENTED,Fragmented-Capable
Australia,1980,T+105,Society_C,7.9,6.0,FRAGMENTED,Fragmented-Capable
Australia,1981,T+106,Society_C,7.9,6.0,FRAGMENTED,Fragmented-Capable
Australia,1982,T+107,Society_C,7.4,4.0,FRAGMENTED,Fragmented-Capable
Australia,1983,T+108,Society_C,12.775,10.1,HIGH_COHERENCE,Coherent-Capable
Australia,1984,T+109,Society_C,12.588,10.1,HIGH_COHERENCE,Coherent-Capable
Australia,1985,T+110,Society_C,12.15,10.1,HIGH_COHERENCE,Coherent-Capable
Australia,1986,T+111,Society_C,12.15,10.1,HIGH_COHERENCE,Coherent-Capable
Australia,1987,T+112,Society_C,11.65,9.4,STRAINED_COHERENT,Strained-Coherent
Australia,1988,T+113,Society_C,12.4,10.1,HIGH_COHERENCE,Coherent-Capable
Australia,1989,T+114,Society_C,11.9,9.1,STRAINED_COHERENT,Strained-Coherent
Australia,1990,T+115,Society_C,5.275,0.0,MODERATE_STRESS,Moderate Stress
Australia,1991,T+116,Society_C,5.275,0.0,MODERATE_STRESS,Moderate Stress
Australia,1992,T+117,Society_C,6.025,2.0,MODERATE_STRESS,Moderate Stress
Australia,1993,T+118,Society_C,9.4,6.5,STRAINED_COHERENT,Strained-Coherent
Australia,1994,T+119,Society_C,10.088,6.5,STRAINED_COHERENT,Strained-Coherent
Australia,1995,T+120,Society_C,9.4,6.5,STRAINED_COHERENT,Strained-Coherent
Australia,1996,T+121,Society_C,10.9,7.5,STRAINED_COHERENT,Strained-Coherent
Australia,1997,T+122,Society_C,10.775,7.5,STRAINED_COHERENT,Strained-Coherent
Australia,1998,T+123,Society_C,10.4,7.5,STRAINED_COHERENT,Strained-Coherent
Australia,1999,T+124,Society_C,10.775,6.5,STRAINED_COHERENT,Strained-Coherent
Australia,2000,T+125,Society_C,11.775,7.5,STRAINED_COHERENT,Strained-Coherent
Australia,2001,T+126,Society_C,10.525,6.5,STRAINED_COHERENT,Strained-Coherent
Australia,2002,T+127,Society_C,9.712,6.5,STRAINED_COHERENT,Strained-Coherent
Australia,2003,T+128,Society_C,9.337,5.5,STRAINED_COHERENT,Strained-Coherent
Australia,2004,T+129,Society_C,9.712,6.5,STRAINED_COHERENT,Strained-Coherent
Australia,2005,T+130,Society_C,9.462,5.5,STRAINED_COHERENT,Strained-Coherent
Australia,2006,T+131,Society_C,9.337,5.5,STRAINED_COHERENT,Strained-Coherent
Australia,2007,T+132,Society_C,10.462,6.5,STRAINED_COHERENT,Strained-Coherent
Australia,2008,T+133,Society_C,7.638,5.0,FRAGMENTED,Fragmented-Capable
Australia,2009,T+134,Society_C,8.387,5.5,STRAINED_COHERENT,Strained-Coherent
Australia,2010,T+135,Society_C,7.888,1.5,MODERATE_STRESS,Moderate Stress
Australia,2011,T+136,Society_C,7.888,3.5,MODERATE_STRESS,Moderate Stress
Australia,2012,T+137,Society_C,8.262,4.5,STRAINED_COHERENT,Strained-Coherent
Australia,2013,T+138,Society_C,8.262,4.5,STRAINED_COHERENT,Strained-Coherent
Australia,2014,T+139,Society_C,7.037,2.1,MODERATE_STRESS,Moderate Stress
Australia,2015,T+140,Society_C,7.162,1.1,MODERATE_STRESS,Moderate Stress
Australia,2016,T+141,Society_C,7.287,2.1,MODERATE_STRESS,Moderate Stress
Australia,2017,T+142,Society_C,7.287,3.1,MODERATE_STRESS,Moderate Stress
Australia,2018,T+143,Society_C,7.062,0.3,MODERATE_STRESS,Moderate Stress
Australia,2019,T+144,Society_C,6.525,3.6,MODERATE_STRESS,Moderate Stress
Australia,2020,T+145,Society_C,5.7,3.0,MODERATE_STRESS,Moderate Stress
Australia,2021,T+146,Society_C,6.7,4.9,FRAGMENTED,Fragmented-Capable
Australia,2022,T+147,Society_C,7.338,5.6,FRAGMENTED,Fragmented-Capable
Australia,2023,T+148,Society_C,8.275,6.1,STRAINED_COHERENT,Strained-Coherent
Australia,2024,T+149,Society_C,8.4,6.9,STRAINED_COHERENT,Strained-Coherent
Australia,2025,T+150,Society_C,9.15,6.9,STRAINED_COHERENT,Strained-Coherent
Australia,2026,T+151,Society_C,8.9,6.9,STRAINED_COHERENT,Strained-Coherent
Chile,1875,T+0,Society_E,9.938,4.7,STRAINED_COHERENT,Strained-Coherent
Chile,1876,T+1,Society_E,9.925,4.7,STRAINED_COHERENT,Strained-Coherent
Chile,1877,T+2,Society_E,9.825,4.4,STRAINED_COHERENT,Strained-Coherent
Chile,1878,T+3,Society_E,9.625,5.1,STRAINED_COHERENT,Strained-Coherent
Chile,1879,T+4,Society_E,9.062,5.2,STRAINED_COHERENT,Strained-Coherent
Chile,1880,T+5,Society_E,9.5,5.1,STRAINED_COHERENT,Strained-Coherent
Chile,1881,T+6,Society_E,9.775,5.3,STRAINED_COHERENT,Strained-Coherent
Chile,1882,T+7,Society_E,10.475,6.6,STRAINED_COHERENT,Strained-Coherent
Chile,1883,T+8,Society_E,11.7,7.0,STRAINED_COHERENT,Strained-Coherent
Chile,1884,T+9,Society_E,11.875,5.3,STRAINED_COHERENT,Strained-Coherent
Chile,1885,T+10,Society_E,11.962,5.3,STRAINED_COHERENT,Strained-Coherent
Chile,1886,T+11,Society_E,12.112,5.4,HIGH_COHERENCE,Coherent-Capable
Chile,1887,T+12,Society_E,12.113,5.7,HIGH_COHERENCE,Coherent-Capable
Chile,1888,T+13,Society_E,11.8,5.4,STRAINED_COHERENT,Strained-Coherent
Chile,1889,T+14,Society_E,11.475,5.7,STRAINED_COHERENT,Strained-Coherent
Chile,1890,T+15,Society_E,9.688,4.9,STRAINED_COHERENT,Strained-Coherent
Chile,1891,T+16,Society_E,4.05,0.4,MODERATE_STRESS,Moderate Stress
Chile,1892,T+17,Society_E,9.387,4.3,STRAINED_COHERENT,Strained-Coherent
Chile,1893,T+18,Society_E,10.15,4.3,STRAINED_COHERENT,Strained-Coherent
Chile,1894,T+19,Society_E,10.4,4.0,STRAINED_COHERENT,Strained-Coherent
Chile,1895,T+20,Society_E,10.387,4.4,STRAINED_COHERENT,Strained-Coherent
Chile,1896,T+21,Society_E,10.512,4.7,STRAINED_COHERENT,Strained-Coherent
Chile,1897,T+22,Society_E,10.35,4.8,STRAINED_COHERENT,Strained-Coherent
Chile,1898,T+23,Society_E,10.462,4.5,STRAINED_COHERENT,Strained-Coherent
Chile,1899,T+24,Society_E,10.537,4.6,STRAINED_COHERENT,Strained-Coherent
Chile,1900,T+25,Society_E,10.3,2.8,MODERATE_STRESS,Moderate Stress
Chile,1901,T+26,Society_E,10.4,3.5,MODERATE_STRESS,Moderate Stress
Chile,1902,T+27,Society_E,10.45,3.2,MODERATE_STRESS,Moderate Stress
Chile,1903,T+28,Society_E,10.325,3.2,MODERATE_STRESS,Moderate Stress
Chile,1904,T+29,Society_E,10.6,4.0,STRAINED_COHERENT,Strained-Coherent
Chile,1905,T+30,Society_E,10.163,3.0,MODERATE_STRESS,Moderate Stress
Chile,1906,T+31,Society_E,10.35,3.5,MODERATE_STRESS,Moderate Stress
Chile,1907,T+32,Society_E,8.238,-0.0,MODERATE_STRESS,Moderate Stress
Chile,1908,T+33,Society_E,10.238,3.4,MODERATE_STRESS,Moderate Stress
Chile,1909,T+34,Society_E,10.212,3.2,MODERATE_STRESS,Moderate Stress
Chile,1910,T+35,Society_E,10.488,3.7,MODERATE_STRESS,Moderate Stress
Chile,1911,T+36,Society_E,10.35,3.6,MODERATE_STRESS,Moderate Stress
Chile,1912,T+37,Society_E,10.4,3.2,MODERATE_STRESS,Moderate Stress
Chile,1913,T+38,Society_E,10.5,4.0,STRAINED_COHERENT,Strained-Coherent
Chile,1914,T+39,Society_E,9.525,3.9,MODERATE_STRESS,Moderate Stress
Chile,1915,T+40,Society_E,9.375,3.4,MODERATE_STRESS,Moderate Stress
Chile,1916,T+41,Society_E,9.525,3.0,MODERATE_STRESS,Moderate Stress
Chile,1917,T+42,Society_E,9.2,3.2,MODERATE_STRESS,Moderate Stress
Chile,1918,T+43,Society_E,8.613,3.3,MODERATE_STRESS,Moderate Stress
Chile,1919,T+44,Society_E,7.95,2.3,MODERATE_STRESS,Moderate Stress
Chile,1920,T+45,Society_E,8.05,3.1,MODERATE_STRESS,Moderate Stress
Chile,1921,T+46,Society_E,8.112,2.5,MODERATE_STRESS,Moderate Stress
Chile,1922,T+47,Society_E,7.45,2.3,MODERATE_STRESS,Moderate Stress
Chile,1923,T+48,Society_E,7.3,2.3,MODERATE_STRESS,Moderate Stress
Chile,1924,T+49,Society_E,6.287,3.3,MODERATE_STRESS,Moderate Stress
Chile,1925,T+50,Society_E,8.025,4.0,STRAINED_COHERENT,Strained-Coherent
Chile,1926,T+51,Society_E,8.55,4.5,STRAINED_COHERENT,Strained-Coherent
Chile,1927,T+52,Society_E,8.375,4.7,STRAINED_COHERENT,Strained-Coherent
Chile,1928,T+53,Society_E,9.325,5.2,STRAINED_COHERENT,Strained-Coherent
Chile,1929,T+54,Society_E,10.163,5.8,STRAINED_COHERENT,Strained-Coherent
Chile,1930,T+55,Society_E,6.963,2.2,MODERATE_STRESS,Moderate Stress
Chile,1931,T+56,Society_E,2.6,-1.8,LOCAL_NODE_FAILURE,Local Node Failure
Chile,1932,T+57,Society_E,3.013,-0.2,SYSTEMIC_CRISIS,Systemic Crisis
Chile,1933,T+58,Society_E,7.463,2.7,MODERATE_STRESS,Moderate Stress
Chile,1934,T+59,Society_E,7.713,3.0,MODERATE_STRESS,Moderate Stress
Chile,1935,T+60,Society_E,9.05,3.6,MODERATE_STRESS,Moderate Stress
Chile,1936,T+61,Society_E,8.988,4.0,STRAINED_COHERENT,Strained-Coherent
Chile,1937,T+62,Society_E,9.925,5.7,STRAINED_COHERENT,Strained-Coherent
Chile,1938,T+63,Society_E,9.875,7.2,STRAINED_COHERENT,Strained-Coherent
Chile,1939,T+64,Society_E,9.925,7.1,STRAINED_COHERENT,Strained-Coherent
Chile,1940,T+65,Society_E,10.425,6.9,STRAINED_COHERENT,Strained-Coherent
Chile,1941,T+66,Society_E,10.45,7.0,STRAINED_COHERENT,Strained-Coherent
Chile,1942,T+67,Society_E,10.488,7.2,STRAINED_COHERENT,Strained-Coherent
Chile,1943,T+68,Society_E,10.488,6.7,STRAINED_COHERENT,Strained-Coherent
Chile,1944,T+69,Society_E,10.562,7.3,STRAINED_COHERENT,Strained-Coherent
Chile,1945,T+70,Society_E,10.75,6.9,STRAINED_COHERENT,Strained-Coherent
Chile,1946,T+71,Society_E,10.588,7.5,STRAINED_COHERENT,Strained-Coherent
Chile,1947,T+72,Society_E,10.125,6.2,STRAINED_COHERENT,Strained-Coherent
Chile,1948,T+73,Society_E,9.175,4.7,STRAINED_COHERENT,Strained-Coherent
Chile,1949,T+74,Society_E,9.537,5.8,STRAINED_COHERENT,Strained-Coherent
Chile,1950,T+75,Society_E,10.3,6.1,STRAINED_COHERENT,Strained-Coherent
Chile,1951,T+76,Society_E,10.262,6.2,STRAINED_COHERENT,Strained-Coherent
Chile,1952,T+77,Society_E,9.787,6.1,STRAINED_COHERENT,Strained-Coherent
Chile,1953,T+78,Society_E,8.363,5.4,STRAINED_COHERENT,Strained-Coherent
Chile,1954,T+79,Society_E,8.35,5.2,STRAINED_COHERENT,Strained-Coherent
Chile,1955,T+80,Society_E,8.288,5.4,STRAINED_COHERENT,Strained-Coherent
Chile,1956,T+81,Society_E,8.212,5.1,STRAINED_COHERENT,Strained-Coherent
Chile,1957,T+82,Society_E,8.312,4.6,STRAINED_COHERENT,Strained-Coherent
Chile,1958,T+83,Society_E,9.225,6.2,STRAINED_COHERENT,Strained-Coherent
Chile,1959,T+84,Society_E,10.838,7.4,STRAINED_COHERENT,Strained-Coherent
Chile,1960,T+85,Society_E,10.6,7.1,STRAINED_COHERENT,Strained-Coherent
Chile,1961,T+86,Society_E,10.762,6.7,STRAINED_COHERENT,Strained-Coherent
Chile,1962,T+87,Society_E,10.738,6.9,STRAINED_COHERENT,Strained-Coherent
Chile,1963,T+88,Society_E,10.95,6.9,STRAINED_COHERENT,Strained-Coherent
Chile,1964,T+89,Society_E,11.25,7.0,STRAINED_COHERENT,Strained-Coherent
Chile,1965,T+90,Society_E,11.288,7.1,STRAINED_COHERENT,Strained-Coherent
Chile,1966,T+91,Society_E,11.262,7.3,STRAINED_COHERENT,Strained-Coherent
Chile,1967,T+92,Society_E,11.05,6.9,STRAINED_COHERENT,Strained-Coherent
Chile,1968,T+93,Society_E,10.463,7.4,STRAINED_COHERENT,Strained-Coherent
Chile,1969,T+94,Society_E,10.425,6.7,STRAINED_COHERENT,Strained-Coherent
Chile,1970,T+95,Society_E,8.8,5.2,STRAINED_COHERENT,Strained-Coherent
Chile,1971,T+96,Society_E,8.35,3.8,MODERATE_STRESS,Moderate Stress
Chile,1972,T+97,Society_E,5.037,1.1,MODERATE_STRESS,Moderate Stress
Chile,1973,T+98,Society_E,2.525,-0.4,SYSTEMIC_CRISIS,Systemic Crisis
Chile,1974,T+99,Society_E,4.312,-0.3,MODERATE_STRESS,Moderate Stress
Chile,1975,T+100,Society_E,5.213,-0.2,MODERATE_STRESS,Moderate Stress
Chile,1976,T+101,Society_E,7.137,1.1,MODERATE_STRESS,Moderate Stress
Chile,1977,T+102,Society_E,7.263,1.0,MODERATE_STRESS,Moderate Stress
Chile,1978,T+103,Society_E,7.888,1.2,MODERATE_STRESS,Moderate Stress
Chile,1979,T+104,Society_E,9.662,2.6,MODERATE_STRESS,Moderate Stress
Chile,1980,T+105,Society_E,10.125,3.5,MODERATE_STRESS,Moderate Stress
Chile,1981,T+106,Society_E,9.988,3.6,MODERATE_STRESS,Moderate Stress
Chile,1982,T+107,Society_E,4.65,-2.2,LOCAL_NODE_FAILURE,Local Node Failure
Chile,1983,T+108,Society_E,4.912,-0.0,MODERATE_STRESS,Moderate Stress
Chile,1984,T+109,Society_E,6.975,2.3,MODERATE_STRESS,Moderate Stress
Chile,1985,T+110,Society_E,7.938,2.6,MODERATE_STRESS,Moderate Stress
Chile,1986,T+111,Society_E,7.688,2.7,MODERATE_STRESS,Moderate Stress
Chile,1987,T+112,Society_E,8.9,3.7,MODERATE_STRESS,Moderate Stress
Chile,1988,T+113,Society_E,9.95,7.2,STRAINED_COHERENT,Strained-Coherent
Chile,1989,T+114,Society_E,11.613,7.6,STRAINED_COHERENT,Strained-Coherent
Chile,1990,T+115,Society_E,12.188,7.1,HIGH_COHERENCE,Coherent-Capable
Chile,1991,T+116,Society_E,12.962,8.3,HIGH_COHERENCE,Coherent-Capable
Chile,1992,T+117,Society_E,13.1,8.5,HIGH_COHERENCE,Coherent-Capable
Chile,1993,T+118,Society_E,13.175,8.6,HIGH_COHERENCE,Coherent-Capable
Chile,1994,T+119,Society_E,12.988,8.2,HIGH_COHERENCE,Coherent-Capable
Chile,1995,T+120,Society_E,13.038,8.2,HIGH_COHERENCE,Coherent-Capable
Chile,1996,T+121,Society_E,13.137,8.1,HIGH_COHERENCE,Coherent-Capable
Chile,1997,T+122,Society_E,13.088,9.0,HIGH_COHERENCE,Coherent-Capable
Chile,1998,T+123,Society_E,12.325,7.2,HIGH_COHERENCE,Coherent-Capable
Chile,1999,T+124,Society_E,12.312,7.0,HIGH_COHERENCE,Coherent-Capable
Chile,2000,T+125,Society_E,13.2,8.9,HIGH_COHERENCE,Coherent-Capable
Chile,2001,T+126,Society_E,13.2,9.5,HIGH_COHERENCE,Coherent-Capable
Chile,2002,T+127,Society_E,13.412,9.4,HIGH_COHERENCE,Coherent-Capable
Chile,2003,T+128,Society_E,13.538,9.0,HIGH_COHERENCE,Coherent-Capable
Chile,2004,T+129,Society_E,13.625,8.9,HIGH_COHERENCE,Coherent-Capable
Chile,2005,T+130,Society_E,13.412,9.0,HIGH_COHERENCE,Coherent-Capable
Chile,2006,T+131,Society_E,13.125,9.2,HIGH_COHERENCE,Coherent-Capable
Chile,2007,T+132,Society_E,13.438,9.4,HIGH_COHERENCE,Coherent-Capable
Chile,2008,T+133,Society_E,12.488,9.1,HIGH_COHERENCE,Coherent-Capable
Chile,2009,T+134,Society_E,12.25,8.0,HIGH_COHERENCE,Coherent-Capable
Chile,2010,T+135,Society_E,11.6,8.2,STRAINED_COHERENT,Strained-Coherent
Chile,2011,T+136,Society_E,11.725,8.6,STRAINED_COHERENT,Strained-Coherent
Chile,2012,T+137,Society_E,12.587,8.5,HIGH_COHERENCE,Coherent-Capable
Chile,2013,T+138,Society_E,12.775,8.8,HIGH_COHERENCE,Coherent-Capable
Chile,2014,T+139,Society_E,12.713,9.4,HIGH_COHERENCE,Coherent-Capable
Chile,2015,T+140,Society_E,11.988,8.2,STRAINED_COHERENT,Strained-Coherent
Chile,2016,T+141,Society_E,11.575,8.4,STRAINED_COHERENT,Strained-Coherent
Chile,2017,T+142,Society_E,12.075,8.2,HIGH_COHERENCE,Coherent-Capable
Chile,2018,T+143,Society_E,12.75,8.8,HIGH_COHERENCE,Coherent-Capable
Chile,2019,T+144,Society_E,7.713,5.1,FRAGMENTED,Fragmented-Capable
Chile,2020,T+145,Society_E,8.65,5.2,STRAINED_COHERENT,Strained-Coherent
Chile,2021,T+146,Society_E,9.887,6.4,STRAINED_COHERENT,Strained-Coherent
Chile,2022,T+147,Society_E,9.25,6.2,STRAINED_COHERENT,Strained-Coherent
Chile,2023,T+148,Society_E,9.462,6.6,STRAINED_COHERENT,Strained-Coherent
Chile,2024,T+149,Society_E,10.588,7.6,STRAINED_COHERENT,Strained-Coherent
Chile,2025,T+150,Society_E,10.963,7.8,STRAINED_COHERENT,Strained-Coherent
Chile,2026,T+151,Society_E,11.15,8.4,STRAINED_COHERENT,Strained-Coherent
Germany,1880,T+0,Society_B,13.312,8.5,HIGH_COHERENCE,Coherent-Capable
Germany,1881,T+1,Society_B,13.037,8.2,HIGH_COHERENCE,Coherent-Capable
Germany,1882,T+2,Society_B,13.125,7.6,HIGH_COHERENCE,Coherent-Capable
Germany,1883,T+3,Society_B,13.375,8.3,HIGH_COHERENCE,Coherent-Capable
Germany,1884,T+4,Society_B,13.213,7.6,HIGH_COHERENCE,Coherent-Capable
Germany,1885,T+5,Society_B,13.4,8.4,HIGH_COHERENCE,Coherent-Capable
