Society_ID,T_Offset,Society,Year,V_Mean,V_Min,B_Mean,Lambda2,s_min,Regime_v11
Society_A,T+124,Russia,1924,6.6375,4.2,0.1727,1.0629,-0.5914,LOCAL_NODE_FAILURE
Society_A,T+125,Russia,1925,7.575,4.1,0.1935,1.2059,-0.2912,LOCAL_NODE_FAILURE
Society_A,T+126,Russia,1926,7.15,3.3,0.1811,1.0954,-0.3466,LOCAL_NODE_FAILURE
Society_A,T+127,Russia,1927,7.6,5.1,0.1986,1.2434,-0.49,STRAINED
Society_A,T+128,Russia,1928,6.1875,-0.9,0.1614,0.8516,-0.8026,LOCAL_NODE_FAILURE
Society_A,T+129,Russia,1929,5.65,-2.1,0.1526,0.7012,-1.152,SYSTEMIC_CRISIS
Society_A,T+13,Russia,1813,7.3625,3.2,0.1748,1.1064,-0.5292,LOCAL_NODE_FAILURE
Society_A,T+130,Russia,1930,5.2625,-4.3,0.1474,0.618,-1.0368,SYSTEMIC_CRISIS
Society_A,T+131,Russia,1931,4.65,-4.6,0.1335,0.5293,-0.936,SYSTEMIC_CRISIS
Society_A,T+132,Russia,1932,4.45,-4.1,0.1308,0.5678,-1.156,SYSTEMIC_CRISIS
Society_A,T+133,Russia,1933,7.9875,2.4,0.1795,0.9339,-0.4613,LOCAL_NODE_FAILURE
Society_A,T+134,Russia,1934,8.5375,3.3,0.1871,1.075,-0.5262,LOCAL_NODE_FAILURE
Society_A,T+135,Russia,1935,8.5625,2.3,0.1952,1.0037,-0.3672,LOCAL_NODE_FAILURE
Society_A,T+136,Russia,1936,7.425,1.7,0.177,0.958,-0.7696,LOCAL_NODE_FAILURE
Society_A,T+137,Russia,1937,4.425,1.2,0.1318,0.766,-1.794,PHANTOM_TYPE_II
Society_A,T+138,Russia,1938,4.775,1.5,0.1429,0.8162,-1.026,PHANTOM_TYPE_II
Society_A,T+139,Russia,1939,9.1125,6.1,0.2085,1.2562,-0.1997,STRAINED
Society_A,T+14,Russia,1814,8.5875,5.2,0.2025,1.2482,-0.204,STRAINED
Society_A,T+140,Russia,1940,9.4125,6.9,0.2177,1.2905,-0.2268,STRAINED
Society_A,T+141,Russia,1941,5.3,1.8,0.1356,0.8725,-1.1904,PHANTOM_TYPE_II
Society_A,T+142,Russia,1942,5.3,1.0,0.1364,0.8473,-1.392,PHANTOM_TYPE_II
Society_A,T+143,Russia,1943,8.6,5.8,0.1897,1.1453,-0.7424,STRAINED
Society_A,T+144,Russia,1944,10.125,4.0,0.2129,1.2761,-0.1814,LOCAL_NODE_FAILURE
Society_A,T+145,Russia,1945,10.8625,6.7,0.2493,1.4482,-0.2808,STRAINED
Society_A,T+146,Russia,1946,10.1875,6.1,0.2307,1.3564,-0.132,STRAINED
Society_A,T+147,Russia,1947,8.2125,3.1,0.19,1.0879,-0.504,LOCAL_NODE_FAILURE
Society_A,T+148,Russia,1948,9.9875,6.4,0.2214,1.2921,-0.1835,STRAINED
Society_A,T+149,Russia,1949,10.2875,6.3,0.2304,1.3358,-0.2184,STRAINED
Society_A,T+15,Russia,1815,7.9875,2.9,0.1987,1.2166,-0.312,LOCAL_NODE_FAILURE
Society_A,T+150,Russia,1950,9.875,5.1,0.2215,1.3249,-0.3629,STRAINED
Society_A,T+151,Russia,1951,10.025,5.3,0.2236,1.3225,-0.2678,STRAINED
Society_A,T+152,Russia,1952,10.4125,6.6,0.2279,1.3276,-0.0816,STRAINED
Society_A,T+153,Russia,1953,9.75,5.7,0.2192,1.3403,-0.1398,STRAINED
Society_A,T+154,Russia,1954,10.2,6.8,0.2338,1.3796,-0.0374,STRAINED
Society_A,T+155,Russia,1955,10.95,6.9,0.2525,1.5075,-0.0395,STABLE_ADAPTIVE
Society_A,T+156,Russia,1956,11.1625,6.3,0.2517,1.5248,-0.035,STABLE_ADAPTIVE
Society_A,T+157,Russia,1957,12.075,8.6,0.2765,1.6493,0.32,STABLE_ADAPTIVE
Society_A,T+158,Russia,1958,12.0375,7.3,0.2761,1.5933,0.0806,STABLE_ADAPTIVE
Society_A,T+159,Russia,1959,11.6375,7.3,0.2639,1.5301,0.1094,STABLE_ADAPTIVE
Society_A,T+16,Russia,1816,8.025,3.9,0.1955,1.2217,-0.2432,LOCAL_NODE_FAILURE
Society_A,T+160,Russia,1960,12.3125,8.1,0.2812,1.6609,0.21,STABLE_ADAPTIVE
Society_A,T+161,Russia,1961,11.525,8.2,0.2624,1.5571,0.1613,STABLE_ADAPTIVE
Society_A,T+162,Russia,1962,11.3,8.4,0.2374,1.4603,0.0868,STRAINED
Society_A,T+163,Russia,1963,10.1875,6.0,0.2412,1.3568,-0.162,STRAINED
Society_A,T+164,Russia,1964,10.3,6.8,0.2372,1.4087,-0.0957,STRAINED
Society_A,T+165,Russia,1965,10.9625,7.3,0.2584,1.508,0.076,STABLE_ADAPTIVE
Society_A,T+166,Russia,1966,11.5,8.4,0.2736,1.5903,0.2496,STABLE_ADAPTIVE
Society_A,T+167,Russia,1967,11.325,8.3,0.266,1.6091,0.1411,STABLE_ADAPTIVE
Society_A,T+168,Russia,1968,10.75,8.2,0.2448,1.4374,-0.0696,STRAINED
Society_A,T+169,Russia,1969,11.1875,7.1,0.2642,1.5132,0.1049,STABLE_ADAPTIVE
Society_A,T+17,Russia,1817,8.025,3.2,0.1978,1.2235,-0.1958,LOCAL_NODE_FAILURE
Society_A,T+170,Russia,1970,11.225,8.3,0.2626,1.542,0.3146,STABLE_ADAPTIVE
Society_A,T+171,Russia,1971,10.425,7.1,0.2507,1.5198,0.0,STABLE_ADAPTIVE
Society_A,T+172,Russia,1972,10.3875,7.2,0.2458,1.4684,-0.0499,STRAINED
Society_A,T+173,Russia,1973,10.65,8.0,0.259,1.5147,0.208,STABLE_ADAPTIVE
Society_A,T+174,Russia,1974,10.5,7.5,0.2496,1.4852,0.114,STRAINED
Society_A,T+175,Russia,1975,10.4125,7.1,0.245,1.4782,-0.048,STRAINED
Society_A,T+176,Russia,1976,10.275,7.4,0.2488,1.5214,-0.1082,STRAINED
Society_A,T+177,Russia,1977,10.175,6.7,0.2422,1.4792,-0.0883,STRAINED
Society_A,T+178,Russia,1978,10.3625,6.8,0.2511,1.521,-0.088,STABLE_ADAPTIVE
Society_A,T+179,Russia,1979,10.0375,7.6,0.2327,1.4328,0.0499,STRAINED
Society_A,T+18,Russia,1818,8.0875,3.3,0.1978,1.2117,-0.247,LOCAL_NODE_FAILURE
Society_A,T+180,Russia,1980,8.6875,6.9,0.2045,1.2861,-0.096,STRAINED
Society_A,T+181,Russia,1981,8.925,7.3,0.2164,1.3479,-0.1123,STRAINED
Society_A,T+182,Russia,1982,8.9,7.6,0.216,1.3628,-0.0562,STRAINED
Society_A,T+183,Russia,1983,8.8375,6.9,0.2074,1.2944,-0.096,STRAINED
Society_A,T+184,Russia,1984,9.0,7.0,0.2162,1.3536,-0.062,STRAINED
Society_A,T+185,Russia,1985,10.125,7.3,0.2315,1.3993,-0.0518,STRAINED
Society_A,T+186,Russia,1986,9.4875,6.5,0.2167,1.3344,-0.4262,STRAINED
Society_A,T+187,Russia,1987,10.075,6.9,0.2379,1.4588,-0.096,STRAINED
Society_A,T+188,Russia,1988,8.5,6.4,0.2011,1.2062,-0.4867,STRAINED
Society_A,T+189,Russia,1989,7.775,5.2,0.1899,1.1523,-1.2144,LOCAL_NODE_FAILURE
Society_A,T+19,Russia,1819,8.25,3.5,0.2032,1.2554,-0.24,LOCAL_NODE_FAILURE
Society_A,T+190,Russia,1990,5.225,2.4,0.1469,0.8745,-0.9485,PHANTOM_TYPE_II
Society_A,T+191,Russia,1991,2.2,-1.6,0.1081,0.6521,-1.4414,SYSTEMIC_CRISIS
Society_A,T+192,Russia,1992,0.9125,-1.7,0.0866,0.5456,-0.884,SYSTEMIC_CRISIS
Society_A,T+193,Russia,1993,1.25,-0.6,0.0888,0.5673,-0.7616,SYSTEMIC_CRISIS
Society_A,T+194,Russia,1994,0.9875,-1.7,0.0908,0.5644,-0.9072,SYSTEMIC_CRISIS
Society_A,T+195,Russia,1995,2.0625,-0.1,0.0962,0.6018,-0.6019,SYSTEMIC_CRISIS
Society_A,T+196,Russia,1996,1.4125,-1.9,0.0876,0.5564,-0.6989,SYSTEMIC_CRISIS
Society_A,T+197,Russia,1997,3.9125,3.1,0.1233,0.7843,-0.6221,LOCAL_NODE_FAILURE
Society_A,T+198,Russia,1998,1.375,-1.9,0.0938,0.5818,-0.8758,SYSTEMIC_CRISIS
Society_A,T+199,Russia,1999,3.2875,2.2,0.1205,0.7343,-0.9439,PHANTOM_TYPE_II
Society_A,T+2,Russia,1802,7.675,3.6,0.1902,1.1767,-0.2352,LOCAL_NODE_FAILURE
Society_A,T+20,Russia,1820,7.95,3.5,0.1953,1.215,-0.2052,LOCAL_NODE_FAILURE
Society_A,T+200,Russia,2000,8.3125,7.3,0.2033,1.2537,0.0,STRAINED
Society_A,T+201,Russia,2001,8.2375,6.1,0.1937,1.2054,-0.2995,STRAINED
Society_A,T+202,Russia,2002,8.1,6.4,0.1948,1.2359,-0.2381,STRAINED
Society_A,T+203,Russia,2003,8.45,6.8,0.2007,1.2378,-0.2592,STRAINED
Society_A,T+204,Russia,2004,11.3625,7.8,0.264,1.5528,0.0552,STABLE_ADAPTIVE
Society_A,T+205,Russia,2005,11.8625,8.0,0.2771,1.6396,-0.0605,STABLE_ADAPTIVE
Society_A,T+206,Russia,2006,11.5875,7.2,0.2689,1.5329,-0.168,STABLE_ADAPTIVE
Society_A,T+207,Russia,2007,11.725,8.7,0.2681,1.6367,0.1253,STABLE_ADAPTIVE
Society_A,T+208,Russia,2008,10.825,8.6,0.2434,1.4296,0.0719,STRAINED
Society_A,T+209,Russia,2009,9.45,5.9,0.2153,1.2849,-0.322,STRAINED
Society_A,T+21,Russia,1821,8.1375,4.2,0.2059,1.2947,-0.2534,LOCAL_NODE_FAILURE
Society_A,T+210,Russia,2010,11.45,10.5,0.264,1.6323,0.6055,STABLE_ADAPTIVE
Society_A,T+211,Russia,2011,11.525,10.2,0.268,1.64,0.553,STABLE_ADAPTIVE
Society_A,T+212,Russia,2012,10.8875,7.6,0.2523,1.5156,-0.112,STABLE_ADAPTIVE
Society_A,T+213,Russia,2013,11.8375,9.4,0.2739,1.6918,0.384,STABLE_ADAPTIVE
Society_A,T+214,Russia,2014,10.9875,8.8,0.2438,1.4847,0.0624,STRAINED
Society_A,T+215,Russia,2015,9.3625,6.0,0.2091,1.2543,-0.4666,STRAINED
Society_A,T+216,Russia,2016,9.0875,4.5,0.2057,1.1807,-0.75,LOCAL_NODE_FAILURE
Society_A,T+217,Russia,2017,11.15,8.9,0.2548,1.5655,-0.0691,STABLE_ADAPTIVE
Society_A,T+218,Russia,2018,11.0625,8.0,0.2503,1.519,0.0493,STABLE_ADAPTIVE
Society_A,T+219,Russia,2019,11.175,8.1,0.2566,1.5852,-0.1426,STABLE_ADAPTIVE
Society_A,T+22,Russia,1822,8.0375,3.6,0.2024,1.2447,-0.2016,LOCAL_NODE_FAILURE
Society_A,T+220,Russia,2020,8.775,5.6,0.1993,1.2344,-0.5702,STRAINED
Society_A,T+221,Russia,2021,11.275,8.3,0.258,1.5885,0.0,STABLE_ADAPTIVE
Society_A,T+222,Russia,2022,7.1125,5.0,0.1637,1.0413,-0.9504,LOCAL_NODE_FAILURE
Society_A,T+223,Russia,2023,7.3375,4.2,0.1713,1.1006,-1.2168,LOCAL_NODE_FAILURE
Society_A,T+224,Russia,2024,7.475,5.3,0.1715,1.1046,-0.8064,LOCAL_NODE_FAILURE
Society_A,T+225,Russia,2025,8.5375,5.7,0.1827,1.1309,-0.406,STRAINED
Society_A,T+226,Russia,2026,8.75,7.1,0.1905,1.172,-0.3379,STRAINED
Society_A,T+23,Russia,1823,7.7625,3.6,0.1912,1.1733,-0.2016,LOCAL_NODE_FAILURE
Society_A,T+24,Russia,1824,8.05,4.2,0.2024,1.2561,-0.2534,LOCAL_NODE_FAILURE
Society_A,T+25,Russia,1825,6.3125,3.7,0.1603,1.0389,-0.3864,LOCAL_NODE_FAILURE
Society_A,T+26,Russia,1826,8.6375,3.3,0.2212,1.3561,-0.3864,LOCAL_NODE_FAILURE
Society_A,T+27,Russia,1827,8.65,2.5,0.2188,1.3248,-0.2912,LOCAL_NODE_FAILURE
Society_A,T+28,Russia,1828,8.8875,3.7,0.2183,1.2934,-0.1512,LOCAL_NODE_FAILURE
Society_A,T+29,Russia,1829,9.25,3.2,0.2295,1.3928,-0.1958,LOCAL_NODE_FAILURE
Society_A,T+3,Russia,1803,7.625,2.7,0.1905,1.1781,-0.336,LOCAL_NODE_FAILURE
Society_A,T+30,Russia,1830,8.6375,3.1,0.2196,1.315,-0.288,LOCAL_NODE_FAILURE
Society_A,T+31,Russia,1831,8.4875,3.3,0.2111,1.2944,-0.1944,LOCAL_NODE_FAILURE
Society_A,T+32,Russia,1832,8.95,3.8,0.2238,1.3731,-0.3098,LOCAL_NODE_FAILURE
Society_A,T+33,Russia,1833,8.8125,2.8,0.2162,1.2964,-0.1728,LOCAL_NODE_FAILURE
Society_A,T+34,Russia,1834,8.775,2.8,0.2214,1.3245,-0.2554,LOCAL_NODE_FAILURE
Society_A,T+35,Russia,1835,8.9875,3.5,0.2209,1.3556,-0.24,LOCAL_NODE_FAILURE
Society_A,T+36,Russia,1836,8.6625,4.2,0.2168,1.3295,-0.1792,LOCAL_NODE_FAILURE
Society_A,T+37,Russia,1837,8.6375,3.1,0.2143,1.2963,-0.2508,LOCAL_NODE_FAILURE
Society_A,T+38,Russia,1838,8.475,3.9,0.2142,1.3103,-0.2392,LOCAL_NODE_FAILURE
Society_A,T+39,Russia,1839,8.725,3.4,0.2172,1.3112,-0.224,LOCAL_NODE_FAILURE
Society_A,T+4,Russia,1804,7.8,3.7,0.1893,1.1929,-0.216,LOCAL_NODE_FAILURE
Society_A,T+40,Russia,1840,8.5125,3.9,0.2137,1.3192,-0.2268,LOCAL_NODE_FAILURE
Society_A,T+41,Russia,1841,8.75,3.7,0.216,1.3227,-0.2288,LOCAL_NODE_FAILURE
Society_A,T+42,Russia,1842,8.525,3.2,0.215,1.2915,-0.2128,LOCAL_NODE_FAILURE
Society_A,T+43,Russia,1843,8.5625,3.5,0.2155,1.3227,-0.2052,LOCAL_NODE_FAILURE
Society_A,T+44,Russia,1844,8.475,3.2,0.2154,1.2934,-0.2822,LOCAL_NODE_FAILURE
Society_A,T+45,Russia,1845,8.8375,3.5,0.2222,1.348,-0.3168,LOCAL_NODE_FAILURE
Society_A,T+46,Russia,1846,8.65,3.7,0.2182,1.3477,-0.272,LOCAL_NODE_FAILURE
Society_A,T+47,Russia,1847,8.85,3.9,0.2146,1.3238,-0.2268,LOCAL_NODE_FAILURE
Society_A,T+48,Russia,1848,8.7875,3.3,0.2157,1.3383,-0.2842,LOCAL_NODE_FAILURE
Society_A,T+49,Russia,1849,8.6625,2.9,0.2182,1.3118,-0.2376,LOCAL_NODE_FAILURE
Society_A,T+5,Russia,1805,7.4125,4.2,0.1825,1.1631,-0.2722,LOCAL_NODE_FAILURE
Society_A,T+50,Russia,1850,8.425,2.5,0.211,1.2753,-0.3192,LOCAL_NODE_FAILURE
Society_A,T+51,Russia,1851,8.675,3.4,0.2133,1.3064,-0.224,LOCAL_NODE_FAILURE
Society_A,T+52,Russia,1852,8.9,3.7,0.2218,1.3605,-0.359,LOCAL_NODE_FAILURE
Society_A,T+53,Russia,1853,7.3125,3.3,0.181,1.156,-0.2341,LOCAL_NODE_FAILURE
Society_A,T+54,Russia,1854,5.375,1.8,0.1514,0.9729,-0.7344,PHANTOM_TYPE_II
Society_A,T+55,Russia,1855,4.5375,0.7,0.1344,0.8684,-0.8064,PHANTOM_TYPE_II
Society_A,T+56,Russia,1856,6.075,3.1,0.1579,1.0503,-0.576,LOCAL_NODE_FAILURE
Society_A,T+57,Russia,1857,7.7,4.5,0.1983,1.2249,-0.3264,LOCAL_NODE_FAILURE
Society_A,T+58,Russia,1858,7.8875,3.2,0.1967,1.153,-0.1814,LOCAL_NODE_FAILURE
Society_A,T+59,Russia,1859,7.6875,3.6,0.1929,1.2116,-0.2352,LOCAL_NODE_FAILURE
Society_A,T+6,Russia,1806,6.8875,3.9,0.1718,1.1378,-0.4032,LOCAL_NODE_FAILURE
Society_A,T+60,Russia,1860,7.825,3.9,0.1943,1.1891,-0.1456,LOCAL_NODE_FAILURE
Society_A,T+61,Russia,1861,7.175,5.0,0.1834,1.1247,-0.2944,STRAINED
Society_A,T+62,Russia,1862,8.0625,5.5,0.205,1.2503,-0.4536,STRAINED
Society_A,T+63,Russia,1863,8.4,6.1,0.2082,1.2285,-0.1296,STRAINED
Society_A,T+64,Russia,1864,8.15,5.6,0.2135,1.2716,-0.3328,STRAINED
Society_A,T+65,Russia,1865,8.3125,5.8,0.215,1.3206,-0.2534,STRAINED
Society_A,T+66,Russia,1866,8.4625,6.2,0.2116,1.2936,-0.1152,STRAINED
Society_A,T+67,Russia,1867,8.325,6.0,0.2063,1.2984,-0.1104,STRAINED
Society_A,T+68,Russia,1868,8.4,5.3,0.2098,1.2972,-0.2554,STRAINED
Society_A,T+69,Russia,1869,8.3625,5.5,0.2048,1.2649,-0.1748,STRAINED
Society_A,T+7,Russia,1807,7.3,3.3,0.1807,1.1534,-0.208,LOCAL_NODE_FAILURE
Society_A,T+70,Russia,1870,8.4,6.0,0.2107,1.279,-0.0704,STRAINED
Society_A,T+71,Russia,1871,8.5,6.6,0.2135,1.3022,-0.0749,STRAINED
Society_A,T+72,Russia,1872,8.25,5.8,0.2098,1.2782,-0.2912,STRAINED
Society_A,T+73,Russia,1873,8.4125,6.1,0.2131,1.2656,-0.12,STRAINED
Society_A,T+74,Russia,1874,8.6,6.1,0.2094,1.23,-0.081,STRAINED
Society_A,T+75,Russia,1875,8.5875,5.6,0.2184,1.2707,-0.1728,STRAINED
Society_A,T+76,Russia,1876,8.1375,6.2,0.2094,1.2731,-0.2746,STRAINED
Society_A,T+77,Russia,1877,7.9375,4.9,0.1939,1.2103,-0.3283,STRAINED
Society_A,T+78,Russia,1878,8.5875,6.0,0.2103,1.2873,-0.1536,STRAINED
Society_A,T+79,Russia,1879,8.0875,6.1,0.2088,1.2386,-0.2621,STRAINED
Society_A,T+8,Russia,1808,7.775,3.4,0.1944,1.2124,-0.3456,LOCAL_NODE_FAILURE
Society_A,T+80,Russia,1880,8.4125,5.3,0.207,1.2947,-0.2098,STRAINED
Society_A,T+81,Russia,1881,6.075,5.4,0.1577,0.9843,-0.5184,STRAINED
Society_A,T+82,Russia,1882,8.6375,3.4,0.2163,1.2949,-0.3648,LOCAL_NODE_FAILURE
Society_A,T+83,Russia,1883,8.4875,3.5,0.2179,1.2637,-0.3177,LOCAL_NODE_FAILURE
Society_A,T+84,Russia,1884,9.025,3.8,0.2232,1.3364,-0.337,LOCAL_NODE_FAILURE
Society_A,T+85,Russia,1885,8.7,3.9,0.2192,1.3043,-0.3511,LOCAL_NODE_FAILURE
Society_A,T+86,Russia,1886,8.725,3.6,0.219,1.3248,-0.3485,LOCAL_NODE_FAILURE
Society_A,T+87,Russia,1887,8.8,3.5,0.2182,1.2993,-0.3177,LOCAL_NODE_FAILURE
Society_A,T+88,Russia,1888,8.8125,4.7,0.2262,1.371,-0.4659,STRAINED
Society_A,T+89,Russia,1889,8.8625,4.4,0.224,1.3442,-0.336,LOCAL_NODE_FAILURE
Society_A,T+9,Russia,1809,7.85,3.6,0.1928,1.2034,-0.247,LOCAL_NODE_FAILURE
Society_A,T+90,Russia,1890,8.65,3.9,0.2216,1.3293,-0.2722,LOCAL_NODE_FAILURE
Society_A,T+91,Russia,1891,8.7,3.6,0.216,1.2756,-0.2765,LOCAL_NODE_FAILURE
Society_A,T+92,Russia,1892,9.075,3.8,0.2272,1.3642,-0.4224,LOCAL_NODE_FAILURE
Society_A,T+93,Russia,1893,8.425,2.7,0.2119,1.2886,-0.4536,LOCAL_NODE_FAILURE
Society_A,T+94,Russia,1894,8.6875,2.9,0.2197,1.2682,-0.456,LOCAL_NODE_FAILURE
Society_A,T+95,Russia,1895,9.175,3.8,0.2243,1.3841,-0.4576,LOCAL_NODE_FAILURE
Society_A,T+96,Russia,1896,9.175,3.7,0.2236,1.3844,-0.3024,LOCAL_NODE_FAILURE
Society_A,T+97,Russia,1897,8.9625,4.6,0.2158,1.3486,-0.2688,STRAINED
Society_A,T+98,Russia,1898,9.2375,4.0,0.2274,1.4213,-0.3696,LOCAL_NODE_FAILURE
Society_A,T+99,Russia,1899,8.9375,3.2,0.2121,1.3202,-0.2851,LOCAL_NODE_FAILURE
Society_B,T+0,Germany,1880,13.3125,8.5,0.3101,1.9034,0.3226,STABLE_ADAPTIVE
Society_B,T+1,Germany,1881,13.0375,8.2,0.2995,1.8638,0.22,STABLE_ADAPTIVE
Society_B,T+10,Germany,1890,12.425,8.5,0.2865,1.821,0.2042,STABLE_ADAPTIVE
Society_B,T+100,Germany,1980,12.0375,9.4,0.2724,1.7346,0.1934,STABLE_ADAPTIVE
Society_B,T+101,Germany,1981,11.8125,8.9,0.2568,1.6114,0.0648,STABLE_ADAPTIVE
Society_B,T+102,Germany,1982,12.0,9.2,0.2734,1.7447,0.3786,STABLE_ADAPTIVE
Society_B,T+103,Germany,1983,13.925,11.2,0.3264,2.0699,0.8064,STABLE_ADAPTIVE
Society_B,T+104,Germany,1984,13.9,9.2,0.321,2.0118,0.2413,STABLE_ADAPTIVE
Society_B,T+105,Germany,1985,13.9625,10.0,0.3267,2.0382,0.4608,STABLE_ADAPTIVE
Society_B,T+106,Germany,1986,13.875,9.9,0.3203,1.9855,0.4802,STABLE_ADAPTIVE
Society_B,T+107,Germany,1987,13.9625,9.8,0.3253,2.0358,0.4454,STABLE_ADAPTIVE
Society_B,T+108,Germany,1988,13.8,9.9,0.3219,2.0254,0.372,STABLE_ADAPTIVE
Society_B,T+109,Germany,1989,14.1125,13.1,0.3209,2.0236,1.344,STABLE_ADAPTIVE
Society_B,T+11,Germany,1891,13.0,7.5,0.299,1.8599,0.2006,STABLE_ADAPTIVE
Society_B,T+110,Germany,1990,11.925,8.5,0.2501,1.5242,-0.062,STABLE_ADAPTIVE
Society_B,T+111,Germany,1991,11.425,7.5,0.2408,1.5165,0.0,STRAINED
Society_B,T+112,Germany,1992,10.0375,5.1,0.2251,1.4155,-0.6,STRAINED
Society_B,T+113,Germany,1993,10.3875,5.4,0.2305,1.451,-0.4576,STRAINED
Society_B,T+114,Germany,1994,11.9125,7.6,0.2635,1.6412,0.0922,STABLE_ADAPTIVE
Society_B,T+115,Germany,1995,12.1375,8.5,0.2698,1.691,0.0605,STABLE_ADAPTIVE
Society_B,T+116,Germany,1996,12.2,8.0,0.2742,1.6867,0.0541,STABLE_ADAPTIVE
Society_B,T+117,Germany,1997,12.2625,7.2,0.2764,1.6965,-0.048,STABLE_ADAPTIVE
Society_B,T+118,Germany,1998,12.55,7.5,0.2838,1.7584,-0.052,STABLE_ADAPTIVE
Society_B,T+119,Germany,1999,13.0375,7.1,0.2998,1.8562,-0.0497,STABLE_ADAPTIVE
Society_B,T+12,Germany,1892,12.775,7.8,0.293,1.8368,0.2208,STABLE_ADAPTIVE
Society_B,T+120,Germany,2000,11.65,7.0,0.2627,1.6203,-0.2163,STABLE_ADAPTIVE
Society_B,T+121,Germany,2001,12.0875,6.9,0.2699,1.6754,-0.1987,STABLE_ADAPTIVE
Society_B,T+122,Germany,2002,11.9625,5.9,0.2672,1.6592,-0.336,STABLE_ADAPTIVE
Society_B,T+123,Germany,2003,11.7625,4.2,0.2588,1.5696,-0.5491,LOCAL_NODE_FAILURE
Society_B,T+124,Germany,2004,11.6,4.5,0.2515,1.5323,-0.528,LOCAL_NODE_FAILURE
Society_B,T+125,Germany,2005,13.6,8.4,0.312,1.9279,0.24,STABLE_ADAPTIVE
Society_B,T+126,Germany,2006,13.75,8.3,0.3129,1.9548,0.265,STABLE_ADAPTIVE
Society_B,T+127,Germany,2007,13.25,9.3,0.3072,1.9384,0.432,STABLE_ADAPTIVE
Society_B,T+128,Germany,2008,11.925,7.6,0.259,1.5725,0.1747,STABLE_ADAPTIVE
Society_B,T+129,Germany,2009,10.8875,7.3,0.2368,1.474,-0.181,STRAINED
Society_B,T+13,Germany,1893,12.7125,7.6,0.2892,1.7963,0.1728,STABLE_ADAPTIVE
Society_B,T+130,Germany,2010,13.1625,11.5,0.2919,1.838,0.8976,STABLE_ADAPTIVE
Society_B,T+131,Germany,2011,13.3875,10.3,0.2989,1.8817,0.496,STABLE_ADAPTIVE
Society_B,T+132,Germany,2012,13.15,10.0,0.2918,1.8323,0.5011,STABLE_ADAPTIVE
