Company,Year,Node,C,K,S,A,Node_Value,Bond_Strength
Markercxnxa,2024,Lore,8,8,5,7,9.33,5.98
Markercxnxa,2024,Stewards,8,9,5,6,8.83,5.66
Markercxnxa,2024,Craft,10,10,5,4,10.33,6.63
Markercxnxa,2024,Hands,9,9,5,3,9.33,5.98
Markercxnxa,2024,Archive,7,9,7,5,8.17,5.24
Markercxnxa,2024,Flow,8,9,8,4,7.83,5.02
Markercxnxa,2025,Helm,8,9,5,7,10.33,6.10
Markercxnxa,2025,Shield,7,9,5,6,8.33,4.92
Markercxnxa,2025,Lore,9,9,3,7,11.00,6.50
Markercxnxa,2025,Stewards,9,9,4,6,9.67,5.71
Markercxnxa,2025,Craft,10,10,4,5,11.17,6.60
Markercxnxa,2025,Hands,9,9,4,3,9.67,5.71
Markercxnxa,2025,Archive,8,9,3,5,9.50,5.61
Markercxnxa,2025,Flow,9,10,4,4,10.17,6.01
