Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node_Value_Calc,Bond_Strength_Calc,Lambda2_Calc,V_Mean_Calc,V_Min_Calc,CAMS_v1_Regime,Regime_Label_Calc
Argentina,1963,Helm,4.0,5.0,6.0,4.0,5.0,0.1688,1.1152,6.925,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1963,Lore,5.0,5.0,5.0,5.0,7.5,0.1575,1.1152,6.925,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1963,Shield,5.0,5.0,6.0,4.0,6.0,0.1791,1.1152,6.925,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1963,Stewards,4.8,5.0,5.0,4.8,7.2,0.1549,1.1152,6.925,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1964,Archive,5.0,5.0,5.0,5.0,7.5,0.1643,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1964,Craft,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1964,Flow,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1964,Hands,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1964,Helm,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1964,Lore,5.0,5.0,5.0,5.0,7.5,0.1643,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1964,Shield,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1964,Stewards,5.0,5.0,5.0,5.0,7.5,0.1643,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1965,Archive,5.0,5.0,5.0,5.0,7.5,0.1643,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1965,Craft,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1965,Flow,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1965,Hands,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1965,Helm,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1965,Lore,5.0,5.0,5.0,5.0,7.5,0.1643,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1965,Shield,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1965,Stewards,5.0,5.0,5.0,5.0,7.5,0.1643,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1966,Archive,4.2,4.8,5.0,4.2,6.1,0.1398,0.9886,6.263,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1966,Craft,5.0,5.0,5.0,5.0,7.5,0.1901,0.9886,6.263,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1966,Flow,5.0,5.0,5.0,5.0,7.5,0.1901,0.9886,6.263,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1966,Hands,4.0,4.0,6.0,4.0,4.0,0.1636,0.9886,6.263,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1966,Helm,4.0,4.2,7.0,4.0,3.2,0.1542,0.9886,6.263,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1966,Lore,4.0,4.8,6.0,4.0,4.8,0.1292,0.9886,6.263,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1966,Shield,6.0,6.0,5.0,5.0,9.5,0.199,0.9886,6.263,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1966,Stewards,5.0,5.0,5.0,5.0,7.5,0.1501,0.9886,6.263,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1967,Archive,5.0,5.0,5.0,5.0,7.5,0.1636,1.1896,7.575,6.1,FRAGMENTED,Fragmented-Capable
Argentina,1967,Craft,5.0,5.0,5.0,5.0,7.5,0.206,1.1896,7.575,6.1,FRAGMENTED,Fragmented-Capable
Argentina,1967,Flow,5.0,5.0,5.0,5.0,7.5,0.206,1.1896,7.575,6.1,FRAGMENTED,Fragmented-Capable
Argentina,1967,Hands,5.0,5.0,5.0,5.0,7.5,0.206,1.1896,7.575,6.1,FRAGMENTED,Fragmented-Capable
Argentina,1967,Helm,4.6,5.0,6.0,5.0,6.1,0.1905,1.1896,7.575,6.1,FRAGMENTED,Fragmented-Capable
Argentina,1967,Lore,5.0,5.0,5.0,5.0,7.5,0.1636,1.1896,7.575,6.1,FRAGMENTED,Fragmented-Capable
Argentina,1967,Shield,6.0,6.0,5.0,5.0,9.5,0.2158,1.1896,7.575,6.1,FRAGMENTED,Fragmented-Capable
Argentina,1967,Stewards,5.0,5.0,5.0,5.0,7.5,0.1636,1.1896,7.575,6.1,FRAGMENTED,Fragmented-Capable
Argentina,1968,Archive,5.0,5.0,5.0,5.0,7.5,0.1583,1.1228,7.013,4.4,FRAGMENTED,Fragmented-Capable
Argentina,1968,Craft,5.0,5.0,5.0,5.0,7.5,0.1972,1.1228,7.013,4.4,FRAGMENTED,Fragmented-Capable
Argentina,1968,Flow,5.0,5.0,5.4,5.0,7.1,0.1928,1.1228,7.013,4.4,FRAGMENTED,Fragmented-Capable
Argentina,1968,Hands,4.2,4.4,6.4,4.4,4.4,0.1704,1.1228,7.013,4.4,FRAGMENTED,Fragmented-Capable
Argentina,1968,Helm,4.2,5.0,6.6,5.0,5.1,0.1723,1.1228,7.013,4.4,FRAGMENTED,Fragmented-Capable
Argentina,1968,Lore,5.0,5.0,5.0,5.0,7.5,0.1583,1.1228,7.013,4.4,FRAGMENTED,Fragmented-Capable
Argentina,1968,Shield,6.0,6.0,5.0,5.0,9.5,0.2065,1.1228,7.013,4.4,FRAGMENTED,Fragmented-Capable
Argentina,1968,Stewards,5.0,5.0,5.0,5.0,7.5,0.1583,1.1228,7.013,4.4,FRAGMENTED,Fragmented-Capable
Argentina,1969,Archive,4.0,4.8,6.0,4.0,4.8,0.1172,0.8627,5.088,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1969,Craft,5.0,5.0,6.0,5.0,6.5,0.1625,0.8627,5.088,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1969,Flow,4.2,5.0,6.0,4.2,5.3,0.1513,0.8627,5.088,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1969,Hands,4.0,4.0,7.0,4.0,3.0,0.1399,0.8627,5.088,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1969,Helm,4.0,4.2,7.0,4.0,3.2,0.1399,0.8627,5.088,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1969,Lore,4.0,4.8,6.0,4.0,4.8,0.1172,0.8627,5.088,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1969,Shield,5.2,6.0,6.0,5.0,7.7,0.164,0.8627,5.088,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1969,Stewards,4.2,5.0,6.0,4.4,5.4,0.1205,0.8627,5.088,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1970,Archive,4.0,4.0,6.0,4.0,4.0,0.1129,0.812,4.1,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1970,Craft,4.6,5.0,6.2,5.0,5.9,0.1516,0.812,4.1,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1970,Flow,4.0,4.2,6.6,4.0,3.6,0.1379,0.812,4.1,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1970,Hands,4.0,4.0,7.0,4.0,3.0,0.1348,0.812,4.1,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1970,Helm,4.0,4.0,7.0,4.0,3.0,0.1348,0.812,4.1,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1970,Lore,4.0,4.0,6.2,4.0,3.8,0.1117,0.812,4.1,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1970,Shield,5.0,5.0,6.6,5.0,5.9,0.1512,0.812,4.1,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1970,Stewards,4.0,4.2,6.6,4.0,3.6,0.1091,0.812,4.1,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1971,Archive,4.0,4.0,6.4,4.0,3.6,0.1075,0.7795,3.725,2.4,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1971,Craft,4.2,5.0,6.6,4.6,4.9,0.1388,0.7795,3.725,2.4,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1971,Flow,4.0,4.0,6.8,4.0,3.2,0.1325,0.7795,3.725,2.4,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1971,Hands,4.0,4.0,7.0,4.0,3.0,0.1309,0.7795,3.725,2.4,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1971,Helm,3.8,4.0,7.4,4.0,2.4,0.1263,0.7795,3.725,2.4,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1971,Lore,4.0,4.0,6.4,4.0,3.6,0.1075,0.7795,3.725,2.4,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1971,Shield,5.0,5.0,6.8,5.0,5.7,0.1451,0.7795,3.725,2.4,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1971,Stewards,4.0,4.0,6.6,4.0,3.4,0.1063,0.7795,3.725,2.4,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1972,Archive,4.0,4.0,7.0,4.0,3.0,0.0921,0.6247,2.087,-0.3,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1972,Craft,4.0,4.0,7.0,4.0,3.0,0.1148,0.6247,2.087,-0.3,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1972,Flow,3.2,3.8,7.2,3.2,1.4,0.1035,0.6247,2.087,-0.3,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1972,Hands,3.0,3.2,8.0,3.0,-0.3,0.0961,0.6247,2.087,-0.3,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1972,Helm,3.2,3.6,8.6,3.2,-0.2,0.0953,0.6247,2.087,-0.3,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1972,Lore,4.0,4.0,7.0,4.0,3.0,0.0921,0.6247,2.087,-0.3,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1972,Shield,5.0,5.0,7.0,4.0,5.0,0.1214,0.6247,2.087,-0.3,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1972,Stewards,3.2,4.0,7.0,3.2,1.8,0.084,0.6247,2.087,-0.3,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1973,Archive,5.0,5.0,5.0,5.0,7.5,0.1581,1.1133,6.838,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1973,Craft,5.0,5.0,5.0,5.0,7.5,0.1968,1.1133,6.838,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1973,Flow,5.0,5.0,5.0,5.0,7.5,0.1968,1.1133,6.838,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1973,Hands,5.0,5.0,5.0,5.0,7.5,0.1968,1.1133,6.838,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1973,Helm,5.0,5.0,6.0,5.0,6.5,0.1859,1.1133,6.838,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1973,Lore,5.0,5.0,5.0,5.0,7.5,0.1581,1.1133,6.838,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1973,Shield,4.0,4.2,7.0,4.0,3.2,0.1594,1.1133,6.838,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1973,Stewards,5.0,5.0,5.0,5.0,7.5,0.1581,1.1133,6.838,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1974,Archive,4.0,4.8,6.0,4.0,4.8,0.113,0.8139,4.562,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1974,Craft,4.4,5.0,6.0,4.6,5.7,0.1494,0.8139,4.562,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1974,Flow,4.0,4.8,6.0,4.0,4.8,0.1426,0.8139,4.562,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1974,Hands,4.2,5.0,6.0,4.4,5.4,0.1467,0.8139,4.562,3.2,MODERATE_STRESS,Moderate Stress
Argentina,1974,Helm,4.0,4.2,7.0,4.0,3.2,0.1346,0.8139,4.562,3.2,MODERATE_STRESS,Moderate Stress
