Society_ID,T_Offset,V_Mean_Calc,V_Min_Calc,V_Mean_Delta
Society_B,T+45,9.8,5.9,3.7120000000000006
Society_B,T+49,7.512,3.2,-3.0629999999999997
Society_B,T+50,5.225,1.2,-2.287
Society_B,T+51,3.388,-0.9,-1.8369999999999997
Society_B,T+52,1.6,-2.4,-1.7879999999999998
Society_B,T+53,9.688,7.5,8.088000000000001
Society_B,T+54,12.087,6.2,2.398999999999999
Society_B,T+55,13.75,6.4,1.6630000000000003
Society_B,T+61,13.037,9.4,-2.0379999999999985
Society_B,T+62,10.988,7.5,-2.0490000000000013
Society_B,T+63,8.2,3.7,-2.7880000000000003
Society_B,T+64,5.338,1.4,-2.861999999999999
Society_B,T+65,-4.525,-6.0,-9.863
Society_B,T+66,-0.512,-2.4,4.013
Society_B,T+67,1.337,-0.8,1.849
Society_B,T+68,5.088,2.7,3.7510000000000003
Society_B,T+69,7.9,2.5,2.8120000000000003
Society_B,T+72,11.175,5.8,1.075000000000001
Society_B,T+103,13.925,11.2,1.9250000000000007
Society_B,T+110,11.925,8.5,-2.187999999999999
Society_B,T+114,11.912,7.6,1.524000000000001
Society_B,T+125,13.6,8.4,2.0
Society_B,T+130,13.163,11.5,2.276
Society_B,T+140,10.038,5.5,-2.286999999999999
Society_B,T+142,8.225,5.1,-2.875
Society_G,T+25,12.963,10.1,3.5249999999999986
Society_G,T+34,7.213,3.8,-5.374999999999999
Society_G,T+39,7.463,5.4,0.125
Society_G,T+49,2.375,-2.8,-5.588
Society_G,T+54,9.15,4.6,5.775
Society_G,T+58,9.025,3.6,-0.125
Society_G,T+60,0.1,-6.0,-8.675
Society_G,T+61,2.213,-4.4,2.113
Society_G,T+65,13.15,10.9,10.687000000000001
Society_G,T+92,8.963,2.5,-3.25
Society_G,T+93,9.463,4.5,0.5
Society_G,T+94,14.825,10.1,5.362
Society_G,T+106,7.812,3.5,-6.137999999999999
Society_G,T+107,8.812,6.1,0.9999999999999991
Society_G,T+108,8.062,3.5,-0.75
Society_G,T+111,8.562,5.5,0.8739999999999997
Society_G,T+113,13.838,8.1,5.026
Society_G,T+134,10.4,6.9,-2.625
Society_G,T+135,10.15,3.9,-0.25
Society_G,T+136,11.4,7.1,1.25
Society_D,T+39,2.975,-0.0,-2.113
Society_D,T+40,1.25,-1.0,-1.725
Society_D,T+42,3.462,0.5,2.075
Society_D,T+46,7.6,4.5,2.2749999999999995
Society_D,T+56,6.312,3.5,-1.0499999999999998
Society_D,T+58,6.862,4.5,0.5499999999999998
Society_D,T+63,6.238,3.9,-0.8239999999999998
Society_D,T+64,1.025,-1.5,-5.213000000000001
Society_D,T+65,-1.188,-4.0,-2.213
Society_D,T+71,2.488,0.0,4.101
Society_D,T+72,4.65,3.5,2.1620000000000004
Society_D,T+73,5.65,4.5,1.0
Society_D,T+106,5.312,2.5,-1.6259999999999994
Society_D,T+108,6.375,4.5,0.625
Society_D,T+112,5.963,3.5,-0.9119999999999999
Society_D,T+118,6.85,4.3,1.3249999999999993
Society_A,T+1,7.575,4.4,-0.3879999999999999
Society_A,T+2,7.675,3.6,0.09999999999999964
Society_A,T+5,7.413,4.2,-0.38699999999999957
Society_A,T+6,6.888,3.9,-0.5250000000000004
Society_A,T+12,5.112,-1.7,-2.776
Society_A,T+13,7.363,3.2,2.2510000000000003
Society_A,T+14,8.588,5.2,1.2249999999999988
Society_A,T+15,7.987,2.9,-0.6009999999999991
Society_A,T+21,8.138,4.2,0.18799999999999972
Society_A,T+22,8.037,3.6,-0.10099999999999909
Society_A,T+24,8.05,4.2,0.2870000000000008
Society_A,T+25,6.312,3.7,-1.7380000000000004
Society_A,T+26,8.637,3.3,2.325
Society_A,T+36,8.662,4.2,-0.32599999999999874
Society_A,T+37,8.637,3.1,-0.025000000000000355
Society_A,T+53,7.312,3.3,-1.588
Society_A,T+54,5.375,1.8,-1.9370000000000003
Society_A,T+56,6.075,3.1,1.5380000000000003
Society_A,T+57,7.7,4.5,1.625
Society_A,T+58,7.888,3.2,0.18799999999999972
Society_A,T+61,7.175,5.0,-0.6500000000000004
Society_A,T+81,6.075,5.4,-2.338
Society_A,T+82,8.637,3.4,2.5620000000000003
Society_A,T+88,8.812,4.7,0.011999999999998678
Society_A,T+90,8.65,3.9,-0.2129999999999992
Society_A,T+97,8.963,4.6,-0.21200000000000152
Society_A,T+99,8.938,3.2,-0.29999999999999893
Society_A,T+100,9.213,4.3,0.2749999999999986
Society_A,T+102,9.037,3.1,-0.18799999999999883
Society_A,T+104,5.65,3.1,-3.3499999999999996
Society_A,T+105,2.45,0.0,-3.2
Society_A,T+106,9.137,7.7,6.687
Society_A,T+115,5.738,3.2,-2.9749999999999988
Society_A,T+116,3.725,-0.2,-2.0130000000000003
Society_A,T+117,-1.825,-4.1,-5.55
Society_A,T+122,7.2,4.0,4.25
Society_A,T+126,7.15,3.3,-0.4249999999999998
Society_A,T+127,7.6,5.1,0.4499999999999993
Society_A,T+128,6.188,-0.9,-1.412
Society_A,T+133,7.988,2.4,3.5380000000000003
Society_A,T+137,4.425,1.2,-3.0
Society_A,T+139,9.113,6.1,4.337999999999999
Society_A,T+141,5.3,1.8,-4.113
Society_A,T+143,8.6,5.8,3.3
Society_A,T+144,10.125,4.0,1.5250000000000004
Society_A,T+147,8.212,3.1,-1.9760000000000009
Society_A,T+148,9.988,6.4,1.7759999999999998
Society_A,T+188,8.5,6.4,-1.5749999999999993
Society_A,T+190,5.225,2.4,-2.5500000000000007
Society_A,T+191,2.2,-1.6,-3.0249999999999995
Society_A,T+197,3.913,3.1,2.5
Society_A,T+198,1.375,-1.9,-2.538
Society_A,T+199,3.288,2.2,1.9129999999999998
Society_A,T+200,8.312,7.3,5.023999999999999
Society_A,T+204,11.363,7.8,2.9130000000000003
Society_A,T+210,11.45,10.5,2.0
Society_A,T+215,9.362,6.0,-1.6259999999999994
Society_A,T+217,11.15,8.9,2.062000000000001
Society_A,T+220,8.775,5.6,-2.4000000000000004
Society_A,T+221,11.275,8.3,2.5
Society_A,T+222,7.113,5.0,-4.162
Society_F,T+34,12.725,7.0,-2.0999999999999996
Society_F,T+38,11.912,7.0,1.75
Society_F,T+41,10.6,1.5,-1.1500000000000004
Society_F,T+44,12.6,5.5,0.5
Society_F,T+46,9.762,0.5,-3.212999999999999
Society_F,T+47,12.7,5.5,2.937999999999999
Society_F,T+50,10.95,2.5,-1.875
Society_F,T+51,8.588,0.5,-2.362
Society_F,T+57,12.887,5.5,1.25
Society_F,T+92,9.688,3.5,-1.5
Society_F,T+93,10.625,6.0,0.9369999999999994
Society_F,T+94,8.688,2.5,-1.9369999999999994
Society_F,T+102,10.738,2.5,2.138
Society_F,T+108,13.562,6.5,0.5
Society_F,T+112,10.0,3.5,-1.5619999999999994
Society_F,T+114,12.688,5.5,1.8760000000000012
Society_F,T+128,9.812,5.8,-3.901
Society_F,T+130,10.775,6.0,1.75
Society_F,T+138,9.875,3.3,-0.27500000000000036
Society_F,T+140,7.213,2.5,-2.1369999999999996
Society_F,T+141,9.275,5.0,2.0620000000000003
