Year,Node,Coherence_G,Capacity_G,Stress_G,Abstraction_G,Coherence_K,Capacity_K,Stress_K,Abstraction_K,Society
1892,Archive,10,10,2,10,8,8.0,4,8,Germany
1892,Flow,8,9,4,8,8,9.0,5,8,Germany
1893,Helm,5,7,6,7,6,8.0,7,8,Germany
1893,Shield,9,10,3,9,9,9.0,3,8,Germany
1893,Lore,6,9,5,10,7,8.0,4,9,Germany
1893,Stewards,7,9,4,8,7,8.0,5,8,Germany
1893,Craft,8,9,3,8,8,9.0,4,9,Germany
1893,Hands,6,7,5,6,5,8.0,7,6,Germany
1893,Archive,10,10,2,10,8,8.0,4,8,Germany
1893,Flow,8,9,4,8,8,9.0,5,8,Germany
1894,Helm,4,7,7,7,6,7.0,7,8,Germany
1894,Shield,9,10,3,9,9,9.0,3,8,Germany
1894,Lore,6,9,5,10,7,8.0,4,9,Germany
1894,Stewards,7,9,4,8,7,8.0,5,8,Germany
1894,Craft,8,9,3,8,8,9.0,4,9,Germany
1894,Hands,6,7,5,6,5,8.0,7,6,Germany
1894,Archive,10,10,2,10,8,8.0,4,8,Germany
1894,Flow,8,9,4,8,8,9.0,5,8,Germany
1895,Helm,5,7,6,7,6,7.0,7,8,Germany
1895,Shield,9,10,3,9,9,9.0,3,8,Germany
1895,Lore,7,10,5,10,7,8.0,4,9,Germany
1895,Stewards,8,9,3,8,7,8.0,5,8,Germany
1895,Craft,8,9,3,9,8,9.0,4,9,Germany
1895,Hands,6,7,5,6,5,8.0,8,6,Germany
1895,Archive,10,10,2,10,8,8.0,4,8,Germany
1895,Flow,9,9,3,9,8,9.0,5,8,Germany
1886,Helm,7,9,4,9,7,8.0,6,8,Germany
1886,Shield,9,9,3,9,9,9.0,3,7,Germany
1886,Lore,6,9,5,10,7,7.0,5,9,Germany
1886,Stewards,7,9,4,8,7,8.0,4,8,Germany
1886,Craft,8,8,3,8,8,9.0,4,9,Germany
1886,Hands,5,7,5,6,5,7.0,7,6,Germany
1886,Archive,10,10,2,10,8,8.0,4,8,Germany
1886,Flow,8,9,4,8,8,8.0,5,8,Germany
1887,Helm,7,9,4,9,7,8.0,6,8,Germany
1887,Shield,9,9,4,9,9,9.0,3,7,Germany
1887,Lore,6,9,5,10,7,8.0,4,9,Germany
1887,Stewards,7,9,4,8,7,8.0,4,8,Germany
1887,Craft,8,8,3,8,8,9.0,4,9,Germany
1887,Hands,5,7,5,6,5,7.0,7,6,Germany
1887,Archive,10,10,2,10,8,8.0,4,8,Germany
1887,Flow,8,9,4,8,8,8.0,5,8,Germany
1888,Helm,4,7,7,7,7,8.0,6,8,Germany
1888,Shield,9,9,4,9,9,9.0,3,7,Germany
1888,Lore,6,9,5,10,7,8.0,4,9,Germany
1888,Stewards,7,9,4,8,7,8.0,4,8,Germany
1888,Craft,8,8,3,8,8,9.0,4,9,Germany
1888,Hands,5,7,5,6,5,7.0,7,6,Germany
1888,Archive,9,10,3,10,8,8.0,4,8,Germany
1888,Flow,8,9,4,8,8,8.0,5,8,Germany
1889,Helm,6,8,5,8,7,8.0,6,8,Germany
1889,Shield,9,9,3,9,9,9.0,3,7,Germany
1889,Lore,6,9,5,10,7,8.0,4,9,Germany
1889,Stewards,7,9,4,8,7,8.0,4,8,Germany
1889,Craft,8,8,3,8,8,9.0,4,9,Germany
1889,Hands,4,7,7,6,5,7.0,7,6,Germany
1889,Archive,10,10,2,10,8,8.0,4,8,Germany
1889,Flow,8,9,4,8,8,8.0,5,8,Germany
1890,Helm,4,6,8,7,6,7.0,7,8,Germany
1890,Shield,9,9,3,9,9,9.0,3,7,Germany
1890,Lore,6,9,5,10,7,8.0,4,9,Germany
1890,Stewards,7,9,4,8,7,8.0,4,8,Germany
1890,Craft,8,9,3,8,8,9.0,4,9,Germany
1890,Hands,6,7,5,6,5,7.0,8,6,Germany
1890,Archive,10,10,2,10,8,8.0,4,8,Germany
1890,Flow,8,9,4,8,8,8.0,5,8,Germany
1891,Helm,5,7,6,7,7,8.0,6,8,Germany
1891,Shield,9,9,3,9,9,9.0,3,7,Germany
1891,Lore,6,9,5,10,7,8.0,4,9,Germany
1891,Stewards,7,9,4,8,7,8.0,4,8,Germany
1891,Craft,8,9,3,8,8,9.0,4,9,Germany
1891,Hands,6,7,5,6,5,7.0,7,6,Germany
1891,Archive,10,10,2,10,8,8.0,4,8,Germany
1891,Flow,8,9,4,8,8,8.0,5,8,Germany
1892,Helm,5,7,6,7,7,8.0,6,8,Germany
1892,Shield,9,9,3,9,9,9.0,3,8,Germany
1892,Lore,6,9,5,10,7,8.0,4,9,Germany
1892,Stewards,7,9,4,8,7,8.0,5,8,Germany
1892,Craft,8,9,3,8,8,9.0,4,9,Germany
1892,Hands,6,7,5,6,5,7.0,7,6,Germany
1892,Archive,10,10,2,10,8,8.0,4,8,Germany
1892,Flow,8,9,4,8,8,9.0,5,8,Germany
1893,Helm,5,7,6,7,6,8.0,7,8,Germany
1893,Shield,9,10,3,9,9,9.0,3,8,Germany
1893,Lore,6,9,5,10,7,8.0,4,9,Germany
1893,Stewards,7,9,4,8,7,8.0,5,8,Germany
1893,Craft,8,9,3,8,8,9.0,4,9,Germany
1893,Hands,6,7,5,6,5,8.0,7,6,Germany
1893,Archive,10,10,2,10,8,8.0,4,8,Germany
1893,Flow,8,9,4,8,8,9.0,5,8,Germany
1894,Helm,4,7,7,7,6,7.0,7,8,Germany
1894,Shield,9,10,3,9,9,9.0,3,8,Germany
1894,Lore,6,9,5,10,7,8.0,4,9,Germany
1894,Stewards,7,9,4,8,7,8.0,5,8,Germany
1894,Craft,8,9,3,8,8,9.0,4,9,Germany
1894,Hands,6,7,5,6,5,8.0,7,6,Germany
1894,Archive,10,10,2,10,8,8.0,4,8,Germany
1894,Flow,8,9,4,8,8,9.0,5,8,Germany
1895,Helm,5,7,6,7,6,7.0,7,8,Germany
1895,Shield,9,10,3,9,9,9.0,3,8,Germany
1895,Lore,7,10,5,10,7,8.0,4,9,Germany
1895,Stewards,8,9,3,8,7,8.0,5,8,Germany
1895,Craft,8,9,3,9,8,9.0,4,9,Germany
1895,Hands,6,7,5,6,5,8.0,8,6,Germany
1895,Archive,10,10,2,10,8,8.0,4,8,Germany
1895,Flow,9,9,3,9,8,9.0,5,8,Germany
1896,Helm,5,7,6,7,6,7.0,7,8,Germany
1896,Shield,9,10,3,9,9,9.0,3,8,Germany
1896,Lore,7,10,5,10,7,8.0,5,9,Germany
1896,Stewards,8,9,3,8,7,8.0,5,8,Germany
1896,Craft,8,9,3,9,8,9.0,4,9,Germany
1896,Hands,6,7,5,6,4,8.0,8,6,Germany
1896,Archive,10,10,2,10,8,8.0,4,8,Germany
1896,Flow,9,9,3,9,8,9.0,5,8,Germany
1897,Helm,4,7,6,8,6,7.0,7,8,Germany
1897,Shield,9,10,3,10,9,9.0,3,8,Germany
1897,Lore,7,10,4,10,7,8.0,4,9,Germany
1897,Stewards,8,10,3,9,7,8.0,5,8,Germany
1897,Craft,9,10,3,9,8,9.0,4,9,Germany
1897,Hands,6,8,5,7,4,8.0,8,6,Germany
1897,Archive,10,10,2,10,8,8.0,4,8,Germany
1897,Flow,9,10,3,9,8,9.0,5,8,Germany
1898,Helm,5,8,6,8,6,7.0,7,8,Germany
1898,Shield,10,10,3,10,9,9.0,3,8,Germany
1898,Lore,7,10,4,10,7,8.0,4,9,Germany
1898,Stewards,8,10,3,9,7,8.0,5,8,Germany
1898,Craft,9,10,3,9,8,9.0,4,9,Germany
1898,Hands,6,8,5,7,4,8.0,8,6,Germany
1898,Archive,10,10,2,10,8,8.0,4,8,Germany
1898,Flow,9,10,3,10,8,9.0,5,8,Germany
1899,Helm,5,8,6,8,6,7.0,7,8,Germany
1899,Shield,10,10,3,10,9,9.0,3,8,Germany
1899,Lore,7,10,4,10,7,8.0,4,9,Germany
1899,Stewards,8,10,3,9,7,9.0,5,8,Germany
1899,Craft,9,10,3,9,8,9.0,4,9,Germany
1899,Hands,6,8,5,7,4,8.0,8,6,Germany
1899,Archive,10,10,2,10,8,8.0,4,8,Germany
1899,Flow,9,10,3,10,8,9.0,5,8,Germany
1900,Helm,6,8,5,8,7,7.0,6,8,Germany
1900,Shield,10,10,3,10,9,9.0,3,8,Germany
1900,Lore,8,10,3,10,7,8.0,4,9,Germany
1900,Stewards,9,10,2,10,7,9.0,5,8,Germany
1900,Craft,9,10,2,10,8,9.0,4,9,Germany
1900,Hands,6,8,4,7,4,8.0,8,6,Germany
1900,Archive,10,10,2,10,8,8.0,4,8,Germany
1900,Flow,10,10,2,10,8,9.0,5,9,Germany
1901,Helm,6,8,5,8,7,7.0,6,8,Germany
1901,Shield,10,10,3,10,9,9.0,3,8,Germany
1901,Lore,9,10,2,10,7,8.0,4,9,Germany
1901,Stewards,9,10,2,10,7,9.0,5,8,Germany
1901,Craft,9,10,2,10,8,9.0,4,9,Germany
1901,Hands,6,8,4,7,4,8.0,8,6,Germany
1901,Archive,10,10,2,10,8,8.0,4,8,Germany
1901,Flow,10,10,2,10,8,9.0,5,9,Germany
1902,Helm,6,8,5,8,7,7.0,6,8,Germany
1902,Shield,10,10,3,10,9,9.0,3,8,Germany
1902,Lore,9,10,2,10,7,8.0,4,9,Germany
1902,Stewards,9,10,2,10,7,9.0,5,8,Germany
1902,Craft,9,10,2,10,9,9.0,4,9,Germany
1902,Hands,6,8,4,7,4,8.0,8,6,Germany
1902,Archive,10,10,2,10,8,8.0,4,8,Germany
1902,Flow,10,10,2,10,8,9.0,5,9,Germany
1903,Helm,6,8,5,8,7,7.0,6,8,Germany
1903,Shield,10,10,3,10,9,9.0,3,8,Germany
1903,Lore,9,10,2,10,7,8.0,4,9,Germany
1903,Stewards,9,10,2,10,7,9.0,5,8,Germany
1903,Craft,9,10,2,10,9,9.0,4,9,Germany
1903,Hands,6,8,4,7,4,8.0,8,6,Germany
1903,Archive,10,10,2,10,8,8.0,4,8,Germany
1903,Flow,10,10,2,10,8,9.0,5,9,Germany
1904,Helm,5,8,6,8,7,7.0,6,8,Germany
1904,Shield,10,10,5,10,9,9.0,3,8,Germany
1904,Lore,9,10,3,10,7,8.0,4,9,Germany
1904,Stewards,9,10,3,10,7,9.0,5,8,Germany
1904,Craft,9,10,2,10,9,9.0,4,9,Germany
1904,Hands,6,8,5,7,4,8.0,8,6,Germany
1904,Archive,10,10,2,10,8,8.0,4,8,Germany
1904,Flow,10,10,3,10,8,9.0,5,9,Germany
1905,Helm,5,8,7,9,6,7.0,7,8,Germany
1905,Shield,10,10,6,10,9,9.0,3,8,Germany
1905,Lore,9,10,3,10,7,8.0,4,9,Germany
1905,Stewards,9,10,3,10,7,9.0,5,8,Germany
1905,Craft,9,10,2,10,9,9.0,4,9,Germany
1905,Hands,6,8,5,7,4,8.0,8,6,Germany
1905,Archive,10,10,2,10,8,8.0,4,8,Germany
1905,Flow,10,10,4,10,8,9.0,5,9,Germany
1906,Helm,6,9,6,9,6,7.0,7,8,Germany
1906,Shield,10,10,5,10,9,9.0,3,8,Germany
1906,Lore,9,10,3,10,7,8.0,5,9,Germany
1906,Stewards,9,10,3,10,7,9.0,5,8,Germany
1906,Craft,9,10,2,10,9,9.0,4,9,Germany
1906,Hands,6,8,5,7,4,8.0,8,6,Germany
1906,Archive,10,10,2,10,8,8.0,4,8,Germany
1906,Flow,10,10,3,10,8,9.0,5,9,Germany
1907,Helm,6,8,5,8,6,7.0,7,8,Germany
1907,Shield,10,10,4,10,9,9.0,3,8,Germany
1907,Lore,9,10,2,10,7,8.0,5,9,Germany
1907,Stewards,9,10,3,10,7,9.0,5,8,Germany
1907,Craft,9,10,2,10,9,9.0,4,9,Germany
1907,Hands,6,8,5,7,4,8.0,8,6,Germany
1907,Archive,10,10,2,10,8,8.0,4,8,Germany
1907,Flow,10,10,3,10,8,9.0,5,9,Germany
1908,Helm,3,5,8,7,5,7.0,8,8,Germany
1908,Shield,10,10,5,10,9,9.0,3,8,Germany
1908,Lore,9,10,2,10,7,8.0,5,9,Germany
1908,Stewards,9,10,4,10,7,9.0,5,8,Germany
1908,Craft,9,10,2,10,9,9.0,4,9,Germany
1908,Hands,6,8,5,7,4,8.0,8,6,Germany
1908,Archive,10,10,2,10,8,8.0,4,8,Germany
1908,Flow,10,9,5,10,8,9.0,5,9,Germany
1909,Helm,4,6,7,7,6,7.0,7,8,Germany
1909,Shield,10,10,5,10,9,9.0,3,8,Germany
1909,Lore,10,10,2,10,7,8.0,5,9,Germany
1909,Stewards,8,9,4,9,7,9.0,5,8,Germany
1909,Craft,9,10,2,10,9,9.0,4,9,Germany
1909,Hands,6,8,5,7,4,8.0,8,6,Germany
1909,Archive,10,10,2,10,8,8.0,4,8,Germany
1909,Flow,9,9,4,9,8,9.0,5,9,Germany
1910,Helm,5,7,6,7,6,7.0,7,8,Germany
1910,Shield,10,10,5,10,9,9.0,3,9,Germany
1910,Lore,10,10,2,10,7,8.0,5,9,Germany
1910,Stewards,9,10,3,9,7,9.0,5,8,Germany
1910,Craft,9,10,2,10,9,9.0,4,9,Germany
1910,Hands,7,8,5,7,4,8.0,9,6,Germany
1910,Archive,10,10,2,10,8,8.0,4,8,Germany
1910,Flow,9,10,4,9,8,9.0,5,9,Germany
1911,Helm,5,7,7,8,6,7.0,7,8,Germany
1911,Shield,9,10,6,10,9,9.0,3,9,Germany
1911,Lore,10,10,2,10,7,8.0,5,9,Germany
1911,Stewards,8,9,7,9,7,9.0,5,8,Germany
1911,Craft,9,10,2,10,9,9.0,4,9,Germany
1911,Hands,7,8,5,7,4,8.0,9,6,Germany
1911,Archive,10,10,2,10,8,8.0,4,8,Germany
1911,Flow,8,8,7,9,8,9.0,5,9,Germany
1912,Helm,4,7,7,8,6,7.0,7,8,Germany
1912,Shield,10,10,5,10,9,9.0,3,9,Germany
1912,Lore,10,10,2,10,7,8.0,5,9,Germany
1912,Stewards,9,10,3,10,7,9.0,5,8,Germany
1912,Craft,10,10,2,10,9,9.0,4,9,Germany
1912,Hands,8,9,5,8,4,8.0,9,6,Germany
1912,Archive,10,10,2,10,8,8.0,4,8,Germany
1912,Flow,9,10,3,10,8,9.0,5,9,Germany
1913,Helm,4,6,8,8,6,7.0,7,8,Germany
1913,Shield,10,10,6,10,9,9.0,3,9,Germany
1913,Lore,10,10,2,10,7,8.0,5,9,Germany
1913,Stewards,9,10,4,10,7,9.0,5,8,Germany
1913,Craft,10,10,2,10,9,9.0,4,9,Germany
1913,Hands,8,9,5,8,4,8.0,9,6,Germany
1913,Archive,10,10,2,10,8,8.0,4,8,Germany
1913,Flow,9,10,4,10,8,9.0,5,9,Germany
1914,Helm,7,8,9,9,8,8.0,5,8,Germany
1914,Shield,10,10,10,10,9,9.0,4,8,Germany
1914,Lore,8,9,5,10,7,8.0,5,9,Germany
1914,Stewards,7,8,7,10,7,8.0,5,8,Germany
1914,Craft,9,9,4,10,8,9.0,4,9,Germany
1914,Hands,9,9,5,8,6,8.0,6,6,Germany
1914,Archive,10,10,4,10,8,8.0,4,8,Germany
1914,Flow,6,7,9,10,8,8.0,5,8,Germany
1915,Helm,8,9,5,8,8,8.0,6,8,Germany
1915,Shield,10,10,6,10,9,9.0,4,8,Germany
1915,Lore,8,8,5,9,7,7.0,6,9,Germany
1915,Stewards,8,9,6,9,6,7.0,7,8,Germany
1915,Craft,9,9,5,10,8,8.0,5,9,Germany
1915,Hands,7,8,7,7,5,7.0,7,6,Germany
1915,Archive,10,10,3,10,8,8.0,5,8,Germany
1915,Flow,4,5,9,8,7,7.0,6,8,Germany
1916,Helm,7,9,6,8,7,7.0,7,8,Germany
1916,Shield,10,10,7,10,8,9.0,5,8,Germany
1916,Lore,8,8,6,9,6,7.0,7,9,Germany
1916,Stewards,7,8,7,9,5,6.0,8,8,Germany
1916,Craft,9,9,6,10,7,8.0,6,9,Germany
1916,Hands,6,7,8,7,5,6.0,8,6,Germany
1916,Archive,10,10,4,10,7,8.0,6,8,Germany
1916,Flow,3,4,10,8,6,7.0,7,8,Germany
1917,Helm,6,8,8,8,6,6.0,8,8,Germany
1917,Shield,9,9,8,10,8,8.0,6,8,Germany
1917,Lore,7,7,7,9,6,6.0,8,9,Germany
1917,Stewards,6,7,8,9,4,5.0,9,7,Germany
1917,Craft,8,8,7,10,6,7.0,7,9,Germany
1917,Hands,5,6,9,7,4,5.0,9,5,Germany
1917,Archive,10,9,5,10,7,7.0,7,8,Germany
1917,Flow,2,3,10,8,5,6.0,8,7,Germany
1918,Helm,3,4,10,7,4,4.0,9,7,Germany
1918,Shield,4,5,10,8,6,6.0,9,7,Germany
1918,Lore,5,6,8,9,5,5.0,9,8,Germany
1918,Stewards,4,5,9,8,3,4.0,10,6,Germany
1918,Craft,6,7,8,9,5,5.0,9,8,Germany
1918,Hands,3,5,10,7,3,4.0,10,5,Germany
1918,Archive,8,8,7,10,6,6.0,8,7,Germany
1918,Flow,2,2,10,8,4,4.0,9,6,Germany
1919,Helm,4,5,9,7,5,5.0,8,7,Germany
1919,Shield,3,3,10,6,4,5.0,9,6,Germany
1919,Lore,6,6,8,9,6,6.0,7,8,Germany
1919,Stewards,4,4,9,8,4,5.0,9,7,Germany
1919,Craft,6,6,8,9,5,6.0,8,8,Germany
1919,Hands,5,5,9,6,5,6.0,8,6,Germany
1919,Archive,8,7,7,9,7,7.0,7,8,Germany
1919,Flow,3,3,9,8,5,5.0,8,7,Germany
1920,Helm,3,5,8,7,5,6.0,8,7,Germany
1920,Shield,4,4,8,7,5,6.0,8,6,Germany
1920,Lore,7,7,6,9,6,7.0,7,8,Germany
1920,Stewards,5,5,8,8,5,6.0,8,7,Germany
1920,Craft,7,7,7,9,6,7.0,7,8,Germany
1920,Hands,6,6,8,7,5,6.0,8,6,Germany
1920,Archive,9,8,5,9,7,7.0,7,8,Germany
1920,Flow,4,4,8,8,5,6.0,8,7,Germany
1921,Helm,4,5,7,7,5,5.0,8,7,Germany
1921,Shield,4,4,7,7,5,6.0,8,6,Germany
1921,Lore,7,7,5,9,6,7.0,7,8,Germany
1921,Stewards,5,5,7,8,4,5.0,9,7,Germany
1921,Craft,7,7,6,9,6,7.0,7,8,Germany
1921,Hands,6,6,7,7,4,5.0,9,6,Germany
1921,Archive,9,8,5,9,7,7.0,7,8,Germany
1921,Flow,5,5,7,8,5,5.0,8,7,Germany
1922,Helm,4,5,8,7,4,5.0,9,7,Germany
1922,Shield,4,4,7,7,5,6.0,8,6,Germany
1922,Lore,7,7,5,9,6,6.0,8,8,Germany
1922,Stewards,4,4,9,8,4,5.0,9,7,Germany
1922,Craft,7,7,6,9,5,6.0,8,8,Germany
1922,Hands,5,5,9,7,4,5.0,9,6,Germany
1922,Archive,9,8,5,9,7,7.0,7,8,Germany
1922,Flow,3,4,10,8,4,5.0,9,7,Germany
1923,Helm,3,4,10,7,3,3.0,10,6,Germany
1923,Shield,4,4,8,7,4,4.0,10,6,Germany
1923,Lore,6,6,7,9,5,5.0,9,8,Germany
1923,Stewards,2,3,10,8,2,3.0,10,6,Germany
1923,Craft,6,6,8,9,4,4.0,10,7,Germany
1923,Hands,3,4,10,7,3,4.0,10,5,Germany
1923,Archive,8,7,7,9,6,6.0,9,7,Germany
1923,Flow,1,2,10,8,3,3.0,10,6,Germany
1924,Helm,4,6,7,7,5,5.0,7,7,Germany
1924,Shield,5,5,6,7,5,6.0,7,6,Germany
1924,Lore,7,8,5,9,6,7.0,6,8,Germany
1924,Stewards,5,6,6,8,5,6.0,7,7,Germany
1924,Craft,8,8,5,9,6,7.0,6,8,Germany
1924,Hands,6,6,6,7,5,6.0,7,6,Germany
1924,Archive,9,9,4,10,7,7.0,6,8,Germany
1924,Flow,6,6,6,8,6,7.0,6,8,Germany
1925,Helm,5,7,6,8,6,6.0,6,8,Germany
1925,Shield,5,6,5,8,6,7.0,6,7,Germany
1925,Lore,8,9,4,10,7,8.0,5,9,Germany
1925,Stewards,7,8,5,9,6,7.0,6,8,Germany
1925,Craft,8,9,4,10,7,8.0,5,9,Germany
1925,Hands,7,7,5,7,6,7.0,6,6,Germany
1925,Archive,10,10,3,10,8,8.0,5,8,Germany
1925,Flow,7,8,5,9,7,8.0,5,8,Germany
1926,Helm,6,6,4,7,7,7.0,5,8,Germany
1926,Shield,8,5,3,7,7,7.0,5,7,Germany
1926,Lore,8,9,3,10,7,8.0,5,9,Germany
1926,Stewards,7,7,4,8,7,8.0,5,8,Germany
1926,Craft,8,8,3,8,8,8.0,5,9,Germany
1926,Hands,7,7,5,6,6,7.0,6,6,Germany
1926,Archive,9,9,2,9,8,8.0,5,8,Germany
1926,Flow,7,7,4,8,7,8.0,5,9,Germany
1927,Archive,9,9,2,9,8,8.0,4,8,Germany
1928,Helm,6,6,4,7,7,7.0,5,8,Germany
1929,Flow,5,6,8,8,8,8.0,6,9,Germany
1930,Helm,3,4,9,6,5,6.0,8,8,Germany
1930,Hands,3,4,10,5,4,6.0,9,6,Germany
1931,Flow,2,3,10,7,5,6.0,9,8,Germany
1932,Stewards,3,4,9,7,3,4.0,10,7,Germany
1933,Helm,7,7,7,7,7,7.0,7,8,Germany
1933,Lore,4,6,8,7,6,7.0,8,9,Germany
1934,Shield,9,8,4,9,9,8.0,5,8,Germany
1935,Shield,8,8,4,9,9,9.0,4,8,Germany
1936,Helm,8,9,4,8,9,9.0,4,9,Germany
1936,Shield,8,9,4,10,9,9.0,4,8,Germany
1936,Archive,10,10,2,10,8,8.0,5,8,Germany
1936,Flow,7,8,6,8,8,8.0,5,8,Germany
1926,Helm,6,6,4,7,7,7.0,5,8,Germany
1926,Shield,8,5,3,7,7,7.0,5,7,Germany
1926,Lore,8,9,3,10,7,8.0,5,9,Germany
1926,Stewards,7,7,4,8,7,8.0,5,8,Germany
1926,Craft,8,8,3,8,8,8.0,5,9,Germany
