Society_ID,T_Offset,V_Mean_Calc,V_Min_Calc,V_Mean_Delta,V_Mean,V_Min,Lambda2,B_Mean,s_min,Min_Node,T_int,T_minus5_str,T_minus1_str,Lambda2_5ago,B_Mean_prev,DeltaLambda2_5yr,B_Rising,Start_Year,Society,Year,Inflection_Type,EP_Pred,Confidence,GT_EP,GT_Conf,GT_Note,Correct
Society_E,T+97,5.037,1.1,-3.313,5.0375,1.1,0.8188,0.1376,-0.9984,Flow,97,T+92,T+96,1.5922,0.1938,-0.7734,False,1875,Chile,1972,SYSTEMIC_CRISIS_ENTRY,EP-6,Moderate-High,EP-5,H,"Truckers strike, opposition mobilisation",False
Society_E,T+98,2.525,-0.4,-2.512,2.525,-0.4,0.6123,0.0972,-0.8624,Hands,98,T+93,T+97,1.4729,0.1376,-0.8606,False,1875,Chile,1973,SYSTEMIC_CRISIS_ENTRY,EP-6,Moderate-High,EP-4,H,Pinochet coup Sept 1973: armed conflict / state violence,False
Society_E,T+99,4.312,-0.3,1.7870000000000004,4.3125,-0.3,0.6739,0.1188,-0.456,Hands,99,T+94,T+98,1.462,0.0972,-0.7881,True,1875,Chile,1974,COLLAPSE,EP-3,Moderate,EP-3,H,"Shock therapy economics, market restructuring",True
Society_E,T+101,7.137,1.1,1.9239999999999997,7.1375,1.1,0.9219,0.1705,-0.288,Hands,101,T+96,T+100,1.0629,0.1348,-0.141,True,1875,Chile,1976,SHARP_RECOVERY,EP-1,High,EP-1,M,"Pinochet stabilisation, economic recovery",True
Society_E,T+104,9.662,2.6,1.774000000000001,9.6625,2.6,1.1435,0.2218,-0.192,Hands,104,T+99,T+103,0.6739,0.1811,0.4696,True,1875,Chile,1979,SHARP_RECOVERY,EP-1,High,EP-1,H,"Chilean economic miracle, growth",True
Society_E,T+107,4.65,-2.2,-5.337999999999999,4.65,-2.2,0.7486,0.131,-0.8,Hands,107,T+102,T+106,0.9278,0.2275,-0.1792,False,1875,Chile,1982,SYSTEMIC_CRISIS_ENTRY,EP-6,Moderate-High,EP-3,H,"Debt crisis, economic collapse",False
Society_E,T+109,6.975,2.3,2.063,6.975,2.3,1.0542,0.1705,-0.384,Hands,109,T+104,T+108,1.1435,0.1341,-0.0893,True,1875,Chile,1984,SHARP_RECOVERY,EP-1,High,EP-1,H,Economic recovery under Pinochet,True
Society_E,T+113,9.95,7.2,1.049999999999999,9.95,7.2,1.4498,0.2242,-0.07,Hands,113,T+108,T+112,0.8282,0.2028,0.6216,True,1875,Chile,1988,NODE_FAILURE_CROSSING,EP-3,Moderate,EP-5,H,"No plebiscite: mass civic action, Pinochet defeated",False
Society_E,T+114,11.613,7.6,1.6630000000000005,11.6125,7.6,1.7482,0.2715,0.12,Hands,114,T+109,T+113,1.0542,0.2242,0.694,True,1875,Chile,1989,SHARP_RECOVERY,EP-1,High,EP-2,H,Transition to democracy; Aylwin election - elite realignment,False
Society_E,T+144,7.713,5.1,-5.037,7.7125,5.1,1.0763,0.1661,-0.672,Helm,144,T+139,T+143,1.8319,0.2988,-0.7556,False,1875,Chile,2019,COLLAPSE,EP-6,Moderate,EP-5,H,"Estallido social: mass protests, constitutional process",False
Society_B,T+35,10.387,5.7,-2.187999999999999,10.3875,5.7,1.3752,0.2235,-0.3974,Flow,35,T+30,T+34,1.843,0.2657,-0.4678,False,1880,Germany,1915,COLLAPSE,EP-3,Moderate,EP-4,H,"WWI active combat: Verdun approaches, Gallipoli parallel",False
Society_B,T+36,8.45,3.5,-1.9370000000000007,8.45,3.5,1.1352,0.1812,-0.4939,Flow,36,T+31,T+35,1.8062,0.2235,-0.671,False,1880,Germany,1916,COLLAPSE,EP-3,Moderate,EP-4,H,"Verdun, Somme: mass armed conflict",False
Society_B,T+37,5.8,0.3,-2.6499999999999995,5.8,0.3,0.8696,0.1422,-0.672,Flow,37,T+32,T+36,1.8534,0.1812,-0.9838,False,1880,Germany,1917,SYSTEMIC_CRISIS_ENTRY,EP-6,Moderate-High,EP-4,M,WWI continued; Russian Revolution shifts Eastern front,False
Society_B,T+38,1.7,-2.2,-4.1,1.7,-2.2,0.5998,0.0938,-0.8525,Flow,38,T+33,T+37,1.8781,0.1422,-1.2783,False,1880,Germany,1918,SYSTEMIC_CRISIS_ENTRY,EP-6,Moderate-High,EP-6,H,Kaiser abdicates; Weimar proclaimed; armistice,True
Society_B,T+43,-1.1,-5.0,-2.988,-1.1,-5.0,0.3555,0.067,-1.0322,Stewards,43,T+38,T+42,0.5998,0.0979,-0.2443,False,1880,Germany,1923,SYSTEMIC_CRISIS_ENTRY,EP-6,Moderate-High,EP-3,H,"Hyperinflation, Ruhr occupation, economic collapse",False
Society_B,T+44,6.088,3.0,7.188000000000001,6.0875,3.0,1.0529,0.1655,-0.4224,Hands,44,T+39,T+43,0.6589,0.067,0.394,True,1880,Germany,1924,SHARP_RECOVERY,EP-1,High,EP-2,H,"Dawes Plan, Stresemann stabilisation, political realignment",False
Society_B,T+45,9.8,5.9,3.7120000000000006,9.8,5.9,1.5013,0.2342,-0.0774,Shield,45,T+40,T+44,0.7072,0.1655,0.7941,True,1880,Germany,1925,SHARP_RECOVERY,EP-1,High,EP-1,H,"Locarno spirit, stabilisation, recovery",True
Society_B,T+49,7.512,3.2,-3.063,7.5125,3.2,1.0923,0.1771,-0.3942,Hands,49,T+44,T+48,1.0529,0.2518,0.0394,False,1880,Germany,1929,COLLAPSE,EP-3,Moderate,EP-3,H,"Wall Street crash impact, Weimar crisis onset",True
Society_B,T+50,5.225,1.2,-2.287,5.225,1.2,0.9034,0.1443,-0.887,Hands,50,T+45,T+49,1.5013,0.1771,-0.5979,False,1880,Germany,1930,SYSTEMIC_CRISIS_ENTRY,EP-6,Moderate-High,EP-3,H,"Depression, mass unemployment, but Weimar survives 1930",False
Society_B,T+51,3.388,-0.9,-1.837,3.3875,-0.9,0.7077,0.1182,-0.909,Hands,51,T+46,T+50,1.5149,0.1443,-0.8072,False,1880,Germany,1931,SYSTEMIC_CRISIS_ENTRY,EP-6,Moderate-High,EP-3,H,"Banking collapse, Brüning austerity - economic not yet EP-6",False
Society_B,T+52,1.6,-2.4,-1.7879999999999998,1.6,-2.4,0.6129,0.0983,-0.7286,Flow,52,T+47,T+51,1.5909,0.1182,-0.978,False,1880,Germany,1932,SYSTEMIC_CRISIS_ENTRY,EP-6,Moderate-High,EP-6,H,"Weimar functionally collapses: July Coup Prussia, Nazi plurality",True
Society_B,T+53,9.688,7.5,8.088000000000001,9.6875,7.5,1.3444,0.2227,-0.1901,Lore,53,T+48,T+52,1.5509,0.0983,-0.2065,True,1880,Germany,1933,SHARP_RECOVERY,EP-1,High,EP-6,H,"Hitler appointed, Reichstag fire, Enabling Act: regime change",False
Society_B,T+54,12.087,6.2,2.398999999999999,12.0875,6.2,1.4926,0.2749,-0.1958,Lore,54,T+49,T+53,1.0923,0.2227,0.4003,True,1880,Germany,1934,SHARP_RECOVERY,EP-1,High,EP-4,H,"Night of Long Knives: state violence, SS consolidation",False
Society_B,T+55,13.75,6.4,1.6630000000000005,13.75,6.4,1.6689,0.3168,-0.3427,Lore,55,T+50,T+54,0.9034,0.2749,0.7655,True,1880,Germany,1935,SHARP_RECOVERY,EP-1,High,EP-4,H,"Nuremberg Laws, rearmament, coercive state action",False
Society_B,T+61,13.037,9.4,-2.0379999999999985,13.0375,9.4,1.6351,0.268,0.16,Lore,61,T+56,T+60,2.0461,0.3423,-0.411,False,1880,Germany,1941,COLLAPSE,EP-5,Moderate,EP-4,H,Operation Barbarossa: massive armed conflict,False
Society_B,T+62,10.988,7.5,-2.0490000000000013,10.9875,7.5,1.3995,0.2258,-0.444,Lore,62,T+57,T+61,2.019,0.268,-0.6195,False,1880,Germany,1942,COLLAPSE,EP-5,Moderate,EP-4,H,Stalingrad campaign: armed conflict,False
Society_B,T+63,8.2,3.7,-2.7880000000000003,8.2,3.7,1.0775,0.1742,-0.457,Hands,63,T+58,T+62,1.6814,0.2258,-0.6039,False,1880,Germany,1943,COLLAPSE,EP-3,Moderate,EP-4,H,"Stalingrad defeat, bombing campaign, armed conflict",False
Society_B,T+64,5.338,1.4,-2.861999999999999,5.3375,1.4,0.8512,0.1382,-1.5456,Flow,64,T+59,T+63,1.8637,0.1742,-1.0125,False,1880,Germany,1944,SYSTEMIC_CRISIS_ENTRY,EP-6,Moderate-High,EP-4,H,"D-Day, Valkyrie plot, Allied advance: armed conflict",False
Society_B,T+65,-4.525,-6.0,-9.863,-4.525,-6.0,0.2649,0.042,-0.5184,Helm,65,T+60,T+64,1.9361,0.1382,-1.6712,False,1880,Germany,1945,SYSTEMIC_CRISIS_ENTRY,EP-6,Moderate-High,EP-6,H,"Unconditional surrender, Allied occupation, regime collapse",True
Society_B,T+66,-0.512,-2.4,4.013,-0.5125,-2.4,0.48,0.078,-0.535,Flow,66,T+61,T+65,1.6351,0.042,-1.1551,True,1880,Germany,1946,COLLAPSE,EP-3,Moderate,EP-2,H,"Denazification, occupation zones restructuring",False
Society_B,T+67,1.337,-0.8,1.849,1.3375,-0.8,0.6236,0.0948,-0.6365,Shield,67,T+62,T+66,1.3995,0.078,-0.7759,True,1880,Germany,1947,COLLAPSE,EP-4,Moderate,EP-4,M,"Cold War coercion: Truman Doctrine, Berlin tension",True
Society_B,T+68,5.088,2.7,3.751,5.0875,2.7,0.9397,0.149,-0.4453,Shield,68,T+63,T+67,1.0775,0.0948,-0.1378,True,1880,Germany,1948,SHARP_RECOVERY,EP-1,High,EP-1,H,"Currency reform, Marshall Plan, stabilisation",True
Society_B,T+69,7.9,2.5,2.8120000000000003,7.9,2.5,1.2219,0.1987,-0.3276,Shield,69,T+64,T+68,0.8512,0.149,0.3707,True,1880,Germany,1949,SHARP_RECOVERY,EP-1,High,EP-2,H,FRG / GDR founded: institutional realignment,False
Society_B,T+72,11.175,5.8,1.075000000000001,11.175,5.8,1.664,0.2646,0.0518,Shield,72,T+67,T+71,0.6236,0.2404,1.0404,True,1880,Germany,1952,NODE_FAILURE_CROSSING,EP-4,Moderate,EP-1,H,"NATO accession process, Adenauer consolidation",False
Society_B,T+103,13.925,11.2,1.9250000000000007,13.925,11.2,2.0699,0.3264,0.8064,Hands,103,T+98,T+102,1.8603,0.2734,0.2096,True,1880,Germany,1983,SHARP_RECOVERY,EP-1,High,EP-2,H,Kohl / CDU-CSU takes power: elite realignment,False
Society_B,T+110,11.925,8.5,-2.187999999999999,11.925,8.5,1.5242,0.2501,-0.062,Hands,110,T+105,T+109,2.0382,0.3209,-0.514,False,1880,Germany,1990,COLLAPSE,EP-3,Moderate,EP-2,H,Reunification: massive elite/institutional realignment,False
Society_B,T+114,11.912,7.6,1.524000000000001,11.9125,7.6,1.6412,0.2635,0.0922,Hands,114,T+109,T+113,2.0236,0.2305,-0.3824,True,1880,Germany,1994,SHARP_RECOVERY,EP-1,High,EP-2,M,Post-reunification political adjustment,False
Society_B,T+125,13.6,8.4,2.0,13.6,8.4,1.9279,0.312,0.24,Hands,125,T+120,T+124,1.6203,0.2515,0.3076,True,1880,Germany,2005,SHARP_RECOVERY,EP-1,High,EP-2,H,Schroeder to Merkel transition: elite realignment,False
Society_B,T+130,13.163,11.5,2.276,13.1625,11.5,1.838,0.2919,0.8976,Hands,130,T+125,T+129,1.9279,0.2368,-0.0899,True,1880,Germany,2010,SHARP_RECOVERY,EP-1,High,EP-1,H,"Post-GFC recovery, Merkel consolidation",True
Society_B,T+140,10.038,5.5,-2.286999999999999,10.0375,5.5,1.3219,0.2132,-0.5184,Hands,140,T+135,T+139,1.5351,0.2804,-0.2132,False,1880,Germany,2020,COLLAPSE,EP-3,Moderate,EP-3,H,COVID economic shock,True
Society_B,T+142,8.225,5.1,-2.875,8.225,5.1,1.1412,0.1843,-0.756,Hands,142,T+137,T+141,1.6061,0.2332,-0.4649,False,1880,Germany,2022,COLLAPSE,EP-3,Moderate,EP-3,H,"Energy crisis, Ukraine war economic shock",True
Society_G,T+25,12.963,10.1,3.5249999999999986,12.9625,10.1,2.0619,0.3308,0.522,Shield,25,T+20,T+24,1.4555,0.2305,0.6064,True,1880,Norway,1905,SHARP_RECOVERY,EP-1,High,EP-2,H,Dissolution of union with Sweden: negotiated elite realignment,False
Society_G,T+34,7.213,3.8,-5.374999999999999,7.2125,3.8,1.1842,0.1805,-0.988,Flow,34,T+29,T+33,1.9687,0.3086,-0.7845,False,1880,Norway,1914,COLLAPSE,EP-3,Moderate,EP-3,H,WWI shipping disruptions (Norway neutral),True
Society_G,T+39,7.463,5.4,0.125,7.4625,5.4,1.1844,0.1929,-0.468,Stewards,39,T+34,T+38,1.1842,0.1836,0.0002,True,1880,Norway,1919,NODE_FAILURE_CROSSING,EP-6,Moderate,EP-5,M,"Labour movement peak, revolutionary committees, strikes",False
Society_G,T+49,2.375,-2.8,-5.588,2.375,-2.8,0.6495,0.1124,-0.6451,Flow,49,T+44,T+48,1.2611,0.1992,-0.6116,False,1880,Norway,1929,SYSTEMIC_CRISIS_ENTRY,EP-6,Moderate-High,EP-3,H,Great Depression,False
Society_G,T+54,9.15,4.6,5.775,9.15,4.6,1.3834,0.2244,-0.1824,Shield,54,T+49,T+53,0.6495,0.1195,0.7339,True,1880,Norway,1934,SHARP_RECOVERY,EP-1,High,EP-1,H,"Depression recovery, Labour stabilisation",True
Society_G,T+58,9.025,3.6,-0.125,9.025,3.6,1.3503,0.2211,-0.3344,Shield,58,T+53,T+57,0.712,0.2244,0.6383,False,1880,Norway,1938,NODE_FAILURE_CROSSING,EP-4,Moderate,EP-4,M,"Rearmament, European crisis mobilisation",True
Society_G,T+60,0.1,-6.0,-8.675,0.1,-6.0,0.3951,0.0747,-0.4704,Shield,60,T+55,T+59,1.4493,0.2138,-1.0542,False,1880,Norway,1940,SYSTEMIC_CRISIS_ENTRY,EP-4,Moderate-High,EP-4,H,Nazi invasion April 1940,True
Society_G,T+61,2.213,-4.4,2.113,2.2125,-4.4,0.5756,0.1044,-0.6048,Shield,61,T+56,T+60,1.4288,0.0747,-0.8532,True,1880,Norway,1941,COLLAPSE,EP-4,Moderate,EP-4,H,"Resistance, occupation, Quisling coercion",True
Society_G,T+65,13.15,10.9,10.687,13.15,10.9,2.0269,0.3265,0.682,Stewards,65,T+60,T+64,0.3951,0.1086,1.6318,True,1880,Norway,1945,SHARP_RECOVERY,EP-1,High,EP-1,H,"Liberation, reconstruction, return to sovereignty",True
Society_G,T+92,8.963,2.5,-3.25,8.9625,2.5,1.2734,0.2207,-0.8,Helm,92,T+87,T+91,1.8804,0.2959,-0.607,False,1880,Norway,1972,COLLAPSE,EP-6,Moderate,EP-5,H,"EEC referendum: mass mobilisation, ""No"" vote",False
Society_G,T+93,9.463,4.5,0.5,9.4625,4.5,1.414,0.2301,-0.75,Helm,93,T+88,T+92,1.8804,0.2207,-0.4664,True,1880,Norway,1973,HOLLOW_HIGH_V,EP-2,High,EP-2,M,Oil policy formation post-OPEC; elite realignment,True
Society_G,T+94,14.825,10.1,5.362,14.825,10.1,2.2465,0.358,0.522,Shield,94,T+89,T+93,1.9089,0.2301,0.3376,True,1880,Norway,1974,SHARP_RECOVERY,EP-1,High,EP-1,H,North Sea oil revenue bonanza begins,True
Society_G,T+106,7.812,3.5,-6.137999999999999,7.8125,3.5,1.0768,0.1917,-1.0788,Stewards,106,T+101,T+105,2.096,0.3333,-1.0192,False,1880,Norway,1986,COLLAPSE,EP-6,Moderate,EP-3,H,"Oil price crash, banking sector stress",False
Society_G,T+107,8.812,6.1,0.9999999999999992,8.8125,6.1,1.2517,0.2072,-0.288,Hands,107,T+102,T+106,2.1139,0.1917,-0.8622,True,1880,Norway,1987,NODE_FAILURE_CROSSING,EP-3,Moderate,EP-3,H,Banking crisis deepens,True
Society_G,T+108,8.062,3.5,-0.75,8.0625,3.5,1.0959,0.196,-0.6,Stewards,108,T+103,T+107,2.1139,0.2072,-1.018,False,1880,Norway,1988,HOLLOW_HIGH_V,EP-2,High,EP-3,H,Norwegian banking crisis continues,False
Society_G,T+111,8.562,5.5,0.8739999999999997,8.5625,5.5,1.1687,0.2009,-0.5,Stewards,111,T+106,T+110,1.0768,0.1897,0.0919,True,1880,Norway,1991,NODE_FAILURE_CROSSING,EP-6,Moderate,EP-3,M,Banking crisis peak resolution,False
Society_G,T+113,13.838,8.1,5.026,13.8375,8.1,2.0956,0.3335,0.192,Shield,113,T+108,T+112,1.0959,0.2072,0.9997,True,1880,Norway,1993,SHARP_RECOVERY,EP-1,High,EP-1,H,Recovery from banking crisis,True
Society_G,T+134,10.4,6.9,-2.625,10.4,6.9,1.4718,0.2386,-0.2976,Craft,134,T+129,T+133,1.8692,0.3032,-0.3974,False,1880,Norway,2014,COLLAPSE,EP-3,Moderate,EP-3,H,"Oil price collapse, adjustment",True
