Society,Year,series_file,tier,range_tier,eta_unscaled,eta_x1000,interpretation_hermes,V_mean,sigma_V,BS_Lore,BS_Archive,C_Hands,S_Hands,numerator,denominator,epsilon
Afghanistan,1914,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
Afghanistan,1915,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
Afghanistan,1916,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
Afghanistan,1917,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
Afghanistan,1918,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
Afghanistan,1919,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.003939,3.939,Organic / WATCH range,2.1875,2.235194,0.16921,0.154282,3.0,8.0,0.078318,19.881555,2.0
Afghanistan,1920,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.003939,3.939,Organic / WATCH range,2.1875,2.235194,0.16921,0.154282,3.0,8.0,0.078318,19.881555,2.0
Afghanistan,1921,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.008048,8.048,Organic / WATCH range,4.0,1.837117,0.20314,0.196244,3.0,7.0,0.119595,14.859821,2.0
Afghanistan,1922,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.017597,17.597,Organic / WATCH range,6.6875,2.331007,0.265188,0.265188,4.0,6.0,0.281298,15.986042,2.0
Afghanistan,1923,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.017597,17.597,Organic / WATCH range,6.6875,2.331007,0.265188,0.265188,4.0,6.0,0.281298,15.986042,2.0
Afghanistan,1924,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.017597,17.597,Organic / WATCH range,6.6875,2.331007,0.265188,0.265188,4.0,6.0,0.281298,15.986042,2.0
Afghanistan,1925,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.017597,17.597,Organic / WATCH range,6.6875,2.331007,0.265188,0.265188,4.0,6.0,0.281298,15.986042,2.0
Afghanistan,1926,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.017896,17.896,Organic / WATCH range,6.8125,2.357667,0.268767,0.268767,4.0,6.0,0.288944,16.146002,2.0
Afghanistan,1927,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.017896,17.896,Organic / WATCH range,6.8125,2.357667,0.268767,0.268767,4.0,6.0,0.288944,16.146002,2.0
Afghanistan,1928,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006584,6.584,Organic / WATCH range,4.0,2.474874,0.205932,0.205932,3.0,7.0,0.127223,19.324116,2.0
Afghanistan,1929,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.002181,2.181,Organic / WATCH range,1.0,2.474874,0.154182,0.154182,2.0,8.0,0.047544,21.79899,2.0
Afghanistan,1930,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006584,6.584,Organic / WATCH range,4.0,2.474874,0.205932,0.205932,3.0,7.0,0.127223,19.324116,2.0
Afghanistan,1931,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006584,6.584,Organic / WATCH range,4.0,2.474874,0.205932,0.205932,3.0,7.0,0.127223,19.324116,2.0
Afghanistan,1932,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006584,6.584,Organic / WATCH range,4.0,2.474874,0.205932,0.205932,3.0,7.0,0.127223,19.324116,2.0
Afghanistan,1933,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006584,6.584,Organic / WATCH range,4.0,2.474874,0.205932,0.205932,3.0,7.0,0.127223,19.324116,2.0
Afghanistan,1934,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006584,6.584,Organic / WATCH range,4.0,2.474874,0.205932,0.205932,3.0,7.0,0.127223,19.324116,2.0
Afghanistan,1935,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006584,6.584,Organic / WATCH range,4.0,2.474874,0.205932,0.205932,3.0,7.0,0.127223,19.324116,2.0
Afghanistan,1936,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006584,6.584,Organic / WATCH range,4.0,2.474874,0.205932,0.205932,3.0,7.0,0.127223,19.324116,2.0
Afghanistan,1937,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006584,6.584,Organic / WATCH range,4.0,2.474874,0.205932,0.205932,3.0,7.0,0.127223,19.324116,2.0
Afghanistan,1938,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006584,6.584,Organic / WATCH range,4.0,2.474874,0.205932,0.205932,3.0,7.0,0.127223,19.324116,2.0
Afghanistan,1939,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006584,6.584,Organic / WATCH range,4.0,2.474874,0.205932,0.205932,3.0,7.0,0.127223,19.324116,2.0
Afghanistan,1940,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006584,6.584,Organic / WATCH range,4.0,2.474874,0.205932,0.205932,3.0,7.0,0.127223,19.324116,2.0
Afghanistan,1941,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006584,6.584,Organic / WATCH range,4.0,2.474874,0.205932,0.205932,3.0,7.0,0.127223,19.324116,2.0
Afghanistan,1942,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006584,6.584,Organic / WATCH range,4.0,2.474874,0.205932,0.205932,3.0,7.0,0.127223,19.324116,2.0
Afghanistan,1943,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006584,6.584,Organic / WATCH range,4.0,2.474874,0.205932,0.205932,3.0,7.0,0.127223,19.324116,2.0
Afghanistan,1944,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006584,6.584,Organic / WATCH range,4.0,2.474874,0.205932,0.205932,3.0,7.0,0.127223,19.324116,2.0
Afghanistan,1945,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1946,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1947,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1948,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1949,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1950,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1951,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1952,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1953,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1954,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1955,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1956,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1957,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1958,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1959,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1960,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1961,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1962,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1963,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.011253,11.253,Organic / WATCH range,5.9375,2.364285,0.223107,0.23391,4.0,7.0,0.208748,18.549995,2.0
Afghanistan,1964,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.017018,17.018,Organic / WATCH range,6.9375,2.364285,0.256282,0.268693,4.0,6.0,0.275445,16.18571,2.0
Afghanistan,1965,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.017018,17.018,Organic / WATCH range,6.9375,2.364285,0.256282,0.268693,4.0,6.0,0.275445,16.18571,2.0
Afghanistan,1966,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.017018,17.018,Organic / WATCH range,6.9375,2.364285,0.256282,0.268693,4.0,6.0,0.275445,16.18571,2.0
Afghanistan,1967,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.017018,17.018,Organic / WATCH range,6.9375,2.364285,0.256282,0.268693,4.0,6.0,0.275445,16.18571,2.0
Afghanistan,1968,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.017018,17.018,Organic / WATCH range,6.9375,2.364285,0.256282,0.268693,4.0,6.0,0.275445,16.18571,2.0
Afghanistan,1969,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.027529,27.529,Organic / WATCH range,8.8125,2.304039,0.288954,0.301515,5.0,6.0,0.43562,15.824231,2.0
Afghanistan,1970,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.027529,27.529,Organic / WATCH range,8.8125,2.304039,0.288954,0.301515,5.0,6.0,0.43562,15.824231,2.0
Afghanistan,1971,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.027529,27.529,Organic / WATCH range,8.8125,2.304039,0.288954,0.301515,5.0,6.0,0.43562,15.824231,2.0
Afghanistan,1972,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.027529,27.529,Organic / WATCH range,8.8125,2.304039,0.288954,0.301515,5.0,6.0,0.43562,15.824231,2.0
Afghanistan,1973,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.027529,27.529,Organic / WATCH range,8.8125,2.304039,0.288954,0.301515,5.0,6.0,0.43562,15.824231,2.0
Afghanistan,1974,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.010644,10.644,Organic / WATCH range,5.5,2.42384,0.21942,0.230009,4.0,7.0,0.201874,18.96688,2.0
Afghanistan,1975,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.010644,10.644,Organic / WATCH range,5.5,2.42384,0.21942,0.230009,4.0,7.0,0.201874,18.96688,2.0
Afghanistan,1976,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.010644,10.644,Organic / WATCH range,5.5,2.42384,0.21942,0.230009,4.0,7.0,0.201874,18.96688,2.0
Afghanistan,1977,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.003974,3.974,Organic / WATCH range,2.625,2.496873,0.166162,0.175204,3.0,8.0,0.087337,21.974984,2.0
Afghanistan,1978,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001373,1.373,Organic / WATCH range,-0.25,2.610077,0.132286,0.132286,2.0,9.0,0.034999,25.49069,2.0
Afghanistan,1979,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001373,1.373,Organic / WATCH range,-0.25,2.610077,0.132286,0.132286,2.0,9.0,0.034999,25.49069,2.0
Afghanistan,1980,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001373,1.373,Organic / WATCH range,-0.25,2.610077,0.132286,0.132286,2.0,9.0,0.034999,25.49069,2.0
Afghanistan,1981,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001373,1.373,Organic / WATCH range,-0.25,2.610077,0.132286,0.132286,2.0,9.0,0.034999,25.49069,2.0
Afghanistan,1982,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000364,0.364,Organic / WATCH range,-2.375,2.57087,0.100467,0.100467,1.0,10.0,0.010094,27.708705,2.0
Afghanistan,1983,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000364,0.364,Organic / WATCH range,-2.375,2.57087,0.100467,0.100467,1.0,10.0,0.010094,27.708705,2.0
Afghanistan,1984,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000457,0.457,Organic / WATCH range,-0.75,3.092329,0.126437,0.119065,1.0,10.0,0.015054,32.923292,2.0
Afghanistan,1985,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000457,0.457,Organic / WATCH range,-0.75,3.092329,0.126437,0.119065,1.0,10.0,0.015054,32.923292,2.0
Afghanistan,1986,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000457,0.457,Organic / WATCH range,-0.75,3.092329,0.126437,0.119065,1.0,10.0,0.015054,32.923292,2.0
Afghanistan,1987,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000457,0.457,Organic / WATCH range,-0.75,3.092329,0.126437,0.119065,1.0,10.0,0.015054,32.923292,2.0
Afghanistan,1988,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000457,0.457,Organic / WATCH range,-0.75,3.092329,0.126437,0.119065,1.0,10.0,0.015054,32.923292,2.0
Afghanistan,1989,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000457,0.457,Organic / WATCH range,-0.75,3.092329,0.126437,0.119065,1.0,10.0,0.015054,32.923292,2.0
Afghanistan,1990,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000457,0.457,Organic / WATCH range,-0.75,3.092329,0.126437,0.119065,1.0,10.0,0.015054,32.923292,2.0
Afghanistan,1991,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000457,0.457,Organic / WATCH range,-0.75,3.092329,0.126437,0.119065,1.0,10.0,0.015054,32.923292,2.0
Afghanistan,1992,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000457,0.457,Organic / WATCH range,-0.75,3.092329,0.126437,0.119065,1.0,10.0,0.015054,32.923292,2.0
Afghanistan,1993,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000457,0.457,Organic / WATCH range,-0.75,3.092329,0.126437,0.119065,1.0,10.0,0.015054,32.923292,2.0
Afghanistan,1994,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000457,0.457,Organic / WATCH range,-0.75,3.092329,0.126437,0.119065,1.0,10.0,0.015054,32.923292,2.0
Afghanistan,1995,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000457,0.457,Organic / WATCH range,-0.75,3.092329,0.126437,0.119065,1.0,10.0,0.015054,32.923292,2.0
Afghanistan,1996,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000312,0.312,Organic / WATCH range,-3.375,2.420615,0.093643,0.087286,1.0,10.0,0.008174,26.206146,2.0
Afghanistan,1997,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000312,0.312,Organic / WATCH range,-3.375,2.420615,0.093643,0.087286,1.0,10.0,0.008174,26.206146,2.0
Afghanistan,1998,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000312,0.312,Organic / WATCH range,-3.375,2.420615,0.093643,0.087286,1.0,10.0,0.008174,26.206146,2.0
Afghanistan,1999,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000312,0.312,Organic / WATCH range,-3.375,2.420615,0.093643,0.087286,1.0,10.0,0.008174,26.206146,2.0
Afghanistan,2000,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000312,0.312,Organic / WATCH range,-3.375,2.420615,0.093643,0.087286,1.0,10.0,0.008174,26.206146,2.0
Afghanistan,2001,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000324,0.324,Organic / WATCH range,-5.375,1.218349,0.070808,0.064992,1.0,10.0,0.004602,14.183493,2.0
Afghanistan,2002,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000422,0.422,Organic / WATCH range,-2.75,1.920286,0.097971,0.091258,1.0,10.0,0.008941,21.202864,2.0
Afghanistan,2003,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000422,0.422,Organic / WATCH range,-2.75,1.920286,0.097971,0.091258,1.0,10.0,0.008941,21.202864,2.0
Afghanistan,2004,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001765,1.765,Organic / WATCH range,0.25,1.920286,0.134477,0.126537,2.0,9.0,0.034033,19.282578,2.0
Afghanistan,2005,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001765,1.765,Organic / WATCH range,0.25,1.920286,0.134477,0.126537,2.0,9.0,0.034033,19.282578,2.0
Afghanistan,2006,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001765,1.765,Organic / WATCH range,0.25,1.920286,0.134477,0.126537,2.0,9.0,0.034033,19.282578,2.0
Afghanistan,2007,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001765,1.765,Organic / WATCH range,0.25,1.920286,0.134477,0.126537,2.0,9.0,0.034033,19.282578,2.0
Afghanistan,2008,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001765,1.765,Organic / WATCH range,0.25,1.920286,0.134477,0.126537,2.0,9.0,0.034033,19.282578,2.0
Afghanistan,2009,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001765,1.765,Organic / WATCH range,0.25,1.920286,0.134477,0.126537,2.0,9.0,0.034033,19.282578,2.0
Afghanistan,2010,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001765,1.765,Organic / WATCH range,0.25,1.920286,0.134477,0.126537,2.0,9.0,0.034033,19.282578,2.0
Afghanistan,2011,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001765,1.765,Organic / WATCH range,0.25,1.920286,0.134477,0.126537,2.0,9.0,0.034033,19.282578,2.0
Afghanistan,2012,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001765,1.765,Organic / WATCH range,0.25,1.920286,0.134477,0.126537,2.0,9.0,0.034033,19.282578,2.0
Afghanistan,2013,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001765,1.765,Organic / WATCH range,0.25,1.920286,0.134477,0.126537,2.0,9.0,0.034033,19.282578,2.0
Afghanistan,2014,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001765,1.765,Organic / WATCH range,0.25,1.920286,0.134477,0.126537,2.0,9.0,0.034033,19.282578,2.0
Afghanistan,2015,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001765,1.765,Organic / WATCH range,0.25,1.920286,0.134477,0.126537,2.0,9.0,0.034033,19.282578,2.0
Afghanistan,2016,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001765,1.765,Organic / WATCH range,0.25,1.920286,0.134477,0.126537,2.0,9.0,0.034033,19.282578,2.0
Afghanistan,2017,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001765,1.765,Organic / WATCH range,0.25,1.920286,0.134477,0.126537,2.0,9.0,0.034033,19.282578,2.0
Afghanistan,2018,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001765,1.765,Organic / WATCH range,0.25,1.920286,0.134477,0.126537,2.0,9.0,0.034033,19.282578,2.0
Afghanistan,2019,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001765,1.765,Organic / WATCH range,0.25,1.920286,0.134477,0.126537,2.0,9.0,0.034033,19.282578,2.0
Afghanistan,2020,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001765,1.765,Organic / WATCH range,0.25,1.920286,0.134477,0.126537,2.0,9.0,0.034033,19.282578,2.0
Afghanistan,2021,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000422,0.422,Organic / WATCH range,-2.75,1.920286,0.097971,0.091258,1.0,10.0,0.008941,21.202864,2.0
Afghanistan,2022,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000422,0.422,Organic / WATCH range,-2.75,1.920286,0.097971,0.091258,1.0,10.0,0.008941,21.202864,2.0
Afghanistan,2023,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000422,0.422,Organic / WATCH range,-2.75,1.920286,0.097971,0.091258,1.0,10.0,0.008941,21.202864,2.0
Afghanistan,2024,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000422,0.422,Organic / WATCH range,-2.75,1.920286,0.097971,0.091258,1.0,10.0,0.008941,21.202864,2.0
Afghanistan,2025,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000422,0.422,Organic / WATCH range,-2.75,1.920286,0.097971,0.091258,1.0,10.0,0.008941,21.202864,2.0
Argentina,1950,Argentina_CAMS5_calc_1950_2026_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.076106,76.106,Organic / WATCH range,9.725,1.366336,0.327136,0.300054,6.0,4.2,0.588951,7.738613,2.0
Argentina,1950,Argentina_CAMS5_ensemble_1950_2026_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.076106,76.106,Organic / WATCH range,9.725,1.366336,0.327136,0.300054,6.0,4.2,0.588951,7.738613,2.0
Argentina,1950,Argentina_ENS_Bij_v10.csv,canonical_ens,in_range,0.076106,76.106,Organic / WATCH range,9.725,1.366336,0.327136,0.300054,6.0,4.2,0.588951,7.738613,2.0
Argentina,1950,Argentina_cam5_1950_2026_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.076106,76.106,Organic / WATCH range,9.725,1.366336,0.327136,0.300054,6.0,4.2,0.588951,7.738613,2.0
