Society,Year,series_file,tier,range_tier,eta_unscaled,eta_x1000,interpretation_hermes,V_mean,sigma_V,BS_Lore,BS_Archive,C_Hands,S_Hands,numerator,denominator,epsilon
China,2026,China_CAMS5_ensemble_1850_2026_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.016464,16.464,Organic / WATCH range,9.425,2.242069,0.26823,0.27152,4.0,7.0,0.291319,17.694485,2.0
Iraq,2025,Iraq_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.015844,15.844,Organic / WATCH range,6.1875,1.559998,0.22622,0.22622,4.0,7.0,0.204702,12.919986,2.0
Iraq,2025,Iraq_ENS_Bij_v10.csv,canonical_ens,in_range,0.015844,15.844,Organic / WATCH range,6.1875,1.559998,0.22622,0.22622,4.0,7.0,0.204702,12.919986,2.0
France,2026,France_1900_2026_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.014631,14.631,Organic / WATCH range,8.5,3.984344,0.307013,0.356124,4.0,7.0,0.437339,29.890411,2.0
South Africa,2025,South_Africa_ENS_Bij_v10.csv,canonical_ens,in_range,0.014602,14.602,Organic / WATCH range,7.875,4.614854,0.182193,0.182193,9.0,4.0,0.29875,20.459415,2.0
Germany,2025,Germany_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,0.01381,13.81,Organic / WATCH range,9.5625,2.545676,0.217501,0.284015,5.0,8.0,0.308867,22.365412,2.0
Lebanon,2025,Lebanon_ENS_Bij_v10.csv,canonical_ens,in_range,0.012896,12.896,Organic / WATCH range,6.875,1.980372,0.241878,0.211429,4.0,7.0,0.20456,15.862607,2.0
Lebanon,2025,Lebanon_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.012896,12.896,Organic / WATCH range,6.875,1.980372,0.241878,0.211429,4.0,7.0,0.20456,15.862607,2.0
Italy,2024,Italy_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,0.011302,11.302,Organic / WATCH range,5.875,1.57619,0.194402,0.212338,4.0,8.0,0.165116,14.60952,2.0
Italy,2024,Italy_ENS_Bij_v10.csv,canonical_ens,in_range,0.011302,11.302,Organic / WATCH range,5.875,1.57619,0.194402,0.212338,4.0,8.0,0.165116,14.60952,2.0
Italy,2024,Italy19002025_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,0.011302,11.302,Organic / WATCH range,5.875,1.57619,0.194402,0.212338,4.0,8.0,0.165116,14.60952,2.0
India,2026,India_ENS_Bij_v10.csv,canonical_ens,in_range,0.010272,10.272,Organic / WATCH range,9.925,3.147916,0.249166,0.260748,3.8,7.0,0.246884,24.035412,2.0
Iran,2026,Iran_ENS_Bij_v10.csv,canonical_ens,in_range,0.010064,10.064,Organic / WATCH range,4.1625,1.840474,0.185024,0.182371,4.0,6.2,0.134971,13.410937,2.0
Canada,2026,Canada_ENS_Bij_v10.csv,canonical_ens,in_range,0.009013,9.013,Organic / WATCH range,6.3125,2.483665,0.227511,0.221511,4.0,8.2,0.201585,22.366056,2.0
Indonesia,2025,Indonesia_ENS_Bij_v10.csv,canonical_ens,in_range,0.008913,8.913,Organic / WATCH range,6.0,2.136001,0.220711,0.1927,4.0,8.0,0.170124,19.088007,2.0
Indonesia,2025,Indonesia_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.008913,8.913,Organic / WATCH range,6.0,2.136001,0.220711,0.1927,4.0,8.0,0.170124,19.088007,2.0
Türkiye,2026,Turkiye_ENS_Bij_v10.csv,canonical_ens,in_range,0.006267,6.267,Organic / WATCH range,8.0625,3.306031,0.213298,0.19439,3.8,7.0,0.157559,25.14222,2.0
USA,2026,MARKER_USA_1900_2026_ENSEMBLE_MEAN_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.004236,4.236,Organic / WATCH range,4.1125,3.045258,0.134237,0.175197,4.2,7.0,0.098775,23.316803,2.0
Argentina,2026,Argentina_CAMS5_calc_1950_2026_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.003919,3.919,Organic / WATCH range,2.7,1.443087,0.141496,0.125052,3.0,8.0,0.053083,13.544696,2.0
Argentina,2026,Argentina_CAMS5_ensemble_1950_2026_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.003919,3.919,Organic / WATCH range,2.7,1.443087,0.141496,0.125052,3.0,8.0,0.053083,13.544696,2.0
Argentina,2026,Argentina_cam5_1950_2026_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.003919,3.919,Organic / WATCH range,2.7,1.443087,0.141496,0.125052,3.0,8.0,0.053083,13.544696,2.0
Argentina,2026,Argentina_ENS_Bij_v10.csv,canonical_ens,in_range,0.003919,3.919,Organic / WATCH range,2.7,1.443087,0.141496,0.125052,3.0,8.0,0.053083,13.544696,2.0
Roman Empire,425,New_Rome_Ad_5Y_Rome_0_Bce_5Ad_10Ad_15Ad_20_Ad_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,0.003818,3.818,Organic / WATCH range,4.3125,2.609328,0.123017,0.224022,1.0,2.0,0.027558,7.218656,2.0
France,1830,France_1800_1830_GEM_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.003074,3.074,Organic / WATCH range,5.5625,4.390597,0.151483,0.232893,4.0,10.0,0.141117,45.905972,2.0
USA,2026,USA_cam5_1996_2026_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.003061,3.061,Organic / WATCH range,5.425,2.650354,0.178151,0.145028,3.0,8.8,0.077511,25.323113,2.0
Russia,2025,Russia_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.002286,2.286,Organic / WATCH range,5.1875,6.632955,0.15664,0.110801,9.0,10.0,0.156202,68.329551,2.0
United States,2026,USA_ENS_Bij_v10.csv,canonical_ens,in_range,0.001957,1.957,Organic / WATCH range,3.55,2.371708,0.112302,0.130128,3.0,8.6,0.043841,22.396691,2.0
Japan,2025,Japan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.001006,1.006,Organic / WATCH range,1.4375,4.952509,0.153048,0.153048,2.0,9.0,0.046847,46.57258,2.0
Rome,450,Rome_CAMS_recalculated_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000812,0.812,Organic / WATCH range,-1.0,4.48609,0.146337,0.130084,2.0,10.0,0.038072,46.860896,2.0
Afghanistan,2025,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000422,0.422,Organic / WATCH range,-2.75,1.920286,0.097971,0.091258,1.0,10.0,0.008941,21.202864,2.0
France,1830,France_1800_1830_claude_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000318,0.318,Organic / WATCH range,-4.25,2.291288,0.069358,0.057199,2.0,10.0,0.007934,24.912878,2.0
Venezuela,2025,Venezuela_ENS_Bij_v10.csv,canonical_ens,in_range,0.000275,0.275,Organic / WATCH range,-2.9375,4.772562,0.094553,0.048195,3.0,10.0,0.013671,49.725616,2.0
Syria,2024,Syria_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.000241,0.241,Organic / WATCH range,-4.9375,1.509087,0.069568,0.059179,1.0,10.0,0.004117,17.090871,2.0
Syria,2024,Syria_ENS_Bij_v10.csv,canonical_ens,in_range,0.000241,0.241,Organic / WATCH range,-4.9375,1.509087,0.069568,0.059179,1.0,10.0,0.004117,17.090871,2.0
Netherlands,2024,Netherlands_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,-0.418619,-418.619,Organic / WATCH range,16.4375,4.326066,0.476914,0.834147,7.0,-2.0,2.784711,-6.652131,2.0
Denmark,2025,Denmark_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,-0.744888,-744.888,Organic / WATCH range,19.84375,3.89097,0.758445,1.167585,6.5,-2.5,5.756065,-7.727425,2.0
usa_master,2023,USA_Master_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,-0.924762,-924.762,Organic / WATCH range,19.4375,1.157516,1.163112,1.21301,4.0,-7.0,5.643468,-6.102613,2.0
Singapore,2025,Singapore_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,-1.764095,-1764.095,Organic / WATCH range,17.0,2.474874,0.855625,0.76021,8.0,-2.0,5.203636,-2.949747,2.0
Iran,2025,Iran_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,-2.374935,-2374.935,Organic / WATCH range,23.0625,4.977685,1.706838,1.581327,7.0,-2.0,18.893484,-7.955369,2.0
France,2024,France_Master_3_France_1785_1790_1795_1800_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,-4.100646,-4100.646,Organic / WATCH range,18.75,2.979094,0.728958,0.917957,6.0,-1.0,4.014917,-0.979094,2.0
France,2024,France_1785_1800_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,-4.100646,-4100.646,Organic / WATCH range,18.75,2.979094,0.728958,0.917957,6.0,-1.0,4.014917,-0.979094,2.0
France,2024,France_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,-4.100646,-4100.646,Organic / WATCH range,18.75,2.979094,0.728958,0.917957,6.0,-1.0,4.014917,-0.979094,2.0
India,2024,India_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,-14.563652,-14563.652,Organic / WATCH range,24.6875,0.899218,1.51167,1.538451,10.0,-4.0,23.256312,-1.596874,2.0
WorldCom,2001,WorldCom_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,,,Moderate Maritime,0.0625,5.875997,,,3.0,10.0,,60.759973,2.0
