Company,Year,Node,C,K,S,A,Node_Value,Bond_Strength
Nexperia,2016,Craft,8,9,5,4,8.83,5.81
Nexperia,2016,Hands,8,8,5,3,7.83,5.15
Nexperia,2016,Archive,6,8,5,4,7.33,4.82
Nexperia,2016,Flow,8,9,6,3,7.50,4.93
Nexperia,2017,Helm,8,8,5,7,9.83,5.38
Nexperia,2017,Shield,7,8,5,6,8.83,4.83
Nexperia,2017,Lore,8,7,4,7,9.67,5.29
Nexperia,2017,Stewards,8,8,4,6,9.67,5.29
Nexperia,2017,Craft,9,9,4,4,9.67,5.29
Nexperia,2017,Hands,9,8,4,3,8.67,4.74
Nexperia,2017,Archive,7,8,3,5,8.50,4.65
Nexperia,2017,Flow,9,9,4,4,9.67,5.29
Nexperia,2018,Helm,9,9,3,7,11.00,5.49
Nexperia,2018,Shield,9,9,2,6,10.33,5.16
Nexperia,2018,Lore,8,8,2,6,10.33,5.16
Nexperia,2018,Stewards,9,9,2,6,10.33,5.16
Nexperia,2018,Craft,10,10,3,4,10.00,4.99
Nexperia,2018,Hands,9,9,3,3,8.50,4.24
Nexperia,2018,Archive,8,9,2,5,9.83,4.91
Nexperia,2018,Flow,10,10,3,4,10.00,4.99
Company,Year,Node,C,K,S,A,Node_Value,Bond_Strength
Nexperia,2019,Helm,6,8,7,5,6.17,4.09
Nexperia,2019,Shield,5,8,7,4,5.67,3.76
Nexperia,2019,Lore,6,7,5,5,7.33,4.86
Nexperia,2019,Stewards,7,8,6,5,8.00,5.31
Nexperia,2019,Craft,9,9,4,3,9.17,6.08
Nexperia,2019,Hands,8,9,4,2,8.17,5.42
Nexperia,2019,Archive,6,8,4,4,7.67,5.09
Nexperia,2019,Flow,9,9,4,3,9.17,6.08
Nexperia,2020,Helm,7,8,8,6,7.83,5.34
Nexperia,2020,Shield,7,8,7,5,7.67,5.23
Nexperia,2020,Lore,7,7,5,5,7.83,5.34
Nexperia,2020,Stewards,8,8,6,5,8.50,5.80
Nexperia,2020,Craft,9,9,6,4,9.00,6.14
Nexperia,2020,Hands,9,8,6,3,8.00,5.46
Nexperia,2020,Archive,6,8,5,4,7.33,5.00
Nexperia,2020,Flow,8,9,8,3,6.83,4.66
Nexperia,2021,Helm,8,9,6,7,10.00,6.23
Nexperia,2021,Shield,6,9,8,6,8.33,5.19
Nexperia,2021,Lore,7,8,5,6,8.83,5.50
Nexperia,2021,Stewards,8,9,5,6,9.83,6.13
Nexperia,2021,Craft,10,10,4,4,10.67,6.65
Nexperia,2021,Hands,9,9,4,3,9.67,6.03
Nexperia,2021,Archive,7,9,4,5,9.17,5.71
Nexperia,2021,Flow,9,10,5,4,9.83,6.13
Nexperia,2022,Helm,6,9,9,6,6.50,4.40
Nexperia,2022,Shield,4,9,10,5,5.17,3.50
Nexperia,2022,Lore,6,8,7,5,7.17,4.86
Nexperia,2022,Stewards,7,9,8,6,7.33,4.97
Nexperia,2022,Craft,9,10,5,4,9.83,6.66
Nexperia,2022,Hands,8,9,5,3,8.33,5.64
Nexperia,2022,Archive,6,9,6,5,7.50,5.08
Nexperia,2022,Flow,8,10,6,4,9.00,6.10
Company,Year,Node,C,K,S,A,Node_Value,Bond_Strength
Nexperia,2023,Helm,7,8,6,6,7.50,5.06
Nexperia,2023,Shield,6,8,7,5,6.67,4.50
Nexperia,2023,Lore,7,8,5,5,7.83,5.29
Nexperia,2023,Stewards,8,9,5,6,8.83,5.96
Nexperia,2023,Craft,10,10,4,4,10.67,7.20
Nexperia,2023,Hands,9,9,4,3,9.67,6.52
Nexperia,2023,Archive,7,9,4,5,9.17,6.19
Nexperia,2023,Flow,9,10,5,3,9.33,6.30
Nexperia,2024,Helm,7,9,6,7,9.00,5.77
Nexperia,2024,Shield,6,9,9,5,6.00,3.85
Nexperia,2024,Lore,8,8,5,7,9.33,5.98
Nexperia,2024,Stewards,8,9,5,6,8.83,5.66
Nexperia,2024,Craft,10,10,5,4,10.33,6.63
Nexperia,2024,Hands,9,9,5,3,9.33,5.98
Nexperia,2024,Archive,7,9,7,5,8.17,5.24
Nexperia,2024,Flow,8,9,8,4,7.83,5.02
Nexperia,2025,Helm,8,9,5,7,10.33,6.10
Nexperia,2025,Shield,7,9,5,6,8.33,4.92
Nexperia,2025,Lore,9,9,3,7,11.00,6.50
Nexperia,2025,Stewards,9,9,4,6,9.67,5.71
Nexperia,2025,Craft,10,10,4,5,11.17,6.60
Nexperia,2025,Hands,9,9,4,3,9.67,5.71
Nexperia,2025,Archive,8,9,3,5,9.50,5.61
Nexperia,2025,Flow,9,10,4,4,10.17,6.01
