Society,Year,Node,C_sd,K_sd,S_sd,A_sd
Sweden,1910,Lore,0.0,0.45,0.45,0.0
Sweden,1910,Stewards,0.55,0.0,0.45,0.0
Sweden,1910,Craft,0.0,0.0,0.45,0.0
Sweden,1910,Hands,0.45,0.0,0.45,0.0
Sweden,1910,Archive,0.0,0.45,0.45,0.0
Sweden,1910,Flow,0.55,0.0,0.45,0.45
Sweden,1920,Helm,0.0,0.0,0.0,0.0
Sweden,1920,Shield,0.0,0.0,0.0,0.0
Sweden,1920,Lore,0.0,0.0,0.0,0.0
Sweden,1920,Stewards,0.0,0.0,0.0,0.0
Sweden,1920,Craft,0.0,0.0,0.0,0.0
Sweden,1920,Hands,0.0,0.0,0.45,0.0
Sweden,1920,Archive,0.0,0.0,0.0,0.0
Sweden,1920,Flow,0.0,0.0,0.0,0.55
Sweden,1930,Helm,0.0,0.0,0.0,0.0
Sweden,1930,Shield,0.0,0.0,0.0,0.0
Sweden,1930,Lore,0.0,0.0,0.0,0.0
Sweden,1930,Stewards,0.0,0.0,0.0,0.0
Sweden,1930,Craft,0.45,0.0,0.0,0.0
Sweden,1930,Hands,0.0,0.0,0.0,0.0
Sweden,1930,Archive,0.0,0.0,0.0,0.0
Sweden,1930,Flow,0.0,0.0,0.0,0.0
Sweden,1940,Helm,0.0,0.0,0.0,0.0
Sweden,1940,Shield,0.0,0.0,0.0,0.0
Sweden,1940,Lore,0.0,0.0,0.0,0.0
Sweden,1940,Stewards,0.0,0.0,0.0,0.0
Sweden,1940,Craft,0.0,0.0,0.0,0.0
Sweden,1940,Hands,0.0,0.0,0.0,0.0
Sweden,1940,Archive,0.0,0.0,0.0,0.0
Sweden,1940,Flow,0.0,0.45,0.0,0.0
Sweden,1950,Helm,0.0,0.0,0.45,0.0
Sweden,1950,Shield,0.55,0.0,0.0,0.0
Sweden,1950,Lore,0.0,0.0,0.0,0.0
Sweden,1950,Stewards,0.0,0.0,0.0,0.0
Sweden,1950,Craft,0.0,0.0,0.0,0.0
Sweden,1950,Hands,0.0,0.0,0.0,0.0
Sweden,1950,Archive,0.0,0.0,0.0,0.0
Sweden,1950,Flow,0.0,0.0,0.0,0.0
Sweden,1960,Helm,0.0,0.0,0.0,0.0
Sweden,1960,Shield,0.0,0.0,0.0,0.0
Sweden,1960,Lore,0.0,0.0,0.0,0.0
Sweden,1960,Stewards,0.55,0.0,0.0,0.55
Sweden,1960,Craft,0.0,0.0,0.0,0.0
Sweden,1960,Hands,0.0,0.0,0.0,0.0
Sweden,1960,Archive,0.0,0.0,0.0,0.0
Sweden,1960,Flow,0.0,0.45,0.0,0.0
Sweden,1970,Helm,0.0,0.0,0.0,0.0
Sweden,1970,Shield,0.0,0.0,0.0,0.0
Sweden,1970,Lore,0.45,0.45,0.45,0.0
Sweden,1970,Stewards,0.45,0.0,0.0,0.0
Sweden,1970,Craft,0.0,0.0,0.0,0.0
Sweden,1970,Hands,0.0,0.0,0.0,0.55
Sweden,1970,Archive,0.0,0.55,0.0,0.0
Sweden,1970,Flow,0.45,0.0,0.0,0.0
Sweden,1980,Helm,0.0,0.0,0.45,0.0
Sweden,1980,Shield,0.0,0.0,0.0,0.0
Sweden,1980,Lore,0.55,0.0,0.55,0.0
Sweden,1980,Stewards,0.45,0.0,0.0,0.0
Sweden,1980,Craft,0.0,0.0,0.0,0.0
Sweden,1980,Hands,0.0,0.0,0.0,0.0
Sweden,1980,Archive,0.0,0.0,0.45,0.0
Sweden,1980,Flow,0.0,0.0,0.0,0.0
Sweden,1990,Helm,0.45,0.55,0.45,0.0
Sweden,1990,Shield,0.55,0.45,0.0,0.0
Sweden,1990,Lore,0.0,0.0,0.0,0.0
Sweden,1990,Stewards,0.55,0.71,0.55,0.0
Sweden,1990,Craft,0.45,0.45,0.0,0.0
Sweden,1990,Hands,0.45,0.45,0.45,0.0
Sweden,1990,Archive,0.0,0.55,0.0,0.0
Sweden,1990,Flow,0.45,0.55,0.45,0.0
Sweden,2000,Helm,0.0,0.0,0.0,0.0
Sweden,2000,Shield,0.0,0.0,0.0,0.55
Sweden,2000,Lore,0.0,0.0,0.45,0.0
Sweden,2000,Stewards,0.0,0.0,0.45,0.0
Sweden,2000,Craft,0.0,0.0,0.0,0.0
Sweden,2000,Hands,0.0,0.0,0.0,0.0
Sweden,2000,Archive,0.0,0.0,0.0,0.0
Sweden,2000,Flow,0.0,0.0,0.45,0.0
Sweden,2010,Helm,0.0,0.0,0.0,0.0
Sweden,2010,Shield,0.45,0.0,0.0,0.55
Sweden,2010,Lore,0.0,0.0,0.0,0.0
Sweden,2010,Stewards,0.0,0.0,0.0,0.0
Sweden,2010,Craft,0.0,0.0,0.0,0.0
Sweden,2010,Hands,0.45,0.0,0.0,0.0
Sweden,2010,Archive,0.0,0.0,0.0,0.0
Sweden,2010,Flow,0.0,0.0,0.0,0.0
Sweden,2020,Helm,0.45,0.0,0.0,0.0
Sweden,2020,Shield,0.0,0.45,0.0,0.0
Sweden,2020,Lore,0.0,0.0,0.0,0.0
Sweden,2020,Stewards,0.0,0.0,0.0,0.0
Sweden,2020,Craft,0.0,0.0,0.0,0.0
Sweden,2020,Hands,0.0,0.0,0.45,0.0
Sweden,2020,Archive,0.0,0.0,0.0,0.0
Sweden,2020,Flow,0.0,0.0,0.0,0.0
Sweden,2026,Helm,0.0,0.0,0.0,0.0
Sweden,2026,Shield,0.0,0.55,0.0,0.0
Sweden,2026,Lore,0.0,0.0,0.0,0.0
Sweden,2026,Stewards,0.55,0.0,0.0,0.0
Sweden,2026,Craft,0.0,0.45,0.0,0.0
Sweden,2026,Hands,0.0,0.0,0.0,0.0
Sweden,2026,Archive,0.0,0.0,0.0,0.0
Sweden,2026,Flow,0.45,0.0,0.45,0.0
