Society,Year,Node,C_sd,K_sd,S_sd,A_sd
Iran,1892,Shield,1.483,1.14,0.707,0.837
Iran,1892,Stewards,1.304,1.414,1.304,1.414
Iran,1893,Archive,0.447,0.894,1.0,0.894
Iran,1893,Craft,1.581,0.548,1.095,1.517
Iran,1893,Flow,1.095,0.707,1.581,1.095
Iran,1893,Hands,1.483,1.304,1.304,0.894
Iran,1893,Helm,1.0,1.095,1.14,1.414
Iran,1893,Lore,0.447,0.548,0.548,1.14
Iran,1893,Shield,1.14,1.14,0.894,1.304
Iran,1893,Stewards,0.707,1.643,0.894,0.447
Iran,1894,Archive,0.837,1.414,0.894,1.0
Iran,1894,Craft,0.707,1.483,1.225,1.14
Iran,1894,Flow,1.304,1.643,1.414,0.837
Iran,1894,Hands,0.837,1.095,1.0,1.304
Iran,1894,Helm,0.894,1.095,0.894,1.14
Iran,1894,Lore,1.342,1.225,0.707,1.225
Iran,1894,Shield,1.304,1.304,1.0,1.095
Iran,1894,Stewards,1.095,1.225,0.894,1.225
Iran,1895,Archive,1.14,1.14,1.581,1.0
Iran,1895,Craft,1.14,1.14,1.304,1.342
Iran,1895,Flow,1.14,1.304,0.894,0.894
Iran,1895,Hands,0.548,0.707,0.837,1.414
Iran,1895,Helm,0.447,0.548,0.894,0.548
Iran,1895,Lore,0.837,1.517,1.0,1.095
Iran,1895,Shield,1.14,0.837,1.225,0.548
Iran,1895,Stewards,1.225,0.837,1.304,1.0
Iran,1896,Archive,1.517,1.225,1.095,0.837
Iran,1896,Craft,0.447,1.0,0.894,1.414
Iran,1896,Flow,0.837,0.894,1.14,0.837
Iran,1896,Hands,1.14,1.517,0.894,0.447
Iran,1896,Helm,1.517,1.924,1.643,1.342
Iran,1896,Lore,1.342,0.548,1.0,0.837
Iran,1896,Shield,1.304,2.168,1.673,0.707
Iran,1896,Stewards,0.548,0.837,0.447,0.548
Iran,1897,Archive,1.225,0.707,1.095,0.837
Iran,1897,Craft,0.548,0.894,0.548,1.14
Iran,1897,Flow,0.837,0.894,0.837,1.517
Iran,1897,Hands,1.225,1.14,1.14,1.14
Iran,1897,Helm,1.095,1.14,1.304,0.447
Iran,1897,Lore,1.304,1.304,1.304,1.414
Iran,1897,Shield,1.517,0.447,1.342,0.548
Iran,1897,Stewards,0.447,1.0,0.548,0.548
Iran,1898,Archive,1.304,1.095,1.304,1.14
Iran,1898,Craft,0.894,1.414,0.837,0.447
Iran,1898,Flow,1.483,0.837,1.581,1.095
Iran,1898,Hands,0.548,0.447,0.837,0.894
Iran,1898,Helm,1.414,1.14,0.894,0.548
Iran,1898,Lore,0.548,1.304,1.304,0.548
Iran,1898,Shield,0.837,1.095,1.304,1.581
Iran,1898,Stewards,0.837,0.837,0.894,1.095
Iran,1899,Archive,1.14,0.894,0.707,0.548
Iran,1899,Craft,0.707,0.548,1.342,1.304
Iran,1899,Flow,0.837,1.581,0.837,0.548
Iran,1899,Hands,0.548,0.707,0.837,0.837
Iran,1899,Helm,1.643,0.894,0.837,1.14
Iran,1899,Lore,0.548,1.14,1.14,1.14
Iran,1899,Shield,1.095,0.707,1.304,1.304
Iran,1899,Stewards,1.517,0.894,0.894,0.837
Iran,1900,Archive,0.837,0.894,0.837,1.581
Iran,1900,Craft,1.095,1.14,1.095,0.548
Iran,1900,Flow,0.837,0.894,1.0,0.837
Iran,1900,Hands,1.14,0.837,1.304,1.304
Iran,1900,Helm,1.414,0.837,1.304,0.548
Iran,1900,Lore,1.095,0.837,1.581,0.894
Iran,1900,Shield,0.707,0.548,1.414,1.517
Iran,1900,Stewards,1.0,1.225,1.095,1.342
Iran,1901,Archive,1.14,1.14,1.342,0.837
Iran,1901,Craft,0.548,1.517,0.707,0.837
Iran,1901,Flow,1.14,1.643,1.643,1.14
Iran,1901,Hands,1.414,0.894,1.14,1.414
Iran,1901,Helm,0.894,1.304,0.837,1.517
Iran,1901,Lore,1.342,0.548,1.304,1.14
Iran,1901,Shield,1.14,1.14,0.837,1.414
Iran,1901,Stewards,1.095,0.707,1.14,0.894
Iran,1902,Archive,0.837,0.548,1.414,1.304
Iran,1902,Craft,1.14,1.0,1.225,1.581
Iran,1902,Flow,1.14,1.517,1.14,0.894
Iran,1902,Hands,0.707,1.517,0.894,1.414
Iran,1902,Helm,1.342,1.14,0.894,0.837
Iran,1902,Lore,1.225,0.837,0.837,0.894
Iran,1902,Shield,1.14,1.304,1.225,1.517
Iran,1902,Stewards,0.548,0.894,1.14,0.548
Iran,1903,Archive,0.837,0.837,1.095,0.707
Iran,1903,Craft,1.14,0.894,0.837,1.14
Iran,1903,Flow,0.894,0.894,1.517,0.837
Iran,1903,Hands,0.447,1.643,0.837,0.837
Iran,1903,Helm,1.225,1.304,1.643,1.14
Iran,1903,Lore,1.14,0.548,0.447,1.14
Iran,1903,Shield,1.14,1.0,1.14,0.447
Iran,1903,Stewards,1.517,1.095,1.342,0.894
Iran,1904,Archive,0.894,1.095,1.304,0.894
Iran,1904,Craft,1.304,0.894,1.414,0.837
Iran,1904,Flow,1.304,1.304,0.548,0.707
Iran,1904,Hands,1.414,1.342,0.837,0.837
Iran,1904,Helm,1.304,1.095,0.707,0.837
Iran,1904,Lore,1.14,1.14,1.14,0.894
Iran,1904,Shield,1.517,0.548,1.483,1.342
Iran,1904,Stewards,0.894,0.707,1.483,0.837
Iran,1905,Archive,0.548,0.707,1.225,0.894
Iran,1905,Craft,0.707,1.517,0.837,0.894
Iran,1905,Flow,1.517,1.095,1.14,1.342
Iran,1905,Hands,0.837,1.304,0.548,0.837
Iran,1905,Helm,1.924,1.924,1.643,1.643
Iran,1905,Lore,0.894,1.581,1.304,0.447
Iran,1905,Shield,1.304,1.095,1.949,1.924
Iran,1905,Stewards,1.581,1.414,2.302,1.095
Iran,1906,Archive,1.225,1.14,0.548,1.0
Iran,1906,Craft,1.14,1.14,1.0,0.837
Iran,1906,Flow,2.049,1.304,2.168,1.871
Iran,1906,Hands,1.14,1.14,1.14,0.548
Iran,1906,Helm,1.789,1.095,1.0,1.14
Iran,1906,Lore,1.095,0.894,1.14,1.414
Iran,1906,Shield,0.548,1.14,0.837,1.871
Iran,1906,Stewards,1.673,1.304,1.643,1.414
Iran,1907,Archive,1.643,1.304,1.581,0.447
Iran,1907,Craft,0.894,1.0,1.342,1.225
Iran,1907,Flow,1.414,1.817,1.732,1.924
Iran,1907,Hands,1.871,1.304,1.304,1.342
Iran,1907,Helm,1.14,1.342,1.304,0.837
Iran,1907,Lore,1.14,1.14,1.095,1.14
Iran,1907,Shield,1.0,1.517,1.0,1.304
Iran,1907,Stewards,1.342,1.581,1.517,1.581
Iran,1908,Archive,1.789,1.095,1.643,2.302
Iran,1908,Craft,1.643,1.483,1.643,0.548
Iran,1908,Flow,2.168,1.483,2.0,1.14
Iran,1908,Hands,1.304,1.0,1.414,1.789
Iran,1908,Helm,1.732,0.894,0.894,1.643
Iran,1908,Lore,0.894,1.14,1.0,0.447
Iran,1908,Shield,1.673,1.414,1.673,0.707
Iran,1908,Stewards,1.643,1.673,1.414,1.304
Iran,1909,Archive,1.643,0.837,1.581,0.548
Iran,1909,Craft,1.483,1.732,1.517,2.074
Iran,1909,Flow,2.074,1.14,1.517,1.225
Iran,1909,Hands,0.837,1.483,1.304,1.483
Iran,1909,Helm,1.304,0.894,0.707,1.517
Iran,1909,Lore,1.304,0.837,1.342,0.707
Iran,1909,Shield,1.095,0.894,1.414,1.225
Iran,1909,Stewards,1.304,1.483,1.924,1.673
Iran,1910,Archive,1.949,1.924,1.673,2.0
Iran,1910,Craft,1.517,1.581,1.673,2.074
Iran,1910,Flow,2.168,2.0,0.837,1.483
Iran,1910,Hands,1.0,1.414,0.548,1.14
Iran,1910,Helm,1.517,1.14,0.837,1.673
Iran,1910,Lore,0.837,0.837,0.894,0.894
Iran,1910,Shield,1.342,1.414,1.817,1.643
Iran,1910,Stewards,1.483,1.414,1.789,1.304
Iran,1911,Archive,0.548,1.817,2.168,1.14
Iran,1911,Craft,2.0,1.949,1.0,1.304
Iran,1911,Flow,1.304,1.871,0.707,1.483
Iran,1911,Hands,0.548,1.14,0.707,0.707
Iran,1911,Helm,1.14,1.0,1.581,1.817
Iran,1911,Lore,0.837,1.14,1.0,1.304
Iran,1911,Shield,1.517,1.414,0.548,2.074
Iran,1911,Stewards,0.447,1.517,0.707,1.817
Iran,1912,Archive,1.483,1.581,1.871,0.548
Iran,1912,Craft,1.304,0.894,1.871,1.643
Iran,1912,Flow,0.894,1.643,1.342,1.304
Iran,1912,Hands,2.168,1.517,1.517,1.673
Iran,1912,Helm,1.0,0.894,1.643,1.14
Iran,1912,Lore,1.414,1.14,1.483,1.0
Iran,1912,Shield,1.14,1.414,1.304,0.447
Iran,1912,Stewards,2.074,1.643,1.673,1.643
Iran,1913,Archive,1.304,1.225,1.924,1.517
Iran,1913,Craft,0.837,1.817,1.643,1.14
Iran,1913,Flow,1.304,1.304,0.447,0.837
Iran,1913,Hands,1.517,2.191,1.517,1.517
Iran,1913,Helm,1.304,1.0,1.732,1.483
Iran,1913,Lore,1.304,1.14,1.483,0.447
Iran,1913,Shield,1.789,0.837,1.342,1.304
Iran,1913,Stewards,1.643,1.14,1.643,1.483
Iran,1914,Archive,0.837,1.304,2.0,1.14
Iran,1914,Craft,0.548,1.581,1.225,0.548
Iran,1914,Flow,1.304,1.095,1.304,1.483
Iran,1914,Hands,1.225,1.225,2.0,1.732
Iran,1914,Helm,1.414,1.517,0.837,0.837
Iran,1914,Lore,1.095,1.225,0.707,1.304
Iran,1914,Shield,1.643,1.304,1.342,0.447
Iran,1914,Stewards,1.304,0.548,0.837,0.894
Iran,1915,Archive,0.837,1.342,2.28,1.483
Iran,1915,Craft,1.817,2.074,0.548,1.924
Iran,1915,Flow,1.304,1.517,0.894,1.517
Iran,1915,Hands,1.517,1.304,0.447,1.643
Iran,1915,Helm,1.789,1.673,1.789,2.168
Iran,1915,Lore,0.707,0.707,1.14,1.342
Iran,1915,Shield,1.304,1.517,0.837,0.894
Iran,1915,Stewards,1.581,1.817,1.643,1.342
Iran,1916,Archive,1.342,1.517,1.095,1.14
Iran,1916,Craft,1.342,1.414,1.517,1.342
Iran,1916,Flow,1.732,0.447,1.304,1.924
Iran,1916,Hands,1.483,1.643,0.707,1.643
Iran,1916,Helm,1.304,1.0,1.342,1.304
Iran,1916,Lore,1.643,1.225,0.447,0.837
Iran,1916,Shield,1.342,1.342,1.14,0.548
Iran,1916,Stewards,1.789,1.517,2.074,2.074
Iran,1917,Archive,1.304,1.095,0.837,0.707
Iran,1917,Craft,2.0,2.302,1.14,1.789
Iran,1917,Flow,1.304,0.548,1.14,1.517
Iran,1917,Hands,1.673,1.517,1.871,1.304
Iran,1917,Helm,0.0,1.517,0.548,1.14
Iran,1917,Lore,0.548,1.304,1.225,0.447
Iran,1917,Shield,1.0,1.643,1.304,1.0
Iran,1917,Stewards,1.14,2.049,1.643,1.0
Iran,1918,Archive,0.837,1.095,1.225,1.517
Iran,1918,Craft,2.0,0.837,1.643,1.673
Iran,1918,Flow,1.871,1.673,0.837,1.095
Iran,1918,Hands,1.673,1.304,1.225,1.817
Iran,1918,Helm,1.225,1.095,1.304,1.483
Iran,1918,Lore,1.14,0.837,0.548,0.837
Iran,1918,Shield,1.304,1.949,1.789,1.517
Iran,1918,Stewards,1.304,1.517,2.121,1.924
Iran,1919,Archive,1.414,1.14,1.304,1.949
Iran,1919,Craft,0.837,1.643,1.225,1.483
Iran,1919,Flow,1.643,1.673,1.14,1.225
Iran,1919,Hands,1.949,1.483,1.304,1.095
Iran,1919,Helm,1.517,1.0,1.517,2.074
Iran,1919,Lore,0.707,0.548,1.304,1.304
Iran,1919,Shield,0.548,0.894,0.548,1.414
Iran,1919,Stewards,2.302,2.049,1.414,1.342
Iran,1920,Archive,1.483,2.168,1.817,1.643
Iran,1920,Craft,2.168,1.304,1.342,1.14
Iran,1920,Flow,1.095,1.304,1.095,1.949
Iran,1920,Hands,2.28,1.14,1.517,0.894
Iran,1920,Helm,1.483,0.548,1.304,1.483
Iran,1920,Lore,1.414,1.095,0.894,0.837
Iran,1920,Shield,1.095,1.342,1.342,1.414
Iran,1920,Stewards,1.789,1.14,1.0,1.871
Iran,1921,Archive,1.342,1.517,0.894,0.447
Iran,1921,Craft,1.414,1.304,1.517,1.924
Iran,1921,Flow,0.837,1.095,2.168,1.14
Iran,1921,Hands,0.894,1.304,0.548,1.673
Iran,1921,Helm,0.837,0.837,1.225,0.447
Iran,1921,Lore,1.14,1.342,0.837,1.304
Iran,1921,Shield,0.894,1.14,1.517,0.894
Iran,1921,Stewards,0.837,1.817,1.789,2.49
Iran,1922,Archive,1.14,1.581,0.548,1.0
Iran,1922,Craft,1.304,1.581,1.0,1.304
Iran,1922,Flow,1.304,1.517,1.483,2.049
Iran,1922,Hands,0.447,1.517,0.707,1.581
Iran,1922,Helm,0.837,1.14,1.673,1.304
Iran,1922,Lore,1.0,1.14,0.837,0.837
Iran,1922,Shield,1.304,0.447,0.548,1.581
Iran,1922,Stewards,1.483,1.095,0.548,0.548
Iran,1923,Archive,0.894,1.414,0.894,1.342
Iran,1923,Craft,1.517,1.14,1.14,0.837
Iran,1923,Flow,1.14,0.837,2.345,1.304
Iran,1923,Hands,1.304,0.548,0.707,1.414
Iran,1923,Helm,1.304,1.789,1.14,0.837
Iran,1923,Lore,1.0,0.837,1.095,0.447
Iran,1923,Shield,1.095,1.304,1.0,1.0
Iran,1923,Stewards,1.517,0.548,1.14,1.304
Iran,1924,Archive,0.837,1.095,0.894,1.304
Iran,1924,Craft,0.548,0.837,0.447,1.517
Iran,1924,Flow,2.168,1.483,0.447,1.095
Iran,1924,Hands,1.304,1.14,1.225,0.894
Iran,1924,Helm,1.673,1.304,1.817,1.517
Iran,1924,Lore,0.0,1.095,0.837,1.483
Iran,1924,Shield,1.304,1.643,0.837,1.304
Iran,1924,Stewards,0.707,1.225,0.447,0.548
Iran,1925,Archive,0.837,0.548,0.548,1.304
Iran,1925,Craft,1.483,0.837,0.548,1.414
Iran,1925,Flow,0.447,0.837,0.0,1.14
Iran,1925,Hands,1.0,1.14,1.0,1.14
Iran,1925,Helm,0.894,1.304,1.14,1.14
Iran,1925,Lore,0.894,0.837,0.548,1.342
Iran,1925,Shield,1.225,1.304,0.548,0.837
Iran,1925,Stewards,1.14,0.707,0.837,1.0
Iran,1926,Archive,0.837,1.14,1.304,1.304
Iran,1926,Craft,1.581,0.894,1.0,1.14
Iran,1926,Flow,0.707,1.14,0.548,0.548
Iran,1926,Hands,1.095,0.837,1.517,0.894
Iran,1926,Helm,1.342,1.0,0.447,0.837
Iran,1926,Lore,0.894,1.304,1.304,1.304
Iran,1926,Shield,1.304,0.894,0.447,1.304
Iran,1926,Stewards,0.837,0.894,0.894,0.707
Iran,1927,Archive,1.304,1.225,0.894,0.837
Iran,1927,Craft,0.447,0.447,1.643,1.342
Iran,1927,Flow,0.894,0.447,0.548,0.548
Iran,1927,Hands,0.894,0.837,0.548,1.304
Iran,1927,Helm,0.837,0.894,0.548,1.414
Iran,1927,Lore,1.0,1.14,0.837,0.548
Iran,1927,Shield,0.707,1.304,1.0,0.447
Iran,1927,Stewards,1.517,1.414,1.14,0.894
Iran,1928,Archive,1.342,1.14,1.095,1.14
Iran,1928,Craft,1.304,0.548,0.707,1.342
Iran,1928,Flow,0.837,1.304,0.837,0.894
Iran,1928,Hands,0.447,0.548,0.548,1.304
Iran,1928,Helm,0.447,1.095,0.837,1.14
Iran,1928,Lore,1.14,1.517,1.14,1.304
Iran,1928,Shield,1.414,1.0,1.517,0.894
Iran,1928,Stewards,1.225,1.342,0.447,1.095
Iran,1929,Archive,1.0,0.548,0.837,1.643
Iran,1929,Craft,1.095,1.095,0.837,0.548
Iran,1929,Flow,1.304,0.447,0.447,1.225
Iran,1929,Hands,1.14,1.304,1.517,1.304
Iran,1929,Helm,0.837,1.304,0.837,0.447
Iran,1929,Lore,1.483,1.517,1.14,1.304
Iran,1929,Shield,1.342,1.304,1.304,0.894
Iran,1929,Stewards,1.304,1.0,0.548,1.342
Iran,1930,Archive,1.304,1.0,1.304,0.837
Iran,1930,Craft,1.0,1.225,0.447,1.581
Iran,1930,Flow,0.548,1.225,0.837,1.225
Iran,1930,Hands,1.14,1.225,1.342,1.095
Iran,1930,Helm,0.707,1.14,1.14,0.894
Iran,1930,Lore,1.14,0.707,0.548,0.548
Iran,1930,Shield,1.581,0.837,1.14,1.14
Iran,1930,Stewards,0.837,0.837,1.342,1.225
Iran,1931,Archive,1.414,1.225,1.095,0.837
Iran,1931,Craft,0.447,1.0,1.304,0.894
Iran,1931,Flow,1.095,1.304,1.304,1.14
Iran,1931,Hands,1.095,0.894,1.225,0.707
Iran,1931,Helm,1.095,1.14,0.894,1.095
Iran,1931,Lore,0.548,1.517,1.225,0.837
Iran,1931,Shield,1.095,0.707,1.225,1.0
Iran,1931,Stewards,0.548,1.517,0.707,1.581
Iran,1932,Archive,0.894,1.14,1.095,0.548
Iran,1932,Craft,0.447,1.304,1.414,1.342
Iran,1932,Flow,0.837,0.894,1.304,0.837
Iran,1932,Hands,1.14,0.548,1.304,0.894
Iran,1932,Helm,1.304,0.837,1.304,0.837
Iran,1932,Lore,1.095,1.14,0.447,1.14
Iran,1932,Shield,0.837,1.517,0.707,1.14
Iran,1932,Stewards,1.342,0.837,1.095,0.707
Iran,1933,Archive,0.837,1.095,1.304,1.14
Iran,1933,Craft,0.894,0.837,1.0,1.517
Iran,1933,Flow,1.304,0.837,1.14,1.225
Iran,1933,Hands,1.0,0.548,1.517,0.837
Iran,1933,Helm,0.837,1.483,0.707,0.548
Iran,1933,Lore,1.342,0.837,0.837,0.837
Iran,1933,Shield,1.0,0.548,1.414,0.548
Iran,1933,Stewards,1.095,1.643,1.342,1.14
Iran,1934,Archive,1.304,1.643,1.14,1.581
Iran,1934,Craft,1.414,1.414,1.225,0.894
Iran,1934,Flow,1.342,0.894,0.894,1.304
Iran,1934,Hands,0.894,1.342,1.095,0.548
Iran,1934,Helm,0.837,0.894,1.095,1.225
Iran,1934,Lore,1.095,1.304,1.0,0.447
Iran,1934,Shield,1.095,1.14,0.548,0.894
Iran,1934,Stewards,1.14,0.837,1.517,1.304
Iran,1935,Archive,1.14,1.342,1.414,1.225
Iran,1935,Craft,1.517,1.14,0.548,1.14
Iran,1935,Flow,0.894,1.14,1.0,1.14
Iran,1935,Hands,1.342,1.14,0.707,1.0
Iran,1935,Helm,1.095,0.837,1.304,0.894
Iran,1935,Lore,1.304,1.0,1.304,0.837
Iran,1935,Shield,1.483,1.14,0.447,0.837
Iran,1935,Stewards,0.548,1.14,1.14,1.304
Iran,1936,Archive,0.894,0.894,0.837,1.304
Iran,1936,Craft,1.517,0.894,1.581,0.894
Iran,1936,Flow,1.304,0.707,0.707,0.894
Iran,1936,Hands,1.581,1.14,0.447,0.894
Iran,1936,Helm,1.14,0.894,1.342,1.304
Iran,1936,Lore,0.837,1.14,0.447,0.707
Iran,1936,Shield,1.304,1.304,0.894,1.14
Iran,1936,Stewards,0.894,1.643,1.14,1.095
Iran,1937,Archive,1.225,0.894,1.225,1.14
Iran,1937,Craft,1.304,1.14,0.837,1.304
Iran,1937,Flow,1.225,0.894,1.517,1.304
Iran,1937,Hands,0.707,0.548,0.837,1.304
Iran,1937,Helm,0.548,0.894,1.342,1.14
Iran,1937,Lore,0.548,0.837,0.548,0.837
Iran,1937,Shield,1.14,1.0,0.837,0.447
Iran,1937,Stewards,1.095,1.517,1.0,0.837
Iran,1938,Archive,1.095,1.225,1.225,0.447
Iran,1938,Craft,1.095,0.894,0.837,1.304
Iran,1938,Flow,1.0,0.447,1.414,1.095
Iran,1938,Hands,1.225,1.304,1.304,0.707
Iran,1938,Helm,0.894,0.837,1.304,1.14
Iran,1938,Lore,1.517,1.095,1.225,1.095
Iran,1938,Shield,0.837,0.707,1.304,0.837
Iran,1938,Stewards,0.707,1.414,1.095,0.548
Iran,1939,Archive,1.581,0.837,0.837,0.837
Iran,1939,Craft,1.14,0.837,1.0,0.837
