Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
2010,Proletariat,5,6,-4,5,12,10
2010,State Memory,6,7,-2,7,18,9
2010,Shopkeepers/Merchants,6,7,-3,6,16,10
2020,Executive,5,7,-6,7,13,13
2020,Army,7,8,-3,7,19,11
2020,Priests,6,7,-3,6,16,10
2020,Property Owners,6,8,-4,6,16,12
2020,Trades/Professions,5,7,-3,6,15,10
2020,Proletariat,4,6,-5,5,10,11
2020,State Memory,5,7,-3,7,16,10
2020,Shopkeepers/Merchants,5,7,-4,6,14,11
