Society,Year,Node,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max,n_eff,NA_rate,bond_n
North Vietnam / Democratic Republic of Vietnam,1970,Archive,0.45,0.0,0.0,0.0,1.0,7.0,8.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1970,Flow,0.55,0.55,0.55,0.45,3.5,2.5,6.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1971,Helm,0.0,0.0,0.0,0.45,0.5,12.0,12.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1971,Shield,0.0,0.45,0.0,0.45,1.5,10.0,11.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1971,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1971,Stewards,0.45,0.45,0.0,0.45,2.5,5.0,7.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1971,Craft,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1971,Hands,0.45,0.45,0.0,0.0,1.0,8.0,9.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1971,Archive,0.45,0.0,0.0,0.0,1.0,7.0,8.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1971,Flow,0.55,0.55,0.55,0.45,3.5,2.5,6.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1972,Helm,0.45,0.0,0.0,0.45,1.5,11.0,12.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1972,Shield,0.0,0.0,0.0,0.45,0.5,10.0,10.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1972,Lore,0.0,0.0,0.0,0.0,0.0,8.5,8.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1972,Stewards,0.45,0.45,0.0,0.45,2.5,5.0,7.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1972,Craft,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1972,Hands,0.45,0.45,0.0,0.0,1.0,7.0,8.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1972,Archive,0.45,0.0,0.0,0.0,1.0,6.0,7.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1972,Flow,0.55,0.55,0.55,0.45,3.5,1.5,5.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1973,Helm,0.0,0.0,0.0,0.45,0.5,12.0,12.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1973,Shield,0.0,0.0,0.0,0.45,0.5,11.0,11.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1973,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1973,Stewards,0.45,0.45,0.0,0.45,2.5,6.0,8.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1973,Craft,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1973,Hands,0.45,0.45,0.0,0.0,1.0,9.0,10.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1973,Archive,0.45,0.0,0.0,0.0,1.0,8.0,9.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1973,Flow,0.55,0.55,0.0,0.55,2.5,7.0,9.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1974,Helm,0.0,0.0,0.0,0.45,0.5,12.0,12.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1974,Shield,0.0,0.0,0.0,0.45,0.5,12.0,12.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1974,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1974,Stewards,0.45,0.45,0.0,0.45,2.5,6.0,8.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1974,Craft,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1974,Hands,0.45,0.45,0.0,0.0,1.0,9.0,10.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1974,Archive,0.45,0.0,0.0,0.0,1.0,8.0,9.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1974,Flow,0.55,0.55,0.0,0.55,2.5,7.0,9.5,5,0.0,28
Socialist Republic of Vietnam,1975,Helm,0.71,0.0,0.0,0.0,2.0,12.0,14.0,5,0.0,28
Socialist Republic of Vietnam,1975,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,1975,Lore,0.0,0.0,0.0,0.0,0.0,8.5,8.5,5,0.0,28
Socialist Republic of Vietnam,1975,Stewards,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1975,Craft,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5,0.0,28
Socialist Republic of Vietnam,1975,Hands,0.0,0.0,0.0,0.0,0.0,9.0,9.0,5,0.0,28
Socialist Republic of Vietnam,1975,Archive,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1975,Flow,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5,0.0,28
Socialist Republic of Vietnam,1976,Helm,0.71,0.0,0.0,0.0,2.0,12.0,14.0,5,0.0,28
Socialist Republic of Vietnam,1976,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,1976,Lore,0.0,0.0,0.0,0.0,0.0,8.5,8.5,5,0.0,28
Socialist Republic of Vietnam,1976,Stewards,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1976,Craft,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5,0.0,28
Socialist Republic of Vietnam,1976,Hands,0.0,0.0,0.0,0.0,0.0,9.0,9.0,5,0.0,28
Socialist Republic of Vietnam,1976,Archive,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1976,Flow,0.0,0.0,0.0,0.0,0.0,7.5,7.5,5,0.0,28
Socialist Republic of Vietnam,1977,Helm,0.71,0.0,0.0,0.0,2.0,12.0,14.0,5,0.0,28
Socialist Republic of Vietnam,1977,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,1977,Lore,0.0,0.0,0.0,0.0,0.0,8.5,8.5,5,0.0,28
Socialist Republic of Vietnam,1977,Stewards,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5,0.0,28
Socialist Republic of Vietnam,1977,Craft,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5,0.0,28
Socialist Republic of Vietnam,1977,Hands,0.0,0.0,0.0,0.0,0.0,9.0,9.0,5,0.0,28
Socialist Republic of Vietnam,1977,Archive,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1977,Flow,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5,0.0,28
Socialist Republic of Vietnam,1978,Helm,0.71,0.0,0.0,0.0,2.0,12.0,14.0,5,0.0,28
Socialist Republic of Vietnam,1978,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,1978,Lore,0.0,0.0,0.0,0.0,0.0,8.5,8.5,5,0.0,28
Socialist Republic of Vietnam,1978,Stewards,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1978,Craft,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5,0.0,28
Socialist Republic of Vietnam,1978,Hands,0.0,0.0,0.0,0.0,0.0,9.0,9.0,5,0.0,28
Socialist Republic of Vietnam,1978,Archive,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1978,Flow,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5,0.0,28
Socialist Republic of Vietnam,1979,Helm,0.71,0.0,0.0,0.0,2.0,13.0,15.0,5,0.0,28
Socialist Republic of Vietnam,1979,Shield,0.0,0.0,0.0,0.0,0.0,13.5,13.5,5,0.0,28
Socialist Republic of Vietnam,1979,Lore,0.0,0.0,0.0,0.0,0.0,8.5,8.5,5,0.0,28
Socialist Republic of Vietnam,1979,Stewards,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1979,Craft,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5,0.0,28
Socialist Republic of Vietnam,1979,Hands,0.0,0.0,0.0,0.0,0.0,9.0,9.0,5,0.0,28
Socialist Republic of Vietnam,1979,Archive,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1979,Flow,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5,0.0,28
Socialist Republic of Vietnam,1980,Helm,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,1980,Shield,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,1980,Lore,0.0,0.0,0.0,0.0,0.0,8.5,8.5,5,0.0,28
Socialist Republic of Vietnam,1980,Stewards,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5,0.0,28
Socialist Republic of Vietnam,1980,Craft,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5,0.0,28
Socialist Republic of Vietnam,1980,Hands,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5,0.0,28
Socialist Republic of Vietnam,1980,Archive,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1980,Flow,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5,0.0,28
Socialist Republic of Vietnam,1981,Helm,0.84,0.0,0.0,0.0,2.0,9.5,11.5,5,0.0,28
Socialist Republic of Vietnam,1981,Shield,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,1981,Lore,0.0,0.0,0.0,0.0,0.0,8.5,8.5,5,0.0,28
Socialist Republic of Vietnam,1981,Stewards,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5,0.0,28
Socialist Republic of Vietnam,1981,Craft,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5,0.0,28
Socialist Republic of Vietnam,1981,Hands,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5,0.0,28
Socialist Republic of Vietnam,1981,Archive,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1981,Flow,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5,0.0,28
Socialist Republic of Vietnam,1982,Helm,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,1982,Shield,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,1982,Lore,0.0,0.0,0.0,0.0,0.0,8.5,8.5,5,0.0,28
Socialist Republic of Vietnam,1982,Stewards,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5,0.0,28
Socialist Republic of Vietnam,1982,Craft,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5,0.0,28
Socialist Republic of Vietnam,1982,Hands,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5,0.0,28
Socialist Republic of Vietnam,1982,Archive,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1982,Flow,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5,0.0,28
Socialist Republic of Vietnam,1983,Helm,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,1983,Shield,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,1983,Lore,0.0,0.0,0.0,0.0,0.0,8.5,8.5,5,0.0,28
Socialist Republic of Vietnam,1983,Stewards,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5,0.0,28
Socialist Republic of Vietnam,1983,Craft,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5,0.0,28
Socialist Republic of Vietnam,1983,Hands,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5,0.0,28
Socialist Republic of Vietnam,1983,Archive,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1983,Flow,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5,0.0,28
Socialist Republic of Vietnam,1984,Helm,0.84,0.0,0.0,0.0,2.0,9.5,11.5,5,0.0,28
Socialist Republic of Vietnam,1984,Shield,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,1984,Lore,0.0,0.0,0.0,0.0,0.0,8.5,8.5,5,0.0,28
Socialist Republic of Vietnam,1984,Stewards,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5,0.0,28
Socialist Republic of Vietnam,1984,Craft,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5,0.0,28
Socialist Republic of Vietnam,1984,Hands,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5,0.0,28
Socialist Republic of Vietnam,1984,Archive,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1984,Flow,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5,0.0,28
Socialist Republic of Vietnam,1985,Helm,0.0,0.0,0.0,0.0,0.0,12.0,12.0,5,0.0,28
Socialist Republic of Vietnam,1985,Shield,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,1985,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1985,Stewards,0.0,0.0,0.0,0.0,0.0,8.5,8.5,5,0.0,28
Socialist Republic of Vietnam,1985,Craft,0.0,0.0,0.0,0.0,0.0,7.5,7.5,5,0.0,28
Socialist Republic of Vietnam,1985,Hands,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1985,Archive,0.0,0.0,0.0,0.0,0.0,9.0,9.0,5,0.0,28
Socialist Republic of Vietnam,1985,Flow,0.0,0.0,0.0,0.0,0.0,7.5,7.5,5,0.0,28
Socialist Republic of Vietnam,1986,Helm,0.84,0.0,0.0,0.0,2.0,12.0,14.0,5,0.0,28
Socialist Republic of Vietnam,1986,Shield,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,1986,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1986,Stewards,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1986,Craft,0.0,0.0,0.0,0.0,0.0,7.5,7.5,5,0.0,28
Socialist Republic of Vietnam,1986,Hands,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1986,Archive,0.0,0.0,0.0,0.0,0.0,9.0,9.0,5,0.0,28
Socialist Republic of Vietnam,1986,Flow,0.0,0.0,0.0,0.0,0.0,7.5,7.5,5,0.0,28
Socialist Republic of Vietnam,1987,Helm,0.0,0.0,0.0,0.0,0.0,12.0,12.0,5,0.0,28
Socialist Republic of Vietnam,1987,Shield,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,1987,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1987,Stewards,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,1987,Craft,0.0,0.0,0.0,0.0,0.0,7.5,7.5,5,0.0,28
Socialist Republic of Vietnam,1987,Hands,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1987,Archive,0.0,0.0,0.0,0.0,0.0,9.0,9.0,5,0.0,28
Socialist Republic of Vietnam,1987,Flow,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1988,Helm,0.0,0.0,0.0,0.0,0.0,12.0,12.0,5,0.0,28
Socialist Republic of Vietnam,1988,Shield,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,1988,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1988,Stewards,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,1988,Craft,0.0,0.0,0.0,0.0,0.0,8.5,8.5,5,0.0,28
Socialist Republic of Vietnam,1988,Hands,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1988,Archive,0.0,0.0,0.0,0.0,0.0,9.0,9.0,5,0.0,28
Socialist Republic of Vietnam,1988,Flow,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,1989,Helm,0.0,0.0,0.0,0.0,0.0,12.0,12.0,5,0.0,28
Socialist Republic of Vietnam,1989,Shield,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,1989,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1989,Stewards,0.0,0.0,0.0,0.0,0.0,12.0,12.0,5,0.0,28
Socialist Republic of Vietnam,1989,Craft,0.0,0.0,0.0,0.0,0.0,7.5,7.5,5,0.0,28
Socialist Republic of Vietnam,1989,Hands,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5,0.0,28
Socialist Republic of Vietnam,1989,Archive,0.0,0.0,0.0,0.0,0.0,9.0,9.0,5,0.0,28
Socialist Republic of Vietnam,1989,Flow,0.0,0.0,0.0,0.0,0.0,12.0,12.0,5,0.0,28
Socialist Republic of Vietnam,1990,Helm,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1990,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,1990,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1990,Stewards,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1990,Craft,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1990,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,1990,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,1990,Flow,0.0,0.0,0.0,0.0,0.0,12.0,12.0,5,0.0,28
Socialist Republic of Vietnam,1991,Helm,0.84,0.0,0.0,0.0,2.0,12.0,14.0,5,0.0,28
Socialist Republic of Vietnam,1991,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,1991,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1991,Stewards,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1991,Craft,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1991,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,1991,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,1991,Flow,0.0,0.0,0.0,0.0,0.0,12.0,12.0,5,0.0,28
Socialist Republic of Vietnam,1992,Helm,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1992,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,1992,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1992,Stewards,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1992,Craft,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1992,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,1992,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,1992,Flow,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1993,Helm,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1993,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,1993,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1993,Stewards,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1993,Craft,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1993,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,1993,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,1993,Flow,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1994,Helm,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
