Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node_Value_Calc,Bond_Strength_Calc,Bond_Strength_Calc_legacy,SBD_Calc,Lambda2_Calc,Decay_Index_Calc,Phase_Calc,Regime_Label_Calc,ESCH_Calc,V_Mean_Calc,V_Min_Calc,CAMS_v1_Regime
Argentina,1954,Archive,5.0,5.0,5.0,5.0,7.5,0.237528,0.2187,0.2286,1.6956,0.2628,4.0,Moderate Stress,-0.15,6.9125,5.6,Local node failure
Argentina,1954,Craft,5.0,5.0,5.0,5.0,7.5,0.237528,0.2375,0.2286,1.6956,0.2628,4.0,Moderate Stress,-0.15,6.9125,5.6,Local node failure
Argentina,1954,Flow,4.0,4.8,5.2,4.0,5.6,0.213240,0.2158,0.2286,1.6956,0.2628,4.0,Moderate Stress,-0.15,6.9125,5.6,Local node failure
Argentina,1954,Hands,4.4,5.0,5.2,4.0,6.2,0.218698,0.2375,0.2286,1.6956,0.2628,4.0,Moderate Stress,-0.15,6.9125,5.6,Local node failure
Argentina,1954,Helm,5.6,5.0,6.0,5.0,7.1,0.230632,0.2375,0.2286,1.6956,0.2628,4.0,Moderate Stress,-0.15,6.9125,5.6,Local node failure
Argentina,1954,Lore,5.0,5.0,5.0,5.0,7.5,0.237528,0.2132,0.2286,1.6956,0.2628,4.0,Moderate Stress,-0.15,6.9125,5.6,Local node failure
Argentina,1954,Shield,5.0,5.6,5.0,5.0,8.1,0.237528,0.2375,0.2286,1.6956,0.2628,4.0,Moderate Stress,-0.15,6.9125,5.6,Local node failure
Argentina,1954,Stewards,4.0,4.8,5.0,4.0,5.8,0.215823,0.2306,0.2286,1.6956,0.2628,4.0,Moderate Stress,-0.15,6.9125,5.6,Local node failure
Argentina,1955,Archive,3.2,4.0,7.6,3.2,1.2,0.117888,0.1343,0.1228,0.8803,0.6041,1.0,Systemic Collapse,-3.3,1.7625,0.1,Local node failure
Argentina,1955,Craft,4.0,4.0,6.2,4.0,3.8,0.140679,0.121,0.1228,0.8803,0.6041,1.0,Systemic Collapse,-3.3,1.7625,0.1,Local node failure
Argentina,1955,Flow,3.0,4.0,7.2,3.0,1.3,0.117426,0.1236,0.1228,0.8803,0.6041,1.0,Systemic Collapse,-3.3,1.7625,0.1,Local node failure
Argentina,1955,Hands,4.0,4.0,7.0,4.0,3.0,0.134325,0.1165,0.1228,0.8803,0.6041,1.0,Systemic Collapse,-3.3,1.7625,0.1,Local node failure
Argentina,1955,Helm,3.0,3.8,8.2,3.0,0.1,0.110549,0.1179,0.1228,0.8803,0.6041,1.0,Systemic Collapse,-3.3,1.7625,0.1,Local node failure
Argentina,1955,Lore,3.4,4.0,7.6,3.4,1.5,0.121011,0.1174,0.1228,0.8803,0.6041,1.0,Systemic Collapse,-3.3,1.7625,0.1,Local node failure
Argentina,1955,Shield,3.2,4.2,7.8,3.2,1.2,0.116482,0.1407,0.1228,0.8803,0.6041,1.0,Systemic Collapse,-3.3,1.7625,0.1,Local node failure
Argentina,1955,Stewards,3.2,4.0,6.8,3.2,2.0,0.123649,0.1105,0.1228,0.8803,0.6041,1.0,Systemic Collapse,-3.3,1.7625,0.1,Local node failure
Argentina,1956,Archive,4.0,4.0,6.0,4.0,4.0,0.176818,0.1768,0.1788,1.3303,0.4232,3.0,Fragmentation,-1.625,4.55,3.0,Local node failure
Argentina,1956,Craft,4.4,5.0,5.0,4.0,6.4,0.192272,0.1768,0.1788,1.3303,0.4232,3.0,Fragmentation,-1.625,4.55,3.0,Local node failure
Argentina,1956,Flow,4.0,4.0,6.0,4.0,4.0,0.176818,0.1768,0.1788,1.3303,0.4232,3.0,Fragmentation,-1.625,4.55,3.0,Local node failure
Argentina,1956,Hands,4.0,4.0,6.0,4.0,4.0,0.176818,0.1877,0.1788,1.3303,0.4232,3.0,Fragmentation,-1.625,4.55,3.0,Local node failure
Argentina,1956,Helm,4.0,4.0,7.0,4.0,3.0,0.166531,0.1768,0.1788,1.3303,0.4232,3.0,Fragmentation,-1.625,4.55,3.0,Local node failure
Argentina,1956,Lore,4.0,4.0,6.0,4.0,4.0,0.176818,0.1768,0.1788,1.3303,0.4232,3.0,Fragmentation,-1.625,4.55,3.0,Local node failure
Argentina,1956,Shield,5.0,5.0,6.0,4.0,6.0,0.187686,0.1923,0.1788,1.3303,0.4232,3.0,Fragmentation,-1.625,4.55,3.0,Local node failure
Argentina,1956,Stewards,4.0,5.0,6.0,4.0,5.0,0.176818,0.1665,0.1788,1.3303,0.4232,3.0,Fragmentation,-1.625,4.55,3.0,Local node failure
Argentina,1957,Archive,4.8,5.0,5.0,4.8,7.2,0.237783,0.242,0.2361,1.7696,0.2385,4.0,Moderate Stress,-0.2,7.0625,5.8,Local node failure
Argentina,1957,Craft,5.0,5.0,5.0,5.0,7.5,0.241965,0.242,0.2361,1.7696,0.2385,4.0,Moderate Stress,-0.2,7.0625,5.8,Local node failure
Argentina,1957,Flow,4.8,5.0,5.0,4.8,7.2,0.237783,0.2378,0.2361,1.7696,0.2385,4.0,Moderate Stress,-0.2,7.0625,5.8,Local node failure
Argentina,1957,Hands,5.0,5.0,5.0,5.0,7.5,0.241965,0.228,0.2361,1.7696,0.2385,4.0,Moderate Stress,-0.2,7.0625,5.8,Local node failure
Argentina,1957,Helm,4.6,4.8,6.0,4.8,5.8,0.221555,0.2378,0.2361,1.7696,0.2385,4.0,Moderate Stress,-0.2,7.0625,5.8,Local node failure
Argentina,1957,Lore,5.0,5.0,5.0,5.0,7.5,0.241965,0.2378,0.2361,1.7696,0.2385,4.0,Moderate Stress,-0.2,7.0625,5.8,Local node failure
Argentina,1957,Shield,5.0,5.0,5.4,4.0,6.6,0.227972,0.242,0.2361,1.7696,0.2385,4.0,Moderate Stress,-0.2,7.0625,5.8,Local node failure
Argentina,1957,Stewards,4.8,5.0,5.0,4.8,7.2,0.237783,0.2216,0.2361,1.7696,0.2385,4.0,Moderate Stress,-0.2,7.0625,5.8,Local node failure
Argentina,1958,Archive,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1958,Craft,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1958,Flow,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1958,Hands,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1958,Helm,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1958,Lore,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1958,Shield,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1958,Stewards,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1959,Archive,5.0,5.0,5.0,5.0,7.5,0.231912,0.1985,0.2192,1.5634,0.2931,4.0,Moderate Stress,-0.525,6.45,4.4,Local node failure
Argentina,1959,Craft,5.0,5.0,5.0,5.0,7.5,0.231912,0.2319,0.2192,1.5634,0.2931,4.0,Moderate Stress,-0.525,6.45,4.4,Local node failure
Argentina,1959,Flow,4.2,5.0,5.4,4.2,5.9,0.210195,0.1985,0.2192,1.5634,0.2931,4.0,Moderate Stress,-0.525,6.45,4.4,Local node failure
Argentina,1959,Hands,4.0,4.4,6.0,4.0,4.4,0.198470,0.2319,0.2192,1.5634,0.2931,4.0,Moderate Stress,-0.525,6.45,4.4,Local node failure
Argentina,1959,Helm,5.0,5.0,6.0,5.0,6.5,0.218613,0.2319,0.2192,1.5634,0.2931,4.0,Moderate Stress,-0.525,6.45,4.4,Local node failure
Argentina,1959,Lore,5.0,5.0,5.0,5.0,7.5,0.231912,0.2102,0.2192,1.5634,0.2931,4.0,Moderate Stress,-0.525,6.45,4.4,Local node failure
Argentina,1959,Shield,5.0,5.0,5.0,5.0,7.5,0.231912,0.2319,0.2192,1.5634,0.2931,4.0,Moderate Stress,-0.525,6.45,4.4,Local node failure
Argentina,1959,Stewards,4.0,4.8,6.0,4.0,4.8,0.198470,0.2186,0.2192,1.5634,0.2931,4.0,Moderate Stress,-0.525,6.45,4.4,Local node failure
Argentina,1960,Archive,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1960,Craft,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1960,Flow,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1960,Hands,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1960,Helm,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1960,Lore,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1960,Shield,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1960,Stewards,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1961,Archive,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1961,Craft,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1961,Flow,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1961,Hands,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1961,Helm,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1961,Lore,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1961,Shield,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1961,Stewards,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1962,Archive,4.0,4.0,7.0,4.0,3.0,0.147511,0.1528,0.1443,0.9249,0.5346,1.0,Systemic Collapse,-3.075,2.675,-0.9,Systemic crisis
Argentina,1962,Craft,4.0,4.0,6.0,4.0,4.0,0.156432,0.151,0.1443,0.9249,0.5346,1.0,Systemic Collapse,-3.075,2.675,-0.9,Systemic crisis
Argentina,1962,Flow,3.0,3.4,7.8,3.0,0.1,0.124062,0.1493,0.1443,0.9249,0.5346,1.0,Systemic Collapse,-3.075,2.675,-0.9,Systemic crisis
Argentina,1962,Hands,4.0,4.0,6.4,4.0,3.6,0.152816,0.1565,0.1443,0.9249,0.5346,1.0,Systemic Collapse,-3.075,2.675,-0.9,Systemic crisis
Argentina,1962,Helm,3.0,3.4,8.8,3.0,-0.9,0.116662,0.1475,0.1443,0.9249,0.5346,1.0,Systemic Collapse,-3.075,2.675,-0.9,Systemic crisis
Argentina,1962,Lore,4.0,4.0,6.6,4.0,3.4,0.151032,0.1241,0.1443,0.9249,0.5346,1.0,Systemic Collapse,-3.075,2.675,-0.9,Systemic crisis
Argentina,1962,Shield,5.0,5.0,7.0,4.0,5.0,0.156507,0.1564,0.1443,0.9249,0.5346,1.0,Systemic Collapse,-3.075,2.675,-0.9,Systemic crisis
Argentina,1962,Stewards,4.0,4.0,6.8,4.0,3.2,0.149263,0.1167,0.1443,0.9249,0.5346,1.0,Systemic Collapse,-3.075,2.675,-0.9,Systemic crisis
Argentina,1963,Archive,5.0,5.0,5.0,5.0,7.5,0.238895,0.2389,0.2308,1.6307,0.2555,4.0,Moderate Stress,-0.25,6.925,5.0,Local node failure
Argentina,1963,Craft,5.0,5.0,5.0,5.0,7.5,0.238895,0.2389,0.2308,1.6307,0.2555,4.0,Moderate Stress,-0.25,6.925,5.0,Local node failure
Argentina,1963,Flow,4.8,5.0,5.0,4.8,7.2,0.234775,0.2348,0.2308,1.6307,0.2555,4.0,Moderate Stress,-0.25,6.925,5.0,Local node failure
Argentina,1963,Hands,5.0,5.0,5.0,5.0,7.5,0.238895,0.2172,0.2308,1.6307,0.2555,4.0,Moderate Stress,-0.25,6.925,5.0,Local node failure
Argentina,1963,Helm,4.0,5.0,6.0,4.0,5.0,0.204297,0.2389,0.2308,1.6307,0.2555,4.0,Moderate Stress,-0.25,6.925,5.0,Local node failure
Argentina,1963,Lore,5.0,5.0,5.0,5.0,7.5,0.238895,0.2348,0.2308,1.6307,0.2555,4.0,Moderate Stress,-0.25,6.925,5.0,Local node failure
Argentina,1963,Shield,5.0,5.0,6.0,4.0,6.0,0.217153,0.2389,0.2308,1.6307,0.2555,4.0,Moderate Stress,-0.25,6.925,5.0,Local node failure
Argentina,1963,Stewards,4.8,5.0,5.0,4.8,7.2,0.234775,0.2043,0.2308,1.6307,0.2555,4.0,Moderate Stress,-0.25,6.925,5.0,Local node failure
Argentina,1964,Archive,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1964,Craft,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1964,Flow,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1964,Hands,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1964,Helm,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1964,Lore,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1964,Shield,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1964,Stewards,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1965,Archive,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1965,Craft,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1965,Flow,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1965,Hands,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1965,Helm,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1965,Lore,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1965,Shield,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1965,Stewards,5.0,5.0,5.0,5.0,7.5,0.250000,0.25,0.25,2.0,0.1937,5.0,Stable Integration,0.0,7.5,7.5,Strained
Argentina,1966,Archive,4.2,4.8,5.0,4.2,6.1,0.212959,0.1964,0.2149,1.4675,0.3069,4.0,Moderate Stress,-0.65,6.2625,3.2,Local node failure
Argentina,1966,Craft,5.0,5.0,5.0,5.0,7.5,0.229376,0.1964,0.2149,1.4675,0.3069,4.0,Moderate Stress,-0.65,6.2625,3.2,Local node failure
Argentina,1966,Flow,5.0,5.0,5.0,5.0,7.5,0.229376,0.2294,0.2149,1.4675,0.3069,4.0,Moderate Stress,-0.65,6.2625,3.2,Local node failure
Argentina,1966,Hands,4.0,4.0,6.0,4.0,4.0,0.196353,0.2405,0.2149,1.4675,0.3069,4.0,Moderate Stress,-0.65,6.2625,3.2,Local node failure
Argentina,1966,Helm,4.0,4.2,7.0,4.0,3.2,0.184758,0.213,0.2149,1.4675,0.3069,4.0,Moderate Stress,-0.65,6.2625,3.2,Local node failure
Argentina,1966,Lore,4.0,4.8,6.0,4.0,4.8,0.196353,0.2294,0.2149,1.4675,0.3069,4.0,Moderate Stress,-0.65,6.2625,3.2,Local node failure
Argentina,1966,Shield,6.0,6.0,5.0,5.0,9.5,0.240545,0.2294,0.2149,1.4675,0.3069,4.0,Moderate Stress,-0.65,6.2625,3.2,Local node failure
Argentina,1966,Stewards,5.0,5.0,5.0,5.0,7.5,0.229376,0.1848,0.2149,1.4675,0.3069,4.0,Moderate Stress,-0.65,6.2625,3.2,Local node failure
Argentina,1967,Archive,5.0,5.0,5.0,5.0,7.5,0.248881,0.2489,0.248,1.8352,0.2001,4.0,Moderate Stress,0.0,7.575,6.1,Local node failure
Argentina,1967,Craft,5.0,5.0,5.0,5.0,7.5,0.248881,0.2489,0.248,1.8352,0.2001,4.0,Moderate Stress,0.0,7.575,6.1,Local node failure
Argentina,1967,Flow,5.0,5.0,5.0,5.0,7.5,0.248881,0.2489,0.248,1.8352,0.2001,4.0,Moderate Stress,0.0,7.575,6.1,Local node failure
Argentina,1967,Hands,5.0,5.0,5.0,5.0,7.5,0.248881,0.2612,0.248,1.8352,0.2001,4.0,Moderate Stress,0.0,7.575,6.1,Local node failure
Argentina,1967,Helm,4.6,5.0,6.0,5.0,6.1,0.229487,0.2489,0.248,1.8352,0.2001,4.0,Moderate Stress,0.0,7.575,6.1,Local node failure
Argentina,1967,Lore,5.0,5.0,5.0,5.0,7.5,0.248881,0.2489,0.248,1.8352,0.2001,4.0,Moderate Stress,0.0,7.575,6.1,Local node failure
Argentina,1967,Shield,6.0,6.0,5.0,5.0,9.5,0.261187,0.2489,0.248,1.8352,0.2001,4.0,Moderate Stress,0.0,7.575,6.1,Local node failure
Argentina,1967,Stewards,5.0,5.0,5.0,5.0,7.5,0.248881,0.2295,0.248,1.8352,0.2001,4.0,Moderate Stress,0.0,7.575,6.1,Local node failure
Argentina,1968,Archive,5.0,5.0,5.0,5.0,7.5,0.240056,0.2064,0.2327,1.6303,0.2494,4.0,Moderate Stress,-0.375,7.0125,4.4,Local node failure
Argentina,1968,Craft,5.0,5.0,5.0,5.0,7.5,0.240056,0.2401,0.2327,1.6303,0.2494,4.0,Moderate Stress,-0.375,7.0125,4.4,Local node failure
Argentina,1968,Flow,5.0,5.0,5.4,5.0,7.1,0.234442,0.2401,0.2327,1.6303,0.2494,4.0,Moderate Stress,-0.375,7.0125,4.4,Local node failure
Argentina,1968,Hands,4.2,4.4,6.4,4.4,4.4,0.206369,0.2518,0.2327,1.6303,0.2494,4.0,Moderate Stress,-0.375,7.0125,4.4,Local node failure
Argentina,1968,Helm,4.2,5.0,6.6,5.0,5.1,0.208812,0.2401,0.2327,1.6303,0.2494,4.0,Moderate Stress,-0.375,7.0125,4.4,Local node failure
Argentina,1968,Lore,5.0,5.0,5.0,5.0,7.5,0.240056,0.2344,0.2327,1.6303,0.2494,4.0,Moderate Stress,-0.375,7.0125,4.4,Local node failure
Argentina,1968,Shield,6.0,6.0,5.0,5.0,9.5,0.251848,0.2401,0.2327,1.6303,0.2494,4.0,Moderate Stress,-0.375,7.0125,4.4,Local node failure
Argentina,1968,Stewards,5.0,5.0,5.0,5.0,7.5,0.240056,0.2088,0.2327,1.6303,0.2494,4.0,Moderate Stress,-0.375,7.0125,4.4,Local node failure
Argentina,1969,Archive,4.0,4.8,6.0,4.0,4.8,0.178452,0.1681,0.1817,1.328,0.414,3.0,Fragmentation,-1.4,5.0875,3.0,Local node failure
Argentina,1969,Craft,5.0,5.0,6.0,5.0,6.5,0.196233,0.1785,0.1817,1.328,0.414,3.0,Fragmentation,-1.4,5.0875,3.0,Local node failure
Argentina,1969,Flow,4.2,5.0,6.0,4.2,5.3,0.182230,0.1837,0.1817,1.328,0.414,3.0,Fragmentation,-1.4,5.0875,3.0,Local node failure
Argentina,1969,Hands,4.0,4.0,7.0,4.0,3.0,0.168056,0.1982,0.1817,1.328,0.414,3.0,Fragmentation,-1.4,5.0875,3.0,Local node failure
Argentina,1969,Helm,4.0,4.2,7.0,4.0,3.2,0.168056,0.1785,0.1817,1.328,0.414,3.0,Fragmentation,-1.4,5.0875,3.0,Local node failure
