test,metric,value,p,n,note
T3c_per_society_legacy,r_libdem_Singapore,0.719,1.61e-16,96,
T3c_per_society_legacy,r_libdem_Denmark,0.708,2.01e-17,106,
T3c_per_society_legacy,r_libdem_Turkey,0.706,1.33e-05,30,
T3c_per_society_legacy,r_libdem_Saudi Arabia,0.608,5.39e-14,125,
T3c_per_society_legacy,r_libdem_Poland,0.601,2.01e-11,103,
T3c_per_society_legacy,r_libdem_Chile,0.596,7.06e-16,151,
T3c_per_society_legacy,r_libdem_Venezuela,0.554,9.27e-06,56,
T3c_per_society_legacy,r_libdem_UAE,0.532,8.21e-05,49,
T3c_per_society_legacy,r_libdem_Norway,0.446,1.67e-08,146,
T3c_per_society_legacy,r_libdem_Lebanon,0.4,1.81e-04,83,
T3c_per_society_legacy,r_libdem_Japan,0.38,1.51e-06,151,
T3c_per_society_legacy,r_libdem_Canada,0.275,0.1273,32,
T3c_per_society_legacy,r_libdem_Syria,0.267,0.007348,100,
T3c_per_society_legacy,r_libdem_China,0.257,9.01e-05,226,
T3c_per_society_legacy,r_libdem_Sweden,0.219,0.008256,145,
T3c_per_society_legacy,r_libdem_Colombia,0.204,0.01188,151,
T3c_per_society_legacy,r_libdem_Hong Kong,0.201,0.03058,116,
T3c_per_society_legacy,r_libdem_France,0.185,0.0138,176,
T3c_per_society_legacy,r_libdem_Australia,0.11,0.1805,150,
T3c_per_society_legacy,r_libdem_Argentina,0.1,0.3916,76,
T3c_per_society_legacy,r_libdem_Iran,0.081,0.3663,126,
T3c_per_society_legacy,r_libdem_Germany,0.062,0.4634,142,
T3c_per_society_legacy,r_libdem_Indonesia,0.029,0.7928,85,
T3c_per_society_legacy,r_libdem_Brazil,0.019,0.8166,146,
T3c_per_society_legacy,r_libdem_Italy,-0.009,0.9235,124,
T3c_per_society_legacy,r_libdem_Pakistan,-0.016,0.8927,78,
T3c_per_society_legacy,r_libdem_Thailand,-0.039,0.851,26,
T3c_per_society_legacy,r_libdem_Iraq,-0.145,0.1517,99,
T3c_per_society_legacy,r_libdem_Ukraine,-0.198,0.2469,36,
T3c_per_society_legacy,r_libdem_Russia,-0.247,1.79e-04,226,
T3c_per_society_legacy,r_libdem_South Africa,-0.307,4.88e-04,125,
T3c_per_society_legacy,r_libdem_USA,-0.398,0.04891,25,
T3c_per_society_legacy,r_libdem_UK,-0.482,7.53e-10,146,
T3c_per_society_legacy,r_libdem_Netherlands,-0.607,7.80e-06,46,
T3c_per_society_legacy,r_libdem_Israel,-0.809,3.06e-19,78,
T3b_Lambda2_by_Phase,lambda2_phase1,0.736,,343,unaffected
T3b_Lambda2_by_Phase,lambda2_phase2,0.998,,170,unaffected
T3b_Lambda2_by_Phase,lambda2_phase3,1.2,,374,unaffected
T3b_Lambda2_by_Phase,lambda2_phase4,1.509,,600,unaffected
T3b_Lambda2_by_Phase,lambda2_phase5,1.886,,888,unaffected
T3b_Lambda2_by_Phase,lambda2_phase6,2.756,,1658,unaffected
T3b_Lambda2_by_Phase,ANOVA_F,1568.5,0,4033,unaffected
T3c_libdem_by_Phase,phase1_mean_libdem,0.164,,315,unaffected
T3c_libdem_by_Phase,phase2_mean_libdem,0.191,,159,unaffected
T3c_libdem_by_Phase,phase3_mean_libdem,0.255,,300,unaffected
T3c_libdem_by_Phase,phase4_mean_libdem,0.289,,564,unaffected
T3c_libdem_by_Phase,phase5_mean_libdem,0.318,,860,unaffected
T3c_libdem_by_Phase,phase6_mean_libdem,0.443,,1608,unaffected
T3c_libdem_by_Phase,ANOVA_F,91.7,2.46e-91,3806,unaffected
T3c_Lambda2_libdem,r_within,0.2016,3.28e-36,3806,unaffected
T5_France_Archive,archive_premium_over_system_1800_2026,0.645,,177,Node_Value; unaffected
T5_France_Archive,archive_pct_years_top3,62.1,,177,Node_Value; unaffected
T5_Denmark_HSC,hsc_triangle_mean_bond_v12,0.6847,,67,v1.2 pairwise; not the published ~48.6 scale
T5_Denmark_HSC,labour_periphery_mean_bond_v12,0.6516,,67,
