Year,Node,C,K,S,A,V_delivered,V_spec,delta,violates,inside_env,V_min,V_max,over_max
2022,Helm,5.0,6.0,5.8,5.6,8.6,8.0,0.6,True,True,7.5,9.0,-0.4
2022,Shield,6.0,7.0,4.6,6.0,11.4,11.4,0.0,False,False,11.0,11.0,0.4
2022,Lore,4.4,5.4,6.6,5.2,6.8,5.8,1.0,True,True,5.5,7.5,-0.7
2022,Archive,5.8,6.0,5.0,5.8,10.7,9.7,1.0,True,True,9.5,11.0,-0.3
2022,Craft,5.8,6.4,5.4,5.8,9.7,9.7,0.0,False,True,7.5,10.0,-0.3
2022,Flow,5.2,6.2,6.6,5.8,8.7,7.7,1.0,True,True,7.0,9.0,-0.3
2022,Stewards,6.0,6.8,5.2,6.4,10.8,10.8,0.0,False,True,8.8,10.8,0.0
2022,Hands,5.4,6.0,6.0,5.0,8.9,7.9,1.0,True,True,7.0,9.0,-0.1
2023,Helm,4.8,5.8,5.6,5.6,9.0,7.8,1.2,True,True,7.0,9.0,0.0
2023,Shield,6.0,7.0,4.2,6.0,11.8,11.8,0.0,False,False,11.5,11.5,0.3
2023,Lore,4.4,5.4,6.0,5.2,7.0,6.4,0.6,True,True,5.5,7.5,-0.5
2023,Archive,5.8,6.0,5.0,5.8,10.7,9.7,1.0,True,True,9.5,11.0,-0.3
2023,Craft,5.8,6.4,5.0,5.8,10.1,10.1,0.0,False,False,8.0,10.0,0.1
2023,Flow,5.8,7.0,5.2,6.4,11.8,10.8,1.0,True,True,9.5,12.0,-0.2
2023,Stewards,6.2,6.8,4.4,6.4,12.0,11.8,0.2,True,True,9.8,12.8,-0.8
2023,Hands,5.6,6.0,4.8,5.0,9.3,9.3,0.0,False,True,8.5,10.0,-0.7
2024,Helm,4.8,5.8,6.0,5.6,8.6,7.4,1.2,True,False,6.5,8.5,0.1
2024,Shield,6.0,7.0,4.2,6.0,11.8,11.8,0.0,False,False,11.5,11.5,0.3
2024,Lore,3.8,5.2,6.8,5.0,6.7,4.7,2.0,True,True,5.5,7.5,-0.8
2024,Archive,5.6,6.0,5.2,5.8,9.7,9.3,0.4,True,True,8.5,10.5,-0.8
2024,Craft,5.8,6.4,4.8,5.8,10.1,10.3,-0.2,True,True,8.5,10.75,-0.65
2024,Flow,6.0,7.0,5.0,6.4,11.2,11.2,0.0,False,True,9.5,11.5,-0.3
2024,Stewards,6.8,7.0,4.0,6.6,13.1,13.1,-0.0,False,True,11.5,13.75,-0.65
2024,Hands,5.8,6.0,4.6,5.0,9.7,9.7,-0.0,False,True,8.5,10.0,-0.3
2025,Helm,4.2,5.2,7.8,5.0,5.3,4.1,1.2,True,True,4.0,7.5,-2.2
2025,Shield,6.0,7.0,5.0,6.0,11.0,11.0,0.0,False,True,10.5,11.0,0.0
2025,Lore,3.8,5.0,7.2,4.6,5.9,3.9,2.0,True,True,4.9,6.4,-0.5
2025,Archive,3.6,4.6,7.8,4.4,5.0,2.6,2.4,True,True,3.5,7.0,-2.0
2025,Craft,5.0,5.8,6.2,5.6,8.0,7.4,0.6,True,True,6.5,9.0,-1.0
2025,Flow,5.0,6.0,7.0,5.6,7.8,6.8,1.0,True,True,7.0,8.5,-0.7
2025,Stewards,6.0,6.8,5.4,6.2,10.5,10.5,0.0,False,True,8.5,11.5,-1.0
2025,Hands,4.8,5.4,6.4,4.8,7.6,6.2,1.4,True,True,5.9,7.9,-0.3
2026,Helm,3.8,5.2,7.8,4.6,5.1,3.5,1.6,True,True,3.5,6.5,-1.4
2026,Shield,6.2,7.0,5.0,6.0,11.2,11.2,0.0,False,True,10.5,11.5,-0.3
2026,Lore,3.8,4.8,7.2,4.4,5.6,3.6,2.0,True,True,5.0,6.5,-0.9
2026,Archive,3.2,4.4,8.2,4.2,4.5,1.5,3.0,True,True,2.5,6.5,-2.0
2026,Craft,5.0,5.6,6.2,5.4,7.9,7.1,0.8,True,True,6.5,9.0,-1.1
2026,Flow,4.8,5.8,7.2,5.4,7.5,6.1,1.4,True,True,6.0,8.5,-1.0
2026,Stewards,5.8,6.6,5.4,6.0,10.0,10.0,0.0,False,True,8.0,11.0,-1.0
2026,Hands,4.8,5.4,6.4,4.8,7.6,6.2,1.4,True,True,5.9,7.9,-0.3
