Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node_Value_Calc,Bond_Strength_Calc,Bond_Strength_Calc_legacy,SBD_Calc,Lambda2_Calc,Decay_Index_Calc,Phase_Calc,Regime_Label_Calc,ESCH_Calc,V_Mean_Calc,V_Min_Calc,CAMS_v1_Regime,Run
Burma,1853,Hands,6.0,5.8,4.2,2.5,8.85,0.272991,not_computed,0.285337,2.017598,not_computed,not_computed,not_computed,not_computed,9.18125,5.8,not_computed,separate_run_2026-09_staging
Burma,1853,Archive,5.8,5.8,4.0,5.0,10.1,0.297785,not_computed,0.285337,2.017598,not_computed,not_computed,not_computed,not_computed,9.18125,5.8,not_computed,separate_run_2026-09_staging
Burma,1853,Flow,5.5,6.5,4.2,5.2,10.4,0.291996,not_computed,0.285337,2.017598,not_computed,not_computed,not_computed,not_computed,9.18125,5.8,not_computed,separate_run_2026-09_staging
Burma,1854,Helm,5.6,5.4,4.4,5.4,9.3,0.294377,not_computed,0.290048,2.112445,not_computed,not_computed,not_computed,not_computed,9.2625,7.2,not_computed,separate_run_2026-09_staging
Burma,1854,Shield,5.0,5.0,5.2,4.8,7.2,0.267016,not_computed,0.290048,2.112445,not_computed,not_computed,not_computed,not_computed,9.2625,7.2,not_computed,separate_run_2026-09_staging
Burma,1854,Lore,7.0,5.5,3.5,5.2,11.6,0.32762,not_computed,0.290048,2.112445,not_computed,not_computed,not_computed,not_computed,9.2625,7.2,not_computed,separate_run_2026-09_staging
Burma,1854,Stewards,4.6,5.4,4.4,4.2,7.7,0.267977,not_computed,0.290048,2.112445,not_computed,not_computed,not_computed,not_computed,9.2625,7.2,not_computed,separate_run_2026-09_staging
Burma,1854,Craft,5.0,4.8,3.8,5.0,8.5,0.2924,not_computed,0.290048,2.112445,not_computed,not_computed,not_computed,not_computed,9.2625,7.2,not_computed,separate_run_2026-09_staging
Burma,1854,Hands,6.0,6.0,3.8,2.8,9.6,0.285259,not_computed,0.290048,2.112445,not_computed,not_computed,not_computed,not_computed,9.2625,7.2,not_computed,separate_run_2026-09_staging
Burma,1854,Archive,6.0,6.0,4.2,5.6,10.6,0.305098,not_computed,0.290048,2.112445,not_computed,not_computed,not_computed,not_computed,9.2625,7.2,not_computed,separate_run_2026-09_staging
Burma,1854,Flow,5.5,6.5,4.8,4.8,9.6,0.280633,not_computed,0.290048,2.112445,not_computed,not_computed,not_computed,not_computed,9.2625,7.2,not_computed,separate_run_2026-09_staging
Burma,1855,Helm,6.0,5.2,5.2,5.8,8.9,0.288296,not_computed,0.288123,2.051848,not_computed,not_computed,not_computed,not_computed,9.39375,6.9,not_computed,separate_run_2026-09_staging
Burma,1855,Shield,4.8,5.5,5.5,5.0,7.3,0.260415,not_computed,0.288123,2.051848,not_computed,not_computed,not_computed,not_computed,9.39375,6.9,not_computed,separate_run_2026-09_staging
Burma,1855,Lore,7.3,6.3,3.0,6.0,13.6,0.346716,not_computed,0.288123,2.051848,not_computed,not_computed,not_computed,not_computed,9.39375,6.9,not_computed,separate_run_2026-09_staging
Burma,1855,Stewards,4.6,5.0,4.8,4.2,6.9,0.260705,not_computed,0.288123,2.051848,not_computed,not_computed,not_computed,not_computed,9.39375,6.9,not_computed,separate_run_2026-09_staging
Burma,1855,Craft,4.6,5.0,4.2,5.2,8.0,0.280617,not_computed,0.288123,2.051848,not_computed,not_computed,not_computed,not_computed,9.39375,6.9,not_computed,separate_run_2026-09_staging
Burma,1855,Hands,6.2,6.0,4.4,2.8,9.2,0.277278,not_computed,0.288123,2.051848,not_computed,not_computed,not_computed,not_computed,9.39375,6.9,not_computed,separate_run_2026-09_staging
Burma,1855,Archive,6.0,6.7,4.7,5.0,10.5,0.289999,not_computed,0.288123,2.051848,not_computed,not_computed,not_computed,not_computed,9.39375,6.9,not_computed,separate_run_2026-09_staging
Burma,1855,Flow,6.5,6.2,4.2,4.5,10.75,0.300957,not_computed,0.288123,2.051848,not_computed,not_computed,not_computed,not_computed,9.39375,6.9,not_computed,separate_run_2026-09_staging
Burma,1856,Helm,6.0,6.2,5.4,6.2,9.9,0.295921,not_computed,0.301844,2.125727,not_computed,not_computed,not_computed,not_computed,9.56875,7.1,not_computed,separate_run_2026-09_staging
Burma,1856,Shield,4.8,5.0,4.8,4.2,7.1,0.270763,not_computed,0.301844,2.125727,not_computed,not_computed,not_computed,not_computed,9.56875,7.1,not_computed,separate_run_2026-09_staging
Burma,1856,Lore,7.0,6.0,3.0,6.5,13.25,0.356819,not_computed,0.301844,2.125727,not_computed,not_computed,not_computed,not_computed,9.56875,7.1,not_computed,separate_run_2026-09_staging
Burma,1856,Stewards,5.4,5.2,5.4,4.2,7.3,0.269911,not_computed,0.301844,2.125727,not_computed,not_computed,not_computed,not_computed,9.56875,7.1,not_computed,separate_run_2026-09_staging
Burma,1856,Craft,4.8,4.8,4.6,4.8,7.4,0.280271,not_computed,0.301844,2.125727,not_computed,not_computed,not_computed,not_computed,9.56875,7.1,not_computed,separate_run_2026-09_staging
Burma,1856,Hands,6.2,5.4,3.4,3.0,9.7,0.304368,not_computed,0.301844,2.125727,not_computed,not_computed,not_computed,not_computed,9.56875,7.1,not_computed,separate_run_2026-09_staging
Burma,1856,Archive,6.0,5.8,3.4,5.0,10.9,0.321591,not_computed,0.301844,2.125727,not_computed,not_computed,not_computed,not_computed,9.56875,7.1,not_computed,separate_run_2026-09_staging
Burma,1856,Flow,6.2,6.2,4.0,5.2,11.0,0.315109,not_computed,0.301844,2.125727,not_computed,not_computed,not_computed,not_computed,9.56875,7.1,not_computed,separate_run_2026-09_staging
Burma,1857,Helm,6.4,6.0,4.6,5.6,10.6,0.307804,not_computed,0.297606,2.037518,not_computed,not_computed,not_computed,not_computed,9.43125,5.9,not_computed,separate_run_2026-09_staging
Burma,1857,Shield,4.8,5.4,5.2,4.6,7.3,0.266161,not_computed,0.297606,2.037518,not_computed,not_computed,not_computed,not_computed,9.43125,5.9,not_computed,separate_run_2026-09_staging
Burma,1857,Lore,6.5,5.2,3.2,6.5,11.75,0.343403,not_computed,0.297606,2.037518,not_computed,not_computed,not_computed,not_computed,9.43125,5.9,not_computed,separate_run_2026-09_staging
Burma,1857,Stewards,5.0,4.4,5.2,3.4,5.9,0.257035,not_computed,0.297606,2.037518,not_computed,not_computed,not_computed,not_computed,9.43125,5.9,not_computed,separate_run_2026-09_staging
Burma,1857,Craft,4.8,4.5,3.8,4.5,7.75,0.28854,not_computed,0.297606,2.037518,not_computed,not_computed,not_computed,not_computed,9.43125,5.9,not_computed,separate_run_2026-09_staging
Burma,1857,Hands,6.2,6.5,4.2,2.5,9.75,0.282742,not_computed,0.297606,2.037518,not_computed,not_computed,not_computed,not_computed,9.43125,5.9,not_computed,separate_run_2026-09_staging
Burma,1857,Archive,6.6,6.0,3.8,5.0,11.3,0.319892,not_computed,0.297606,2.037518,not_computed,not_computed,not_computed,not_computed,9.43125,5.9,not_computed,separate_run_2026-09_staging
Burma,1857,Flow,6.0,6.2,4.0,5.8,11.1,0.315272,not_computed,0.297606,2.037518,not_computed,not_computed,not_computed,not_computed,9.43125,5.9,not_computed,separate_run_2026-09_staging
Burma,1858,Helm,6.4,5.6,5.2,6.4,10.0,0.304942,not_computed,0.299686,2.05724,not_computed,not_computed,not_computed,not_computed,9.46875,7.05,not_computed,separate_run_2026-09_staging
Burma,1858,Shield,4.7,5.7,5.7,4.7,7.05,0.258759,not_computed,0.299686,2.05724,not_computed,not_computed,not_computed,not_computed,9.46875,7.05,not_computed,separate_run_2026-09_staging
Burma,1858,Lore,7.5,5.5,2.5,6.0,13.5,0.367764,not_computed,0.299686,2.05724,not_computed,not_computed,not_computed,not_computed,9.46875,7.05,not_computed,separate_run_2026-09_staging
Burma,1858,Stewards,5.0,5.4,5.0,4.6,7.7,0.273523,not_computed,0.299686,2.05724,not_computed,not_computed,not_computed,not_computed,9.46875,7.05,not_computed,separate_run_2026-09_staging
Burma,1858,Craft,4.8,4.5,4.2,5.0,7.6,0.288058,not_computed,0.299686,2.05724,not_computed,not_computed,not_computed,not_computed,9.46875,7.05,not_computed,separate_run_2026-09_staging
Burma,1858,Hands,6.2,5.8,3.5,3.0,10.0,0.301399,not_computed,0.299686,2.05724,not_computed,not_computed,not_computed,not_computed,9.46875,7.05,not_computed,separate_run_2026-09_staging
Burma,1858,Archive,5.4,6.0,4.6,5.2,9.4,0.291925,not_computed,0.299686,2.05724,not_computed,not_computed,not_computed,not_computed,9.46875,7.05,not_computed,separate_run_2026-09_staging
Burma,1858,Flow,6.4,5.8,4.2,5.0,10.5,0.311118,not_computed,0.299686,2.05724,not_computed,not_computed,not_computed,not_computed,9.46875,7.05,not_computed,separate_run_2026-09_staging
Burma,1859,Helm,6.2,6.0,4.8,6.0,10.4,0.30201,not_computed,0.292539,2.022687,not_computed,not_computed,not_computed,not_computed,9.31875,6.6,not_computed,separate_run_2026-09_staging
Burma,1859,Shield,4.6,5.6,5.0,4.8,7.6,0.265796,not_computed,0.292539,2.022687,not_computed,not_computed,not_computed,not_computed,9.31875,6.6,not_computed,separate_run_2026-09_staging
Burma,1859,Lore,7.2,6.0,3.2,5.5,12.75,0.340343,not_computed,0.292539,2.022687,not_computed,not_computed,not_computed,not_computed,9.31875,6.6,not_computed,separate_run_2026-09_staging
Burma,1859,Stewards,4.4,5.2,5.0,4.0,6.6,0.254526,not_computed,0.292539,2.022687,not_computed,not_computed,not_computed,not_computed,9.31875,6.6,not_computed,separate_run_2026-09_staging
Burma,1859,Craft,4.8,4.8,4.0,5.2,8.2,0.289458,not_computed,0.292539,2.022687,not_computed,not_computed,not_computed,not_computed,9.31875,6.6,not_computed,separate_run_2026-09_staging
Burma,1859,Hands,6.2,6.0,4.5,3.2,9.3,0.281915,not_computed,0.292539,2.022687,not_computed,not_computed,not_computed,not_computed,9.31875,6.6,not_computed,separate_run_2026-09_staging
Burma,1859,Archive,6.2,5.2,4.2,5.2,9.8,0.305816,not_computed,0.292539,2.022687,not_computed,not_computed,not_computed,not_computed,9.31875,6.6,not_computed,separate_run_2026-09_staging
Burma,1859,Flow,6.2,5.6,4.4,5.0,9.9,0.300452,not_computed,0.292539,2.022687,not_computed,not_computed,not_computed,not_computed,9.31875,6.6,not_computed,separate_run_2026-09_staging
Burma,1860,Helm,6.2,6.2,5.2,6.0,10.2,0.296875,not_computed,0.295759,2.112043,not_computed,not_computed,not_computed,not_computed,9.4375,6.5,not_computed,separate_run_2026-09_staging
Burma,1860,Shield,5.0,5.0,4.8,5.6,8.0,0.284395,not_computed,0.295759,2.112043,not_computed,not_computed,not_computed,not_computed,9.4375,6.5,not_computed,separate_run_2026-09_staging
Burma,1860,Lore,6.8,6.2,2.2,6.4,14.0,0.365311,not_computed,0.295759,2.112043,not_computed,not_computed,not_computed,not_computed,9.4375,6.5,not_computed,separate_run_2026-09_staging
Burma,1860,Stewards,4.8,4.6,5.2,4.6,6.5,0.265265,not_computed,0.295759,2.112043,not_computed,not_computed,not_computed,not_computed,9.4375,6.5,not_computed,separate_run_2026-09_staging
Burma,1860,Craft,4.8,5.2,4.2,4.8,8.2,0.283839,not_computed,0.295759,2.112043,not_computed,not_computed,not_computed,not_computed,9.4375,6.5,not_computed,separate_run_2026-09_staging
Burma,1860,Hands,6.0,6.3,3.7,2.0,9.6,0.281673,not_computed,0.295759,2.112043,not_computed,not_computed,not_computed,not_computed,9.4375,6.5,not_computed,separate_run_2026-09_staging
Burma,1860,Archive,6.0,5.8,4.8,4.8,9.4,0.290853,not_computed,0.295759,2.112043,not_computed,not_computed,not_computed,not_computed,9.4375,6.5,not_computed,separate_run_2026-09_staging
Burma,1860,Flow,6.0,5.6,4.4,4.8,9.6,0.297858,not_computed,0.295759,2.112043,not_computed,not_computed,not_computed,not_computed,9.4375,6.5,not_computed,separate_run_2026-09_staging
Burma,1862,Helm,6.2,6.0,5.0,6.4,10.4,0.312621,not_computed,0.311117,2.126692,not_computed,not_computed,not_computed,not_computed,9.925,6.9,not_computed,separate_run_2026-09_staging
Burma,1862,Shield,5.2,4.8,5.6,5.0,6.9,0.275978,not_computed,0.311117,2.126692,not_computed,not_computed,not_computed,not_computed,9.925,6.9,not_computed,separate_run_2026-09_staging
Burma,1862,Lore,6.8,6.2,3.0,6.4,13.2,0.359658,not_computed,0.311117,2.126692,not_computed,not_computed,not_computed,not_computed,9.925,6.9,not_computed,separate_run_2026-09_staging
Burma,1862,Stewards,4.8,5.2,5.2,4.2,6.9,0.268741,not_computed,0.311117,2.126692,not_computed,not_computed,not_computed,not_computed,9.925,6.9,not_computed,separate_run_2026-09_staging
Burma,1862,Craft,5.0,4.8,3.4,5.0,8.9,0.311802,not_computed,0.311117,2.126692,not_computed,not_computed,not_computed,not_computed,9.925,6.9,not_computed,separate_run_2026-09_staging
Burma,1862,Hands,6.0,6.4,3.6,3.2,10.4,0.304912,not_computed,0.311117,2.126692,not_computed,not_computed,not_computed,not_computed,9.925,6.9,not_computed,separate_run_2026-09_staging
Burma,1862,Archive,6.2,6.2,4.0,5.2,11.0,0.320614,not_computed,0.311117,2.126692,not_computed,not_computed,not_computed,not_computed,9.925,6.9,not_computed,separate_run_2026-09_staging
Burma,1862,Flow,6.8,6.0,3.8,5.4,11.7,0.334607,not_computed,0.311117,2.126692,not_computed,not_computed,not_computed,not_computed,9.925,6.9,not_computed,separate_run_2026-09_staging
Burma,1863,Helm,6.0,6.0,4.8,6.0,10.2,0.31059,not_computed,0.311654,2.207479,not_computed,not_computed,not_computed,not_computed,10.0,7.2,not_computed,separate_run_2026-09_staging
Burma,1863,Shield,4.8,5.0,5.0,4.8,7.2,0.278558,not_computed,0.311654,2.207479,not_computed,not_computed,not_computed,not_computed,10.0,7.2,not_computed,separate_run_2026-09_staging
Burma,1863,Lore,7.2,6.2,2.4,6.4,14.2,0.378038,not_computed,0.311654,2.207479,not_computed,not_computed,not_computed,not_computed,10.0,7.2,not_computed,separate_run_2026-09_staging
Burma,1863,Stewards,5.4,5.6,5.0,4.6,8.3,0.285553,not_computed,0.311654,2.207479,not_computed,not_computed,not_computed,not_computed,10.0,7.2,not_computed,separate_run_2026-09_staging
Burma,1863,Craft,5.2,4.6,3.0,4.8,9.2,0.320735,not_computed,0.311654,2.207479,not_computed,not_computed,not_computed,not_computed,10.0,7.2,not_computed,separate_run_2026-09_staging
Burma,1863,Hands,6.0,6.6,4.4,2.8,9.6,0.286761,not_computed,0.311654,2.207479,not_computed,not_computed,not_computed,not_computed,10.0,7.2,not_computed,separate_run_2026-09_staging
Burma,1863,Archive,6.5,5.5,4.5,5.0,10.0,0.313907,not_computed,0.311654,2.207479,not_computed,not_computed,not_computed,not_computed,10.0,7.2,not_computed,separate_run_2026-09_staging
Burma,1863,Flow,6.2,6.6,4.0,5.0,11.3,0.31909,not_computed,0.311654,2.207479,not_computed,not_computed,not_computed,not_computed,10.0,7.2,not_computed,separate_run_2026-09_staging
Burma,1864,Helm,6.0,6.2,4.8,6.4,10.6,0.305956,not_computed,0.29768,2.040097,not_computed,not_computed,not_computed,not_computed,9.5375,7.2,not_computed,separate_run_2026-09_staging
Burma,1864,Shield,4.5,5.5,5.2,5.8,7.7,0.273489,not_computed,0.29768,2.040097,not_computed,not_computed,not_computed,not_computed,9.5375,7.2,not_computed,separate_run_2026-09_staging
Burma,1864,Lore,7.2,5.5,3.2,6.2,12.6,0.349925,not_computed,0.29768,2.040097,not_computed,not_computed,not_computed,not_computed,9.5375,7.2,not_computed,separate_run_2026-09_staging
Burma,1864,Stewards,5.2,5.8,5.8,4.0,7.2,0.256654,not_computed,0.29768,2.040097,not_computed,not_computed,not_computed,not_computed,9.5375,7.2,not_computed,separate_run_2026-09_staging
Burma,1864,Craft,4.6,5.0,4.4,5.6,8.0,0.286486,not_computed,0.29768,2.040097,not_computed,not_computed,not_computed,not_computed,9.5375,7.2,not_computed,separate_run_2026-09_staging
Burma,1864,Hands,5.8,5.8,5.0,3.8,8.5,0.276332,not_computed,0.29768,2.040097,not_computed,not_computed,not_computed,not_computed,9.5375,7.2,not_computed,separate_run_2026-09_staging
Burma,1864,Archive,6.2,6.2,3.8,5.0,11.1,0.314455,not_computed,0.29768,2.040097,not_computed,not_computed,not_computed,not_computed,9.5375,7.2,not_computed,separate_run_2026-09_staging
Burma,1864,Flow,6.6,5.4,3.8,4.8,10.6,0.318143,not_computed,0.29768,2.040097,not_computed,not_computed,not_computed,not_computed,9.5375,7.2,not_computed,separate_run_2026-09_staging
Burma,1865,Helm,5.6,6.6,5.6,6.0,9.6,0.279888,not_computed,0.291423,2.164102,not_computed,not_computed,not_computed,not_computed,9.25,7.4,not_computed,separate_run_2026-09_staging
Burma,1865,Shield,5.0,5.0,5.0,5.0,7.5,0.272901,not_computed,0.291423,2.164102,not_computed,not_computed,not_computed,not_computed,9.25,7.4,not_computed,separate_run_2026-09_staging
Burma,1865,Lore,6.5,5.8,3.2,6.0,12.1,0.334699,not_computed,0.291423,2.164102,not_computed,not_computed,not_computed,not_computed,9.25,7.4,not_computed,separate_run_2026-09_staging
Burma,1865,Stewards,5.2,4.8,5.0,4.8,7.4,0.273847,not_computed,0.291423,2.164102,not_computed,not_computed,not_computed,not_computed,9.25,7.4,not_computed,separate_run_2026-09_staging
Burma,1865,Craft,5.0,5.2,4.2,5.2,8.6,0.28827,not_computed,0.291423,2.164102,not_computed,not_computed,not_computed,not_computed,9.25,7.4,not_computed,separate_run_2026-09_staging
Burma,1865,Hands,5.5,5.2,4.0,3.2,8.3,0.27899,not_computed,0.291423,2.164102,not_computed,not_computed,not_computed,not_computed,9.25,7.4,not_computed,separate_run_2026-09_staging
Burma,1865,Archive,6.0,5.8,4.2,5.0,10.1,0.300539,not_computed,0.291423,2.164102,not_computed,not_computed,not_computed,not_computed,9.25,7.4,not_computed,separate_run_2026-09_staging
Burma,1865,Flow,6.0,6.0,4.0,4.8,10.4,0.302248,not_computed,0.291423,2.164102,not_computed,not_computed,not_computed,not_computed,9.25,7.4,not_computed,separate_run_2026-09_staging
Burma,1866,Helm,5.6,5.6,5.0,6.0,9.2,0.299432,not_computed,0.30797,2.250858,not_computed,not_computed,not_computed,not_computed,9.65625,7.05,not_computed,separate_run_2026-09_staging
Burma,1866,Shield,5.0,4.5,5.2,5.5,7.05,0.283013,not_computed,0.30797,2.250858,not_computed,not_computed,not_computed,not_computed,9.65625,7.05,not_computed,separate_run_2026-09_staging
Burma,1866,Lore,6.6,6.0,2.4,6.2,13.3,0.365271,not_computed,0.30797,2.250858,not_computed,not_computed,not_computed,not_computed,9.65625,7.05,not_computed,separate_run_2026-09_staging
Burma,1866,Stewards,5.6,5.4,4.4,4.2,8.7,0.292984,not_computed,0.30797,2.250858,not_computed,not_computed,not_computed,not_computed,9.65625,7.05,not_computed,separate_run_2026-09_staging
Burma,1866,Craft,5.4,4.8,4.2,5.2,8.6,0.303514,not_computed,0.30797,2.250858,not_computed,not_computed,not_computed,not_computed,9.65625,7.05,not_computed,separate_run_2026-09_staging
Burma,1866,Hands,6.0,5.8,4.2,3.0,9.1,0.29032,not_computed,0.30797,2.250858,not_computed,not_computed,not_computed,not_computed,9.65625,7.05,not_computed,separate_run_2026-09_staging
Burma,1866,Archive,5.4,6.2,3.6,5.0,10.5,0.312495,not_computed,0.30797,2.250858,not_computed,not_computed,not_computed,not_computed,9.65625,7.05,not_computed,separate_run_2026-09_staging
Burma,1866,Flow,5.8,6.2,3.8,5.2,10.8,0.316729,not_computed,0.30797,2.250858,not_computed,not_computed,not_computed,not_computed,9.65625,7.05,not_computed,separate_run_2026-09_staging
Burma,1867,Helm,5.6,6.4,4.8,6.2,10.3,0.299697,not_computed,0.298954,2.132038,not_computed,not_computed,not_computed,not_computed,9.8375,7.15,not_computed,separate_run_2026-09_staging
Burma,1867,Shield,4.6,5.2,5.0,5.0,7.3,0.271031,not_computed,0.298954,2.132038,not_computed,not_computed,not_computed,not_computed,9.8375,7.15,not_computed,separate_run_2026-09_staging
Burma,1867,Lore,6.7,6.7,3.0,5.7,13.25,0.343726,not_computed,0.298954,2.132038,not_computed,not_computed,not_computed,not_computed,9.8375,7.15,not_computed,separate_run_2026-09_staging
Burma,1867,Stewards,4.7,5.0,4.7,4.3,7.15,0.270352,not_computed,0.298954,2.132038,not_computed,not_computed,not_computed,not_computed,9.8375,7.15,not_computed,separate_run_2026-09_staging
Burma,1867,Craft,5.4,4.8,3.8,4.0,8.4,0.293433,not_computed,0.298954,2.132038,not_computed,not_computed,not_computed,not_computed,9.8375,7.15,not_computed,separate_run_2026-09_staging
Burma,1867,Hands,5.8,6.5,4.0,3.0,9.8,0.285766,not_computed,0.298954,2.132038,not_computed,not_computed,not_computed,not_computed,9.8375,7.15,not_computed,separate_run_2026-09_staging
Burma,1867,Archive,5.6,6.4,3.8,5.0,10.7,0.306545,not_computed,0.298954,2.132038,not_computed,not_computed,not_computed,not_computed,9.8375,7.15,not_computed,separate_run_2026-09_staging
Burma,1867,Flow,6.8,6.4,4.2,5.6,11.8,0.321082,not_computed,0.298954,2.132038,not_computed,not_computed,not_computed,not_computed,9.8375,7.15,not_computed,separate_run_2026-09_staging
Burma,1868,Helm,6.0,6.0,4.6,5.8,10.3,0.307136,not_computed,0.302492,2.074445,not_computed,not_computed,not_computed,not_computed,9.6375,6.4,not_computed,separate_run_2026-09_staging
Burma,1868,Shield,5.0,5.2,5.0,5.2,7.8,0.280719,not_computed,0.302492,2.074445,not_computed,not_computed,not_computed,not_computed,9.6375,6.4,not_computed,separate_run_2026-09_staging
Burma,1868,Lore,6.6,5.6,3.0,6.6,12.5,0.352855,not_computed,0.302492,2.074445,not_computed,not_computed,not_computed,not_computed,9.6375,6.4,not_computed,separate_run_2026-09_staging
