Set,Society,T,Vbar,Vmin,smin,Bbar,lam2,r11,r12
1,Society_A,46,10.7125,8.5,0.208,0.339179,2.510899440353607,Stable Adaptive,Stable Adaptive
1,Society_A,47,10.5875,8.5,0.0,0.333792,2.392440287076603,Stable Adaptive,Stable Adaptive
1,Society_A,48,10.4625,7.5,-0.052,0.328562,2.310193012322366,Stable Adaptive,Stable Adaptive
1,Society_A,49,10.4625,8.5,0.0,0.327954,2.369999608699481,Stable Adaptive,Stable Adaptive
1,Society_A,50,12.3125,9.5,0.3,0.388279,2.692614833767971,Stable Adaptive,Stable Adaptive
1,Society_A,51,12.0625,8.5,0.0,0.376134,2.4881584909340204,Stable Adaptive,Stable Adaptive
1,Society_A,52,12.1875,8.5,0.0,0.382638,2.513091813493413,Stable Adaptive,Stable Adaptive
1,Society_A,53,12.3125,9.5,0.3,0.388279,2.692614833767971,Stable Adaptive,Stable Adaptive
1,Society_A,54,12.4375,10.5,0.6,0.394326,2.8839593544327093,Stable Adaptive,Stable Adaptive
1,Society_A,55,12.4375,10.5,0.6,0.394326,2.8839593544327093,Stable Adaptive,Stable Adaptive
1,Society_A,56,12.4375,10.5,0.6,0.394326,2.8839593544327093,Stable Adaptive,Stable Adaptive
1,Society_A,57,12.4375,10.5,0.6,0.394326,2.8839593544327093,Stable Adaptive,Stable Adaptive
1,Society_A,58,12.4375,10.5,0.6,0.394326,2.8839593544327093,Stable Adaptive,Stable Adaptive
1,Society_A,59,12.4375,10.5,0.6,0.394326,2.8839593544327093,Stable Adaptive,Stable Adaptive
1,Society_A,60,12.0625,9.9,0.42,0.380969,2.816046333572333,Stable Adaptive,Stable Adaptive
1,Society_A,61,11.6875,9.9,0.42,0.374597,2.788481272300822,Stable Adaptive,Stable Adaptive
1,Society_A,62,12.4375,10.5,0.6,0.394326,2.8839593544327093,Stable Adaptive,Stable Adaptive
1,Society_A,63,12.4375,10.5,0.6,0.394326,2.8839593544327093,Stable Adaptive,Stable Adaptive
1,Society_A,64,12.4375,10.5,0.6,0.394326,2.8839593544327093,Stable Adaptive,Stable Adaptive
1,Society_A,65,12.4375,10.5,0.6,0.394326,2.8839593544327093,Stable Adaptive,Stable Adaptive
1,Society_A,66,8.7125,5.5,-0.5,0.271618,1.8170047500657351,Strained,Strained
1,Society_A,67,8.9625,6.5,-0.25,0.279996,1.9765665558927903,Strained,Strained
1,Society_A,68,8.9625,6.5,-0.25,0.279996,1.9765665558927903,Strained,Strained
1,Society_A,69,8.7125,5.5,-0.5,0.271523,1.8336718504448373,Strained,Strained
1,Society_A,70,8.7125,5.5,-0.5,0.271523,1.8336718504448357,Strained,Strained
1,Society_A,71,8.8375,5.5,-0.5,0.27579,1.860227179924183,Strained,Strained
1,Society_A,72,9.3375,7.0,-0.052,0.299329,2.1185553923522944,Strained,Strained
1,Society_A,73,9.7125,7.0,-0.052,0.303301,2.1330696471725505,Strained,Strained
1,Society_A,74,8.0875,4.8,-0.728,0.262761,1.8151799891066043,Phantom Type II,Phantom Type II
1,Society_A,75,7.8375,4.0,-0.728,0.253157,1.5455265433344214,Phantom Type II,Phantom Type II
1,Society_A,76,8.275,6.0,-0.2,0.264394,1.8732159315849888,Strained,Strained
1,Society_A,77,7.9,6.0,-0.25,0.256374,1.8350975080296255,Strained,Strained
1,Society_A,78,7.9,6.0,-0.25,0.256374,1.8350975080296255,Strained,Strained
1,Society_A,79,7.775,6.0,-0.25,0.252097,1.8166935686691679,Strained,Strained
1,Society_A,80,7.9,6.0,-0.25,0.256374,1.8350975080296255,Strained,Strained
1,Society_A,81,7.9,6.0,-0.25,0.256374,1.8350975080296255,Strained,Strained
1,Society_A,82,7.4,4.0,-0.6,0.248254,1.6990744833433786,Strained,Strained
1,Society_A,83,12.775,10.1,0.522,0.400346,2.8190420958834665,Stable Adaptive,Stable Adaptive
1,Society_A,84,12.5875,10.1,0.522,0.394669,2.799147770710234,Stable Adaptive,Stable Adaptive
1,Society_A,85,12.15,10.1,0.522,0.379322,2.7423748057660537,Stable Adaptive,Stable Adaptive
1,Society_A,86,12.15,10.1,0.522,0.379322,2.7423748057660537,Stable Adaptive,Stable Adaptive
1,Society_A,87,11.65,9.4,0.0744,0.353798,2.4941205113324676,Stable Adaptive,Stable Adaptive
1,Society_A,88,12.4,10.1,0.522,0.393692,2.795033858128069,Stable Adaptive,Stable Adaptive
1,Society_A,89,11.9,9.1,0.232,0.366408,2.545982396217984,Stable Adaptive,Stable Adaptive
1,Society_A,90,5.275,0.0,-0.988,0.199916,1.243418024859316,Phantom Type II,Phantom Type II
1,Society_A,91,5.275,0.0,-1.092,0.199944,1.2434039426582526,Phantom Type II,Phantom Type II
1,Society_A,92,6.025,2.0,-0.72,0.209175,1.3598832628506363,Phantom Type II,Phantom Type II
1,Society_A,93,9.4,6.5,-0.25,0.29125,2.0454992634315445,Strained,Strained
1,Society_A,94,10.0875,6.5,-0.25,0.307933,2.108641390110869,Strained,Strained
1,Society_A,95,9.4,6.5,-0.25,0.29125,2.0454992634315445,Strained,Strained
1,Society_A,96,10.9,7.5,0.0,0.338709,2.373029748730373,Stable Adaptive,Stable Adaptive
1,Society_A,97,10.775,7.5,0.0,0.334811,2.355745006672167,Stable Adaptive,Stable Adaptive
1,Society_A,98,10.4,7.5,0.0,0.323575,2.2954659485328204,Stable Adaptive,Stable Adaptive
1,Society_A,99,10.775,6.5,-0.25,0.329872,2.199482287862372,Strained,Strained
1,Society_A,100,11.775,7.5,0.0,0.367844,2.481068309791949,Stable Adaptive,Stable Adaptive
1,Society_A,101,10.525,6.5,-0.25,0.324567,2.1741572743677606,Strained,Strained
1,Society_A,102,9.7125,6.5,-0.25,0.303196,2.0894281289163845,Strained,Strained
1,Society_A,103,9.3375,5.5,-0.5,0.294054,1.931703514537914,Strained,Strained
1,Society_A,104,9.7125,6.5,-0.25,0.303196,2.0894281289163845,Strained,Strained
1,Society_A,105,9.4625,5.5,-0.5,0.298521,2.04147223756225,Strained,Strained
1,Society_A,106,9.3375,5.5,-0.5,0.293653,2.0249409409186194,Strained,Strained
1,Society_A,107,10.4625,6.5,-0.25,0.327725,2.1798399538329174,Strained,Strained
1,Society_A,108,7.6375,5.0,-0.9984,0.246895,1.6527025449356407,Phantom Type II,Phantom Type II
1,Society_A,109,8.3875,5.5,-0.5,0.269775,1.8439772039827969,Strained,Strained
1,Society_A,110,7.8875,1.5,-0.6,0.254931,1.4015588088829851,Local Node Failure,Local Node Failure
1,Society_A,111,7.8875,3.5,-0.6,0.257253,1.6000598163450677,Local Node Failure,Local Node Failure
1,Society_A,112,8.2625,4.5,-0.75,0.264985,1.7221545937991207,Phantom Type II,Phantom Type II
1,Society_A,113,8.2625,4.5,-0.75,0.264985,1.7221545937991207,Phantom Type II,Phantom Type II
1,Society_A,114,7.0375,2.1,-0.936,0.241531,1.5059613878331732,Phantom Type II,Phantom Type II
1,Society_A,115,7.1625,1.1,-0.588,0.242063,1.4109950566404916,Local Node Failure,Local Node Failure
1,Society_A,116,7.2875,2.1,-0.798,0.245526,1.5212116403062645,Phantom Type II,Phantom Type II
1,Society_A,117,7.2875,3.1,-0.608,0.244466,1.6137534682167987,Local Node Failure,Local Node Failure
1,Society_A,118,7.0625,0.3,-0.7,0.239681,1.335105032367942,Phantom Type II,Phantom Type II
1,Society_A,119,6.525,3.6,-0.7488,0.222002,1.6258672222964567,Phantom Type II,Phantom Type II
1,Society_A,120,5.7,3.0,-1.4136,0.205122,1.4305534327195106,Phantom Type II,Phantom Type II
1,Society_A,121,6.7,4.9,-0.65,0.223212,1.5663708000865184,Strained,Strained
1,Society_A,122,7.3375,5.6,-0.3328,0.238862,1.7641321998590083,Strained,Strained
1,Society_A,123,8.275,6.1,-0.416,0.258885,1.908695782391712,Strained,Strained
1,Society_A,124,8.4,6.9,-0.15,0.258632,1.9087116595093556,Strained,Strained
1,Society_A,125,9.15,6.9,-0.15,0.281056,2.027403418193186,Strained,Strained
1,Society_B,0,9.3125,5.6,-0.288,0.301426,2.049579516950865,Strained,Strained
1,Society_B,1,9.4375,5.6,-0.0384,0.306577,2.066922839017373,Strained,Strained
1,Society_B,2,9.4375,5.6,-0.0384,0.306577,2.066922839017373,Strained,Strained
1,Society_B,3,9.4375,5.6,-0.0384,0.306577,2.066922839017373,Strained,Strained
1,Society_B,4,9.4375,5.6,-0.0384,0.306577,2.066922839017373,Strained,Strained
1,Society_B,5,12.9625,10.1,0.522,0.437159,3.159523003562872,Stable Adaptive,Stable Adaptive
1,Society_B,6,12.4,9.1,0.3,0.404362,2.8642724682899265,Stable Adaptive,Stable Adaptive
1,Society_B,7,12.7125,9.1,0.3,0.420018,2.9201802711014357,Stable Adaptive,Stable Adaptive
1,Society_B,8,12.4,9.1,0.3,0.404362,2.8642724682899265,Stable Adaptive,Stable Adaptive
1,Society_B,9,12.65,9.1,0.3,0.414147,2.899111428352289,Stable Adaptive,Stable Adaptive
1,Society_B,10,12.4,9.1,0.3,0.404362,2.8642724682899265,Stable Adaptive,Stable Adaptive
1,Society_B,11,12.4,9.1,0.3,0.404362,2.8642724682899265,Stable Adaptive,Stable Adaptive
1,Society_B,12,12.4,9.1,0.3,0.404362,2.8642724682899265,Stable Adaptive,Stable Adaptive
1,Society_B,13,12.5875,9.1,0.3,0.407484,2.8754615819397964,Stable Adaptive,Stable Adaptive
1,Society_B,14,7.2125,3.8,-0.988,0.241317,1.6300435419657568,Phantom Type II,Phantom Type II
1,Society_B,15,7.0875,2.8,-1.248,0.241317,1.6300435419657568,Phantom Type II,Phantom Type II
1,Society_B,16,7.0875,2.8,-1.248,0.241369,1.6239532319998078,Phantom Type II,Phantom Type II
1,Society_B,17,6.9625,1.8,-1.508,0.237917,1.526798342247969,Phantom Type II,Phantom Type II
1,Society_B,18,7.3375,3.8,-0.988,0.245133,1.6530500132231016,Phantom Type II,Phantom Type II
1,Society_B,19,7.4625,5.4,-0.468,0.25591,1.8488203113154484,Strained,Strained
1,Society_B,20,7.4625,5.5,-0.5,0.255804,1.8870228566244316,Strained,Strained
1,Society_B,21,6.9625,4.4,-0.3744,0.240539,1.6629859642402334,Strained,Strained
1,Society_B,22,7.2125,4.4,-0.3024,0.24831,1.6893986263372802,Strained,Strained
1,Society_B,23,7.9625,5.6,-0.0304,0.264444,1.930179557200815,Strained,Strained
1,Society_B,24,7.9625,5.6,-0.0304,0.264444,1.930179557200815,Strained,Strained
1,Society_B,25,8.2125,5.6,-0.0304,0.269111,1.947709725697465,Strained,Strained
1,Society_B,26,8.2125,5.6,-0.0304,0.268965,1.948237849864526,Strained,Strained
1,Society_B,27,7.9625,5.6,-0.0304,0.264444,1.930179557200815,Strained,Strained
1,Society_B,28,7.9625,5.6,-0.0304,0.264444,1.930179557200815,Strained,Strained
1,Society_B,29,2.375,-2.8,-0.64512,0.150437,0.9145571100448896,Systemic Crisis,Systemic Crisis
1,Society_B,30,2.375,-2.8,-0.64512,0.15061,0.9036117027632491,Systemic Crisis,Systemic Crisis
1,Society_B,31,1.875,-3.5,-0.576,0.141419,0.8136592332759628,Systemic Crisis,Systemic Crisis
1,Society_B,32,2.75,-0.8,-0.46592,0.15253,0.972688785310447,Systemic Crisis,Systemic Crisis
1,Society_B,33,3.375,-0.5,-0.45,0.159567,1.0228362533240989,Systemic Crisis,Systemic Crisis
1,Society_B,34,9.15,4.6,-0.1824,0.295784,1.9421390741987465,Strained,Strained
1,Society_B,35,9.7125,4.6,-0.1824,0.318363,2.0199193264525626,Strained,Strained
1,Society_B,36,9.775,4.6,-0.1824,0.310961,1.995486008915092,Strained,Strained
1,Society_B,37,9.15,4.6,-0.1824,0.295784,1.9421390741987465,Strained,Strained
1,Society_B,38,9.025,3.6,-0.3344,0.291712,1.812997882127795,Local Node Failure,Local Node Failure
1,Society_B,39,8.775,2.6,-0.4864,0.282854,1.675593211913022,Local Node Failure,Local Node Failure
1,Society_B,40,0.1,-6.0,-0.4704,0.101294,0.4851000254442881,Systemic Crisis,Systemic Crisis
1,Society_B,41,2.2125,-4.4,-0.6048,0.141467,0.7195901756790016,Systemic Crisis,Systemic Crisis
1,Society_B,42,2.525,-4.4,-0.6048,0.149108,0.7402726993388542,Systemic Crisis,Systemic Crisis
1,Society_B,43,2.0875,-4.4,-0.64,0.139013,0.71311995818812,Systemic Crisis,Systemic Crisis
1,Society_B,44,2.4625,-2.7,-0.6048,0.146753,0.8260697367549147,Systemic Crisis,Systemic Crisis
1,Society_B,45,13.15,10.9,0.682,0.428664,3.1279490966455645,Stable Adaptive,Stable Adaptive
1,Society_B,46,11.9625,8.1,0.192,0.389991,2.6667984240718625,Stable Adaptive,Stable Adaptive
1,Society_B,47,11.9625,8.1,0.192,0.389991,2.6667984240718625,Stable Adaptive,Stable Adaptive
1,Society_B,48,12.4625,8.1,0.192,0.404073,2.7194683981142944,Stable Adaptive,Stable Adaptive
1,Society_B,49,12.2125,10.1,0.522,0.401323,3.02274530315246,Stable Adaptive,Stable Adaptive
1,Society_B,50,12.8125,9.1,0.232,0.409689,2.7144203532349733,Stable Adaptive,Stable Adaptive
1,Society_B,51,12.8125,9.1,0.232,0.409689,2.7144203532349733,Stable Adaptive,Stable Adaptive
1,Society_B,52,12.9375,10.1,0.522,0.415785,2.9072372861180287,Stable Adaptive,Stable Adaptive
1,Society_B,53,12.9375,10.1,0.522,0.415785,2.9072372861180287,Stable Adaptive,Stable Adaptive
1,Society_B,54,12.9375,10.1,0.522,0.415785,2.9072372861180287,Stable Adaptive,Stable Adaptive
1,Society_B,55,13.1875,10.1,0.522,0.415785,2.9072372861180287,Stable Adaptive,Stable Adaptive
1,Society_B,56,12.9375,10.1,0.522,0.415785,2.9072372861180287,Stable Adaptive,Stable Adaptive
1,Society_B,57,12.9375,10.1,0.522,0.415785,2.9072372861180287,Stable Adaptive,Stable Adaptive
1,Society_B,58,12.9375,10.1,0.522,0.415785,2.9072372861180287,Stable Adaptive,Stable Adaptive
1,Society_B,59,12.9375,10.1,0.522,0.415785,2.9072372861180287,Stable Adaptive,Stable Adaptive
1,Society_B,60,12.9375,10.1,0.522,0.415785,2.9072372861180287,Stable Adaptive,Stable Adaptive
1,Society_B,61,12.9375,10.1,0.522,0.415785,2.9072372861180287,Stable Adaptive,Stable Adaptive
1,Society_B,62,12.9375,10.1,0.522,0.415785,2.9072372861180287,Stable Adaptive,Stable Adaptive
1,Society_B,63,12.9375,10.1,0.522,0.415785,2.9072372861180287,Stable Adaptive,Stable Adaptive
1,Society_B,64,12.9375,10.1,0.522,0.415785,2.9072372861180287,Stable Adaptive,Stable Adaptive
1,Society_B,65,12.0875,10.0,0.522,0.38567,2.758374223756853,Stable Adaptive,Stable Adaptive
1,Society_B,66,12.2125,10.1,0.522,0.390418,2.803084417543878,Stable Adaptive,Stable Adaptive
1,Society_B,67,12.2125,10.1,0.522,0.390418,2.803084417543878,Stable Adaptive,Stable Adaptive
1,Society_B,68,12.2125,10.1,0.522,0.390418,2.803084417543878,Stable Adaptive,Stable Adaptive
1,Society_B,69,12.525,10.1,0.522,0.393726,2.816174517829129,Stable Adaptive,Stable Adaptive
1,Society_B,70,12.4,10.1,0.522,0.393726,2.816174517829129,Stable Adaptive,Stable Adaptive
1,Society_B,71,12.2125,10.1,0.522,0.390418,2.803084417543878,Stable Adaptive,Stable Adaptive
1,Society_B,72,8.9625,2.5,-0.8,0.292143,1.612842043844533,Phantom Type II,Phantom Type II
1,Society_B,73,9.4625,4.5,-0.75,0.304513,1.8594870446805651,Phantom Type II,Phantom Type II
1,Society_B,74,14.825,10.1,0.522,0.472485,3.118086519993011,Stable Adaptive,Stable Adaptive
1,Society_B,75,14.325,10.1,0.522,0.452229,3.0469753223472393,Stable Adaptive,Stable Adaptive
1,Society_B,76,13.95,10.1,0.522,0.439124,2.999359073822212,Stable Adaptive,Stable Adaptive
1,Society_B,77,13.95,10.1,0.522,0.439124,2.999359073822212,Stable Adaptive,Stable Adaptive
1,Society_B,78,13.95,10.1,0.522,0.439124,2.999359073822212,Stable Adaptive,Stable Adaptive
1,Society_B,79,13.95,10.1,0.522,0.439124,2.999359073822212,Stable Adaptive,Stable Adaptive
1,Society_B,80,13.95,10.1,0.522,0.439124,2.999359073822212,Stable Adaptive,Stable Adaptive
1,Society_B,81,13.825,10.1,0.522,0.434435,2.97863856926382,Stable Adaptive,Stable Adaptive
1,Society_B,82,13.95,10.1,0.522,0.439124,2.999359073822212,Stable Adaptive,Stable Adaptive
1,Society_B,83,13.95,10.1,0.522,0.439124,2.999359073822212,Stable Adaptive,Stable Adaptive
1,Society_B,84,13.95,10.1,0.522,0.439124,2.999359073822212,Stable Adaptive,Stable Adaptive
1,Society_B,85,13.95,10.1,0.522,0.439124,2.999359073822212,Stable Adaptive,Stable Adaptive
1,Society_B,86,7.8125,3.5,-1.0788,0.254143,1.6490336510293635,Phantom Type II,Phantom Type II
1,Society_B,87,8.8125,6.1,-0.288,0.274603,1.916906372782377,Strained,Strained
1,Society_B,88,8.0625,3.5,-0.6,0.25943,1.6789360424557738,Local Node Failure,Local Node Failure
1,Society_B,89,7.5625,2.5,-0.8,0.248305,1.527914983799069,Phantom Type II,Phantom Type II
1,Society_B,90,7.6875,3.1,-0.608,0.251792,1.6069804919446142,Local Node Failure,Local Node Failure
1,Society_B,91,8.5625,5.5,-0.5,0.266091,1.799700827463583,Strained,Strained
1,Society_B,92,8.8125,6.1,-0.288,0.274603,1.916906372782377,Strained,Strained
1,Society_B,93,13.8375,8.1,0.192,0.43946,2.8522031219426216,Stable Adaptive,Stable Adaptive
1,Society_B,94,12.9625,8.1,0.192,0.409769,2.739702462840186,Stable Adaptive,Stable Adaptive
1,Society_B,95,13.3375,8.1,0.192,0.423967,2.7961230282582434,Stable Adaptive,Stable Adaptive
1,Society_B,96,13.65,8.1,0.192,0.427037,2.807077015509509,Stable Adaptive,Stable Adaptive
1,Society_B,97,13.3375,8.1,0.192,0.423967,2.7961230282582434,Stable Adaptive,Stable Adaptive
1,Society_B,98,13.0875,8.1,0.192,0.416548,2.768677780434607,Stable Adaptive,Stable Adaptive
1,Society_B,99,13.3375,8.1,0.192,0.423967,2.7961230282582434,Stable Adaptive,Stable Adaptive
1,Society_B,100,13.3375,8.1,0.192,0.423967,2.7961230282582434,Stable Adaptive,Stable Adaptive
1,Society_B,101,12.9,6.1,-0.288,0.394094,2.3721411936826464,Strained,Strained
1,Society_B,102,13.025,7.1,-0.048,0.399422,2.5412776417878122,Stable Adaptive,Stable Adaptive
1,Society_B,103,13.025,7.1,-0.048,0.399422,2.5412776417878122,Stable Adaptive,Stable Adaptive
1,Society_B,104,13.025,7.1,-0.048,0.399422,2.5412776417878122,Stable Adaptive,Stable Adaptive
1,Society_B,105,13.025,7.1,-0.048,0.399422,2.5412776417878122,Stable Adaptive,Stable Adaptive
1,Society_B,106,13.025,7.1,-0.048,0.399422,2.5412776417878122,Stable Adaptive,Stable Adaptive
1,Society_B,107,13.025,7.1,-0.048,0.399422,2.5412776417878122,Stable Adaptive,Stable Adaptive
1,Society_B,108,13.025,7.1,-0.048,0.399422,2.5412776417878122,Stable Adaptive,Stable Adaptive
1,Society_B,109,13.025,7.1,-0.048,0.399422,2.5412776417878122,Stable Adaptive,Stable Adaptive
1,Society_B,110,13.025,7.1,-0.048,0.399422,2.5412776417878122,Stable Adaptive,Stable Adaptive
1,Society_B,111,12.025,4.1,-0.768,0.362373,2.1189924346727578,Phantom Type II,Phantom Type II
1,Society_B,112,13.025,7.1,-0.048,0.40014,2.5390833002163156,Stable Adaptive,Stable Adaptive
1,Society_B,113,13.025,7.1,-0.048,0.399422,2.5412776417878122,Stable Adaptive,Stable Adaptive
1,Society_B,114,10.4,6.9,-0.2976,0.3157,2.151097632638473,Strained,Strained
1,Society_B,115,10.15,3.9,-0.52,0.30907,1.899662401539716,Local Node Failure,Local Node Failure
1,Society_B,116,11.4,7.1,-0.048,0.337316,2.2960524667810382,Stable Adaptive,Stable Adaptive
1,Society_B,117,12.15,7.1,-0.048,0.369725,2.435687381210578,Stable Adaptive,Stable Adaptive
1,Society_B,118,12.15,7.1,-0.048,0.369725,2.435687381210578,Stable Adaptive,Stable Adaptive
1,Society_B,119,12.15,7.1,-0.048,0.369725,2.435687381210578,Stable Adaptive,Stable Adaptive
1,Society_B,120,11.025,7.1,-0.36,0.333889,2.286724957747547,Strained,Strained
1,Society_B,121,11.9,7.1,-0.048,0.35769,2.385495104967844,Stable Adaptive,Stable Adaptive
1,Society_B,122,12.2125,6.1,-0.288,0.367867,2.2832256961092954,Strained,Strained
1,Society_B,123,11.9,6.1,-0.288,0.35822,2.250984552618808,Strained,Strained
1,Society_B,124,12.275,8.1,0.192,0.369725,2.435687381210578,Stable Adaptive,Stable Adaptive
1,Society_B,125,12.15,7.1,-0.048,0.369725,2.435687381210578,Stable Adaptive,Stable Adaptive
1,Society_C,0,14.575,7.0,0.0,0.438793,2.6425326852815427,Stable Adaptive,Stable Adaptive
1,Society_C,1,14.7,7.0,0.0,0.447136,2.6695029111791517,Stable Adaptive,Stable Adaptive
1,Society_C,2,14.825,7.0,0.0,0.45494,2.6956728428566734,Stable Adaptive,Stable Adaptive
1,Society_C,3,14.95,7.0,0.0,0.463305,2.722598887984701,Stable Adaptive,Stable Adaptive
1,Society_C,4,14.95,7.0,0.0,0.463305,2.722598887984701,Stable Adaptive,Stable Adaptive
1,Society_C,5,14.95,7.0,0.0,0.463305,2.722598887984701,Stable Adaptive,Stable Adaptive
1,Society_C,6,14.925,7.0,0.0,0.462244,2.7191279607351797,Stable Adaptive,Stable Adaptive
1,Society_C,7,14.925,7.0,0.0,0.462244,2.7191279607351797,Stable Adaptive,Stable Adaptive
1,Society_C,8,14.7,6.0,-0.2,0.450091,2.516389666932716,Stable Adaptive,Stable Adaptive
1,Society_C,9,14.25,6.0,-0.2,0.430427,2.4542127394345545,Stable Adaptive,Stable Adaptive
1,Society_C,10,13.875,6.0,-0.2,0.426354,2.438347114497153,Stable Adaptive,Stable Adaptive
1,Society_C,11,13.75,5.0,-0.4,0.421233,2.276761853371439,Strained,Strained
1,Society_C,12,13.75,5.0,-0.4,0.421233,2.276761853371439,Strained,Strained
1,Society_C,13,14.825,7.0,0.0,0.455549,2.6962348263693308,Stable Adaptive,Stable Adaptive
1,Society_C,14,12.725,7.0,0.0,0.344646,2.171141292011236,Stable Adaptive,Stable Adaptive
1,Society_C,15,11.725,7.0,0.0,0.294789,1.8717238476485007,Stable Adaptive,Stable Adaptive
1,Society_C,16,11.5125,6.0,-0.2,0.287471,1.733969143638853,Stable Adaptive,Stable Adaptive
1,Society_C,17,10.1625,5.0,-0.49,0.265074,1.6561908050047605,Strained,Strained
1,Society_C,18,11.9125,7.0,0.0,0.302361,1.8980289309417584,Stable Adaptive,Stable Adaptive
1,Society_C,19,11.9375,5.0,-0.4,0.338928,2.0212698163131115,Strained,Strained
1,Society_C,20,11.75,5.0,-0.4,0.338645,2.019454732258678,Strained,Strained
1,Society_C,21,10.6,1.5,-0.48,0.312035,1.6222563517760684,Local Node Failure,Local Node Failure
1,Society_C,22,11.975,3.5,-0.24,0.354248,1.8539631270465144,Local Node Failure,Local Node Failure
1,Society_C,23,12.1,3.5,-0.24,0.361624,1.874449149029416,Local Node Failure,Local Node Failure
