Society,Year,Formalism,From_Node,To_Node,B_ij
Argentina,1951,JUNO-1.0,Lore,Hands,0.3316
Argentina,1951,JUNO-1.0,Lore,Archive,0.3177
Argentina,1951,JUNO-1.0,Lore,Flow,0.309
Argentina,1951,JUNO-1.0,Stewards,Helm,0.3209
Argentina,1951,JUNO-1.0,Stewards,Shield,0.2997
Argentina,1951,JUNO-1.0,Stewards,Lore,0.3133
Argentina,1951,JUNO-1.0,Stewards,Craft,0.2832
Argentina,1951,JUNO-1.0,Stewards,Hands,0.2956
Argentina,1951,JUNO-1.0,Stewards,Archive,0.2832
Argentina,1951,JUNO-1.0,Stewards,Flow,0.2755
Argentina,1951,JUNO-1.0,Craft,Helm,0.3254
Argentina,1951,JUNO-1.0,Craft,Shield,0.3039
Argentina,1951,JUNO-1.0,Craft,Lore,0.3177
Argentina,1951,JUNO-1.0,Craft,Stewards,0.2832
Argentina,1951,JUNO-1.0,Craft,Hands,0.2997
Argentina,1951,JUNO-1.0,Craft,Archive,0.2872
Argentina,1951,JUNO-1.0,Craft,Flow,0.2793
Argentina,1951,JUNO-1.0,Hands,Helm,0.3396
Argentina,1951,JUNO-1.0,Hands,Shield,0.3172
Argentina,1951,JUNO-1.0,Hands,Lore,0.3316
Argentina,1951,JUNO-1.0,Hands,Stewards,0.2956
Argentina,1951,JUNO-1.0,Hands,Craft,0.2997
Argentina,1951,JUNO-1.0,Hands,Archive,0.2997
Argentina,1951,JUNO-1.0,Hands,Flow,0.2915
Argentina,1951,JUNO-1.0,Archive,Helm,0.3254
Argentina,1951,JUNO-1.0,Archive,Shield,0.3039
Argentina,1951,JUNO-1.0,Archive,Lore,0.3177
Argentina,1951,JUNO-1.0,Archive,Stewards,0.2832
Argentina,1951,JUNO-1.0,Archive,Craft,0.2872
Argentina,1951,JUNO-1.0,Archive,Hands,0.2997
Argentina,1951,JUNO-1.0,Archive,Flow,0.2793
Argentina,1951,JUNO-1.0,Flow,Helm,0.3165
Argentina,1951,JUNO-1.0,Flow,Shield,0.2956
Argentina,1951,JUNO-1.0,Flow,Lore,0.309
Argentina,1951,JUNO-1.0,Flow,Stewards,0.2755
Argentina,1951,JUNO-1.0,Flow,Craft,0.2793
Argentina,1951,JUNO-1.0,Flow,Hands,0.2915
Argentina,1951,JUNO-1.0,Flow,Archive,0.2793
Argentina,1952,JUNO-1.0,Helm,Shield,0.2584
Argentina,1952,JUNO-1.0,Helm,Lore,0.2469
Argentina,1952,JUNO-1.0,Helm,Stewards,0.2469
Argentina,1952,JUNO-1.0,Helm,Craft,0.2469
Argentina,1952,JUNO-1.0,Helm,Hands,0.2303
Argentina,1952,JUNO-1.0,Helm,Archive,0.2469
Argentina,1952,JUNO-1.0,Helm,Flow,0.206
Argentina,1952,JUNO-1.0,Shield,Helm,0.2584
Argentina,1952,JUNO-1.0,Shield,Lore,0.2617
Argentina,1952,JUNO-1.0,Shield,Stewards,0.2617
Argentina,1952,JUNO-1.0,Shield,Craft,0.2617
Argentina,1952,JUNO-1.0,Shield,Hands,0.2442
Argentina,1952,JUNO-1.0,Shield,Archive,0.2617
Argentina,1952,JUNO-1.0,Shield,Flow,0.2184
Argentina,1952,JUNO-1.0,Lore,Helm,0.2469
Argentina,1952,JUNO-1.0,Lore,Shield,0.2617
Argentina,1952,JUNO-1.0,Lore,Stewards,0.25
Argentina,1952,JUNO-1.0,Lore,Craft,0.25
Argentina,1952,JUNO-1.0,Lore,Hands,0.2333
Argentina,1952,JUNO-1.0,Lore,Archive,0.25
Argentina,1952,JUNO-1.0,Lore,Flow,0.2086
Argentina,1952,JUNO-1.0,Stewards,Helm,0.2469
Argentina,1952,JUNO-1.0,Stewards,Shield,0.2617
Argentina,1952,JUNO-1.0,Stewards,Lore,0.25
Argentina,1952,JUNO-1.0,Stewards,Craft,0.25
Argentina,1952,JUNO-1.0,Stewards,Hands,0.2333
Argentina,1952,JUNO-1.0,Stewards,Archive,0.25
Argentina,1952,JUNO-1.0,Stewards,Flow,0.2086
Argentina,1952,JUNO-1.0,Craft,Helm,0.2469
Argentina,1952,JUNO-1.0,Craft,Shield,0.2617
Argentina,1952,JUNO-1.0,Craft,Lore,0.25
Argentina,1952,JUNO-1.0,Craft,Stewards,0.25
Argentina,1952,JUNO-1.0,Craft,Hands,0.2333
Argentina,1952,JUNO-1.0,Craft,Archive,0.25
Argentina,1952,JUNO-1.0,Craft,Flow,0.2086
Argentina,1952,JUNO-1.0,Hands,Helm,0.2303
Argentina,1952,JUNO-1.0,Hands,Shield,0.2442
Argentina,1952,JUNO-1.0,Hands,Lore,0.2333
Argentina,1952,JUNO-1.0,Hands,Stewards,0.2333
Argentina,1952,JUNO-1.0,Hands,Craft,0.2333
Argentina,1952,JUNO-1.0,Hands,Archive,0.2333
Argentina,1952,JUNO-1.0,Hands,Flow,0.1947
Argentina,1952,JUNO-1.0,Archive,Helm,0.2469
Argentina,1952,JUNO-1.0,Archive,Shield,0.2617
Argentina,1952,JUNO-1.0,Archive,Lore,0.25
Argentina,1952,JUNO-1.0,Archive,Stewards,0.25
Argentina,1952,JUNO-1.0,Archive,Craft,0.25
Argentina,1952,JUNO-1.0,Archive,Hands,0.2333
Argentina,1952,JUNO-1.0,Archive,Flow,0.2086
Argentina,1952,JUNO-1.0,Flow,Helm,0.206
Argentina,1952,JUNO-1.0,Flow,Shield,0.2184
Argentina,1952,JUNO-1.0,Flow,Lore,0.2086
Argentina,1952,JUNO-1.0,Flow,Stewards,0.2086
Argentina,1952,JUNO-1.0,Flow,Craft,0.2086
Argentina,1952,JUNO-1.0,Flow,Hands,0.1947
Argentina,1952,JUNO-1.0,Flow,Archive,0.2086
Argentina,1953,JUNO-1.0,Helm,Shield,0.2437
Argentina,1953,JUNO-1.0,Helm,Lore,0.2408
Argentina,1953,JUNO-1.0,Helm,Stewards,0.2124
Argentina,1953,JUNO-1.0,Helm,Craft,0.2408
Argentina,1953,JUNO-1.0,Helm,Hands,0.2187
Argentina,1953,JUNO-1.0,Helm,Archive,0.2408
Argentina,1953,JUNO-1.0,Helm,Flow,0.2066
Argentina,1953,JUNO-1.0,Shield,Helm,0.2437
Argentina,1953,JUNO-1.0,Shield,Lore,0.253
Argentina,1953,JUNO-1.0,Shield,Stewards,0.2232
Argentina,1953,JUNO-1.0,Shield,Craft,0.253
Argentina,1953,JUNO-1.0,Shield,Hands,0.2297
Argentina,1953,JUNO-1.0,Shield,Archive,0.253
Argentina,1953,JUNO-1.0,Shield,Flow,0.2171
Argentina,1953,JUNO-1.0,Lore,Helm,0.2408
Argentina,1953,JUNO-1.0,Lore,Shield,0.253
Argentina,1953,JUNO-1.0,Lore,Stewards,0.2205
Argentina,1953,JUNO-1.0,Lore,Craft,0.25
Argentina,1953,JUNO-1.0,Lore,Hands,0.227
Argentina,1953,JUNO-1.0,Lore,Archive,0.25
Argentina,1953,JUNO-1.0,Lore,Flow,0.2145
Argentina,1953,JUNO-1.0,Stewards,Helm,0.2124
Argentina,1953,JUNO-1.0,Stewards,Shield,0.2232
Argentina,1953,JUNO-1.0,Stewards,Lore,0.2205
Argentina,1953,JUNO-1.0,Stewards,Craft,0.2205
Argentina,1953,JUNO-1.0,Stewards,Hands,0.2002
Argentina,1953,JUNO-1.0,Stewards,Archive,0.2205
Argentina,1953,JUNO-1.0,Stewards,Flow,0.1892
Argentina,1953,JUNO-1.0,Craft,Helm,0.2408
Argentina,1953,JUNO-1.0,Craft,Shield,0.253
Argentina,1953,JUNO-1.0,Craft,Lore,0.25
Argentina,1953,JUNO-1.0,Craft,Stewards,0.2205
Argentina,1953,JUNO-1.0,Craft,Hands,0.227
Argentina,1953,JUNO-1.0,Craft,Archive,0.25
Argentina,1953,JUNO-1.0,Craft,Flow,0.2145
Argentina,1953,JUNO-1.0,Hands,Helm,0.2187
Argentina,1953,JUNO-1.0,Hands,Shield,0.2297
Argentina,1953,JUNO-1.0,Hands,Lore,0.227
Argentina,1953,JUNO-1.0,Hands,Stewards,0.2002
Argentina,1953,JUNO-1.0,Hands,Craft,0.227
Argentina,1953,JUNO-1.0,Hands,Archive,0.227
Argentina,1953,JUNO-1.0,Hands,Flow,0.1948
Argentina,1953,JUNO-1.0,Archive,Helm,0.2408
Argentina,1953,JUNO-1.0,Archive,Shield,0.253
Argentina,1953,JUNO-1.0,Archive,Lore,0.25
Argentina,1953,JUNO-1.0,Archive,Stewards,0.2205
Argentina,1953,JUNO-1.0,Archive,Craft,0.25
Argentina,1953,JUNO-1.0,Archive,Hands,0.227
Argentina,1953,JUNO-1.0,Archive,Flow,0.2145
Argentina,1953,JUNO-1.0,Flow,Helm,0.2066
Argentina,1953,JUNO-1.0,Flow,Shield,0.2171
Argentina,1953,JUNO-1.0,Flow,Lore,0.2145
Argentina,1953,JUNO-1.0,Flow,Stewards,0.1892
Argentina,1953,JUNO-1.0,Flow,Craft,0.2145
Argentina,1953,JUNO-1.0,Flow,Hands,0.1948
Argentina,1953,JUNO-1.0,Flow,Archive,0.2145
Argentina,1954,JUNO-1.0,Helm,Shield,0.2415
Argentina,1954,JUNO-1.0,Helm,Lore,0.2415
Argentina,1954,JUNO-1.0,Helm,Stewards,0.216
Argentina,1954,JUNO-1.0,Helm,Craft,0.2415
Argentina,1954,JUNO-1.0,Helm,Hands,0.2193
Argentina,1954,JUNO-1.0,Helm,Archive,0.2415
Argentina,1954,JUNO-1.0,Helm,Flow,0.213
Argentina,1954,JUNO-1.0,Shield,Helm,0.2415
Argentina,1954,JUNO-1.0,Shield,Lore,0.25
Argentina,1954,JUNO-1.0,Shield,Stewards,0.2236
Argentina,1954,JUNO-1.0,Shield,Craft,0.25
Argentina,1954,JUNO-1.0,Shield,Hands,0.227
Argentina,1954,JUNO-1.0,Shield,Archive,0.25
Argentina,1954,JUNO-1.0,Shield,Flow,0.2205
Argentina,1954,JUNO-1.0,Lore,Helm,0.2415
Argentina,1954,JUNO-1.0,Lore,Shield,0.25
Argentina,1954,JUNO-1.0,Lore,Stewards,0.2236
Argentina,1954,JUNO-1.0,Lore,Craft,0.25
Argentina,1954,JUNO-1.0,Lore,Hands,0.227
Argentina,1954,JUNO-1.0,Lore,Archive,0.25
Argentina,1954,JUNO-1.0,Lore,Flow,0.2205
Argentina,1954,JUNO-1.0,Stewards,Helm,0.216
Argentina,1954,JUNO-1.0,Stewards,Shield,0.2236
Argentina,1954,JUNO-1.0,Stewards,Lore,0.2236
Argentina,1954,JUNO-1.0,Stewards,Craft,0.2236
Argentina,1954,JUNO-1.0,Stewards,Hands,0.2031
Argentina,1954,JUNO-1.0,Stewards,Archive,0.2236
Argentina,1954,JUNO-1.0,Stewards,Flow,0.1972
Argentina,1954,JUNO-1.0,Craft,Helm,0.2415
Argentina,1954,JUNO-1.0,Craft,Shield,0.25
Argentina,1954,JUNO-1.0,Craft,Lore,0.25
Argentina,1954,JUNO-1.0,Craft,Stewards,0.2236
Argentina,1954,JUNO-1.0,Craft,Hands,0.227
Argentina,1954,JUNO-1.0,Craft,Archive,0.25
Argentina,1954,JUNO-1.0,Craft,Flow,0.2205
Argentina,1954,JUNO-1.0,Hands,Helm,0.2193
Argentina,1954,JUNO-1.0,Hands,Shield,0.227
Argentina,1954,JUNO-1.0,Hands,Lore,0.227
Argentina,1954,JUNO-1.0,Hands,Stewards,0.2031
Argentina,1954,JUNO-1.0,Hands,Craft,0.227
Argentina,1954,JUNO-1.0,Hands,Archive,0.227
Argentina,1954,JUNO-1.0,Hands,Flow,0.2003
Argentina,1954,JUNO-1.0,Archive,Helm,0.2415
Argentina,1954,JUNO-1.0,Archive,Shield,0.25
Argentina,1954,JUNO-1.0,Archive,Lore,0.25
Argentina,1954,JUNO-1.0,Archive,Stewards,0.2236
Argentina,1954,JUNO-1.0,Archive,Craft,0.25
Argentina,1954,JUNO-1.0,Archive,Hands,0.227
Argentina,1954,JUNO-1.0,Archive,Flow,0.2205
Argentina,1954,JUNO-1.0,Flow,Helm,0.213
Argentina,1954,JUNO-1.0,Flow,Shield,0.2205
Argentina,1954,JUNO-1.0,Flow,Lore,0.2205
Argentina,1954,JUNO-1.0,Flow,Stewards,0.1972
Argentina,1954,JUNO-1.0,Flow,Craft,0.2205
Argentina,1954,JUNO-1.0,Flow,Hands,0.2003
Argentina,1954,JUNO-1.0,Flow,Archive,0.2205
Argentina,1955,JUNO-1.0,Helm,Shield,0.1022
Argentina,1955,JUNO-1.0,Helm,Lore,0.1068
Argentina,1955,JUNO-1.0,Helm,Stewards,0.1095
Argentina,1955,JUNO-1.0,Helm,Craft,0.1277
Argentina,1955,JUNO-1.0,Helm,Hands,0.1208
Argentina,1955,JUNO-1.0,Helm,Archive,0.1036
Argentina,1955,JUNO-1.0,Helm,Flow,0.1032
Argentina,1955,JUNO-1.0,Shield,Helm,0.1022
Argentina,1955,JUNO-1.0,Shield,Lore,0.1134
Argentina,1955,JUNO-1.0,Shield,Stewards,0.1163
Argentina,1955,JUNO-1.0,Shield,Craft,0.1356
Argentina,1955,JUNO-1.0,Shield,Hands,0.1283
Argentina,1955,JUNO-1.0,Shield,Archive,0.11
Argentina,1955,JUNO-1.0,Shield,Flow,0.1095
Argentina,1955,JUNO-1.0,Lore,Helm,0.1068
Argentina,1955,JUNO-1.0,Lore,Shield,0.1134
Argentina,1955,JUNO-1.0,Lore,Stewards,0.1216
Argentina,1955,JUNO-1.0,Lore,Craft,0.1417
Argentina,1955,JUNO-1.0,Lore,Hands,0.134
Argentina,1955,JUNO-1.0,Lore,Archive,0.115
Argentina,1955,JUNO-1.0,Lore,Flow,0.1145
Argentina,1955,JUNO-1.0,Stewards,Helm,0.1095
Argentina,1955,JUNO-1.0,Stewards,Shield,0.1163
Argentina,1955,JUNO-1.0,Stewards,Lore,0.1216
Argentina,1955,JUNO-1.0,Stewards,Craft,0.1453
Argentina,1955,JUNO-1.0,Stewards,Hands,0.1375
Argentina,1955,JUNO-1.0,Stewards,Archive,0.1179
Argentina,1955,JUNO-1.0,Stewards,Flow,0.1174
Argentina,1955,JUNO-1.0,Craft,Helm,0.1277
Argentina,1955,JUNO-1.0,Craft,Shield,0.1356
Argentina,1955,JUNO-1.0,Craft,Lore,0.1417
Argentina,1955,JUNO-1.0,Craft,Stewards,0.1453
Argentina,1955,JUNO-1.0,Craft,Hands,0.1602
Argentina,1955,JUNO-1.0,Craft,Archive,0.1375
Argentina,1955,JUNO-1.0,Craft,Flow,0.1368
Argentina,1955,JUNO-1.0,Hands,Helm,0.1208
Argentina,1955,JUNO-1.0,Hands,Shield,0.1283
Argentina,1955,JUNO-1.0,Hands,Lore,0.134
Argentina,1955,JUNO-1.0,Hands,Stewards,0.1375
Argentina,1955,JUNO-1.0,Hands,Craft,0.1602
Argentina,1955,JUNO-1.0,Hands,Archive,0.13
Argentina,1955,JUNO-1.0,Hands,Flow,0.1295
Argentina,1955,JUNO-1.0,Archive,Helm,0.1036
Argentina,1955,JUNO-1.0,Archive,Shield,0.11
Argentina,1955,JUNO-1.0,Archive,Lore,0.115
Argentina,1955,JUNO-1.0,Archive,Stewards,0.1179
Argentina,1955,JUNO-1.0,Archive,Craft,0.1375
Argentina,1955,JUNO-1.0,Archive,Hands,0.13
Argentina,1955,JUNO-1.0,Archive,Flow,0.1111
Argentina,1955,JUNO-1.0,Flow,Helm,0.1032
Argentina,1955,JUNO-1.0,Flow,Shield,0.1095
Argentina,1955,JUNO-1.0,Flow,Lore,0.1145
Argentina,1955,JUNO-1.0,Flow,Stewards,0.1174
Argentina,1955,JUNO-1.0,Flow,Craft,0.1368
Argentina,1955,JUNO-1.0,Flow,Hands,0.1295
Argentina,1955,JUNO-1.0,Flow,Archive,0.1111
Argentina,1956,JUNO-1.0,Helm,Shield,0.1742
Argentina,1956,JUNO-1.0,Helm,Lore,0.1625
Argentina,1956,JUNO-1.0,Helm,Stewards,0.1625
Argentina,1956,JUNO-1.0,Helm,Craft,0.1793
Argentina,1956,JUNO-1.0,Helm,Hands,0.1625
Argentina,1956,JUNO-1.0,Helm,Archive,0.1625
Argentina,1956,JUNO-1.0,Helm,Flow,0.1625
Argentina,1956,JUNO-1.0,Shield,Helm,0.1742
Argentina,1956,JUNO-1.0,Shield,Lore,0.1867
Argentina,1956,JUNO-1.0,Shield,Stewards,0.1867
Argentina,1956,JUNO-1.0,Shield,Craft,0.206
Argentina,1956,JUNO-1.0,Shield,Hands,0.1867
Argentina,1956,JUNO-1.0,Shield,Archive,0.1867
Argentina,1956,JUNO-1.0,Shield,Flow,0.1867
Argentina,1956,JUNO-1.0,Lore,Helm,0.1625
Argentina,1956,JUNO-1.0,Lore,Shield,0.1867
Argentina,1956,JUNO-1.0,Lore,Stewards,0.1741
Argentina,1956,JUNO-1.0,Lore,Craft,0.1921
Argentina,1956,JUNO-1.0,Lore,Hands,0.1741
Argentina,1956,JUNO-1.0,Lore,Archive,0.1741
Argentina,1956,JUNO-1.0,Lore,Flow,0.1741
Argentina,1956,JUNO-1.0,Stewards,Helm,0.1625
Argentina,1956,JUNO-1.0,Stewards,Shield,0.1867
Argentina,1956,JUNO-1.0,Stewards,Lore,0.1741
Argentina,1956,JUNO-1.0,Stewards,Craft,0.1921
Argentina,1956,JUNO-1.0,Stewards,Hands,0.1741
Argentina,1956,JUNO-1.0,Stewards,Archive,0.1741
Argentina,1956,JUNO-1.0,Stewards,Flow,0.1741
Argentina,1956,JUNO-1.0,Craft,Helm,0.1793
Argentina,1956,JUNO-1.0,Craft,Shield,0.206
Argentina,1956,JUNO-1.0,Craft,Lore,0.1921
Argentina,1956,JUNO-1.0,Craft,Stewards,0.1921
Argentina,1956,JUNO-1.0,Craft,Hands,0.1921
Argentina,1956,JUNO-1.0,Craft,Archive,0.1921
Argentina,1956,JUNO-1.0,Craft,Flow,0.1921
Argentina,1956,JUNO-1.0,Hands,Helm,0.1625
Argentina,1956,JUNO-1.0,Hands,Shield,0.1867
Argentina,1956,JUNO-1.0,Hands,Lore,0.1741
Argentina,1956,JUNO-1.0,Hands,Stewards,0.1741
Argentina,1956,JUNO-1.0,Hands,Craft,0.1921
Argentina,1956,JUNO-1.0,Hands,Archive,0.1741
Argentina,1956,JUNO-1.0,Hands,Flow,0.1741
Argentina,1956,JUNO-1.0,Archive,Helm,0.1625
Argentina,1956,JUNO-1.0,Archive,Shield,0.1867
Argentina,1956,JUNO-1.0,Archive,Lore,0.1741
Argentina,1956,JUNO-1.0,Archive,Stewards,0.1741
Argentina,1956,JUNO-1.0,Archive,Craft,0.1921
Argentina,1956,JUNO-1.0,Archive,Hands,0.1741
Argentina,1956,JUNO-1.0,Archive,Flow,0.1741
Argentina,1956,JUNO-1.0,Flow,Helm,0.1625
Argentina,1956,JUNO-1.0,Flow,Shield,0.1867
Argentina,1956,JUNO-1.0,Flow,Lore,0.1741
Argentina,1956,JUNO-1.0,Flow,Stewards,0.1741
Argentina,1956,JUNO-1.0,Flow,Craft,0.1921
Argentina,1956,JUNO-1.0,Flow,Hands,0.1741
Argentina,1956,JUNO-1.0,Flow,Archive,0.1741
Argentina,1957,JUNO-1.0,Helm,Shield,0.2105
Argentina,1957,JUNO-1.0,Helm,Lore,0.2257
Argentina,1957,JUNO-1.0,Helm,Stewards,0.2211
Argentina,1957,JUNO-1.0,Helm,Craft,0.2257
Argentina,1957,JUNO-1.0,Helm,Hands,0.2257
Argentina,1957,JUNO-1.0,Helm,Archive,0.2211
Argentina,1957,JUNO-1.0,Helm,Flow,0.2211
Argentina,1957,JUNO-1.0,Shield,Helm,0.2105
Argentina,1957,JUNO-1.0,Shield,Lore,0.2332
Argentina,1957,JUNO-1.0,Shield,Stewards,0.2285
Argentina,1957,JUNO-1.0,Shield,Craft,0.2332
Argentina,1957,JUNO-1.0,Shield,Hands,0.2332
Argentina,1957,JUNO-1.0,Shield,Archive,0.2285
Argentina,1957,JUNO-1.0,Shield,Flow,0.2285
Argentina,1957,JUNO-1.0,Lore,Helm,0.2257
Argentina,1957,JUNO-1.0,Lore,Shield,0.2332
Argentina,1957,JUNO-1.0,Lore,Stewards,0.2449
Argentina,1957,JUNO-1.0,Lore,Craft,0.25
Argentina,1957,JUNO-1.0,Lore,Hands,0.25
Argentina,1957,JUNO-1.0,Lore,Archive,0.2449
Argentina,1957,JUNO-1.0,Lore,Flow,0.2449
Argentina,1957,JUNO-1.0,Stewards,Helm,0.2211
Argentina,1957,JUNO-1.0,Stewards,Shield,0.2285
Argentina,1957,JUNO-1.0,Stewards,Lore,0.2449
Argentina,1957,JUNO-1.0,Stewards,Craft,0.2449
Argentina,1957,JUNO-1.0,Stewards,Hands,0.2449
Argentina,1957,JUNO-1.0,Stewards,Archive,0.24
Argentina,1957,JUNO-1.0,Stewards,Flow,0.24
Argentina,1957,JUNO-1.0,Craft,Helm,0.2257
Argentina,1957,JUNO-1.0,Craft,Shield,0.2332
Argentina,1957,JUNO-1.0,Craft,Lore,0.25
Argentina,1957,JUNO-1.0,Craft,Stewards,0.2449
Argentina,1957,JUNO-1.0,Craft,Hands,0.25
Argentina,1957,JUNO-1.0,Craft,Archive,0.2449
Argentina,1957,JUNO-1.0,Craft,Flow,0.2449
Argentina,1957,JUNO-1.0,Hands,Helm,0.2257
Argentina,1957,JUNO-1.0,Hands,Shield,0.2332
Argentina,1957,JUNO-1.0,Hands,Lore,0.25
Argentina,1957,JUNO-1.0,Hands,Stewards,0.2449
Argentina,1957,JUNO-1.0,Hands,Craft,0.25
Argentina,1957,JUNO-1.0,Hands,Archive,0.2449
Argentina,1957,JUNO-1.0,Hands,Flow,0.2449
Argentina,1957,JUNO-1.0,Archive,Helm,0.2211
Argentina,1957,JUNO-1.0,Archive,Shield,0.2285
Argentina,1957,JUNO-1.0,Archive,Lore,0.2449
Argentina,1957,JUNO-1.0,Archive,Stewards,0.24
Argentina,1957,JUNO-1.0,Archive,Craft,0.2449
Argentina,1957,JUNO-1.0,Archive,Hands,0.2449
Argentina,1957,JUNO-1.0,Archive,Flow,0.24
Argentina,1957,JUNO-1.0,Flow,Helm,0.2211
Argentina,1957,JUNO-1.0,Flow,Shield,0.2285
Argentina,1957,JUNO-1.0,Flow,Lore,0.2449
Argentina,1957,JUNO-1.0,Flow,Stewards,0.24
Argentina,1957,JUNO-1.0,Flow,Craft,0.2449
Argentina,1957,JUNO-1.0,Flow,Hands,0.2449
Argentina,1957,JUNO-1.0,Flow,Archive,0.24
Argentina,1958,JUNO-1.0,Helm,Shield,0.25
Argentina,1958,JUNO-1.0,Helm,Lore,0.25
Argentina,1958,JUNO-1.0,Helm,Stewards,0.25
Argentina,1958,JUNO-1.0,Helm,Craft,0.25
Argentina,1958,JUNO-1.0,Helm,Hands,0.25
Argentina,1958,JUNO-1.0,Helm,Archive,0.25
Argentina,1958,JUNO-1.0,Helm,Flow,0.25
Argentina,1958,JUNO-1.0,Shield,Helm,0.25
Argentina,1958,JUNO-1.0,Shield,Lore,0.25
Argentina,1958,JUNO-1.0,Shield,Stewards,0.25
Argentina,1958,JUNO-1.0,Shield,Craft,0.25
Argentina,1958,JUNO-1.0,Shield,Hands,0.25
Argentina,1958,JUNO-1.0,Shield,Archive,0.25
Argentina,1958,JUNO-1.0,Shield,Flow,0.25
Argentina,1958,JUNO-1.0,Lore,Helm,0.25
Argentina,1958,JUNO-1.0,Lore,Shield,0.25
