Society,Year,Rupture_Incoming,Is_Rupture_Year,Mean_S,Mean_K,SK_Ratio,Mean_NodeValue,Mean_BondStrength,Archive_V,Archive_S,Helm_V,Reactivity_Ratio,Cog_Gap
Afghanistan,1929,0,1,6.75,2.75,2.455,1.0,0.1313,3.5,6.0,1.0,1.146,4.267
Afghanistan,1930,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267
Afghanistan,1931,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267
Afghanistan,1932,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267
Afghanistan,1933,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267
Afghanistan,1934,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267
Afghanistan,1935,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267
Afghanistan,1936,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267
Afghanistan,1937,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267
Afghanistan,1938,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267
Afghanistan,1939,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267
Afghanistan,1940,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267
Afghanistan,1941,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267
Afghanistan,1942,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267
Afghanistan,1943,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267
Afghanistan,1944,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267
Afghanistan,1945,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1946,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1947,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1948,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1949,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1950,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1951,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1952,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1953,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1954,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1955,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1956,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1957,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1958,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1959,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1960,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1961,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1962,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1963,0,0,5.75,4.75,1.211,5.938,0.2047,8.5,5.0,6.0,1.173,3.9
Afghanistan,1964,0,0,4.75,4.75,1.0,6.938,0.2352,9.5,4.0,7.0,1.212,3.9
Afghanistan,1965,0,0,4.75,4.75,1.0,6.938,0.2352,9.5,4.0,7.0,1.212,3.9
Afghanistan,1966,0,0,4.75,4.75,1.0,6.938,0.2352,9.5,4.0,7.0,1.212,3.9
Afghanistan,1967,0,0,4.75,4.75,1.0,6.938,0.2352,9.5,4.0,7.0,1.212,3.9
Afghanistan,1968,0,0,4.75,4.75,1.0,6.938,0.2352,9.5,4.0,7.0,1.212,3.9
Afghanistan,1969,0,0,4.75,5.625,0.844,8.812,0.2665,11.5,4.0,9.0,1.212,3.7
Afghanistan,1970,1,0,4.75,5.625,0.844,8.812,0.2665,11.5,4.0,9.0,1.212,3.7
Afghanistan,1971,1,0,4.75,5.625,0.844,8.812,0.2665,11.5,4.0,9.0,1.212,3.7
Afghanistan,1972,1,0,4.75,5.625,0.844,8.812,0.2665,11.5,4.0,9.0,1.212,3.7
Afghanistan,1973,0,1,4.75,5.625,0.844,8.812,0.2665,11.5,4.0,9.0,1.212,3.7
Afghanistan,1974,0,0,5.75,4.5,1.278,5.5,0.1989,8.5,5.0,6.0,1.173,4.533
Afghanistan,1975,1,0,5.75,4.5,1.278,5.5,0.1989,8.5,5.0,6.0,1.173,4.533
Afghanistan,1976,1,0,5.75,4.5,1.278,5.5,0.1989,8.5,5.0,6.0,1.173,4.533
Afghanistan,1977,1,0,6.75,3.625,1.862,2.625,0.1493,5.5,6.0,3.0,1.146,4.733
Afghanistan,1978,0,1,7.75,2.625,2.952,-0.25,0.1114,2.5,7.0,0.0,1.126,4.933
Afghanistan,1979,0,0,7.75,2.625,2.952,-0.25,0.1114,2.5,7.0,0.0,1.126,4.933
Afghanistan,1980,0,0,7.75,2.625,2.952,-0.25,0.1114,2.5,7.0,0.0,1.126,4.933
Afghanistan,1981,0,0,7.75,2.625,2.952,-0.25,0.1114,2.5,7.0,0.0,1.126,4.933
Afghanistan,1982,0,0,8.75,2.125,4.118,-2.375,0.0851,-0.5,8.0,-1.0,1.111,4.733
Afghanistan,1983,0,0,8.75,2.125,4.118,-2.375,0.0851,-0.5,8.0,-1.0,1.111,4.733
Afghanistan,1984,0,0,8.0,2.625,3.048,-0.75,0.103,1.5,7.0,0.0,1.216,5.733
Afghanistan,1985,0,0,8.0,2.625,3.048,-0.75,0.103,1.5,7.0,0.0,1.216,5.733
Afghanistan,1986,0,0,8.0,2.625,3.048,-0.75,0.103,1.5,7.0,0.0,1.216,5.733
Afghanistan,1987,0,0,8.0,2.625,3.048,-0.75,0.103,1.5,7.0,0.0,1.216,5.733
Afghanistan,1988,0,0,8.0,2.625,3.048,-0.75,0.103,1.5,7.0,0.0,1.216,5.733
Afghanistan,1989,1,0,8.0,2.625,3.048,-0.75,0.103,1.5,7.0,0.0,1.216,5.733
Afghanistan,1990,1,0,8.0,2.625,3.048,-0.75,0.103,1.5,7.0,0.0,1.216,5.733
Afghanistan,1991,1,0,8.0,2.625,3.048,-0.75,0.103,1.5,7.0,0.0,1.216,5.733
Afghanistan,1992,0,1,8.0,2.625,3.048,-0.75,0.103,1.5,7.0,0.0,1.216,5.733
Afghanistan,1993,0,0,8.0,2.625,3.048,-0.75,0.103,1.5,7.0,0.0,1.216,5.733
Afghanistan,1994,0,0,8.0,2.625,3.048,-0.75,0.103,1.5,7.0,0.0,1.216,5.733
Afghanistan,1995,0,0,8.0,2.625,3.048,-0.75,0.103,1.5,7.0,0.0,1.216,5.733
Afghanistan,1996,0,0,8.875,1.75,5.071,-3.375,0.0756,-1.5,8.0,-3.0,1.151,4.733
Afghanistan,1997,0,0,8.875,1.75,5.071,-3.375,0.0756,-1.5,8.0,-3.0,1.151,4.733
Afghanistan,1998,1,0,8.875,1.75,5.071,-3.375,0.0756,-1.5,8.0,-3.0,1.151,4.733
Afghanistan,1999,1,0,8.875,1.75,5.071,-3.375,0.0756,-1.5,8.0,-3.0,1.151,4.733
Afghanistan,2000,1,0,8.875,1.75,5.071,-3.375,0.0756,-1.5,8.0,-3.0,1.151,4.733
Afghanistan,2001,0,1,9.625,1.125,8.556,-5.375,0.0585,-4.5,9.0,-6.0,1.064,2.067
Afghanistan,2002,0,0,8.75,2.0,4.375,-2.75,0.0817,-1.5,8.0,-3.0,1.111,3.067
Afghanistan,2003,0,0,8.75,2.0,4.375,-2.75,0.0817,-1.5,8.0,-3.0,1.111,3.067
Afghanistan,2004,0,0,7.75,3.0,2.583,0.25,0.1147,1.5,7.0,0.0,1.126,3.067
Afghanistan,2005,0,0,7.75,3.0,2.583,0.25,0.1147,1.5,7.0,0.0,1.126,3.067
Afghanistan,2006,0,0,7.75,3.0,2.583,0.25,0.1147,1.5,7.0,0.0,1.126,3.067
Afghanistan,2007,0,0,7.75,3.0,2.583,0.25,0.1147,1.5,7.0,0.0,1.126,3.067
Afghanistan,2008,0,0,7.75,3.0,2.583,0.25,0.1147,1.5,7.0,0.0,1.126,3.067
Afghanistan,2009,0,0,7.75,3.0,2.583,0.25,0.1147,1.5,7.0,0.0,1.126,3.067
Afghanistan,2010,0,0,7.75,3.0,2.583,0.25,0.1147,1.5,7.0,0.0,1.126,3.067
Afghanistan,2011,0,0,7.75,3.0,2.583,0.25,0.1147,1.5,7.0,0.0,1.126,3.067
Afghanistan,2012,0,0,7.75,3.0,2.583,0.25,0.1147,1.5,7.0,0.0,1.126,3.067
Afghanistan,2013,0,0,7.75,3.0,2.583,0.25,0.1147,1.5,7.0,0.0,1.126,3.067
Afghanistan,2014,0,0,7.75,3.0,2.583,0.25,0.1147,1.5,7.0,0.0,1.126,3.067
Afghanistan,2015,0,0,7.75,3.0,2.583,0.25,0.1147,1.5,7.0,0.0,1.126,3.067
Afghanistan,2016,0,0,7.75,3.0,2.583,0.25,0.1147,1.5,7.0,0.0,1.126,3.067
Afghanistan,2017,0,0,7.75,3.0,2.583,0.25,0.1147,1.5,7.0,0.0,1.126,3.067
Afghanistan,2018,1,0,7.75,3.0,2.583,0.25,0.1147,1.5,7.0,0.0,1.126,3.067
Afghanistan,2019,1,0,7.75,3.0,2.583,0.25,0.1147,1.5,7.0,0.0,1.126,3.067
Afghanistan,2020,1,0,7.75,3.0,2.583,0.25,0.1147,1.5,7.0,0.0,1.126,3.067
Afghanistan,2021,0,1,8.75,2.0,4.375,-2.75,0.0817,-1.5,8.0,-3.0,1.111,3.067
Afghanistan,2022,0,0,8.75,2.0,4.375,-2.75,0.0817,-1.5,8.0,-3.0,1.111,3.067
Afghanistan,2023,0,0,8.75,2.0,4.375,-2.75,0.0817,-1.5,8.0,-3.0,1.111,3.067
Afghanistan,2024,0,0,8.75,2.0,4.375,-2.75,0.0817,-1.5,8.0,-3.0,1.111,3.067
Afghanistan,2025,0,0,8.75,2.0,4.375,-2.75,0.0817,-1.5,8.0,-3.0,1.111,3.067
Argentina,1950,0,0,4.1,5.55,0.739,9.725,0.31,8.5,4.0,12.2,1.013,1.213
Argentina,1951,0,0,4.125,5.575,0.74,9.725,0.309,8.5,4.0,12.2,1.029,1.213
Argentina,1952,1,0,5.375,5.25,1.024,7.412,0.2376,7.5,5.0,8.5,1.09,1.727
Argentina,1953,1,0,5.325,5.05,1.054,6.888,0.2269,7.5,5.0,7.1,1.023,1.047
Argentina,1954,1,0,5.175,5.025,1.03,6.912,0.2286,7.5,5.0,7.1,0.987,0.767
Argentina,1955,0,1,7.3,4.0,1.825,1.763,0.1228,1.2,7.6,0.1,0.895,-1.5
Argentina,1956,0,0,6.0,4.375,1.371,4.55,0.1788,4.0,6.0,3.0,0.914,-0.4
Argentina,1957,0,0,5.175,4.975,1.04,7.062,0.2361,7.2,5.0,5.8,0.947,-0.54
Argentina,1958,0,0,5.0,5.0,1.0,7.5,0.25,7.5,5.0,7.5,1.0,0.0
Argentina,1959,0,0,5.425,4.9,1.107,6.45,0.2192,7.5,5.0,6.5,1.012,0.827
Argentina,1960,0,0,5.0,5.0,1.0,7.5,0.25,7.5,5.0,7.5,1.0,0.0
Argentina,1961,0,0,5.0,5.0,1.0,7.5,0.25,7.5,5.0,7.5,1.0,0.0
Argentina,1962,0,0,7.05,3.975,1.774,2.675,0.1443,3.0,7.0,-0.9,0.93,0.173
Argentina,1963,1,0,5.25,5.0,1.05,6.925,0.2308,7.5,5.0,5.0,0.926,-0.76
Argentina,1964,1,0,5.0,5.0,1.0,7.5,0.25,7.5,5.0,7.5,1.0,0.0
Argentina,1965,1,0,5.0,5.0,1.0,7.5,0.25,7.5,5.0,7.5,1.0,0.0
Argentina,1966,0,1,5.5,4.85,1.134,6.262,0.2149,6.1,5.0,3.2,0.952,-0.113
Argentina,1967,0,0,5.125,5.125,1.0,7.575,0.248,7.5,5.0,6.1,0.962,0.12
Argentina,1968,0,0,5.425,5.05,1.074,7.012,0.2327,7.5,5.0,5.1,1.053,1.087
Argentina,1969,0,0,6.25,4.85,1.289,5.088,0.1817,4.8,6.0,3.2,1.022,0.247
Argentina,1970,0,0,6.525,4.3,1.517,4.1,0.1705,4.0,6.0,3.0,1.019,-0.107
Argentina,1971,0,0,6.75,4.25,1.588,3.725,0.1628,3.6,6.4,2.4,1.012,0.04
Argentina,1972,0,0,7.35,3.95,1.861,2.088,0.1315,3.0,7.0,-0.2,1.011,1.153
Argentina,1973,1,0,5.375,4.9,1.097,6.838,0.2321,7.5,5.0,6.5,0.893,-1.06
Argentina,1974,1,0,6.325,4.75,1.332,4.562,0.1705,4.8,6.0,3.2,0.92,-1.18
Argentina,1975,1,0,8.025,3.4,2.36,0.013,0.1016,-0.3,8.0,-1.7,0.93,-1.26
Argentina,1976,0,1,7.625,4.4,1.733,2.338,0.1267,-0.5,8.0,2.5,1.009,1.607
Argentina,1977,0,0,7.25,4.375,1.657,2.962,0.1399,-0.5,8.0,5.0,1.095,2.607
Argentina,1978,0,0,6.575,4.525,1.453,4.388,0.1697,0.7,7.0,6.5,1.073,1.473
Argentina,1979,0,0,6.15,4.9,1.255,5.312,0.1837,3.5,6.0,6.9,1.142,2.633
Argentina,1980,0,0,6.25,4.925,1.269,5.3,0.1849,4.0,6.0,7.3,1.207,3.147
Argentina,1981,0,0,7.125,4.525,1.575,3.15,0.1418,3.0,7.0,3.6,1.127,2.907
Argentina,1982,0,0,8.125,3.7,2.196,0.35,0.1021,-0.3,8.0,-1.6,1.042,2.16
Argentina,1983,0,0,5.925,4.575,1.295,5.363,0.1968,6.5,6.0,6.5,0.967,0.687
Argentina,1984,0,0,5.0,5.375,0.93,8.062,0.2555,10.0,5.0,10.0,1.0,0.9
Argentina,1985,0,0,5.2,5.35,0.972,7.613,0.2415,10.0,5.0,10.0,1.085,1.993
Argentina,1986,0,0,4.9,5.375,0.912,8.312,0.2641,10.0,5.0,10.0,1.033,1.3
Argentina,1987,0,0,5.7,4.95,1.152,6.0,0.2044,7.7,5.0,6.5,0.991,0.693
Argentina,1988,0,0,6.625,4.525,1.464,3.412,0.1463,5.3,6.0,3.4,1.01,1.193
Argentina,1989,0,0,8.25,3.275,2.519,-1.238,0.0796,0.7,7.0,-3.0,1.154,2.553
Argentina,1990,0,0,6.375,4.875,1.308,4.312,0.1601,5.0,6.0,4.0,1.075,1.3
Argentina,1991,0,0,5.0,5.5,0.909,7.625,0.2369,7.5,5.0,8.5,1.0,-0.067
Argentina,1992,0,0,5.0,5.5,0.909,7.688,0.2393,7.5,5.0,9.0,1.0,0.033
Argentina,1993,0,0,4.5,5.5,0.818,8.925,0.283,7.5,5.0,9.4,0.833,-1.72
Argentina,1994,0,0,4.5,5.5,0.818,8.875,0.2815,7.5,5.0,9.0,0.833,-1.8
Argentina,1995,0,0,4.625,5.5,0.841,9.0,0.2846,7.5,5.0,10.0,0.903,-1.067
Argentina,1996,0,0,4.5,5.5,0.818,9.125,0.2898,7.5,5.0,11.0,0.942,-0.867
Argentina,1997,0,0,4.25,5.525,0.769,9.4,0.2996,8.5,4.0,11.0,1.032,-0.427
Argentina,1998,1,0,4.875,5.425,0.899,8.3,0.2634,7.5,5.0,9.0,0.933,-0.693
Argentina,1999,1,0,5.525,5.025,1.1,6.312,0.2118,7.5,5.0,5.3,1.042,0.66
Argentina,2000,1,0,6.625,4.3,1.541,3.262,0.1482,4.0,6.0,2.0,1.01,0.953
Argentina,2001,0,1,8.45,3.375,2.504,-1.262,0.0784,-0.5,8.0,-3.0,1.108,2.513
Argentina,2002,0,0,7.575,3.75,2.02,0.488,0.0998,1.5,7.0,0.5,1.02,2.113
Argentina,2003,0,0,6.0,4.75,1.263,4.75,0.1733,5.0,6.0,6.5,1.0,1.467
Argentina,2004,0,0,5.125,5.0,1.025,7.0,0.2332,7.5,5.0,8.5,0.962,0.533
Argentina,2005,0,0,5.0,5.45,0.917,7.888,0.247,7.5,5.0,9.5,1.0,-0.447
Argentina,2006,0,0,5.0,5.525,0.905,7.962,0.247,7.5,5.0,9.5,1.0,-0.327
Argentina,2007,0,0,4.425,5.5,0.805,8.512,0.268,7.5,5.0,10.3,0.876,-0.94
Argentina,2008,0,0,5.375,5.05,1.064,6.462,0.2145,7.5,5.0,6.9,0.988,0.313
Argentina,2009,0,0,5.375,5.0,1.075,6.375,0.2132,7.5,5.0,6.5,0.988,0.333
Argentina,2010,0,0,5.0,5.25,0.952,7.562,0.2434,7.5,5.0,8.5,1.0,-0.433
Argentina,2011,0,0,5.0,5.25,0.952,7.562,0.2434,7.5,5.0,8.5,1.0,-0.433
Argentina,2012,0,0,5.625,5.0,1.125,5.938,0.2,6.0,5.0,6.5,0.937,-0.26
Argentina,2013,0,0,6.05,4.875,1.241,4.988,0.1778,5.0,6.0,4.9,0.969,0.247
Argentina,2014,0,0,6.425,4.525,1.42,3.838,0.1566,5.0,6.0,3.2,0.977,0.54
Argentina,2015,0,0,5.625,4.925,1.142,5.988,0.2045,7.2,5.0,6.3,1.012,0.46
Argentina,2016,0,0,5.125,4.875,1.051,6.65,0.2254,7.5,5.0,7.1,1.003,0.347
Argentina,2017,0,0,5.0,5.0,1.0,7.275,0.2422,7.5,5.0,7.5,1.0,-0.2
Argentina,2018,0,0,6.5,4.525,1.436,3.462,0.1471,5.0,6.0,3.2,1.042,1.273
Argentina,2019,0,0,6.55,4.05,1.617,2.938,0.146,4.0,6.0,3.0,1.029,1.393
Argentina,2020,0,0,6.55,4.5,1.456,3.388,0.1465,5.0,6.0,4.0,1.115,2.22
Argentina,2021,0,0,6.475,4.625,1.4,3.775,0.1527,5.0,6.0,4.0,1.048,0.973
Argentina,2022,0,0,7.5,3.75,2.0,1.312,0.1192,1.5,7.0,0.5,1.036,1.033
Argentina,2023,0,0,8.0,3.675,2.177,0.15,0.0983,1.5,7.0,-0.7,1.054,1.413
Argentina,2024,0,0,7.5,3.875,1.935,1.625,0.1234,1.5,7.0,2.0,1.036,1.533
Argentina,2025,0,0,7.3,4.075,1.791,2.1,0.1287,1.5,7.0,2.4,1.007,0.853
Australia,1900,0,0,3.975,5.1,0.779,8.712,0.29,11.4,3.0,11.0,1.123,1.033
Australia,1901,0,0,3.725,5.6,0.665,10.587,0.3448,12.4,3.0,12.0,1.093,1.1
Australia,1902,0,0,3.475,5.6,0.621,10.65,0.3497,12.4,3.0,11.0,0.907,-0.933
Australia,1903,0,0,3.475,5.6,0.621,10.65,0.3497,12.4,3.0,11.0,0.907,-0.933
Australia,1904,0,0,3.475,5.6,0.621,10.65,0.3497,12.4,3.0,11.0,0.907,-0.933
Australia,1905,0,0,3.475,5.6,0.621,10.65,0.3497,12.4,3.0,11.0,0.907,-0.933
Australia,1906,0,0,3.475,5.6,0.621,10.65,0.3497,12.4,3.0,11.0,0.907,-0.933
Australia,1907,0,0,3.475,5.6,0.621,10.65,0.3497,12.4,3.0,11.0,0.907,-0.933
Australia,1908,0,0,3.475,5.6,0.621,10.65,0.3497,12.4,3.0,11.0,0.907,-0.933
Australia,1909,0,0,3.475,5.6,0.621,10.65,0.3497,12.4,3.0,11.0,0.907,-0.933
Australia,1910,0,0,3.475,5.6,0.621,10.65,0.3497,12.4,3.0,11.0,0.907,-0.933
Australia,1911,0,0,3.475,5.6,0.621,10.65,0.3497,12.4,3.0,11.0,0.907,-0.933
Australia,1912,0,0,3.475,5.6,0.621,10.65,0.3497,12.4,3.0,11.0,0.907,-0.933
Australia,1913,0,0,3.475,5.6,0.621,10.65,0.3497,12.4,3.0,11.0,0.907,-0.933
Australia,1914,0,0,5.6,5.6,1.0,7.65,0.2343,7.9,5.0,5.5,0.908,-0.4
Australia,1915,0,0,5.6,5.6,1.0,7.65,0.2343,7.9,5.0,5.5,0.908,-0.4
Australia,1916,0,0,6.1,5.6,1.089,7.15,0.22,7.9,5.0,3.5,0.875,-0.667
Australia,1917,0,0,6.1,5.6,1.089,7.15,0.22,7.9,5.0,3.5,0.875,-0.667
Australia,1918,0,0,5.6,5.6,1.0,7.65,0.2343,7.9,5.0,5.5,0.908,-0.4
Australia,1919,0,0,4.6,4.85,0.948,7.525,0.2562,9.9,3.0,7.5,1.0,-0.6
Australia,1920,0,0,4.475,4.725,0.947,7.525,0.2602,9.9,3.0,5.5,1.045,-0.067
Australia,1921,0,0,4.225,4.975,0.849,8.025,0.2692,9.9,3.0,7.5,1.016,-0.333
Australia,1922,0,0,4.225,4.975,0.849,8.025,0.2692,9.9,3.0,7.5,1.016,-0.333
Australia,1923,0,0,4.225,4.975,0.849,8.025,0.2692,9.9,3.0,7.5,1.016,-0.333
Australia,1924,0,0,4.225,4.975,0.849,8.025,0.2692,9.9,3.0,7.5,1.016,-0.333
Australia,1925,0,0,4.225,4.975,0.849,8.025,0.2692,9.9,3.0,7.5,1.016,-0.333
Australia,1926,0,0,4.225,4.975,0.849,8.025,0.2692,9.9,3.0,7.5,1.016,-0.333
Australia,1927,0,0,4.225,4.975,0.849,8.025,0.2692,9.9,3.0,7.5,1.016,-0.333
Australia,1928,0,0,4.475,4.975,0.899,7.65,0.2568,9.9,3.0,6.5,1.045,0.133
Australia,1929,0,0,7.75,2.775,2.793,-0.025,0.1145,5.4,5.0,-2.3,1.269,2.84
Australia,1930,0,0,7.725,2.775,2.784,-0.0,0.1149,5.4,5.0,-2.3,1.345,3.84
Australia,1931,0,0,7.75,2.775,2.793,-0.375,0.1072,5.4,5.0,-3.1,1.269,2.813
Australia,1932,0,0,7.65,3.125,2.448,0.425,0.1158,5.4,5.0,-0.7,1.387,3.56
Australia,1933,0,0,7.175,3.375,2.126,1.15,0.1229,5.4,5.0,-0.7,1.198,1.627
Australia,1934,0,0,4.725,4.975,0.95,7.212,0.2396,8.9,4.0,7.0,1.197,1.033
Australia,1935,0,0,4.725,4.975,0.95,7.212,0.2396,8.9,4.0,7.0,1.197,1.033
Australia,1936,0,0,4.725,4.975,0.95,7.212,0.2396,8.9,4.0,7.0,1.197,1.033
Australia,1937,0,0,4.725,4.975,0.95,7.212,0.2396,8.9,4.0,7.0,1.197,1.033
Australia,1938,0,0,4.725,4.975,0.95,7.212,0.2396,8.9,4.0,7.0,1.197,1.033
Australia,1939,0,0,5.225,5.475,0.954,8.212,0.2558,7.9,5.0,7.5,0.914,-0.3
Australia,1940,0,0,5.225,5.475,0.954,8.212,0.2558,7.9,5.0,7.5,0.914,-0.3
Australia,1941,0,0,5.225,5.475,0.954,8.212,0.2558,7.9,5.0,7.5,0.914,-0.3
Australia,1942,0,0,6.1,6.225,0.98,7.837,0.2223,7.9,5.0,8.5,0.798,-1.433
Australia,1943,0,0,5.85,6.1,0.959,8.087,0.2323,7.9,5.0,8.5,0.849,-1.033
Australia,1944,0,0,4.1,6.6,0.621,11.837,0.349,11.4,4.0,14.5,0.937,0.433
Australia,1945,0,0,3.975,6.6,0.602,11.775,0.3485,11.4,4.0,13.0,0.983,0.333
Australia,1946,0,0,3.85,5.85,0.658,10.712,0.3392,12.4,3.0,10.0,0.9,-0.833
Australia,1947,0,0,3.975,5.85,0.679,10.587,0.3338,12.4,3.0,9.0,0.857,-1.033
Australia,1948,0,0,4.1,5.85,0.701,10.462,0.3286,12.4,3.0,9.0,0.818,-1.233
Australia,1949,0,0,4.1,5.85,0.701,10.462,0.328,12.4,3.0,9.0,0.937,-0.7
Australia,1950,0,0,3.175,6.375,0.498,12.312,0.3883,12.4,3.0,12.0,0.853,-0.62
Australia,1951,0,0,3.425,6.375,0.537,12.062,0.3761,12.4,3.0,11.0,0.762,-1.02
