Society,Baseline,Base+G+D,Base+G+D+TH,Base+Rs,Base+B_sym_mat,Base+B_groomgap,Base+Directional,Base+All_GDT_Bonds
Pakistan,0.4425505050505051,0.4425505050505051,0.4349747474747475,0.43118686868686873,0.4425505050505051,0.4425505050505051,0.4425505050505051,0.4513888888888889
Palestine,0.5154320987654321,0.5339506172839505,0.5339506172839505,0.5879629629629629,0.5925925925925926,0.529320987654321,0.529320987654321,0.529320987654321
Philippines,0.8603603603603603,0.8138138138138139,0.8123123123123123,0.8603603603603603,0.7972972972972973,0.8663663663663663,0.8123123123123123,0.8453453453453453
Poland,0.6286799620132953,0.6343779677113011,0.6362773029439697,0.6761633428300095,0.621082621082621,0.6258309591642925,0.6077872744539411,0.6353276353276354
Russia,0.33351322180248244,0.30706961683756073,0.29897463572585,0.4900161899622234,0.3966540744738262,0.2698327037236913,0.37398812736103615,0.2504047490555855
Saudi Arabia,0.040983606557377095,0.25409836065573765,0.25409836065573765,0.360655737704918,0.1885245901639344,0.07377049180327866,0.25409836065573765,0.25409836065573765
Singapore,0.8100358422939068,0.7598566308243727,0.7526881720430108,0.8028673835125448,0.7992831541218638,0.8028673835125448,0.7813620071684587,0.7383512544802867
South Africa,0.6842355175688509,0.664292497625831,0.6661918328584995,0.6851851851851852,0.7022792022792023,0.6699905033238366,0.6908831908831908,0.6509971509971509
Sweden,,,,,,,,
Syria,0.7292340884573894,0.5458468176914778,0.5458468176914778,0.7346278317152104,0.7292340884573894,0.7648327939590075,0.6839266450916937,0.5803667745415317
Thailand,0.3091517857142857,0.2734375,0.3091517857142857,0.29873511904761907,0.3091517857142857,0.2734375,0.2734375,0.2734375
Türkiye,,,,,,,,
UAE,,,,,,,,
USA,0.38742690058479534,0.408625730994152,0.4122807017543859,0.39108187134502925,0.4078947368421053,0.3998538011695907,0.3991228070175439,0.3983918128654971
Ukraine,0.3747680890538033,0.3673469387755101,0.3487940630797774,0.41001855287569566,0.4137291280148423,0.3320964749536178,0.41187384044526903,0.29128014842300554
United Kingdom,0.4331140350877193,0.43055555555555547,0.42178362573099415,0.4327485380116959,0.45138888888888895,0.4513888888888889,0.4367690058479532,0.4451754385964913
Venezuela,0.6737588652482269,0.6548463356973995,0.6524822695035462,0.6713947990543736,0.7044917257683215,0.6666666666666667,0.6926713947990544,0.6595744680851064
