Society,Year,T_Offset,set_id,Mean_C,Mean_K,Mean_S,Mean_A,Mean_NodeValue,Mean_BondStrength,SK_Ratio,Reactivity_Ratio,Cog_Gap,Archive_V,Archive_S,Helm_V,Helm_S,Shield_V,Shield_S
Afghanistan,1918,T+18,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
Afghanistan,1919,T+19,set_3,3.75,3.5,6.75,3.375,2.188,0.1408,1.929,1.146,4.033,4.0,6.0,3.0,7.0,2.5,7.0
Afghanistan,1920,T+20,set_3,3.75,3.5,6.75,3.375,2.188,0.1408,1.929,1.146,4.033,4.0,6.0,3.0,7.0,2.5,7.0
Afghanistan,1921,T+21,set_3,4.125,3.875,5.75,3.5,4.0,0.1743,1.484,1.173,2.667,6.0,5.0,4.0,6.0,4.0,6.0
Afghanistan,1922,T+22,set_3,5.0,4.625,4.75,3.625,6.688,0.2299,1.027,1.212,3.767,9.5,4.0,7.0,5.0,7.0,5.0
Afghanistan,1923,T+23,set_3,5.0,4.625,4.75,3.625,6.688,0.2299,1.027,1.212,3.767,9.5,4.0,7.0,5.0,7.0,5.0
Afghanistan,1924,T+24,set_3,5.0,4.625,4.75,3.625,6.688,0.2299,1.027,1.212,3.767,9.5,4.0,7.0,5.0,7.0,5.0
Afghanistan,1925,T+25,set_3,5.0,4.625,4.75,3.625,6.688,0.2299,1.027,1.212,3.767,9.5,4.0,7.0,5.0,7.0,5.0
Afghanistan,1926,T+26,set_3,5.0,4.625,4.75,3.875,6.812,0.2352,1.027,1.212,3.7,9.5,4.0,7.0,5.0,7.0,5.0
Afghanistan,1927,T+27,set_3,5.0,4.625,4.75,3.875,6.812,0.2352,1.027,1.212,3.7,9.5,4.0,7.0,5.0,7.0,5.0
Afghanistan,1928,T+28,set_3,4.125,3.75,5.75,3.75,4.0,0.1783,1.533,1.173,4.267,6.5,5.0,4.0,6.0,6.0,6.0
Afghanistan,1929,T+29,set_3,3.125,2.75,6.75,3.75,1.0,0.1313,2.455,1.146,4.267,3.5,6.0,1.0,7.0,3.0,7.0
Afghanistan,1930,T+30,set_3,4.125,3.75,5.75,3.75,4.0,0.1783,1.533,1.173,4.267,6.5,5.0,4.0,6.0,6.0,6.0
Afghanistan,1931,T+31,set_3,4.125,3.75,5.75,3.75,4.0,0.1783,1.533,1.173,4.267,6.5,5.0,4.0,6.0,6.0,6.0
Afghanistan,1932,T+32,set_3,4.125,3.75,5.75,3.75,4.0,0.1783,1.533,1.173,4.267,6.5,5.0,4.0,6.0,6.0,6.0
Afghanistan,1933,T+33,set_3,4.125,3.75,5.75,3.75,4.0,0.1783,1.533,1.173,4.267,6.5,5.0,4.0,6.0,6.0,6.0
Afghanistan,1934,T+34,set_3,4.125,3.75,5.75,3.75,4.0,0.1783,1.533,1.173,4.267,6.5,5.0,4.0,6.0,6.0,6.0
Afghanistan,1935,T+35,set_3,4.125,3.75,5.75,3.75,4.0,0.1783,1.533,1.173,4.267,6.5,5.0,4.0,6.0,6.0,6.0
Afghanistan,1936,T+36,set_3,4.125,3.75,5.75,3.75,4.0,0.1783,1.533,1.173,4.267,6.5,5.0,4.0,6.0,6.0,6.0
Afghanistan,1937,T+37,set_3,4.125,3.75,5.75,3.75,4.0,0.1783,1.533,1.173,4.267,6.5,5.0,4.0,6.0,6.0,6.0
Afghanistan,1938,T+38,set_3,4.125,3.75,5.75,3.75,4.0,0.1783,1.533,1.173,4.267,6.5,5.0,4.0,6.0,6.0,6.0
Afghanistan,1939,T+39,set_3,4.125,3.75,5.75,3.75,4.0,0.1783,1.533,1.173,4.267,6.5,5.0,4.0,6.0,6.0,6.0
Afghanistan,1940,T+40,set_3,4.125,3.75,5.75,3.75,4.0,0.1783,1.533,1.173,4.267,6.5,5.0,4.0,6.0,6.0,6.0
Afghanistan,1941,T+41,set_3,4.125,3.75,5.75,3.75,4.0,0.1783,1.533,1.173,4.267,6.5,5.0,4.0,6.0,6.0,6.0
Afghanistan,1942,T+42,set_3,4.125,3.75,5.75,3.75,4.0,0.1783,1.533,1.173,4.267,6.5,5.0,4.0,6.0,6.0,6.0
Afghanistan,1943,T+43,set_3,4.125,3.75,5.75,3.75,4.0,0.1783,1.533,1.173,4.267,6.5,5.0,4.0,6.0,6.0,6.0
Afghanistan,1944,T+44,set_3,4.125,3.75,5.75,3.75,4.0,0.1783,1.533,1.173,4.267,6.5,5.0,4.0,6.0,6.0,6.0
Afghanistan,1945,T+45,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1946,T+46,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1947,T+47,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1948,T+48,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1949,T+49,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1950,T+50,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1951,T+51,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1952,T+52,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1953,T+53,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1954,T+54,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1955,T+55,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1956,T+56,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1957,T+57,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1958,T+58,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1959,T+59,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1960,T+60,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1961,T+61,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1962,T+62,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1963,T+63,set_3,5.0,4.75,5.75,3.875,5.938,0.2047,1.211,1.173,3.9,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1964,T+64,set_3,5.0,4.75,4.75,3.875,6.938,0.2352,1.0,1.212,3.9,9.5,4.0,7.0,5.0,9.0,5.0
Afghanistan,1965,T+65,set_3,5.0,4.75,4.75,3.875,6.938,0.2352,1.0,1.212,3.9,9.5,4.0,7.0,5.0,9.0,5.0
Afghanistan,1966,T+66,set_3,5.0,4.75,4.75,3.875,6.938,0.2352,1.0,1.212,3.9,9.5,4.0,7.0,5.0,9.0,5.0
Afghanistan,1967,T+67,set_3,5.0,4.75,4.75,3.875,6.938,0.2352,1.0,1.212,3.9,9.5,4.0,7.0,5.0,9.0,5.0
Afghanistan,1968,T+68,set_3,5.0,4.75,4.75,3.875,6.938,0.2352,1.0,1.212,3.9,9.5,4.0,7.0,5.0,9.0,5.0
Afghanistan,1969,T+69,set_3,6.0,5.625,4.75,3.875,8.812,0.2665,0.844,1.212,3.7,11.5,4.0,9.0,5.0,11.0,5.0
Afghanistan,1970,T+70,set_3,6.0,5.625,4.75,3.875,8.812,0.2665,0.844,1.212,3.7,11.5,4.0,9.0,5.0,11.0,5.0
Afghanistan,1971,T+71,set_3,6.0,5.625,4.75,3.875,8.812,0.2665,0.844,1.212,3.7,11.5,4.0,9.0,5.0,11.0,5.0
Afghanistan,1972,T+72,set_3,6.0,5.625,4.75,3.875,8.812,0.2665,0.844,1.212,3.7,11.5,4.0,9.0,5.0,11.0,5.0
Afghanistan,1973,T+73,set_3,6.0,5.625,4.75,3.875,8.812,0.2665,0.844,1.212,3.7,11.5,4.0,9.0,5.0,11.0,5.0
Afghanistan,1974,T+74,set_3,4.875,4.5,5.75,3.75,5.5,0.1989,1.278,1.173,4.533,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1975,T+75,set_3,4.875,4.5,5.75,3.75,5.5,0.1989,1.278,1.173,4.533,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1976,T+76,set_3,4.875,4.5,5.75,3.75,5.5,0.1989,1.278,1.173,4.533,8.5,5.0,6.0,6.0,8.0,6.0
Afghanistan,1977,T+77,set_3,3.875,3.625,6.75,3.75,2.625,0.1493,1.862,1.146,4.733,5.5,6.0,3.0,7.0,5.0,7.0
Afghanistan,1978,T+78,set_3,3.0,2.625,7.75,3.75,-0.25,0.1114,2.952,1.126,4.933,2.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,1979,T+79,set_3,3.0,2.625,7.75,3.75,-0.25,0.1114,2.952,1.126,4.933,2.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,1980,T+80,set_3,3.0,2.625,7.75,3.75,-0.25,0.1114,2.952,1.126,4.933,2.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,1981,T+81,set_3,3.0,2.625,7.75,3.75,-0.25,0.1114,2.952,1.126,4.933,2.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,1982,T+82,set_3,2.375,2.125,8.75,3.75,-2.375,0.0851,4.118,1.111,4.733,-0.5,8.0,-1.0,9.0,1.0,9.0
Afghanistan,1983,T+83,set_3,2.375,2.125,8.75,3.75,-2.375,0.0851,4.118,1.111,4.733,-0.5,8.0,-1.0,9.0,1.0,9.0
Afghanistan,1984,T+84,set_3,2.75,2.625,8.0,3.75,-0.75,0.103,3.048,1.216,5.733,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,1985,T+85,set_3,2.75,2.625,8.0,3.75,-0.75,0.103,3.048,1.216,5.733,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,1986,T+86,set_3,2.75,2.625,8.0,3.75,-0.75,0.103,3.048,1.216,5.733,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,1987,T+87,set_3,2.75,2.625,8.0,3.75,-0.75,0.103,3.048,1.216,5.733,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,1988,T+88,set_3,2.75,2.625,8.0,3.75,-0.75,0.103,3.048,1.216,5.733,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,1989,T+89,set_3,2.75,2.625,8.0,3.75,-0.75,0.103,3.048,1.216,5.733,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,1990,T+90,set_3,2.75,2.625,8.0,3.75,-0.75,0.103,3.048,1.216,5.733,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,1991,T+91,set_3,2.75,2.625,8.0,3.75,-0.75,0.103,3.048,1.216,5.733,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,1992,T+92,set_3,2.75,2.625,8.0,3.75,-0.75,0.103,3.048,1.216,5.733,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,1993,T+93,set_3,2.75,2.625,8.0,3.75,-0.75,0.103,3.048,1.216,5.733,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,1994,T+94,set_3,2.75,2.625,8.0,3.75,-0.75,0.103,3.048,1.216,5.733,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,1995,T+95,set_3,2.75,2.625,8.0,3.75,-0.75,0.103,3.048,1.216,5.733,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,1996,T+96,set_3,1.875,1.75,8.875,3.75,-3.375,0.0756,5.071,1.151,4.733,-1.5,8.0,-3.0,9.0,-1.0,9.0
Afghanistan,1997,T+97,set_3,1.875,1.75,8.875,3.75,-3.375,0.0756,5.071,1.151,4.733,-1.5,8.0,-3.0,9.0,-1.0,9.0
Afghanistan,1998,T+98,set_3,1.875,1.75,8.875,3.75,-3.375,0.0756,5.071,1.151,4.733,-1.5,8.0,-3.0,9.0,-1.0,9.0
Afghanistan,1999,T+99,set_3,1.875,1.75,8.875,3.75,-3.375,0.0756,5.071,1.151,4.733,-1.5,8.0,-3.0,9.0,-1.0,9.0
Afghanistan,2000,T+100,set_3,1.875,1.75,8.875,3.75,-3.375,0.0756,5.071,1.151,4.733,-1.5,8.0,-3.0,9.0,-1.0,9.0
Afghanistan,2001,T+101,set_3,1.25,1.125,9.625,3.75,-5.375,0.0585,8.556,1.064,2.067,-4.5,9.0,-6.0,10.0,-4.0,10.0
Afghanistan,2002,T+102,set_3,2.125,2.0,8.75,3.75,-2.75,0.0817,4.375,1.111,3.067,-1.5,8.0,-3.0,9.0,-1.0,9.0
Afghanistan,2003,T+103,set_3,2.125,2.0,8.75,3.75,-2.75,0.0817,4.375,1.111,3.067,-1.5,8.0,-3.0,9.0,-1.0,9.0
Afghanistan,2004,T+104,set_3,3.125,3.0,7.75,3.75,0.25,0.1147,2.583,1.126,3.067,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,2005,T+105,set_3,3.125,3.0,7.75,3.75,0.25,0.1147,2.583,1.126,3.067,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,2006,T+106,set_3,3.125,3.0,7.75,3.75,0.25,0.1147,2.583,1.126,3.067,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,2007,T+107,set_3,3.125,3.0,7.75,3.75,0.25,0.1147,2.583,1.126,3.067,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,2008,T+108,set_3,3.125,3.0,7.75,3.75,0.25,0.1147,2.583,1.126,3.067,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,2009,T+109,set_3,3.125,3.0,7.75,3.75,0.25,0.1147,2.583,1.126,3.067,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,2010,T+110,set_3,3.125,3.0,7.75,3.75,0.25,0.1147,2.583,1.126,3.067,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,2011,T+111,set_3,3.125,3.0,7.75,3.75,0.25,0.1147,2.583,1.126,3.067,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,2012,T+112,set_3,3.125,3.0,7.75,3.75,0.25,0.1147,2.583,1.126,3.067,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,2013,T+113,set_3,3.125,3.0,7.75,3.75,0.25,0.1147,2.583,1.126,3.067,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,2014,T+114,set_3,3.125,3.0,7.75,3.75,0.25,0.1147,2.583,1.126,3.067,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,2015,T+115,set_3,3.125,3.0,7.75,3.75,0.25,0.1147,2.583,1.126,3.067,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,2016,T+116,set_3,3.125,3.0,7.75,3.75,0.25,0.1147,2.583,1.126,3.067,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,2017,T+117,set_3,3.125,3.0,7.75,3.75,0.25,0.1147,2.583,1.126,3.067,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,2018,T+118,set_3,3.125,3.0,7.75,3.75,0.25,0.1147,2.583,1.126,3.067,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,2019,T+119,set_3,3.125,3.0,7.75,3.75,0.25,0.1147,2.583,1.126,3.067,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,2020,T+120,set_3,3.125,3.0,7.75,3.75,0.25,0.1147,2.583,1.126,3.067,1.5,7.0,0.0,8.0,2.0,8.0
Afghanistan,2021,T+121,set_3,2.125,2.0,8.75,3.75,-2.75,0.0817,4.375,1.111,3.067,-1.5,8.0,-3.0,9.0,-1.0,9.0
Afghanistan,2022,T+122,set_3,2.125,2.0,8.75,3.75,-2.75,0.0817,4.375,1.111,3.067,-1.5,8.0,-3.0,9.0,-1.0,9.0
Afghanistan,2023,T+123,set_3,2.125,2.0,8.75,3.75,-2.75,0.0817,4.375,1.111,3.067,-1.5,8.0,-3.0,9.0,-1.0,9.0
Afghanistan,2024,T+124,set_3,2.125,2.0,8.75,3.75,-2.75,0.0817,4.375,1.111,3.067,-1.5,8.0,-3.0,9.0,-1.0,9.0
Afghanistan,2025,T+125,set_3,2.125,2.0,8.75,3.75,-2.75,0.0817,4.375,1.111,3.067,-1.5,8.0,-3.0,9.0,-1.0,9.0
Argentina,1950,T+0,set_5,5.65,5.55,4.1,5.25,9.725,0.31,0.739,1.013,1.213,8.5,4.0,12.2,4.2,10.5,4.0
Argentina,1951,T+1,set_5,5.65,5.575,4.125,5.25,9.725,0.309,0.74,1.029,1.213,8.5,4.0,12.2,4.2,10.5,4.0
Argentina,1952,T+2,set_5,5.1,5.25,5.375,4.875,7.412,0.2376,1.024,1.09,1.727,7.5,5.0,8.5,6.0,9.3,5.0
Argentina,1953,T+3,set_5,4.85,5.05,5.325,4.625,6.888,0.2269,1.054,1.023,1.047,7.5,5.0,7.1,6.2,8.5,5.0
Argentina,1954,T+4,set_5,4.75,5.025,5.175,4.625,6.912,0.2286,1.03,0.987,0.767,7.5,5.0,7.1,6.0,8.1,5.0
Argentina,1955,T+5,set_5,3.375,4.0,7.3,3.375,1.763,0.1228,1.825,0.895,-1.5,1.2,7.6,0.1,8.2,1.2,7.8
Argentina,1956,T+6,set_5,4.175,4.375,6.0,4.0,4.55,0.1788,1.371,0.914,-0.4,4.0,6.0,3.0,7.0,6.0,6.0
Argentina,1957,T+7,set_5,4.875,4.975,5.175,4.775,7.062,0.2361,1.04,0.947,-0.54,7.2,5.0,5.8,6.0,6.6,5.4
Argentina,1958,T+8,set_5,5.0,5.0,5.0,5.0,7.5,0.25,1.0,1.0,0.0,7.5,5.0,7.5,5.0,7.5,5.0
Argentina,1959,T+9,set_5,4.65,4.9,5.425,4.65,6.45,0.2192,1.107,1.012,0.827,7.5,5.0,6.5,6.0,7.5,5.0
Argentina,1960,T+10,set_5,5.0,5.0,5.0,5.0,7.5,0.25,1.0,1.0,0.0,7.5,5.0,7.5,5.0,7.5,5.0
Argentina,1961,T+11,set_5,5.0,5.0,5.0,5.0,7.5,0.25,1.0,1.0,0.0,7.5,5.0,7.5,5.0,7.5,5.0
Argentina,1962,T+12,set_5,3.875,3.975,7.05,3.75,2.675,0.1443,1.774,0.93,0.173,3.0,7.0,-0.9,8.8,5.0,7.0
Argentina,1963,T+13,set_5,4.825,5.0,5.25,4.7,6.925,0.2308,1.05,0.926,-0.76,7.5,5.0,5.0,6.0,6.0,6.0
Argentina,1964,T+14,set_5,5.0,5.0,5.0,5.0,7.5,0.25,1.0,1.0,0.0,7.5,5.0,7.5,5.0,7.5,5.0
Argentina,1965,T+15,set_5,5.0,5.0,5.0,5.0,7.5,0.25,1.0,1.0,0.0,7.5,5.0,7.5,5.0,7.5,5.0
Argentina,1966,T+16,set_5,4.65,4.85,5.5,4.525,6.262,0.2149,1.134,0.952,-0.113,6.1,5.0,3.2,7.0,9.5,5.0
Argentina,1967,T+17,set_5,5.075,5.125,5.125,5.0,7.575,0.248,1.0,0.962,0.12,7.5,5.0,6.1,6.0,9.5,5.0
Argentina,1968,T+18,set_5,4.925,5.05,5.425,4.925,7.012,0.2327,1.074,1.053,1.087,7.5,5.0,5.1,6.6,9.5,5.0
Argentina,1969,T+19,set_5,4.325,4.85,6.25,4.325,5.088,0.1817,1.289,1.022,0.247,4.8,6.0,3.2,7.0,7.7,6.0
Argentina,1970,T+20,set_5,4.2,4.3,6.525,4.25,4.1,0.1705,1.517,1.019,-0.107,4.0,6.0,3.0,7.0,5.9,6.6
Argentina,1971,T+21,set_5,4.125,4.25,6.75,4.2,3.725,0.1628,1.588,1.012,0.04,3.6,6.4,2.4,7.4,5.7,6.8
Argentina,1972,T+22,set_5,3.7,3.95,7.35,3.575,2.088,0.1315,1.861,1.011,1.153,3.0,7.0,-0.2,8.6,5.0,7.0
Argentina,1973,T+23,set_5,4.875,4.9,5.375,4.875,6.838,0.2321,1.097,0.893,-1.06,7.5,5.0,6.5,6.0,3.2,7.0
Argentina,1974,T+24,set_5,4.075,4.75,6.325,4.125,4.562,0.1705,1.332,0.92,-1.18,4.8,6.0,3.2,7.0,3.8,7.0
Argentina,1975,T+25,set_5,3.1,3.4,8.025,3.075,0.013,0.1016,2.36,0.93,-1.26,-0.3,8.0,-1.7,9.0,-0.1,8.2
Argentina,1976,T+26,set_5,3.875,4.4,7.625,3.375,2.338,0.1267,1.733,1.009,1.607,-0.5,8.0,2.5,8.0,8.0,7.0
Argentina,1977,T+27,set_5,4.05,4.375,7.25,3.575,2.962,0.1399,1.657,1.095,2.607,-0.5,8.0,5.0,7.0,10.5,6.0
Argentina,1978,T+28,set_5,4.375,4.525,6.575,4.125,4.388,0.1697,1.453,1.073,1.473,0.7,7.0,6.5,6.0,10.5,6.0
Argentina,1979,T+29,set_5,4.5,4.9,6.15,4.125,5.312,0.1837,1.255,1.142,2.633,3.5,6.0,6.9,6.0,11.5,5.0
Argentina,1980,T+30,set_5,4.5,4.925,6.25,4.25,5.3,0.1849,1.269,1.207,3.147,4.0,6.0,7.3,6.0,11.5,5.0
Argentina,1981,T+31,set_5,3.875,4.525,7.125,3.75,3.15,0.1418,1.575,1.127,2.907,3.0,7.0,3.6,7.0,9.5,6.0
Argentina,1982,T+32,set_5,3.225,3.7,8.125,3.1,0.35,0.1021,2.196,1.042,2.16,-0.3,8.0,-1.6,9.0,5.0,8.0
Argentina,1983,T+33,set_5,4.475,4.575,5.925,4.475,5.363,0.1968,1.295,0.967,0.687,6.5,6.0,6.5,6.0,3.2,7.0
Argentina,1984,T+34,set_5,5.125,5.375,5.0,5.125,8.062,0.2555,0.93,1.0,0.9,10.0,5.0,10.0,5.0,5.0,6.0
Argentina,1985,T+35,set_5,4.975,5.35,5.2,4.975,7.613,0.2415,0.972,1.085,1.993,10.0,5.0,10.0,5.0,5.0,6.0
Argentina,1986,T+36,set_5,5.225,5.375,4.9,5.225,8.312,0.2641,0.912,1.033,1.3,10.0,5.0,10.0,5.0,5.8,5.2
Argentina,1987,T+37,set_5,4.5,4.95,5.7,4.5,6.0,0.2044,1.152,0.991,0.693,7.7,5.0,6.5,6.0,4.0,7.0
Argentina,1988,T+38,set_5,3.675,4.525,6.625,3.675,3.412,0.1463,1.464,1.01,1.193,5.3,6.0,3.4,7.0,4.0,7.0
Argentina,1989,T+39,set_5,2.45,3.275,8.25,2.575,-1.238,0.0796,2.519,1.154,2.553,0.7,7.0,-3.0,9.0,2.4,7.0
Argentina,1990,T+40,set_5,3.875,4.875,6.375,3.875,4.312,0.1601,1.308,1.075,1.3,5.0,6.0,4.0,7.0,5.0,6.0
Argentina,1991,T+41,set_5,4.75,5.5,5.0,4.75,7.625,0.2369,0.909,1.0,-0.067,7.5,5.0,8.5,5.0,6.0,5.0
Argentina,1992,T+42,set_5,4.75,5.5,5.0,4.875,7.688,0.2393,0.909,1.0,0.033,7.5,5.0,9.0,5.0,6.0,5.0
Argentina,1993,T+43,set_5,5.3,5.5,4.5,5.25,8.925,0.283,0.818,0.833,-1.72,7.5,5.0,9.4,5.0,7.5,5.0
Argentina,1994,T+44,set_5,5.25,5.5,4.5,5.25,8.875,0.2815,0.818,0.833,-1.8,7.5,5.0,9.0,5.0,7.5,5.0
Argentina,1995,T+45,set_5,5.5,5.5,4.625,5.25,9.0,0.2846,0.841,0.903,-1.067,7.5,5.0,10.0,5.0,7.5,5.0
Argentina,1996,T+46,set_5,5.5,5.5,4.5,5.25,9.125,0.2898,0.818,0.942,-0.867,7.5,5.0,11.0,4.0,7.5,5.0
Argentina,1997,T+47,set_5,5.5,5.525,4.25,5.25,9.4,0.2996,0.769,1.032,-0.427,8.5,4.0,11.0,4.0,7.5,5.0
