Entity,Year,Node,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max
ASPI,2017,Flow,0.0,0.55,0.0,0.0,1.0,17.5,18.5
ASPI,2018,Helm,0.45,0.0,0.0,0.0,1.0,17.0,18.0
ASPI,2018,Shield,0.45,0.45,0.45,0.0,3.0,13.5,16.5
ASPI,2018,Lore,0.0,0.45,0.45,0.0,2.0,18.0,20.0
ASPI,2018,Stewards,0.45,0.0,0.0,0.0,1.0,14.5,15.5
ASPI,2018,Craft,0.45,0.45,0.0,0.0,2.0,18.0,20.0
ASPI,2018,Hands,0.0,0.45,0.0,0.0,1.0,16.5,17.5
ASPI,2018,Archive,0.0,0.0,0.0,0.0,0.0,18.0,18.0
ASPI,2018,Flow,0.0,0.55,0.0,0.0,1.0,17.5,18.5
ASPI,2019,Helm,0.45,0.0,0.45,0.0,1.0,14.0,15.0
ASPI,2019,Shield,0.45,0.45,0.89,0.0,4.0,9.5,13.5
ASPI,2019,Lore,0.0,0.0,0.0,0.0,0.0,17.0,17.0
ASPI,2019,Stewards,0.45,0.89,0.0,0.0,2.0,9.5,11.5
ASPI,2019,Craft,0.0,0.0,0.0,0.0,0.0,17.0,17.0
ASPI,2019,Hands,0.0,0.45,0.0,0.0,1.0,14.5,15.5
ASPI,2019,Archive,0.45,0.0,0.55,0.0,2.0,12.0,14.0
ASPI,2019,Flow,0.0,0.45,0.45,0.0,0.0,13.5,13.5
ASPI,2020,Helm,0.45,0.0,0.45,0.0,1.0,13.0,14.0
ASPI,2020,Shield,0.45,0.45,0.89,0.0,4.0,7.5,11.5
ASPI,2020,Lore,0.0,0.0,0.0,0.0,0.0,17.0,17.0
ASPI,2020,Stewards,0.45,0.89,0.0,0.0,2.0,8.0,10.0
ASPI,2020,Craft,0.0,0.0,0.0,0.0,0.0,17.0,17.0
ASPI,2020,Hands,0.0,0.45,0.0,0.0,1.0,14.5,15.5
ASPI,2020,Archive,0.45,0.0,0.55,0.0,2.0,11.0,13.0
ASPI,2020,Flow,0.0,0.45,0.45,0.0,0.0,13.5,13.5
ASPI,2021,Helm,0.45,0.0,0.45,0.0,1.0,15.0,16.0
ASPI,2021,Shield,0.45,0.45,0.89,0.0,4.0,7.5,11.5
ASPI,2021,Lore,0.0,0.0,0.0,0.0,0.0,17.0,17.0
ASPI,2021,Stewards,0.45,0.89,0.0,0.0,2.0,11.5,13.5
ASPI,2021,Craft,0.0,0.0,0.0,0.0,0.0,17.0,17.0
ASPI,2021,Hands,0.0,0.45,0.0,0.0,1.0,14.5,15.5
ASPI,2021,Archive,0.45,0.0,0.55,0.0,2.0,11.0,13.0
ASPI,2021,Flow,0.0,0.45,0.45,0.0,0.0,17.0,17.0
ASPI,2022,Helm,0.55,0.0,0.0,0.0,1.0,12.5,13.5
ASPI,2022,Shield,0.45,0.45,0.45,0.0,3.0,9.5,12.5
ASPI,2022,Lore,0.0,0.45,0.45,0.0,2.0,16.0,18.0
ASPI,2022,Stewards,0.45,0.45,0.0,0.0,1.0,13.5,14.5
ASPI,2022,Craft,0.0,0.45,0.0,0.0,1.0,17.0,18.0
ASPI,2022,Hands,0.0,0.45,0.0,0.0,1.0,14.5,15.5
ASPI,2022,Archive,0.0,0.0,0.0,0.0,0.0,14.0,14.0
ASPI,2022,Flow,0.0,0.45,0.0,0.0,1.0,17.0,18.0
ASPI,2023,Helm,0.45,0.0,0.0,0.0,1.0,12.5,13.5
ASPI,2023,Shield,0.45,0.45,0.45,0.0,3.0,9.5,12.5
ASPI,2023,Lore,0.0,0.45,0.45,0.0,2.0,16.0,18.0
ASPI,2023,Stewards,0.45,0.45,0.0,0.0,1.0,13.5,14.5
ASPI,2023,Craft,0.0,0.45,0.0,0.0,1.0,14.5,15.5
ASPI,2023,Hands,0.0,0.45,0.0,0.0,1.0,14.5,15.5
ASPI,2023,Archive,0.0,0.0,0.0,0.0,0.0,14.0,14.0
ASPI,2023,Flow,0.0,0.45,0.0,0.0,1.0,14.5,15.5
ASPI,2024,Helm,0.45,0.0,0.0,0.0,1.0,13.5,14.5
ASPI,2024,Shield,0.45,0.45,0.45,0.0,3.0,10.5,13.5
ASPI,2024,Lore,0.0,0.45,0.45,0.0,2.0,15.0,17.0
ASPI,2024,Stewards,0.45,0.45,0.0,0.0,1.0,13.5,14.5
ASPI,2024,Craft,0.0,0.45,0.0,0.0,1.0,14.5,15.5
ASPI,2024,Hands,0.0,0.45,0.0,0.0,1.0,14.5,15.5
ASPI,2024,Archive,0.0,0.0,0.0,0.0,0.0,15.0,15.0
ASPI,2024,Flow,0.0,0.45,0.0,0.0,1.0,14.5,15.5
ASPI,2025,Helm,0.45,0.0,0.0,0.0,1.0,13.5,14.5
ASPI,2025,Shield,0.45,0.45,0.45,0.0,3.0,11.5,14.5
ASPI,2025,Lore,0.0,0.45,0.45,0.0,2.0,15.0,17.0
ASPI,2025,Stewards,0.45,0.45,0.0,0.0,1.0,13.5,14.5
ASPI,2025,Craft,0.0,0.45,0.0,0.0,1.0,14.5,15.5
ASPI,2025,Hands,0.0,0.45,0.0,0.0,1.0,14.5,15.5
ASPI,2025,Archive,0.0,0.0,0.0,0.0,0.0,15.0,15.0
ASPI,2025,Flow,0.0,0.45,0.0,0.0,1.0,14.5,15.5
ASPI,2026,Helm,0.45,0.0,0.0,0.0,1.0,13.5,14.5
ASPI,2026,Shield,0.45,0.45,0.45,0.0,3.0,12.5,15.5
ASPI,2026,Lore,0.0,0.45,0.45,0.0,2.0,15.0,17.0
ASPI,2026,Stewards,0.45,0.45,0.0,0.0,1.0,13.5,14.5
ASPI,2026,Craft,0.0,0.45,0.0,0.0,1.0,14.5,15.5
ASPI,2026,Hands,0.0,0.45,0.0,0.0,1.0,14.5,15.5
ASPI,2026,Archive,0.0,0.0,0.0,0.0,0.0,15.0,15.0
ASPI,2026,Flow,0.0,0.45,0.0,0.0,1.0,14.5,15.5
