Society,Rupture_Year,Type,Window_Mean_P,Window_Frac_Deficit,P_Type
Ukraine,2014,revolution,60.375,0.0,coordination_transition
Ukraine,2022,war_crisis,,,unknown
United Kingdom,1940,war_crisis,31.244999999999994,0.0,coordination_transition
United Kingdom,1956,political_crisis,153.625,0.0,coordination_transition
United Kingdom,1976,economic_crisis,21.375,0.0,coordination_transition
United Kingdom,2008,economic_crisis,53.15833333333334,0.0,coordination_transition
Venezuela,1992,coup_attempt,-59.875,1.0,deficit_crisis
Venezuela,2002,coup_attempt,-24.375,0.6666666666666666,deficit_crisis
Venezuela,2019,political_crisis,-58.916666666666664,1.0,deficit_crisis
New Zealand,2020,economic_crisis,-16.0,1.0,deficit_crisis
Denmark,1940,occupation,253.20833333333334,0.0,coordination_transition
