Society,Node_i,Node_j,Loop,I_ij,Var_dR,Var_dXi,Var_dXj,n_years,Coupling
Cuba,Lore,Archive,Slow–Slow,0.7654,0.8906,1.8506,1.945,36,Rigid
Cuba,Lore,Flow,Cross-loop,0.4452,4.011,1.8506,5.3791,36,Loosely associated
Cuba,Stewards,Craft,Cross-loop,0.7782,1.3543,3.1593,2.9476,36,Rigid
Cuba,Stewards,Hands,Cross-loop,0.8041,1.1746,3.1593,2.8353,36,Rigid
Cuba,Stewards,Archive,Slow–Slow,0.5239,2.4302,3.1593,1.945,36,Loosely associated
Cuba,Stewards,Flow,Cross-loop,0.7568,2.0762,3.1593,5.3791,36,Rigid
Cuba,Craft,Hands,Fast–Fast,0.9113,0.5129,2.9476,2.8353,36,Rigid
Cuba,Craft,Archive,Cross-loop,0.542,2.241,2.9476,1.945,36,Loosely associated
Cuba,Craft,Flow,Fast–Fast,0.7778,1.8506,2.9476,5.3791,36,Rigid
Cuba,Hands,Archive,Cross-loop,0.6261,1.7876,2.8353,1.945,36,Loosely associated
Cuba,Hands,Flow,Fast–Fast,0.7692,1.8962,2.8353,5.3791,36,Rigid
Cuba,Archive,Flow,Cross-loop,0.3898,4.4692,1.945,5.3791,36,Loosely associated
Iceland,Helm,Shield,Cross-loop,0.1402,4.9404,5.5393,0.207,26,Weakly coupled
Iceland,Helm,Lore,Slow–Slow,0.7925,1.764,5.5393,2.9602,26,Rigid
Iceland,Helm,Stewards,Slow–Slow,0.5965,6.2352,5.5393,9.9138,26,Loosely associated
Iceland,Helm,Craft,Cross-loop,0.4856,3.511,5.5393,1.2865,26,Directionally constrained
Iceland,Helm,Hands,Cross-loop,0.5999,7.2928,5.5393,12.6874,26,Loosely associated
Iceland,Helm,Archive,Slow–Slow,0.8472,1.8777,5.5393,6.7462,26,Rigid
Iceland,Helm,Flow,Cross-loop,0.6728,5.5472,5.5393,11.4138,26,Loosely associated
Iceland,Shield,Lore,Cross-loop,0.2188,2.4743,0.207,2.9602,26,Weakly coupled
Iceland,Shield,Stewards,Cross-loop,0.1119,8.9882,0.207,9.9138,26,Weakly coupled
Iceland,Shield,Craft,Fast–Fast,0.2489,1.1219,0.207,1.2865,26,Weakly coupled
Iceland,Shield,Hands,Fast–Fast,0.099,11.6178,0.207,12.6874,26,Weakly coupled
Iceland,Shield,Archive,Cross-loop,0.1315,6.039,0.207,6.7462,26,Weakly coupled
Iceland,Shield,Flow,Fast–Fast,0.1009,10.4482,0.207,11.4138,26,Weakly coupled
Iceland,Lore,Stewards,Slow–Slow,0.443,7.1706,2.9602,9.9138,26,Loosely associated
Iceland,Lore,Craft,Cross-loop,0.6101,1.656,2.9602,1.2865,26,Loosely associated
Iceland,Lore,Hands,Cross-loop,0.5048,7.749,2.9602,12.6874,26,Loosely associated
Iceland,Lore,Archive,Slow–Slow,0.6629,3.2719,2.9602,6.7462,26,Loosely associated
Iceland,Lore,Flow,Cross-loop,0.502,7.1586,2.9602,11.4138,26,Loosely associated
Iceland,Stewards,Craft,Cross-loop,0.5333,5.2272,9.9138,1.2865,26,Directionally constrained
Iceland,Stewards,Hands,Cross-loop,0.8556,3.2632,9.9138,12.6874,26,Rigid
Iceland,Stewards,Archive,Slow–Slow,0.6133,6.4417,9.9138,6.7462,26,Directionally constrained
Iceland,Stewards,Flow,Cross-loop,0.939,1.3,9.9138,11.4138,26,Rigid
Iceland,Craft,Hands,Fast–Fast,0.515,6.7768,1.2865,12.6874,26,Loosely associated
Iceland,Craft,Archive,Cross-loop,0.5435,3.6668,1.2865,6.7462,26,Loosely associated
Iceland,Craft,Flow,Fast–Fast,0.5239,6.0472,1.2865,11.4138,26,Loosely associated
Iceland,Hands,Archive,Cross-loop,0.6834,6.1521,12.6874,6.7462,26,Loosely associated
Iceland,Hands,Flow,Fast–Fast,0.8996,2.4192,12.6874,11.4138,26,Rigid
Iceland,Archive,Flow,Cross-loop,0.7424,4.6777,6.7462,11.4138,26,Rigid
