Society,Driver,Responder,CR,CR_pos_frac,n_events,threshold_sigma,lag
Cuba,Stewards,Craft,-0.15,0.3,10,1.0,1
Cuba,Stewards,Hands,-0.17,0.3,10,1.0,1
Cuba,Stewards,Archive,-0.35,0.3,10,1.0,1
Cuba,Stewards,Flow,-0.02,0.2,10,1.0,1
Cuba,Craft,Helm,0.0,0.375,8,1.0,1
Cuba,Craft,Shield,0.125,0.125,8,1.0,1
Cuba,Craft,Lore,0.1875,0.625,8,1.0,1
Cuba,Craft,Stewards,0.4375,0.5,8,1.0,1
Cuba,Craft,Hands,0.5,0.625,8,1.0,1
Cuba,Craft,Archive,-0.3125,0.5,8,1.0,1
Cuba,Craft,Flow,1.5,0.5,8,1.0,1
Cuba,Hands,Helm,0.0909,0.455,11,1.0,1
Cuba,Hands,Shield,0.0,0.091,11,1.0,1
Cuba,Hands,Lore,-0.1818,0.364,11,1.0,1
Cuba,Hands,Stewards,0.3182,0.364,11,1.0,1
Cuba,Hands,Craft,0.3636,0.364,11,1.0,1
Cuba,Hands,Archive,-0.1364,0.455,11,1.0,1
Cuba,Hands,Flow,1.0909,0.364,11,1.0,1
Cuba,Archive,Helm,0.1429,0.286,7,1.0,1
Cuba,Archive,Shield,0.0,0.143,7,1.0,1
Cuba,Archive,Lore,0.0714,0.429,7,1.0,1
Cuba,Archive,Stewards,0.2857,0.143,7,1.0,1
Cuba,Archive,Craft,0.5286,0.286,7,1.0,1
Cuba,Archive,Hands,0.3857,0.429,7,1.0,1
Cuba,Archive,Flow,0.4286,0.286,7,1.0,1
Cuba,Flow,Helm,0.0,0.5,10,1.0,1
Cuba,Flow,Shield,0.1,0.1,10,1.0,1
Cuba,Flow,Lore,-0.25,0.3,10,1.0,1
Cuba,Flow,Stewards,0.05,0.3,10,1.0,1
Cuba,Flow,Craft,0.05,0.4,10,1.0,1
Cuba,Flow,Hands,0.15,0.5,10,1.0,1
Cuba,Flow,Archive,-0.25,0.4,10,1.0,1
Iceland,Helm,Shield,0.32,0.4,5,1.0,1
Iceland,Helm,Lore,1.04,0.4,5,1.0,1
Iceland,Helm,Stewards,1.42,0.8,5,1.0,1
Iceland,Helm,Craft,0.6,0.6,5,1.0,1
Iceland,Helm,Hands,0.9,0.6,5,1.0,1
Iceland,Helm,Archive,1.26,0.6,5,1.0,1
Iceland,Helm,Flow,1.42,0.8,5,1.0,1
Iceland,Shield,Helm,0.8143,0.571,7,1.0,1
Iceland,Shield,Lore,0.2571,0.286,7,1.0,1
Iceland,Shield,Stewards,1.6,0.714,7,1.0,1
Iceland,Shield,Craft,0.6429,0.571,7,1.0,1
Iceland,Shield,Hands,1.1286,0.714,7,1.0,1
Iceland,Shield,Archive,1.1571,0.571,7,1.0,1
Iceland,Shield,Flow,1.5286,0.714,7,1.0,1
Iceland,Lore,Helm,1.1167,0.667,6,1.0,1
Iceland,Lore,Shield,0.2667,0.333,6,1.0,1
Iceland,Lore,Stewards,0.7,0.5,6,1.0,1
Iceland,Lore,Craft,0.3333,0.333,6,1.0,1
Iceland,Lore,Hands,0.25,0.333,6,1.0,1
Iceland,Lore,Archive,1.05,0.5,6,1.0,1
Iceland,Lore,Flow,0.7833,0.5,6,1.0,1
Iceland,Stewards,Helm,1.2,0.8,5,1.0,1
Iceland,Stewards,Shield,0.32,0.4,5,1.0,1
Iceland,Stewards,Lore,0.4,0.4,5,1.0,1
Iceland,Stewards,Craft,0.6,0.6,5,1.0,1
Iceland,Stewards,Hands,1.3,0.8,5,1.0,1
Iceland,Stewards,Archive,0.68,0.6,5,1.0,1
Iceland,Stewards,Flow,1.12,0.8,5,1.0,1
Iceland,Craft,Helm,1.68,1.0,5,1.0,1
Iceland,Craft,Shield,0.52,0.6,5,1.0,1
Iceland,Craft,Lore,0.64,0.4,5,1.0,1
Iceland,Craft,Stewards,1.64,0.6,5,1.0,1
Iceland,Craft,Hands,0.9,0.4,5,1.0,1
Iceland,Craft,Archive,0.86,0.6,5,1.0,1
Iceland,Craft,Flow,1.24,0.6,5,1.0,1
Iceland,Hands,Helm,1.25,0.75,4,1.0,1
Iceland,Hands,Shield,0.2,0.5,4,1.0,1
Iceland,Hands,Lore,0.5,0.5,4,1.0,1
Iceland,Hands,Stewards,1.175,0.75,4,1.0,1
Iceland,Hands,Craft,0.125,0.25,4,1.0,1
Iceland,Hands,Archive,0.6,0.5,4,1.0,1
Iceland,Hands,Flow,0.8,0.5,4,1.0,1
Iceland,Archive,Helm,2.3,1.0,4,1.0,1
Iceland,Archive,Shield,0.2,0.25,4,1.0,1
Iceland,Archive,Lore,1.05,0.25,4,1.0,1
Iceland,Archive,Stewards,1.75,0.75,4,1.0,1
Iceland,Archive,Craft,0.5,0.5,4,1.0,1
Iceland,Archive,Hands,0.625,0.5,4,1.0,1
Iceland,Archive,Flow,1.875,0.75,4,1.0,1
Iceland,Flow,Helm,1.25,0.75,4,1.0,1
Iceland,Flow,Shield,0.4,0.5,4,1.0,1
Iceland,Flow,Lore,0.5,0.5,4,1.0,1
Iceland,Flow,Stewards,1.675,1.0,4,1.0,1
Iceland,Flow,Craft,0.5,0.5,4,1.0,1
Iceland,Flow,Hands,1.375,0.75,4,1.0,1
Iceland,Flow,Archive,0.85,0.75,4,1.0,1
