Entity,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
ASPI,2018,Craft,8.2,8.2,2.0,8.0,18.4,0.58027
ASPI,2018,Hands,7.0,8.2,2.0,7.0,16.7,0.5446
ASPI,2018,Archive,8.0,8.0,2.0,8.0,18.0,0.57661
ASPI,2018,Flow,8.0,8.4,2.0,7.0,17.9,0.56415
ASPI,2019,Helm,6.8,8.0,4.2,8.0,14.6,0.4095
ASPI,2019,Shield,6.2,7.2,5.6,7.0,11.3,0.35874
ASPI,2019,Lore,8.0,8.0,3.0,8.0,17.0,0.4573
ASPI,2019,Stewards,5.8,6.6,5.0,7.0,10.9,0.36602
ASPI,2019,Craft,8.0,8.0,3.0,8.0,17.0,0.4573
ASPI,2019,Hands,7.0,7.2,3.0,7.0,14.7,0.43232
ASPI,2019,Archive,6.8,7.0,4.4,8.0,13.4,0.40465
ASPI,2019,Flow,7.0,7.2,4.2,7.0,13.5,0.40266
ASPI,2020,Helm,6.8,7.0,4.2,8.0,13.6,0.40067
ASPI,2020,Shield,6.2,6.2,6.6,7.0,9.3,0.33032
ASPI,2020,Lore,8.0,8.0,3.0,8.0,17.0,0.44724
ASPI,2020,Stewards,5.8,5.6,5.0,6.0,9.4,0.34806
ASPI,2020,Craft,8.0,8.0,3.0,8.0,17.0,0.44724
ASPI,2020,Hands,7.0,7.2,3.0,7.0,14.7,0.42291
ASPI,2020,Archive,6.8,7.0,5.4,8.0,12.4,0.37296
ASPI,2020,Flow,7.0,7.2,4.2,7.0,13.5,0.394
ASPI,2021,Helm,7.8,8.0,4.2,8.0,15.6,0.43369
ASPI,2021,Shield,6.2,6.2,6.6,7.0,9.3,0.34516
ASPI,2021,Lore,8.0,8.0,3.0,8.0,17.0,0.46834
ASPI,2021,Stewards,6.8,6.6,4.0,7.0,12.9,0.41402
ASPI,2021,Craft,8.0,8.0,3.0,8.0,17.0,0.46834
ASPI,2021,Hands,7.0,7.2,3.0,7.0,14.7,0.44264
ASPI,2021,Archive,6.8,7.0,5.4,8.0,12.4,0.39
ASPI,2021,Flow,8.0,8.2,3.2,8.0,17.0,0.46291
ASPI,2022,Helm,6.6,7.0,4.0,7.0,13.1,0.42353
ASPI,2022,Shield,6.2,6.2,5.2,7.0,10.7,0.38758
ASPI,2022,Lore,8.0,7.2,2.8,8.0,16.4,0.48876
ASPI,2022,Stewards,6.8,6.8,3.0,7.0,14.1,0.45307
ASPI,2022,Craft,8.0,8.2,3.0,8.0,17.2,0.48308
ASPI,2022,Hands,7.0,7.2,3.0,7.0,14.7,0.45644
ASPI,2022,Archive,7.0,7.0,4.0,8.0,14.0,0.44044
ASPI,2022,Flow,8.0,8.2,3.0,8.0,17.2,0.48308
ASPI,2023,Helm,6.8,7.0,4.0,7.0,13.3,0.41885
ASPI,2023,Shield,6.2,6.2,5.2,7.0,10.7,0.38047
ASPI,2023,Lore,8.0,7.2,2.8,8.0,16.4,0.47946
ASPI,2023,Stewards,6.8,6.8,3.0,7.0,14.1,0.44457
ASPI,2023,Craft,7.0,7.2,3.0,7.0,14.7,0.44786
ASPI,2023,Hands,7.0,7.2,3.0,7.0,14.7,0.44786
ASPI,2023,Archive,7.0,7.0,4.0,8.0,14.0,0.43222
ASPI,2023,Flow,7.0,7.2,3.0,7.0,14.7,0.44786
ASPI,2024,Helm,6.8,7.0,3.0,7.0,14.3,0.45459
ASPI,2024,Shield,6.2,6.2,4.2,7.0,11.7,0.41327
ASPI,2024,Lore,7.0,7.2,2.8,8.0,15.4,0.47452
ASPI,2024,Stewards,6.8,6.8,3.0,7.0,14.1,0.45459
ASPI,2024,Craft,7.0,7.2,3.0,7.0,14.7,0.45797
ASPI,2024,Hands,7.0,7.2,3.0,7.0,14.7,0.45797
ASPI,2024,Archive,7.0,7.0,3.0,8.0,15.0,0.46896
ASPI,2024,Flow,7.0,7.2,3.0,7.0,14.7,0.45797
ASPI,2025,Helm,6.8,7.0,3.0,7.0,14.3,0.45459
ASPI,2025,Shield,6.2,7.2,4.2,7.0,12.7,0.41327
ASPI,2025,Lore,7.0,7.2,2.8,8.0,15.4,0.47452
ASPI,2025,Stewards,6.8,6.8,3.0,7.0,14.1,0.45459
ASPI,2025,Craft,7.0,7.2,3.0,7.0,14.7,0.45797
ASPI,2025,Hands,7.0,7.2,3.0,7.0,14.7,0.45797
ASPI,2025,Archive,7.0,7.0,3.0,8.0,15.0,0.46896
ASPI,2025,Flow,7.0,7.2,3.0,7.0,14.7,0.45797
ASPI,2026,Helm,6.8,7.0,3.0,7.0,14.3,0.45721
ASPI,2026,Shield,7.2,7.2,4.2,7.0,13.7,0.43187
ASPI,2026,Lore,7.0,7.2,2.8,8.0,15.4,0.47727
ASPI,2026,Stewards,6.8,6.8,3.0,7.0,14.1,0.45721
ASPI,2026,Craft,7.0,7.2,3.0,7.0,14.7,0.46061
ASPI,2026,Hands,7.0,7.2,3.0,7.0,14.7,0.46061
ASPI,2026,Archive,7.0,7.0,3.0,8.0,15.0,0.47168
ASPI,2026,Flow,7.0,7.2,3.0,7.0,14.7,0.46061
