Society,Year,F_Deficit
Argentina,2006,0.0
Argentina,2007,0.0
Argentina,2008,0.375
Argentina,2009,0.375
Argentina,2010,0.0
Argentina,2011,0.0
Argentina,2012,0.75
Argentina,2013,1.0
Argentina,2014,1.0
Argentina,2015,0.625
Argentina,2016,0.5
Argentina,2017,0.0
Argentina,2018,1.0
Argentina,2019,1.0
Argentina,2020,1.0
Argentina,2021,1.0
Argentina,2022,1.0
Argentina,2023,1.0
Argentina,2024,1.0
Argentina,2025,1.0
Australia,1900,0.125
Australia,1901,0.0
Australia,1902,0.0
Australia,1903,0.0
Australia,1904,0.0
Australia,1905,0.0
Australia,1906,0.0
Australia,1907,0.0
Australia,1908,0.0
Australia,1909,0.0
Australia,1910,0.0
Australia,1911,0.0
Australia,1912,0.0
Australia,1913,0.0
Australia,1914,0.375
Australia,1915,0.375
Australia,1916,0.375
Australia,1917,0.375
Australia,1918,0.375
Australia,1919,0.375
Australia,1920,0.375
Australia,1921,0.125
Australia,1922,0.125
Australia,1923,0.125
Australia,1924,0.125
Australia,1925,0.125
Australia,1926,0.125
Australia,1927,0.125
Australia,1928,0.375
Australia,1929,1.0
Australia,1930,1.0
Australia,1931,1.0
Australia,1932,1.0
Australia,1933,1.0
Australia,1934,0.25
Australia,1935,0.25
Australia,1936,0.25
Australia,1937,0.25
Australia,1938,0.25
Australia,1939,0.125
Australia,1940,0.125
Australia,1941,0.125
Australia,1942,0.375
Australia,1943,0.375
Australia,1944,0.0
Australia,1945,0.0
Australia,1946,0.0
Australia,1947,0.0
Australia,1948,0.125
Australia,1949,0.0
Australia,1950,0.0
Australia,1951,0.0
Australia,1952,0.0
Australia,1953,0.0
Australia,1954,0.0
Australia,1955,0.0
Australia,1956,0.0
Australia,1957,0.0
Australia,1958,0.0
Australia,1959,0.0
Australia,1960,0.0
Australia,1961,0.0
Australia,1962,0.0
Australia,1963,0.0
Australia,1964,0.0
Australia,1965,0.0
Australia,1966,0.375
Australia,1967,0.375
Australia,1968,0.375
Australia,1969,0.375
Australia,1970,0.375
Australia,1971,0.375
Australia,1972,0.125
Australia,1973,0.125
Australia,1974,0.5
Australia,1975,0.375
Australia,1976,0.125
Australia,1977,0.25
Australia,1978,0.25
Australia,1979,0.375
Australia,1980,0.25
Australia,1981,0.25
Australia,1982,0.375
Australia,1983,0.0
Australia,1984,0.0
Australia,1985,0.0
Australia,1986,0.0
Australia,1987,0.0
Australia,1988,0.0
Australia,1989,0.0
Australia,1990,0.625
Australia,1991,0.625
Australia,1992,0.625
Australia,1993,0.25
Australia,1994,0.25
Australia,1995,0.25
Australia,1996,0.0
Australia,1997,0.0
Australia,1998,0.0
Australia,1999,0.125
Australia,2000,0.0
Australia,2001,0.125
Australia,2002,0.125
Australia,2003,0.25
Australia,2004,0.125
Australia,2005,0.25
Australia,2006,0.25
Australia,2007,0.125
Australia,2008,0.375
Australia,2009,0.375
Australia,2010,0.25
Australia,2011,0.375
Australia,2012,0.25
Australia,2013,0.25
Australia,2014,0.375
Australia,2015,0.375
Australia,2016,0.375
Australia,2017,0.375
Australia,2018,0.375
Australia,2019,0.875
Australia,2020,0.75
Australia,2021,0.75
Australia,2022,0.625
Australia,2023,0.375
Australia,2024,0.25
Australia,2025,0.25
Brazil,1900,0.125
Brazil,1901,0.0
Brazil,1902,0.0
Brazil,1903,0.0
Brazil,1904,0.125
Brazil,1905,0.0
Brazil,1906,0.0
Brazil,1907,0.0
Brazil,1908,0.0
Brazil,1909,0.0
Brazil,1910,0.0
Brazil,1911,0.0
Brazil,1912,0.0
Brazil,1913,0.0
Brazil,1914,0.0
Brazil,1915,0.125
Brazil,1916,0.125
Brazil,1917,0.125
Brazil,1918,1.0
Brazil,1919,0.125
Brazil,1920,0.125
Brazil,1921,0.0
Brazil,1922,0.125
Brazil,1923,0.25
Brazil,1924,0.375
Brazil,1925,0.25
Brazil,1926,0.375
Brazil,1927,0.375
Brazil,1928,0.375
Brazil,1929,1.0
Brazil,1930,1.0
Brazil,1931,0.5
Brazil,1932,1.0
Brazil,1933,0.125
Brazil,1934,0.0
Brazil,1935,0.375
Brazil,1936,0.0
Brazil,1937,0.125
Brazil,1938,0.0
Brazil,1939,0.0
Brazil,1940,0.0
Brazil,1941,0.0
Brazil,1942,0.0
Brazil,1943,0.0
Brazil,1944,0.0
Brazil,1945,0.375
Brazil,1946,0.375
Brazil,1947,0.0
Brazil,1948,0.0
Brazil,1949,0.0
Brazil,1950,0.0
Brazil,1951,0.0
Brazil,1952,0.0
Brazil,1953,0.0
Brazil,1954,0.375
Brazil,1955,0.0
Brazil,1956,0.0
Brazil,1957,0.0
Brazil,1958,0.0
Brazil,1959,0.0
Brazil,1960,0.0
Brazil,1961,0.375
Brazil,1962,0.375
Brazil,1963,1.0
Brazil,1964,1.0
Brazil,1965,0.125
Brazil,1966,0.0
Brazil,1967,0.0
Brazil,1968,0.125
Brazil,1969,0.0
Brazil,1970,0.0
Brazil,1971,0.0
Brazil,1972,0.0
Brazil,1973,0.0
Brazil,1974,0.0
Brazil,1975,0.0
Brazil,1976,0.0
Brazil,1977,0.0
Brazil,1978,0.125
Brazil,1979,0.125
Brazil,1980,0.75
Brazil,1981,0.875
Brazil,1982,1.0
Brazil,1983,1.0
Brazil,1984,1.0
Brazil,1985,0.375
Brazil,1986,0.0
Brazil,1987,1.0
Brazil,1988,1.0
Brazil,1989,1.0
Brazil,1990,1.0
Brazil,1991,1.0
Brazil,1992,1.0
Brazil,1993,1.0
Brazil,1994,1.0
Brazil,1995,0.0
Brazil,1996,0.0
Brazil,1997,0.0
Brazil,1998,0.0
Brazil,1999,0.0
Brazil,2000,0.0
Brazil,2001,0.0
Brazil,2002,0.125
Brazil,2003,0.0
Brazil,2004,0.0
Brazil,2005,0.0
Brazil,2006,0.0
Brazil,2007,0.0
Brazil,2008,0.0
Brazil,2009,0.0
Brazil,2010,0.0
Brazil,2011,0.0
Brazil,2012,0.0
Brazil,2013,0.125
Brazil,2014,0.0
Brazil,2015,1.0
Brazil,2016,1.0
Brazil,2017,1.0
Brazil,2018,1.0
Brazil,2019,0.125
Brazil,2020,0.75
Brazil,2021,0.75
Brazil,2022,0.125
Brazil,2023,0.0
Brazil,2024,0.125
Brazil,2025,0.125
Canada,1900,0.0
Canada,1901,0.0
Canada,1902,0.25
Canada,1903,0.75
Canada,1904,0.125
Canada,1905,0.125
Canada,1906,1.0
Canada,1907,0.25
Canada,1908,0.0
Canada,1909,0.0
Canada,1910,0.0
Canada,1911,0.0
Canada,1912,0.375
Canada,1913,0.375
Canada,1914,0.5
Canada,1915,0.125
Canada,1916,0.0
Canada,1917,0.25
Canada,1918,0.5
Canada,1919,0.0
Canada,1920,0.0
Canada,1921,0.75
Canada,1922,0.0
Canada,1923,0.0
Canada,1924,0.25
Canada,1925,0.75
Chile,1900,0.125
Chile,1901,0.125
Chile,1902,0.125
Chile,1903,0.125
Chile,1904,0.125
Chile,1905,0.125
Chile,1906,0.125
Chile,1907,0.25
Chile,1908,0.125
Chile,1909,0.125
Chile,1910,0.125
Chile,1911,0.125
Chile,1912,0.125
Chile,1913,0.125
Chile,1914,0.125
Chile,1915,0.125
Chile,1916,0.125
Chile,1917,0.375
Chile,1918,0.375
Chile,1919,0.375
Chile,1920,0.5
Chile,1921,0.25
Chile,1922,0.375
Chile,1923,0.375
Chile,1924,0.75
Chile,1925,0.375
Chile,1926,0.125
Chile,1927,0.5
Chile,1928,0.125
Chile,1929,0.0
Chile,1930,0.5
Chile,1931,1.0
Chile,1932,1.0
Chile,1933,0.375
Chile,1934,0.25
Chile,1935,0.125
Chile,1936,0.125
Chile,1937,0.0
Chile,1938,0.0
Chile,1939,0.0
Chile,1940,0.0
Chile,1941,0.0
Chile,1942,0.0
Chile,1943,0.0
Chile,1944,0.0
Chile,1945,0.0
Chile,1946,0.0
Chile,1947,0.0
Chile,1948,0.125
Chile,1949,0.125
Chile,1950,0.0
Chile,1951,0.0
Chile,1952,0.0
Chile,1953,0.375
Chile,1954,0.5
Chile,1955,0.375
Chile,1956,0.375
Chile,1957,0.375
Chile,1958,0.0
Chile,1959,0.0
Chile,1960,0.0
Chile,1961,0.125
Chile,1962,0.0
Chile,1963,0.0
Chile,1964,0.0
Chile,1965,0.125
Chile,1966,0.0
Chile,1967,0.125
Chile,1968,0.0
Chile,1969,0.125
Chile,1970,0.375
Chile,1971,0.25
Chile,1972,0.875
Chile,1973,1.0
Chile,1974,1.0
Chile,1975,0.75
Chile,1976,0.375
Chile,1977,0.375
Chile,1978,0.375
Chile,1979,0.25
Chile,1980,0.25
Chile,1981,0.25
Chile,1982,0.75
Chile,1983,0.875
Chile,1984,0.5
Chile,1985,0.125
Chile,1986,0.25
Chile,1987,0.125
Chile,1988,0.125
Chile,1989,0.0
Chile,1990,0.0
Chile,1991,0.0
Chile,1992,0.0
Chile,1993,0.0
Chile,1994,0.0
Chile,1995,0.0
Chile,1996,0.0
Chile,1997,0.0
Chile,1998,0.0
Chile,1999,0.0
Chile,2000,0.0
Chile,2001,0.0
Chile,2002,0.0
Chile,2003,0.0
Chile,2004,0.0
Chile,2005,0.0
Chile,2006,0.0
Chile,2007,0.0
Chile,2008,0.0
Chile,2009,0.0
Chile,2010,0.0
Chile,2011,0.0
Chile,2012,0.0
Chile,2013,0.0
Chile,2014,0.0
Chile,2015,0.0
Chile,2016,0.0
Chile,2017,0.0
Chile,2018,0.0
Chile,2019,0.5
Chile,2020,0.375
Chile,2021,0.25
Chile,2022,0.25
Chile,2023,0.25
Chile,2024,0.0
Chile,2025,0.0
China,1900,1.0
China,1901,1.0
China,1902,1.0
China,1903,1.0
China,1904,1.0
China,1905,1.0
China,1906,1.0
China,1907,1.0
China,1908,1.0
China,1909,1.0
China,1910,1.0
China,1911,1.0
China,1912,1.0
China,1913,1.0
China,1914,0.875
China,1915,0.875
China,1916,0.875
China,1917,0.875
China,1918,0.75
China,1919,0.75
China,1920,0.75
China,1921,0.75
China,1922,0.75
China,1923,0.75
China,1924,0.75
China,1925,0.75
China,1926,0.75
China,1927,0.75
China,1928,0.75
China,1929,0.5
China,1930,0.5
China,1931,0.5
China,1932,0.125
China,1933,0.125
China,1934,0.125
China,1935,0.25
China,1936,0.25
China,1937,1.0
China,1938,1.0
China,1939,1.0
China,1940,1.0
China,1941,1.0
China,1942,1.0
China,1943,1.0
China,1944,1.0
China,1945,1.0
China,1946,1.0
China,1947,1.0
China,1948,1.0
China,1949,0.75
China,1950,0.625
China,1951,0.625
China,1952,0.0
China,1953,0.0
China,1954,0.0
China,1955,0.0
China,1956,0.0
China,1957,0.25
China,1958,0.25
China,1959,0.875
China,1960,0.875
China,1961,0.875
China,1962,0.625
China,1963,0.375
China,1964,0.0
China,1965,0.0
China,1966,0.875
China,1967,0.875
China,1968,0.875
China,1969,0.875
China,1970,0.875
China,1971,0.875
China,1972,0.875
China,1973,0.875
China,1974,0.875
China,1975,0.875
China,1976,0.875
China,1977,0.0
China,1978,0.0
China,1979,0.0
China,1980,0.0
China,1981,0.0
China,1982,0.0
China,1983,0.0
China,1984,0.0
China,1985,0.0
China,1986,0.0
China,1987,0.0
China,1988,0.0
China,1989,0.625
China,1990,0.375
China,1991,0.375
China,1992,0.0
China,1993,0.0
China,1994,0.0
China,1995,0.0
China,1996,0.0
China,1997,0.0
China,1998,0.0
China,1999,0.0
China,2000,0.0
China,2001,0.0
China,2002,0.0
China,2003,0.0
China,2004,0.0
China,2005,0.0
China,2006,0.0
China,2007,0.0
China,2008,0.0
China,2009,0.0
China,2010,0.0
China,2011,0.0
China,2012,0.0
China,2013,0.0
China,2014,0.0
China,2015,0.0
China,2016,0.0
China,2017,0.0
China,2018,0.0
China,2019,0.0
China,2020,0.125
China,2021,0.25
China,2022,0.375
China,2023,0.0
China,2024,0.0
China,2025,0.0
Colombia,1900,1.0
Colombia,1901,1.0
Colombia,1902,1.0
Colombia,1903,1.0
Colombia,1904,1.0
Colombia,1905,0.875
Colombia,1906,0.625
Colombia,1907,0.625
Colombia,1908,0.5
Colombia,1909,0.5
Colombia,1910,0.25
Colombia,1911,0.25
Colombia,1912,0.25
Colombia,1913,0.25
Colombia,1914,0.25
Colombia,1915,0.25
Colombia,1916,0.25
Colombia,1917,0.25
Colombia,1918,0.25
Colombia,1919,0.25
Colombia,1920,0.125
Colombia,1921,0.125
Colombia,1922,0.125
Colombia,1923,0.125
Colombia,1924,0.125
Colombia,1925,0.125
Colombia,1926,0.125
Colombia,1927,0.125
Colombia,1928,0.5
Colombia,1929,0.5
Colombia,1930,0.25
Colombia,1931,0.375
Colombia,1932,0.875
Colombia,1933,0.5
Colombia,1934,0.5
Colombia,1935,0.375
Colombia,1936,0.125
Colombia,1937,0.125
Colombia,1938,0.125
Colombia,1939,0.125
Colombia,1940,0.125
Colombia,1941,0.125
Colombia,1942,0.125
Colombia,1943,0.125
Colombia,1944,0.125
Colombia,1945,0.125
Colombia,1946,0.5
Colombia,1947,0.875
Colombia,1948,1.0
Colombia,1949,1.0
Colombia,1950,1.0
Colombia,1951,1.0
Colombia,1952,1.0
Colombia,1953,0.625
Colombia,1954,0.375
Colombia,1955,0.375
Colombia,1956,0.75
Colombia,1957,0.625
Colombia,1958,0.5
Colombia,1959,0.5
Colombia,1960,0.5
Colombia,1961,0.5
Colombia,1962,0.5
Colombia,1963,0.5
Colombia,1964,0.5
Colombia,1965,0.5
Colombia,1966,0.5
Colombia,1967,0.5
Colombia,1968,0.5
Colombia,1969,0.5
Colombia,1970,0.375
Colombia,1971,0.625
Colombia,1972,0.625
Colombia,1973,0.625
Colombia,1974,0.625
Colombia,1975,0.75
Colombia,1976,0.75
Colombia,1977,0.75
Colombia,1978,0.75
Colombia,1979,1.0
Colombia,1980,1.0
Colombia,1981,1.0
Colombia,1982,1.0
Colombia,1983,1.0
Colombia,1984,1.0
Colombia,1985,1.0
Colombia,1986,1.0
Colombia,1987,1.0
Colombia,1988,1.0
Colombia,1989,1.0
Colombia,1990,1.0
Colombia,1991,1.0
Colombia,1992,1.0
Colombia,1993,1.0
Colombia,1994,1.0
Colombia,1995,1.0
Colombia,1996,1.0
Colombia,1997,1.0
Colombia,1998,1.0
Colombia,1999,1.0
Colombia,2000,1.0
Colombia,2001,1.0
Colombia,2002,1.0
Colombia,2003,1.0
Colombia,2004,1.0
Colombia,2005,0.875
Colombia,2006,0.625
Colombia,2007,0.125
Colombia,2008,0.125
Colombia,2009,0.25
Colombia,2010,0.125
Colombia,2011,0.125
Colombia,2012,0.125
Colombia,2013,0.125
Colombia,2014,0.125
Colombia,2015,0.125
Colombia,2016,0.125
Colombia,2017,0.125
Colombia,2018,0.125
Colombia,2019,0.125
Colombia,2020,1.0
Colombia,2021,1.0
Colombia,2022,0.625
Colombia,2023,0.5
Colombia,2024,0.5
Colombia,2025,0.5
Denmark,1900,0.0
Denmark,1901,0.0
Denmark,1902,0.0
Denmark,1903,0.0
Denmark,1904,0.0
Denmark,1905,0.0
Denmark,1906,0.0
Denmark,1907,0.0
Denmark,1908,0.0
Denmark,1909,0.0
Denmark,1910,0.0
Denmark,1911,0.0
Denmark,1912,0.0
Denmark,1913,0.125
Denmark,1914,0.0
Denmark,1915,0.0
Denmark,1916,0.0
Denmark,1917,0.0
Denmark,1918,0.0
Denmark,1919,0.0
Denmark,1920,0.0
Denmark,1921,0.0
Denmark,1922,0.0
Denmark,1923,0.0
Denmark,1924,0.0
Denmark,1925,0.0
Denmark,1926,0.0
Denmark,1927,0.0
Denmark,1928,0.0
Denmark,1929,0.0
Denmark,1930,0.0
Denmark,1931,0.0
Denmark,1932,0.0
Denmark,1933,0.0
Denmark,1934,0.0
Denmark,1935,0.0
Denmark,1936,0.0
Denmark,1937,0.0
Denmark,1938,0.0
Denmark,1939,0.0
Denmark,1940,0.0
Denmark,1941,0.0
Denmark,1942,0.0
Denmark,1943,0.0
Denmark,1944,0.0
Denmark,1945,0.0
Denmark,1946,0.0
Denmark,1947,0.0
Denmark,1948,0.0
Denmark,1949,0.0
Denmark,1950,0.0
Denmark,1951,0.0
Denmark,1952,0.0
Denmark,1953,0.0
Denmark,1954,0.0
Denmark,1955,0.0
Denmark,1956,0.0
Denmark,1957,0.0
Denmark,1958,0.0
Denmark,1959,0.0
Denmark,1960,0.0
Denmark,1961,0.0
Denmark,1962,0.0
Denmark,1963,0.0
Denmark,1964,0.0
Denmark,1965,0.0
Denmark,1966,0.0
Egypt,1900,0.0
Egypt,1901,0.0
Egypt,1902,0.0
Egypt,1903,0.0
Egypt,1904,0.0
Egypt,1905,0.0
Egypt,1906,0.0
Egypt,1907,0.625
Egypt,1908,0.125
Egypt,1909,0.25
Egypt,1910,0.5
Egypt,1911,0.125
Egypt,1912,0.125
Egypt,1913,0.125
Egypt,1914,0.5
Egypt,1915,0.625
Egypt,1916,0.5
Egypt,1917,0.625
Egypt,1918,0.75
Egypt,1919,1.0
Egypt,1920,0.875
Egypt,1921,0.75
Egypt,1922,0.0
Egypt,1923,0.375
Egypt,1924,0.375
Egypt,1925,0.375
Egypt,1926,0.375
Egypt,1927,0.375
Egypt,1928,0.5
Egypt,1929,0.875
Egypt,1930,0.75
Egypt,1931,0.625
Egypt,1932,0.375
Egypt,1933,0.25
Egypt,1934,0.0
Egypt,1935,0.375
Egypt,1936,0.0
Egypt,1937,0.25
Egypt,1938,0.25
Egypt,1939,0.75
Egypt,1940,0.875
Egypt,1941,0.875
Egypt,1942,0.625
Egypt,1943,0.25
Egypt,1944,0.25
Egypt,1945,0.75
Egypt,1946,0.875
Egypt,1947,0.75
Egypt,1948,0.875
Egypt,1949,0.875
Egypt,1950,0.375
Egypt,1951,0.875
Egypt,1952,1.0
Egypt,1953,0.125
Egypt,1954,0.25
Egypt,1955,0.125
Egypt,1956,0.25
Egypt,1957,0.125
Egypt,1958,0.125
Egypt,1959,0.0
Egypt,1960,0.0
Egypt,1961,0.125
Egypt,1962,0.125
Egypt,1963,0.125
Egypt,1964,0.125
Egypt,1965,0.25
Egypt,1966,0.375
Egypt,1967,1.0
Egypt,1968,1.0
Egypt,1969,0.25
Egypt,1970,0.25
Egypt,1971,0.25
Egypt,1972,0.25
Egypt,1973,0.0
Egypt,1974,0.125
Egypt,1975,0.25
Egypt,1976,0.25
Egypt,1977,1.0
Egypt,1978,0.5
Egypt,1979,0.375
Egypt,1980,0.375
Egypt,1981,0.5
Egypt,1982,0.375
Egypt,1983,0.25
Egypt,1984,0.25
Egypt,1985,0.375
Egypt,1986,0.5
Egypt,1987,0.5
Egypt,1988,0.375
Egypt,1989,0.375
Egypt,1990,0.25
Egypt,1991,0.25
Egypt,1992,0.5
Egypt,1993,0.5
Egypt,1994,0.625
Egypt,1995,0.625
Egypt,1996,0.25
Egypt,1997,0.75
Egypt,1998,0.375
Egypt,1999,0.25
Egypt,2000,0.25
Egypt,2001,0.125
Egypt,2002,0.125
Egypt,2003,0.625
Egypt,2004,0.25
Egypt,2005,0.5
Egypt,2006,0.375
Egypt,2007,0.5
Egypt,2008,0.75
Egypt,2009,0.625
Egypt,2010,0.75
Egypt,2011,1.0
Egypt,2012,1.0
Egypt,2013,1.0
Egypt,2014,0.5
Egypt,2015,0.375
Egypt,2016,0.5
Egypt,2017,0.5
Egypt,2018,0.125
Egypt,2019,0.125
Egypt,2020,0.375
Egypt,2021,0.125
Egypt,2022,0.625
Egypt,2023,0.875
Egypt,2024,0.5
Egypt,2025,0.25
Estonia,1900,0.0
Estonia,1901,0.0
Estonia,1902,0.0
Estonia,1903,0.0
Estonia,1904,0.0
Estonia,1905,0.0
Estonia,1906,0.0
Estonia,1907,0.0
Estonia,1908,0.0
Estonia,1909,0.0
Estonia,1910,0.0
Estonia,1911,0.0
Estonia,1912,0.0
Estonia,1913,0.0
Estonia,1914,0.25
Estonia,1915,0.875
Estonia,1916,0.875
Estonia,1917,0.5
Estonia,1918,0.875
Estonia,1919,0.125
Estonia,1920,0.0
Estonia,1921,0.0
Estonia,1922,0.0
Estonia,1923,0.0
Estonia,1924,0.0
Estonia,1925,0.0
Estonia,1926,0.0
Estonia,1927,0.0
Estonia,1928,0.0
Estonia,1929,0.0
Estonia,1930,0.0
Estonia,1931,0.0
Estonia,1932,0.0
Estonia,1933,0.125
Estonia,1934,0.125
Estonia,1935,0.25
Estonia,1936,0.625
Estonia,1937,1.0
Estonia,1938,1.0
Estonia,1939,1.0
Estonia,1940,1.0
Estonia,1941,1.0
Estonia,1942,1.0
Estonia,1943,1.0
Estonia,1944,0.25
Estonia,1945,0.125
Estonia,1946,0.125
Estonia,1947,0.125
Estonia,1948,0.125
Estonia,1949,0.125
Estonia,1950,0.125
Estonia,1951,0.125
Estonia,1952,0.125
Estonia,1953,0.125
Estonia,1954,0.125
Estonia,1955,0.125
Estonia,1956,0.125
Estonia,1957,0.125
Estonia,1958,0.125
Estonia,1959,0.125
Estonia,1960,0.125
Estonia,1961,0.125
Estonia,1962,0.125
Estonia,1963,0.125
Estonia,1964,0.125
Estonia,1965,0.125
Estonia,1966,0.125
Estonia,1967,0.125
Estonia,1968,0.125
Estonia,1969,0.125
Estonia,1970,0.125
Estonia,1971,0.125
Estonia,1972,0.125
Estonia,1973,0.125
Estonia,1974,0.125
Estonia,1975,0.125
Estonia,1976,0.125
Estonia,1977,0.125
Estonia,1978,0.125
Estonia,1979,0.125
Estonia,1980,0.125
Estonia,1981,0.125
Estonia,1982,0.125
Estonia,1983,0.125
Estonia,1984,0.125
Estonia,1985,0.125
Estonia,1986,0.125
Estonia,1987,0.125
Estonia,1988,0.0
Estonia,1989,0.0
Estonia,1990,0.0
Estonia,1991,0.0
Estonia,1992,0.0
Estonia,1993,0.0
Estonia,1994,0.0
Estonia,1995,0.0
Estonia,1996,0.0
Estonia,1997,0.0
Estonia,1998,0.0
Estonia,1999,0.0
Estonia,2000,0.0
Estonia,2001,0.0
Estonia,2002,0.0
Estonia,2003,0.0
Estonia,2004,0.0
Estonia,2005,0.0
Estonia,2006,0.0
Estonia,2007,0.0
Estonia,2008,0.0
Estonia,2009,0.0
Estonia,2010,0.0
Estonia,2011,0.0
Estonia,2012,0.0
Estonia,2013,0.0
Estonia,2014,0.0
Estonia,2015,0.0
Estonia,2016,0.0
Estonia,2017,0.0
Estonia,2018,0.0
Estonia,2019,0.0
Estonia,2020,0.0
Estonia,2021,0.0
Estonia,2022,0.0
Finland,1900,0.25
Finland,1901,0.25
Finland,1902,0.25
Finland,1903,0.25
Finland,1904,0.25
Finland,1905,0.0
Finland,1906,0.25
Finland,1907,0.25
Finland,1908,0.25
Finland,1909,0.0
Finland,1910,0.25
Finland,1911,0.25
Finland,1912,0.375
Finland,1913,0.0
Finland,1914,1.0
Finland,1915,1.0
Finland,1916,0.0
Finland,1917,0.0
Finland,1918,0.0
Finland,1919,0.0
Finland,1920,0.0
Finland,1921,0.0
Finland,1922,0.0
Finland,1923,0.0
Finland,1924,0.0
Finland,1925,0.0
